| 0            | info        | 1         | [1]         | 4          | VARCHAR      | 29124 | 7281   | Uncompressed | [Min: 00162963, Max: fffeb3eb, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 9        | 0            |  
| 0            | crt_time    | 2         | [2]         | 1          | TIMESTAMP    | 69632 | 30368  | BitPacking   | [Min: 2022-09-02 01:38:07.027, Max: 2022-09-02 10:04:14.027][Has Null: false, Has No Null: true]              | false       | true       | 4        | 126336       |  
| 0            | crt_time    | 2         | [2, 0]      | 0          | VALIDITY     | 0     | 100000 | Constant     | [Has Null: false, Has No Null: true]                                                                          | false       | true       | -1       | 0            |  
| 0            | c1          | 3         | [3]         | 0          | BIGINT       | 0     | 100000 | BitPacking   | [Min: 0, Max: 10000][Has Null: false, Has No Null: true]                                                      | false       | true       | 20       | 0            |  
| 0            | c1          | 3         | [3, 0]      | 0          | VALIDITY     | 0     | 100000 | Constant     | [Has Null: false, Has No Null: true]                                                                          | false       | true       | -1       | 0            |  
Run Time (s): real 0.002 user 0.001614 sys 0.000115  
D select * from pragma_storage_info('tbl');   
| row_group_id | column_name | column_id | column_path | segment_id | segment_type | start  | count  | compression  |                                                     stats                                                     | has_updates | persistent | block_id | block_offset |  
|--------------|-------------|-----------|-------------|------------|--------------|--------|--------|--------------|---------------------------------------------------------------------------------------------------------------|-------------|------------|----------|--------------|  
| 0            | id          | 0         | [0]         | 0          | BIGINT       | 0      | 122880 | BitPacking   | [Min: 1, Max: 122880][Has Null: false, Has No Null: true]                                                     | false       | true       | 23       | 0            |  
| 0            | id          | 0         | [0, 0]      | 0          | VALIDITY     | 0      | 122880 | Constant     | [Has Null: false, Has No Null: true]                                                                          | false       | true       | -1       | 0            |  
| 0            | info        | 1         | [1]         | 0          | VARCHAR      | 0      | 7281   | Uncompressed | [Min: 0009ddf5, Max: fffe9702, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 24       | 0            |  
| 0            | info        | 1         | [1]         | 1          | VARCHAR      | 7281   | 7281   | Uncompressed | [Min: 000cc5e9, Max: ffd9168b, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 25       | 0            |  
| 0            | info        | 1         | [1]         | 2          | VARCHAR      | 14562  | 7281   | Uncompressed | [Min: 000976c0, Max: fffaca58, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 26       | 0            |  
| 0            | info        | 1         | [1]         | 3          | VARCHAR      | 21843  | 7281   | Uncompressed | [Min: 0003a223, Max: ffffe7df, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 27       | 0            |  
| 0            | info        | 1         | [1]         | 4          | VARCHAR      | 29124  | 7281   | Uncompressed | [Min: 0008a5c8, Max: ffefcd35, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 28       | 0            |  
| 0            | info        | 1         | [1]         | 5          | VARCHAR      | 36405  | 7281   | Uncompressed | [Min: 000363b4, Max: fffbe44d, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 29       | 0            |  
| 0            | info        | 1         | [1]         | 6          | VARCHAR      | 43686  | 7281   | Uncompressed | [Min: 000a7e28, Max: ffe634da, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 30       | 0            |  
| 0            | info        | 1         | [1]         | 7          | VARCHAR      | 50967  | 7281   | Uncompressed | [Min: 000131c7, Max: fffd62b2, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 31       | 0            |  
| 0            | info        | 1         | [1]         | 8          | VARCHAR      | 58248  | 7281   | Uncompressed | [Min: 000060a5, Max: fffe9387, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 32       | 0            |  
| 0            | info        | 1         | [1]         | 9          | VARCHAR      | 65529  | 7281   | Uncompressed | [Min: 00016b5e, Max: ffff2768, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 33       | 0            |  
| 0            | info        | 1         | [1]         | 10         | VARCHAR      | 72810  | 7281   | Uncompressed | [Min: 00014b7f, Max: fff68ccd, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 34       | 0            |  
| 0            | info        | 1         | [1]         | 11         | VARCHAR      | 80091  | 7281   | Uncompressed | [Min: 000095f6, Max: fff422b1, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 35       | 0            |  
| 0            | info        | 1         | [1]         | 12         | VARCHAR      | 87372  | 7281   | Uncompressed | [Min: 000281fb, Max: fffc6ad9, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 36       | 0            |  
| 0            | info        | 1         | [1]         | 13         | VARCHAR      | 94653  | 7281   | Uncompressed | [Min: 00088bc5, Max: fff6bbef, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 37       | 0            |  
| 0            | info        | 1         | [1]         | 14         | VARCHAR      | 101934 | 7281   | Uncompressed | [Min: 000ada84, Max: fffa0632, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 38       | 0            |  
| 0            | info        | 1         | [1]         | 15         | VARCHAR      | 109215 | 7281   | Uncompressed | [Min: 00095cad, Max: fff19734, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 39       | 0            |  
| 0            | info        | 1         | [1]         | 16         | VARCHAR      | 116496 | 6384   | Uncompressed | [Min: 000585b1, Max: ffff1fb4, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 40       | 0            |  
| 0            | info        | 1         | [1, 0]      | 0          | VALIDITY     | 0      | 122880 | Constant     | [Has Null: false, Has No Null: true]                                                                          | false       | true       | -1       | 0            |  
| 0            | crt_time    | 2         | [2]         | 0          | TIMESTAMP    | 0      | 69632  | BitPacking   | [Min: 2022-09-01 08:13:06.752, Max: 2022-09-02 03:33:37.752][Has Null: false, Has No Null: true]              | false       | true       | 41       | 0            |  
| 0            | crt_time    | 2         | [2]         | 1          | TIMESTAMP    | 69632  | 53248  | BitPacking   | [Min: 2022-09-02 03:33:38.752, Max: 2022-09-02 18:21:05.752][Has Null: false, Has No Null: true]              | false       | true       | 42       | 0            |  
| 0            | crt_time    | 2         | [2, 0]      | 0          | VALIDITY     | 0      | 122880 | Constant     | [Has Null: false, Has No Null: true]                                                                          | false       | true       | -1       | 0            |  
| 0            | c1          | 3         | [3]         | 0          | BIGINT       | 0      | 122880 | BitPacking   | [Min: 0, Max: 10000][Has Null: false, Has No Null: true]                                                      | false       | true       | 43       | 0            |  
| 0            | c1          | 3         | [3, 0]      | 0          | VALIDITY     | 0      | 122880 | Constant     | [Has Null: false, Has No Null: true]                                                                          | false       | true       | -1       | 0            |  
| 1            | id          | 0         | [0]         | 0          | BIGINT       | 122880 | 122880 | BitPacking   | [Min: 122881, Max: 245760][Has Null: false, Has No Null: true]                                                | false       | true       | 44       | 0            |  
| 1            | id          | 0         | [0, 0]      | 0          | VALIDITY     | 122880 | 122880 | Constant     | [Has Null: false, Has No Null: true]                                                                          | false       | true       | -1       | 0            |  
| 1            | info        | 1         | [1]         | 0          | VARCHAR      | 122880 | 7281   | Uncompressed | [Min: 00016804, Max: fff198a4, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 45       | 0            |  
| 1            | info        | 1         | [1]         | 1          | VARCHAR      | 130161 | 7281   | Uncompressed | [Min: 00224186, Max: fff4b8f8, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 46       | 0            |  
| 1            | info        | 1         | [1]         | 2          | VARCHAR      | 137442 | 7281   | Uncompressed | [Min: 0015b301, Max: fff3bcfb, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 47       | 0            |  
| 1            | info        | 1         | [1]         | 3          | VARCHAR      | 144723 | 7281   | Uncompressed | [Min: 00025d50, Max: fff048a8, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 48       | 0            |  
| 1            | info        | 1         | [1]         | 4          | VARCHAR      | 152004 | 7281   | Uncompressed | [Min: 00007212, Max: fffb20e8, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 49       | 0            |  
| 1            | info        | 1         | [1]         | 5          | VARCHAR      | 159285 | 7281   | Uncompressed | [Min: 000e68ad, Max: fffd1292, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 50       | 0            |  
| 1            | info        | 1         | [1]         | 6          | VARCHAR      | 166566 | 7281   | Uncompressed | [Min: 000bed9a, Max: fff07db7, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 51       | 0            |  
| 1            | info        | 1         | [1]         | 7          | VARCHAR      | 173847 | 7281   | Uncompressed | [Min: 000443d9, Max: fffded53, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 52       | 0            |  
| 1            | info        | 1         | [1]         | 8          | VARCHAR      | 181128 | 7281   | Uncompressed | [Min: 0003d142, Max: fff933a6, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 53       | 0            |  
| 1            | info        | 1         | [1]         | 9          | VARCHAR      | 188409 | 7281   | Uncompressed | [Min: 0000d61c, Max: fffcc67c, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 54       | 0            |  
| 1            | info        | 1         | [1]         | 10         | VARCHAR      | 195690 | 7281   | Uncompressed | [Min: 0000c6e0, Max: fff805d3, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 55       | 0            |  
| 1            | info        | 1         | [1]         | 11         | VARCHAR      | 202971 | 7281   | Uncompressed | [Min: 0001cca3, Max: fffcf377, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 56       | 0            |  
| 1            | info        | 1         | [1]         | 12         | VARCHAR      | 210252 | 7281   | Uncompressed | [Min: 00028166, Max: ffeaa196, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 57       | 0            |  
| 1            | info        | 1         | [1]         | 13         | VARCHAR      | 217533 | 7281   | Uncompressed | [Min: 000b169f, Max: fffec645, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 58       | 0            |  
| 1            | info        | 1         | [1]         | 14         | VARCHAR      | 224814 | 7281   | Uncompressed | [Min: 0006fb41, Max: fffeeb20, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 59       | 0            |  
| 1            | info        | 1         | [1]         | 15         | VARCHAR      | 232095 | 7281   | Uncompressed | [Min: 00015f39, Max: ffe9d37d, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 60       | 0            |  
| 1            | info        | 1         | [1]         | 16         | VARCHAR      | 239376 | 6384   | Uncompressed | [Min: 00004f57, Max: fff59c6d, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 61       | 0            |  
