 OFP_METER_ADD,"Openflow instance [UINT16] controller [CHAR]:   add meter [STRING], xid 0x[HEX].",$1：实例ID   $2：控制器ID   $3：Meter表项ID   $4：XID,5,"OFP/5/OFP_METER_ADD: Openflow instance 1 controller   0: add meter 1, xid 0x1.",收到修改meter表信息（增加操作）并通过报文检查。即将添加meter表项,无
 HUP事件,[DATE] [TIME] radiusd[UINT32]: [STRING],$1：时间（月   日）   $2：时刻（时:分:秒）   $3：FreeRADIUS进程ID   $4：HUP事件说明，详见表79-1,6,OPENSRC/6/SYSLOG: Jan 1 01:14:04   radiusd[427]: Received HUP sign,接收到HUP信号，重新加载用户配置信息（用户名、用户密码、授权VLAN、授权ACL及用户有效期）用于认证处理；收到此HUP信号间隔小于5秒，忽略,请根据HUP事件的详细说明选择相应的处理方式，详见表79-1
 进程重启,[DATE] [TIME] radiusd[UINT32]: [STRING],$1：日期（月   日）   $2：时间（时:分:秒）   $3：FreeRADIUS进程ID   $4：进程重启事件说明,6,OPENSRC/6/SYSLOG: Jan 1 02:00:02 radiusd[427]:   Signalled to terminate,终结当前进程并重新启动,请根据进程重启事件的详细说明选择相应的处理方式，详见表79-2
 进程启动,[DATE] [TIME] radiusd[UINT32]: [STRING],$1：日期（月   日）   $2：时间（时:分:秒）   $3：FreeRADIUS进程ID   $4：进程启动事件说明,4,OPENSRC/4/SYSLOG: Jan 1 02:00:03   radiusd[460]: [//etc/raddb/mods-config/attr_filter/access_reject]:11 Check   item FreeRADIUS-Response-Delay found in filter list for realm   DEFAULT.,进程启动时，系统加载默认检查项,请根据进程启动的详细说明选择相应的处理方式，详见表79-3
 用户认证,[DATE] [TIME] radiusd[UINT32]: ([UINT32])   [STRING]: [[STRING]] (from client [IPADDR] port [UINT32] cli [MAC]),$1：日期（月   日）   $2：时间（时:分:秒）   $3：FreeRADIUS进程ID   $4：日志编号   $5：认证结果   $6：用户名   $7：RADIUS客户端IP地址   $8：RADIUS客户端端口号   $9：用户MAC地址,5,OPENSRC/5/SYSLOG: Jan 1 02:06:15   radiusd[460]: (0) Login OK: [test] (from client 7.7.7.7 port 33591297 cli   00-00-00-00-00-02),用户认证成功,请根据认证结果的详细说明选择相应的处理方式，详见表79-4
 用户认证,[DATE] [TIME] radiusd[UINT32]: ([UINT32])   Login incorrect (No Auth-Type found: rejecting the user via Post-Auth-Type =   Reject): [[STRING]] (from client [IPADDR] port [UINT32]),$1：日期（月   日）   $2：时间（时:分:秒）   $3：FreeRADIUS进程ID   $4：日志编号   $5：用户名   $6：RADIUS客户端IP地址   $7：RADIUS客户端端口号,5,OPENSRC/5/SYSLOG: Jan 1 02:21:20   radiusd[460]: (16) Login incorrect (No Auth-Type found: rejecting the user   via Post-Auth-Type = Reject): [ddd] (from client 7.7.7.7 port 0),不支持Login类型的用户认证,不需要处理
 用户认证,[DATE] [TIME] radiusd[UINT32]: Ignoring   request to auth address * port 1812 bound to server default from unknown client   [IPADDR] port [UINT32] proto udp,$1：日期（月   日）   $2：时间（时:分:秒）   $3：FreeRADIUS进程ID   $4：RADIUS客户端IP地址   $5：RADIUS客户端端口号,3,OPENSRC/3/SYSLOG: Jan 1 02:31:05   radiusd[548]: Ignoring request to auth address * port 1812 bound to server   default from unknown client 7.7.7.7 port 11969 proto udp,未知的RADIUS客户端IP地址和端口号，不处理认证请求报文,·若是非法客户端，则不需要处理   ·若是新增客户端，则通过radius-server client命令新增对应的RADIUS客户端配置
 BIAS_HIGH,[STRING]: Bias current is high.,$1：端口类型和编号,2,OPTMOD/2/BIAS_HIGH: GigabitEthernet1/0/13:   Bias current is high.,光模块的偏置电流超过上限,1.display   transceive diagnosis interface命令查看当前偏置电流值是否已经超过高告警门限   2.display   transceive alarm interface命令查看当前是否确实有偏置电流值高的告警   3.如果确实超过门限了，模块有问题，更换模块
 BIAS_LOW,[STRING]: Bias current is low.,$1：端口类型和编号,5,OPTMOD/5/BIAS_LOW: GigabitEthernet1/0/13:   Bias current is low.,光模块的偏置电流低于下限,1.display transceive   diagnosis interface命令查看当前偏置电流值是否已经超过低告警门限   2.display   transceive alarm interface命令查看当前是否确实有偏置电流高的告警   3.如果低于低告警门限，模块有问题，更换模块
 BIAS_NORMAL,[STRING]: Bias current is normal.,$1：端口类型和编号,5,OPTMOD/5/BIAS_NORMAL: GigabitEthernet1/0/13:   Bias current is normal.,光模块的偏置电流恢复至正常范围,无
 CFG_ERR,[STRING]: Transceiver type and port   configuration mismatched.,$1：端口类型和编号,3,OPTMOD/3/CFG_ERR: GigabitEthernet1/0/13: Transceiver   type and port configuration mismatched.,光模块类型与端口配置不匹配,检查端口当前配置与光模块类型，如果确实不匹配，则更换匹配模块，或更新配置
