以下是优化后的文本，使其更加清晰、连贯和专业：

---

### 安全漏洞报告列表

| 标题 | 作者 | 受影响公司 | 漏洞类型 | 奖金 | 发布日期 |
| [如何批量上传到每个Flickr账户](https://ret2got.wordpress.com/2017/10/05/how-i-could-have-mass-uploaded-from-every-flickr-account/) | [Jazzy (@ret2got)](https://twitter.com/ret2got) | Yahoo | 暴力破解 | $4,000 | 2017-10-05 |
| [设备授权绕过](https://medium.com/bugbountywriteup/device-authorization-bypass-aa508c9193ed) | [Hassan Khan Yusufzai](https://www.linkedin.com/in/hassankhanyusufzai/) | - | 授权缺陷 | - | 2017-09-25 |
| [过滤器绕过导致finance.yahoo.com（移动版）的反射型XSS](https://medium.com/@saamux/filter-bypass-to-reflected-xss-on-https-finance-yahoo-com-mobile-version-22b854327b27) | [Samuel (@saamux)](https://twitter.com/saamux) | Yahoo | 反射型XSS | - | 2017-09-24 |
| [Yahoo中的900美元XSS（侦察胜利）](https://medium.com/bugbountywriteup/900-xss-in-yahoo-recon-wins-65ee6d4bfcbd) | [Th3G3nt3lman](https://twitter.com/Th3G3nt3lman) | Yahoo | XSS | $900 | 2017-09-24 |
| [如何绕过Practo的防火墙并触发XSS](https://medium.com/bugbountywriteup/how-i-bypassed-practos-firewall-and-triggered-a-xss-b30164a8f1dc) | [Vipin Chaudhary](https://twitter.com/vipinxsec?lang=en) | Practo | XSS | - | 2017-09-23 |
| [IDOR – 在任何账户中执行JavaScript](https://guptashubham.com/idor-execute-javascript-into-anyone-account/) | [Shubham Gupta](https://twitter.com/hackerspider1) | Terapeak | IDOR, 存储型XSS | - | 2017-09-21 |
| [存储型XSS导致完整信息泄露](https://guptashubham.com/stored-xss-to-full-information-disclosure/) | [Shubham Gupta](https://twitter.com/hackerspider1) | Terapeak | 存储型XSS | $750 | 2017-09-21 |
| [Luminate内部权限提升 – 管理员到所有者](https://medium.com/@rojanrijal/luminate-internal-privilege-escalation-admin-to-owner-2ca28e575985) | [Rojan Rijal](https://twitter.com/RojanRijal) | Yahoo | 授权缺陷 | - | 2017-09-21 |
| [关于Hackerone私人项目Terapeak的一切](https://guptashubham.com/all-about-hackerone-private-program-terapeak/) | [Shubham Gupta](https://twitter.com/hackerspider1) | Terapeak | IDOR, 反射型XSS | $0 | 2017-09-20 |
| [这个域名是我的域名 – G Suite A记录漏洞](https://medium.com/@rojanrijal/this-domain-is-my-domain-g-suite-a-record-vulnerability-b447a90a8de7) | [Rojan Rijal](https://twitter.com/RojanRijal) | Google | 域名接管 | - | 2017-09-20 |
| [Oracle EBS中的多个漏洞](https://guptashubham.com/multiple-vulnerabilities-in-oracle-ebs/) | [Shubham Gupta](https://twitter.com/hackerspider1) | - | SQL注入, XXE, XSS | - | 2017-09-19 |
| [首次赏金，是时候提升我的游戏了](https://kciredor.com/first-bounty-time-to-step-up-my-game.html) | [Roderick Schaefer](https://twitter.com/kciredor_) | - | 多种 | - | 2017-09-19 |
| [利用单一请求实现多种漏洞利用](https://www.ansariosama.com/2017/09/exploiting-single-request-for-multiple.html) | [Osama Ansari](https://twitter.com/AnsariOsama10?lang=en) | - | 存储型XSS, 反射型XSS, SSRF, 命令注入 | - | 2017-09-19 |
| [特定参数XSS的故事](http://www.noob.ninja/2017/09/story-of-parameter-specific-xss.html) | [Rahul Maini](https://twitter.com/iamnoooob) | - | XSS | - | 2017-09-19 |
| [将自我XSS与UI伪装链结合导致会话劫持（像老板一样PWN用户）](https://medium.com/bugbountywriteup/chaining-self-xss-with-ui-redressing-is-leading-to-session-hijacking-pwn-users-like-a-boss-efb46249cd14) | [Armaan Pathan](https://twitter.com/armaancrockroax) | - | 自我XSS, Clickjacking | - | 2017-09-18 |
| [存储型XSS并任意安装Cookie](https://medium.com/@arbazhussain/stored-xss-with-arbitrary-cookie-installation-567931433c7f) | [Arbaz Hussain](https://twitter.com/ArbazKiraak) | - | XSS | - | 2017-09-17 |
| [URL白名单绕过 – accounts.google.com – VRP](http://manuel-sousa.blogspot.com/2017/09/url-whitelist-bypass-accounts-google.html) | [Manuel Sousa (@manuelvsousa)](https://twitter.com/manuelvsousa) | Google | 开放重定向 | $0 (重复), HoF | 2017-09-10 |
| [如何通过帮助台入侵数百家公司](https://medium.com/intigriti/how-i-hacked-hundreds-of-companies-through-their-helpdesk-b7680ddc2d4c) | [Inti De Ceukelaire](https://twitter.com/securinti) | Gitlab, Slack, Yammer, Kayako, Zendesk & more | 逻辑缺陷, 票务技巧 | $5,000 | 2017-09-10 |
| [绕过Facebook个人资料图片保护安全](https://hackernoon.com/bypassing-facebook-profile-picture-guard-security-f0676550f089) | [Armaan Pathan](https://twitter.com/armaancrockroax) | Facebook | 授权缺陷 | $0 | 2017-09-09 |
| [利用history.back()进行钓鱼攻击开放重定向](https://medium.com/@0xHyde/exploiting-history-back-3ec789c124dd) | [Brian Hyde](https://twitter.com/@0xHyde) | - | 开放重定向 | - | 2017-09-09 |
| [indeed.com子域上的反射型XSS和开放重定向](https://medium.com/@SyntaxError4/reflective-xss-and-open-redirect-on-indeed-com-subdomain-b4ab40e40c83) | [Syntax Error](https://twitter.com/SYNTAXERRORBA) | Indeed | 反射型XSS, 开放重定向 | - | 2017-09-04 |
| [如何在Yahoo子域中找到反射型XSS](https://medium.com/@SyntaxError4/how-i-found-reflective-xss-in-yahoo-subdomain-3ad4831b386e) | [Syntax Error](https://twitter.com/SYNTAXERRORBA) | Yahoo | 反射型XSS | - | 2017-09-03 |
| [HackerOne黑客评论中的IDOR漏洞](https://medium.com/japzdivino/idor-on-hackerone-hacker-review-what-program-say-885ce3989a6f) | [Japz Divino](https://twitter.com/@japzdivino) | Hackerone | IDOR | $0, Swag | 2017-09-02 |
| [不要只是alert(1)，因为XSS是为了好玩...!!](https://medium.com/@armaanpathan/dont-just-alert-1-because-xss-is-for-fun-f88cfb88d5b9) | [Armaan Pathan](https://twitter.com/armaancrockroax) | Optimizely | XSS | $0 | 2017-09-02 |
| [借助KNOXSS对UBER进行跨站脚本攻击](https://medium.com/@Alra3ees/my-write-up-about-uber-cross-site-scripting-by-help-of-knoxss-b1b56f8d090) | [Emad Shanab](https://twitter.com/Alra3ees) | Uber | 反射型XSS | $500 | 2017-09-02 |
| [窃取OAuth令牌（MITM）](https://medium.com/@arbazhussain/stealing-0auth-token-mitm-3eeab46e96cf) | [Arbaz Hussain](https://twitter.com/ArbazKiraak) | - | OAuth缺陷 | - | 2017-09-01 |
| [Yahoo中的反射型XSS](https://medium.com/@TheShahzada/reflected-xss-in-yahoo-6e2b6b177448) | [Shahzada AL Shahriar Khan](https://twitter.com/TheShahzada) | Yahoo | 反射型XSS | $700 | 2017-08-31 |
| [通过Cookie进行Uber XSS攻击](http://zhchbin.github.io/2017/08/30/Uber-XSS-via-Cookie/) | [Chaobin Zhang](http://zhchbin.github.io/about/) | Uber | XSS | $5,000 | 2017-08-30 |
| [Luminate Store Basics篡改和潜在接管](https://medium.com/@rojanrijal/luminate-store-basics-defacement-and-potential-takeover-3b53d1e45b4f) | [Rojan Rijal](https://twitter.com/RojanRijal) | Yahoo | CSRF, 不当会话管理 | - | 2017-08-30 |
| [Luminate开发者IDOR](https://medium.com/@rojanrijal/developer-luminate-idor-42bd0d98e0c) | [Rojan Rijal](https://twitter.com/RojanRijal) | Yahoo | IDOR | - | 2017-08-30 |
| [Luminate开发者IDOR](https://medium.com/@uranium238/developer-luminate-idor-e8c40b03dd2f) | [Uranium238 (@uraniumhacker)](https://twitter.com/uraniumhacker) | Yahoo | IDOR | - | 2017-08-30 |
| [Luminate Store Basics篡改和潜在接管](https://medium.com/@uranium238/luminate-store-basics-defacement-and-potential-takeover-9cf336fac8e5) | [Uranium238 (@uraniumhacker)](https://twitter.com/uraniumhacker) | Yahoo | CSRF | - | 2017-08-30 |
| [私有项目的文件不当存储](https://medium.com/@arbazhussain/improper-storage-of-protected-projects-files-9ece8e9a4743) | [Arbaz Hussain](https://twitter.com/ArbazKiraak) | - | IDOR | - | 2017-08-30 |
| [通过伪造源IP绕过速率限制保护](https://medium.com/@arbazhussain/bypassing-rate-limit-protection-by-spoofing-originating-ip-ff06adf34157) | [Arbaz Hussain](https://twitter.com/ArbazKiraak) | - | 暴力破解 | - | 2017-08-30 |
| [从LFI升级到RCE通过PHP会话](https://www.rcesecurity.com/2017/08/from-lfi-to-rce-via-php-sessions/) | [Julien Ahrens](https://twitter.com/MrTuxracer) | - | LFI, RCE | - | 2017-08-28 |
| [预域名通配符CORS利用](https://medium.com/bugbountywriteup/pre-domain-wildcard-cors-exploitation-2d6ac1d4bd30) | [Arbaz Hussain](https://twitter.com/ArbazKiraak) | - | CORS缺陷 | $1000 | 2017-08-26 |
| [Facebook故事泄露好友列表](https://philippeharewood.com/facebook-stories-disclose-facebook-friend-list/) | [Philippe Harewood](https://twitter.com/phwd) | Facebook | 逻辑缺陷, 授权缺陷 | - | 2017-08-24 |

---

这样处理后，表格更加整洁，信息更加清晰，便于阅读和理解。
