## 阿里云ApsaraDB RDS for PostgreSQL 最佳实践 - 1 教你做RDS性能测试  
##### [TAG 24](../class/24.md)
### 作者                                                                       
digoal                     
### 日期                       
2015-12-20                       
### 标签                     
PostgreSQL , 阿里云RDS    
----                    
## 背景           
来阿里云之前，做的一些RDS测试。  
几个月过去了，阿里云RDS PG在性能方面做出了大量的代码层优化，感兴趣的童鞋赶紧测试，来PK我之前的测试数据吧。  
测试机申请的RDS都是最低配置的，容量5GB，内存1GB，支持100个连接，IOPS 400。  
先看看配置吧，为了提高性能，有一些参数是可以调整的，如下：  
```  
postgres=> select name,substring(setting,1,10),unit from pg_settings order by category, name;  
                name                 |         substring         | unit   
 vacuum_freeze_table_age             | 150000000                 |   
 vacuum_multixact_freeze_min_age     | 5000000                   |   
 vacuum_multixact_freeze_table_age   | 150000000                 |   
 xmlbinary                           | base64                    |   
 xmloption                           | content                   |   
 bonjour                             | off                       |   
 bonjour_name                        |                           |   
 listen_addresses                    | *                         |   
 max_connections                     | 100                       |   
 port                                | 3009                      |   --  这是数据库的监听端口，和RDS提供的端口不一样，因为RDS用了SLB  
 superuser_reserved_connections      | 10                        |   --  为超级用户保留的连接，阿里云管理RDS用的，超级用户对客户不开放  
 unix_socket_group                   |                           |   
 unix_socket_permissions             | 0777                      |   --  这个权限改为0700更靠谱，交给阿里云来修改。  
 authentication_timeout              | 60                        | s  
 db_user_namespace                   | off                       |   
 krb_caseins_users                   | off                       |   
 password_encryption                 | on                        |   
 ssl                                 | off                       |   --  对于跨广域网的访问，建议阿里云允许SSL连接，交给阿里云来支持。  
 ssl_ca_file                         |                           |   
 ssl_cert_file                       | server.crt                |   
 ssl_crl_file                        |                           |   
 ssl_key_file                        | server.key                |   
 ssl_prefer_server_ciphers           | on                        |   
 ssl_renegotiation_limit             | 524288                    | kB  
 pg_stat_statements.max              | 1000                      |   --  阿里云RDS默认开启了pg_stat_statements  
 pg_stat_statements.save             | on                        |   
 pg_stat_statements.track            | all                       |   
 pg_stat_statements.track_utility    | on                        |   
 allow_system_table_mods             | off                       |   
 debug_assertions                    | off                       |   
 ignore_checksum_failure             | off                       |   
 ignore_system_indexes               | off                       |   
 post_auth_delay                     | 0                         | s  
 pre_auth_delay                      | 0                         | s  
 trace_notify                        | off                       |     
 trace_recovery_messages             | log                       |   
 trace_sort                          | off                       |   
 zero_damaged_pages                  | off                       |     
 exit_on_error                       | off                       |   
 restart_after_crash                 | on                        |   
 deadlock_timeout                    | 1000                      | ms  --  锁时间超过1秒，记录锁等待SQL以及其他状态  
 max_locks_per_transaction           | 64                        |   
 max_pred_locks_per_transaction      | 64                        |   
 block_size                          | 8192                      |     --  建议改为用户可选择的块大小，对于有大批量数据导入的应用建议大块。当然这里还涉及FPW，shared buffer空间利用率。  
 data_checksums                      | on                        |     --  checksums打开，对性能有一定影响，开启了FULL PAGE WRITE一般没有必要开这个。但另一方面体现了阿里云PG的可靠性第一的理念。  
 integer_datetimes                   | on                        |   
 max_function_args                   | 100                       |   
 max_identifier_length               | 63                        |   
 max_index_keys                      | 32                        |   
 segment_size                        | 131072                    | 8kB   -- 单个数据文件最大1GB  
 server_version                      | 9.4.1                     |   
 server_version_num                  | 90401                     |   
 wal_block_size                      | 8192                      |   
 wal_segment_size                    | 2048                      | 8kB  -- 单个WAL文件16MB  
 geqo                                | on                        |   
 geqo_effort                         | 5                         |   
 geqo_generations                    | 0                         |   
 geqo_pool_size                      | 0                         |   
 geqo_seed                           | 0                         |   
 geqo_selection_bias                 | 2                         |   
 geqo_threshold                      | 12                        |   -- 超过12个对象的JOIN会使用遗传优化算法，不用穷举法  
 constraint_exclusion                | partition                 |   
 cursor_tuple_fraction               | 0.1                       |   
 default_statistics_target           | 100                       |   
 from_collapse_limit                 | 8                         |   
 join_collapse_limit                 | 8                         |   
 cpu_index_tuple_cost                | 0.005                     |   -- 成本因子，不知道阿里有没有针对硬件环境调整，看样子是没有调整  
 cpu_operator_cost                   | 0.0025                    |   
 cpu_tuple_cost                      | 0.01                      |   
 effective_cache_size                | 98304                     | 8kB   
 random_page_cost                    | 4                         |     
 seq_page_cost                       | 1                         |   
 enable_bitmapscan                   | on                        |   
 enable_hashagg                      | on                        |   
 enable_hashjoin                     | on                        |   
 enable_indexonlyscan                | on                        |   
 enable_indexscan                    | on                        |   
 enable_material                     | on                        |   
 enable_mergejoin                    | on                        |   
 enable_nestloop                     | on                        |   
 enable_seqscan                      | on                        |   
 enable_sort                         | on                        |   
 enable_tidscan                      | on                        |   
 synchronous_standby_names           |                           |      -- 未开启同步流复制  
 vacuum_defer_cleanup_age            | 0                         |   
 max_replication_slots               | 10                        |   
 max_wal_senders                     | 5                         |   
 wal_keep_segments                   | 80                        |   
 wal_sender_timeout                  | 60000                     | ms  
 hot_standby                         | on                        |      -- 开启了hot_standby，用于HA。  
 hot_standby_feedback                | off                        |   
 max_standby_archive_delay           | 30000                     | ms   -- 如果将来阿里云要开放读写分离，在SLAVE要跑LONG SQL的话，可能要加大这个值  
 max_standby_streaming_delay         | 30000                     | ms   -- 如果将来阿里云要开放读写分离，在SLAVE要跑LONG SQL的话，可能要加大这个值  
 wal_receiver_status_interval        | 10                        | s    -- 建议缩短feedback时延  
 wal_receiver_timeout                | 60000                     | ms    
 application_name                    | psql                      |   
 debug_pretty_print                  | on                        |   
 debug_print_parse                   | off                       |   
 debug_print_plan                    | off                       |   
 debug_print_rewritten               | off                       |   
 log_autovacuum_min_duration         | -1                        | ms  -- 这个值建议改为0，记录所有的垃圾回收操作  
 log_checkpoints                     | off                       |   -- 建议打开  
 log_connections                     | off                       |   -- 建议打开  
 log_disconnections                  | off                       |   -- 建议打开  
 log_duration                        | off                       |   
 log_error_verbosity                 | default                   |   -- 建议改为 verbose, 记录代码位置  
 log_hostname                        | off                       |   
 log_line_prefix                     | \x01                     +|   
                                     |         %p      %r      % |   
 log_lock_waits                      | on                        |   
 log_statement                       | all                       |    --  又一个对性能有影响的参数，审计所有SQL，当然这里代码层有优化的余地，所以性能影响可以做到很小。  
 log_temp_files                      | 100000                    | kB  
 log_timezone                        | UTC                       |   
 client_min_messages                 | notice                    |   
 log_min_duration_statement          | 1000                      | ms  -- 开了log_statement=all, 这个就没有必要了。  
 log_min_error_statement             | error                     |   
 log_min_messages                    | warning                   |   
 event_source                        | PostgreSQL                |   
 log_destination                     | stderr                    |   --  建议使用csvlog，或者加一个remote log。日志统一发到监控平台。  
 log_file_mode                       | 0600                      |   
 logging_collector                   | on                        |   
 log_rotation_age                    | 0                         | min  
 log_rotation_size                   | 10240                     | kB  
 log_truncate_on_rotation            | on                        |   
 syslog_facility                     | local0                    |   
 syslog_ident                        | postgres                  |   
 effective_io_concurrency            | 1                         |   
 max_worker_processes                | 8                         |   
 bgwriter_delay                      | 20                        | ms  
 bgwriter_lru_maxpages               | 100                       |   
 bgwriter_lru_multiplier             | 2                         |   
 vacuum_cost_delay                   | 0                         | ms  -- 如果想降低垃圾回收对IO的影响，可以改为10毫秒，但是垃圾回收的时间会拉长  
 vacuum_cost_limit                   | 200                       |   
 vacuum_cost_page_dirty              | 20                        |   
 vacuum_cost_page_hit                | 1                         |   
 vacuum_cost_page_miss               | 10                        |   
 temp_file_limit                     | -1                        | kB  
 max_files_per_process               | 1000                      |   
 autovacuum_work_mem                 | -1                        | kB  
 dynamic_shared_memory_type          | posix                     |   
 huge_pages                          | try                       |   
 maintenance_work_mem                | 16384                     | kB  
 max_prepared_transactions           | 800                       |      --  允许用户使用分布式事务，一般不建议打开，对于不熟悉的用户，可能导致膨胀，xid wrap等不良后果。除非有使用的必要。  
 max_stack_depth                     | 2048                      | kB  
 shared_buffers                      | 32768                     | 8kB  --  不同规格，会设置不同的shared buffer大小，一般为规格内存的1/4.  
 temp_buffers                        | 1024                      | 8kB  
 track_activity_query_size           | 1024                      |   
 work_mem                            | 4096                      | kB  
 log_executor_stats                  | off                       |   
 log_parser_stats                    | off                       |   
 log_planner_stats                   | off                       |   
 log_statement_stats                 | off                       |   
 track_activities                    | on                        |   
 track_counts                        | on                        |   
 track_functions                     | all                       |  -- 这个也是对性能有影响的，统计所有的函数调用，为了更好的展示性能指标.  
 track_io_timing                     | on                        |  -- 对IO耗时进行统计，相当影响性能  
 update_process_title                | on                        |   
 transform_null_equals               | off                       |   
 array_nulls                         | on                        |   
 backslash_quote                     | safe_encod                |   
 default_with_oids                   | off                       |   
 escape_string_warning               | on                        |   
 lo_compat_privileges                | off                       |   
 quote_all_identifiers               | off                       |   
 sql_inheritance                     | on                        |   
 standard_conforming_strings         | on                        |   
 synchronize_seqscans                | on                        |   
 archive_command                     | cp %p /u02                |   
 archive_mode                        | on                        |   -- 开启了归档，是为了更好的做在线备份  
 archive_timeout                     | 0                         | s  
 checkpoint_completion_target        | 0.9                       |   --  检查点的时间拉这么长，主要是为了减少检查点带来的锯齿，阿里云RDS PG已经改进了检查点的性能影响，代码层。  
