PostgreSQL提供了权限检查函数，对所有对象都适用，如下。  
```  
postgres=# \df *.*privile*  
                                           List of functions  
   Schema   |                Name                | Result data type |    Argument data types     | Type   
 pg_catalog | has_tablespace_privilege           | boolean          | name, oid, text            | func  
 pg_catalog | has_tablespace_privilege           | boolean          | name, text, text           | func  
 pg_catalog | has_tablespace_privilege           | boolean          | oid, oid, text             | func  
 pg_catalog | has_tablespace_privilege           | boolean          | oid, text                  | func  
 pg_catalog | has_tablespace_privilege           | boolean          | oid, text, text            | func  
 pg_catalog | has_tablespace_privilege           | boolean          | text, text                 | func  
 pg_catalog | has_type_privilege                 | boolean          | name, oid, text            | func  
 pg_catalog | has_type_privilege                 | boolean          | name, text, text           | func  
 pg_catalog | has_type_privilege                 | boolean          | oid, oid, text             | func  
 pg_catalog | has_type_privilege                 | boolean          | oid, text                  | func  
 pg_catalog | has_type_privilege                 | boolean          | oid, text, text            | func  
 pg_catalog | has_type_privilege                 | boolean          | text, text                 | func  
(78 rows)  
```  
利用以上函数，扩展到表、SCHEMA、函数、序列、字段等层面，可以做到与本文一样的效果。  
## 参考  
https://www.postgresql.org/docs/11/sql-expressions.html#SYNTAX-AGGREGATES  
https://www.postgresql.org/docs/devel/functions-info.html  
https://www.postgresql.org/docs/current/ddl-priv.html    
#### [PostgreSQL 许愿链接](https://github.com/digoal/blog/issues/76 "269ac3d1c492e938c0191101c7238216")
您的愿望将传达给PG kernel hacker、数据库厂商等, 帮助提高数据库产品质量和功能, 说不定下一个PG版本就有您提出的功能点. 针对非常好的提议，奖励限量版PG文化衫、纪念品、贴纸、PG热门书籍等，奖品丰富，快来许愿。[开不开森](https://github.com/digoal/blog/issues/76 "269ac3d1c492e938c0191101c7238216").  
#### [9.9元购买3个月阿里云RDS PostgreSQL实例](https://www.aliyun.com/database/postgresqlactivity "57258f76c37864c6e6d23383d05714ea")
#### [PostgreSQL 解决方案集合](https://yq.aliyun.com/topic/118 "40cff096e9ed7122c512b35d8561d9c8")
#### [德哥 / digoal's github - 公益是一辈子的事.](https://github.com/digoal/blog/blob/master/README.md "22709685feb7cab07d30f30387f0a9ae")
![digoal's wechat](../pic/digoal_weixin.jpg "f7ad92eeba24523fd47a6e1a0e691b59")
#### [PolarDB 学习图谱: 训练营、培训认证、在线互动实验、解决方案、生态合作、写心得拿奖品](https://www.aliyun.com/database/openpolardb/activity "8642f60e04ed0c814bf9cb9677976bd4")
#### [购买PolarDB云服务折扣活动进行中, 55元起](https://www.aliyun.com/activity/new/polardb-yunparter?userCode=bsb3t4al "e0495c413bedacabb75ff1e880be465a")
#### [About 德哥](https://github.com/digoal/blog/blob/master/me/readme.md "a37735981e7704886ffd590565582dd0")
