# G0007: APT28
## Description
APT28, also known as [APT28](https://attack.mitre.org/groups/G0007), is a threat group that has been attributed to the Main Intelligence Directorate (GRU) of the Russian General Staff. This attribution was made in a July 2018 U.S. Department of Justice indictment. The group is reported to have compromised the Hillary Clinton campaign, the Democratic National Committee (DNC), and the Democratic Congressional Campaign Committee (DCCC) in 2016, with the intent of interfering with the U.S. presidential election. APT28 has been active since at least 2004.

**References:**
- [DOJ GRU Indictment Jul 2018](https://attack.mitre.org/groups/G0007)
- [Ars Technica GRU Indictment Jul 2018](https://attack.mitre.org/groups/G0007)
- [Crowdstrike DNC June 2016](https://attack.mitre.org/groups/G0007)
- [FireEye APT28](https://attack.mitre.org/groups/G0007)
- [SecureWorks TG-4127](https://attack.mitre.org/groups/G0007)
- [FireEye APT28 January 2017](https://attack.mitre.org/groups/G0007)
- [GRIZZLY STEPPE JAR](https://attack.mitre.org/groups/G0007)
- [Sofacy DealersChoice](https://attack.mitre.org/groups/G0007)
- [Palo Alto Sofacy 06-2018](https://attack.mitre.org/groups/G0007)
- [Symantec APT28 Oct 2018](https://attack.mitre.org/groups/G0007)
- [ESET Zebrocy May 2019](https://attack.mitre.org/groups/G0007)

## Tactics, Techniques, and Procedures (TTPs)
| Platform | Tactic | Technique | Description | Data Sources |
| Linux, Windows, macOS, AWS, GCP, Azure, SaaS | Initial Access | Trusted Relationship | Once APT28 gained access to the DCCC network, the group used that access to compromise the DNC network. | Azure activity logs, Stackdriver logs, AWS CloudTrail logs, Application logs, Authentication logs, Third-party application logs |
| Windows | Execution | PowerShell | APT28 downloads and executes PowerShell scripts. | PowerShell logs, Loaded DLLs, DLL monitoring, Windows Registry, File monitoring, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | Defense Evasion, Persistence | Hidden Files and Directories | APT28 has saved files with hidden file attributes. | File monitoring, Process monitoring, Process command-line parameters |
| Linux, Windows, macOS | Defense Evasion | Exploitation for Defense Evasion | APT28 has used CVE-2015-4902 to bypass security features. | Windows Error Reporting, Process monitoring, File monitoring |
| Linux, macOS, Windows, GCP, AWS, Azure | Collection | Data from Local System | APT28 has retrieved internal documents from machines inside victim environments, including by using Forfiles to stage documents. | File monitoring, Process monitoring, Process command-line parameters |
| Windows | Defense Evasion | Deobfuscate/Decode Files or Information | An APT28 macro uses the `certutil -decode` command to decode contents of a .txt file storing the base64 encoded payload. | File monitoring, Process monitoring, Process command-line parameters |
| Windows, macOS, Linux | Initial Access | Spearphishing Attachment | APT28 sent spearphishing emails containing malicious Microsoft Office attachments. | File monitoring, Packet capture, Network intrusion detection system, Detonation chamber, Email gateway, Mail server |
| Linux, Windows, macOS, SaaS, AWS, GCP, Azure | Collection | Data from Information Repositories | APT28 has collected information from Microsoft SharePoint services within target networks. | Azure activity logs, AWS CloudTrail logs, Stackdriver logs, OAuth audit logs, Application logs, Authentication logs, Data loss prevention, Third-party application logs |
| macOS, Windows | Lateral Movement, Persistence | Logon Scripts | An APT28 loader Trojan adds the Registry key `HKCU\Environment\UserInitMprLogonScript` to establish persistence. | File monitoring, Process monitoring |
| Linux, Windows, macOS | Execution | User Execution | APT28 attempted to get users to click on Microsoft Office attachments containing malicious macro scripts. | Anti-virus, Process command-line parameters, Process monitoring |

This table provides a detailed overview of the tactics, techniques, and procedures (TTPs) employed by APT28, along with the relevant data sources for detecting and mitigating these activities.
