    Warning	C4267	'return': conversion from 'size_t' to 'uint32_t', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\autograd\function.h	217	
    Warning	C4275	non dll-interface class 'torch::optim::Optimizer' used as base for dll-interface class 'torch::optim::Adam'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\optim\adam.h	31	
    Warning	C4251	'torch::optim::Adam::step_buffers': class 'std::vector>' needs to have dll-interface to be used by clients of class 'torch::optim::Adam'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\optim\adam.h	45	
    Warning	C4251	'torch::optim::Adam::exp_average_buffers': class 'std::vector>' needs to have dll-interface to be used by clients of class 'torch::optim::Adam'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\optim\adam.h	46	
    Warning	C4251	'torch::optim::Adam::exp_average_sq_buffers': class 'std::vector>' needs to have dll-interface to be used by clients of class 'torch::optim::Adam'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\optim\adam.h	47	
    Warning	C4251	'torch::optim::Adam::max_exp_average_sq_buffers': class 'std::vector>' needs to have dll-interface to be used by clients of class 'torch::optim::Adam'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\optim\adam.h	48	
    Warning	C4305	'initializing': truncation from 'double' to 'float'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\optim\lbfgs.h	22	
    Warning	C4305	'initializing': truncation from 'double' to 'float'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\optim\lbfgs.h	23	
    Warning	C4275	non dll-interface class 'torch::optim::LossClosureOptimizer' used as base for dll-interface class 'torch::optim::LBFGS'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\optim\lbfgs.h	27	
    Warning	C4251	'torch::optim::LBFGS::ro': class 'std::vector>' needs to have dll-interface to be used by clients of class 'torch::optim::LBFGS'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\optim\lbfgs.h	48	
    Warning	C4251	'torch::optim::LBFGS::al': class 'std::vector>' needs to have dll-interface to be used by clients of class 'torch::optim::LBFGS'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\optim\lbfgs.h	49	
    Warning	C4251	'torch::optim::LBFGS::old_dirs': class 'std::deque>' needs to have dll-interface to be used by clients of class 'torch::optim::LBFGS'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\optim\lbfgs.h	50	
    Warning	C4251	'torch::optim::LBFGS::old_stps': class 'std::deque>' needs to have dll-interface to be used by clients of class 'torch::optim::LBFGS'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\optim\lbfgs.h	51	
    Warning	C4275	non dll-interface class 'torch::optim::Optimizer' used as base for dll-interface class 'torch::optim::RMSprop'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\optim\rmsprop.h	34	
    Warning	C4251	'torch::optim::RMSprop::square_average_buffers': class 'std::vector>' needs to have dll-interface to be used by clients of class 'torch::optim::RMSprop'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\optim\rmsprop.h	50	
    Warning	C4251	'torch::optim::RMSprop::momentum_buffers': class 'std::vector>' needs to have dll-interface to be used by clients of class 'torch::optim::RMSprop'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\optim\rmsprop.h	51	
    Warning	C4251	'torch::optim::RMSprop::grad_average_buffers': class 'std::vector>' needs to have dll-interface to be used by clients of class 'torch::optim::RMSprop'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\optim\rmsprop.h	52	
    Warning	C4275	non dll-interface class 'torch::optim::Optimizer' used as base for dll-interface class 'torch::optim::SGD'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\optim\sgd.h	31	
    Warning	C4251	'torch::optim::SGD::momentum_buffers': class 'std::vector>' needs to have dll-interface to be used by clients of class 'torch::optim::SGD'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\optim\sgd.h	46	
    Warning	C4244	'argument': conversion from '_Ty' to 'T', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\optional.h	430	
    Warning	C4018	'>': signed/unsigned mismatch	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\half.h	451	
    Warning	C4244	'argument': conversion from 'From' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\half.h	400	
    Warning	C4244	'argument': conversion from '_Ty' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\half.h	416	
    Warning	C4244	'argument': conversion from 'From' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\half.h	400	
    Warning	C4244	'argument': conversion from 'From' to 'const std::complex::_Ty', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\half.h	400	
    Warning	C4244	'argument': conversion from 'From' to 'const std::complex::_Ty', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\half.h	400	
    Warning	C4244	'argument': conversion from 'From' to 'const std::complex::_Ty', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\half.h	400	
    Error	LNK2019	unresolved external symbol "__declspec(dllimport) public: __cdecl c10::Error::Error(struct c10::SourceLocation,class std::basic_string,class std::allocator > const &)" (__imp_??0Error@c10@@QEAA@USourceLocation@1@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z) referenced in function "public: class at::Tensor __cdecl c10::KernelFunction::callUnboxedOnly,struct c10::TensorOptions const &>(class c10::ArrayRef,struct c10::TensorOptions const &)const " (??$callUnboxedOnly@VTensor@at@@V?$ArrayRef@_J@c10@@AEBUTensorOptions@4@@KernelFunction@c10@@QEBA?AVTensor@at@@V?$ArrayRef@_J@1@AEBUTensorOptions@1@@Z)	LibTorch-1.4-example	C:\Users\XX\Documents\Visual Studio Proj\LibTorch-1.4-example\LibTorch-1.4-example\Source.obj	1	
    Error	LNK2019	unresolved external symbol "__declspec(dllimport) protected: virtual __cdecl c10::intrusive_ptr_target::~intrusive_ptr_target(void)" (__imp_??1intrusive_ptr_target@c10@@MEAA@XZ) referenced in function "int `public: __cdecl c10::ivalue::Future::Future(class std::shared_ptr)'::`1'::dtor$1" (?dtor$1@?0???0Future@ivalue@c10@@QEAA@V?$shared_ptr@UType@c10@@@std@@@Z@4HA)	LibTorch-1.4-example	C:\Users\XX\Documents\Visual Studio Proj\LibTorch-1.4-example\LibTorch-1.4-example\Source.obj	1	
    Error	LNK2019	unresolved external symbol "__declspec(dllimport) protected: __cdecl c10::intrusive_ptr_target::intrusive_ptr_target(void)" (__imp_??0intrusive_ptr_target@c10@@IEAA@XZ) referenced in function "public: __cdecl c10::ivalue::Future::Future(class std::shared_ptr)" (??0Future@ivalue@c10@@QEAA@V?$shared_ptr@UType@c10@@@std@@@Z)	LibTorch-1.4-example	C:\Users\XX\Documents\Visual Studio Proj\LibTorch-1.4-example\LibTorch-1.4-example\Source.obj	1	
    Error	LNK2019	unresolved external symbol "__declspec(dllimport) protected: __cdecl c10::intrusive_ptr_target::intrusive_ptr_target(class c10::intrusive_ptr_target &&)" (__imp_??0intrusive_ptr_target@c10@@IEAA@$$QEAV01@@Z) referenced in function "public: __cdecl c10::ivalue::Object::Object(struct c10::ivalue::Object &&)" (??0Object@ivalue@c10@@QEAA@$$QEAU012@@Z)	LibTorch-1.4-example	C:\Users\XX\Documents\Visual Studio Proj\LibTorch-1.4-example\LibTorch-1.4-example\Source.obj	1	
    Error	LNK2019	unresolved external symbol "__declspec(dllimport) protected: class c10::intrusive_ptr_target & __cdecl c10::intrusive_ptr_target::operator=(class c10::intrusive_ptr_target &&)" (__imp_??4intrusive_ptr_target@c10@@IEAAAEAV01@$$QEAV01@@Z) referenced in function "public: struct c10::ivalue::Object & __cdecl c10::ivalue::Object::operator=(struct c10::ivalue::Object &&)" (??4Object@ivalue@c10@@QEAAAEAU012@$$QEAU012@@Z)	LibTorch-1.4-example	C:\Users\XX\Documents\Visual Studio Proj\LibTorch-1.4-example\LibTorch-1.4-example\Source.obj	1	
