以下是优化后的文本，使其更加清晰、连贯和专业：

---

### 事件日志记录

**时间范围：2023年12月10日 11:01:46 - 11:02:30**

**目标服务器：LabSZ**

**攻击源IP地址：183.62.140.253**

#### 认证失败事件

| 序号 | 时间 (UTC)      | 事件描述                                                         | 事件代码 |
| 21   | 2023-12-10 11:01:59 | PAM 认证失败：root 用户从 183.62.140.253 登录 SSH                  | E20      |
| 22   | 2023-12-10 11:02:01 | root 用户从 183.62.140.253:34346 SSH2 登录尝试失败               | E9       |
| 23   | 2023-12-10 11:02:01 | 收到来自 183.62.140.253 的断开连接请求：11: Bye Bye [preauth]     | E24      |
| 24   | 2023-12-10 11:02:01 | PAM 认证失败：root 用户从 183.62.140.253 登录 SSH                  | E20      |
| 25   | 2023-12-10 11:02:03 | root 用户从 183.62.140.253:34695 SSH2 登录尝试失败               | E9       |
| 26   | 2023-12-10 11:02:03 | 收到来自 183.62.140.253 的断开连接请求：11: Bye Bye [preauth]     | E24      |
| 27   | 2023-12-10 11:02:03 | PAM 认证失败：root 用户从 183.62.140.253 登录 SSH                  | E20      |
| 28   | 2023-12-10 11:02:05 | root 用户从 183.62.140.253:35113 SSH2 登录尝试失败               | E9       |
| 29   | 2023-12-10 11:02:05 | 收到来自 183.62.140.253 的断开连接请求：11: Bye Bye [preauth]     | E24      |
| 30   | 2023-12-10 11:02:05 | PAM 认证失败：root 用户从 183.62.140.253 登录 SSH                  | E20      |
| 31   | 2023-12-10 11:02:07 | root 用户从 183.62.140.253:35404 SSH2 登录尝试失败               | E9       |
| 32   | 2023-12-10 11:02:07 | 收到来自 183.62.140.253 的断开连接请求：11: Bye Bye [preauth]     | E24      |
| 33   | 2023-12-10 11:02:07 | PAM 认证失败：root 用户从 183.62.140.253 登录 SSH                  | E20      |
| 34   | 2023-12-10 11:02:09 | root 用户从 183.62.140.253:35876 SSH2 登录尝试失败               | E9       |
| 35   | 2023-12-10 11:02:09 | 收到来自 183.62.140.253 的断开连接请求：11: Bye Bye [preauth]     | E24      |
| 36   | 2023-12-10 11:02:09 | PAM 认证失败：root 用户从 183.62.140.253 登录 SSH                  | E20      |
| 37   | 2023-12-10 11:02:11 | root 用户从 183.62.140.253:36235 SSH2 登录尝试失败               | E9       |
| 38   | 2023-12-10 11:02:11 | 收到来自 183.62.140.253 的断开连接请求：11: Bye Bye [preauth]     | E24      |
| 39   | 2023-12-10 11:02:11 | PAM 认证失败：root 用户从 183.62.140.253 登录 SSH                  | E20      |
| 40   | 2023-12-10 11:02:13 | root 用户从 183.62.140.253:36634 SSH2 登录尝试失败               | E9       |
| 41   | 2023-12-10 11:02:13 | 收到来自 183.62.140.253 的断开连接请求：11: Bye Bye [preauth]     | E24      |
| 42   | 2023-12-10 11:02:13 | PAM 认证失败：root 用户从 183.62.140.253 登录 SSH                  | E20      |
| 43   | 2023-12-10 11:02:15 | root 用户从 183.62.140.253:37047 SSH2 登录尝试失败               | E9       |
| 44   | 2023-12-10 11:02:15 | 收到来自 183.62.140.253 的断开连接请求：11: Bye Bye [preauth]     | E24      |
| 45   | 2023-12-10 11:02:15 | PAM 认证失败：root 用户从 183.62.140.253 登录 SSH                  | E20      |
| 46   | 2023-12-10 11:02:17 | root 用户从 183.62.140.253:37437 SSH2 登录尝试失败               | E9       |
| 47   | 2023-12-10 11:02:17 | 收到来自 183.62.140.253 的断开连接请求：11: Bye Bye [preauth]     | E24      |
| 48   | 2023-12-10 11:02:17 | PAM 认证失败：root 用户从 183.62.140.253 登录 SSH                  | E20      |
| 49   | 2023-12-10 11:02:19 | root 用户从 183.62.140.253:37760 SSH2 登录尝试失败               | E9       |
| 50   | 2023-12-10 11:02:19 | 收到来自 183.62.140.253 的断开连接请求：11: Bye Bye [preauth]     | E24      |
| 51   | 2023-12-10 11:02:19 | PAM 认证失败：root 用户从 183.62.140.253 登录 SSH                  | E20      |
| 52   | 2023-12-10 11:02:21 | root 用户从 183.62.140.253:38133 SSH2 登录尝试失败               | E9       |
| 53   | 2023-12-10 11:02:21 | 收到来自 183.62.140.253 的断开连接请求：11: Bye Bye [preauth]     | E24      |
| 54   | 2023-12-10 11:02:21 | PAM 认证失败：root 用户从 183.62.140.253 登录 SSH                  | E20      |
| 55   | 2023-12-10 11:02:23 | root 用户从 183.62.140.253:38485 SSH2 登录尝试失败               | E9       |
| 56   | 2023-12-10 11:02:23 | 收到来自 183.62.140.253 的断开连接请求：11: Bye Bye [preauth]     | E24      |
| 57   | 2023-12-10 11:02:23 | PAM 认证失败：root 用户从 183.62.140.253 登录 SSH                  | E20      |
| 58   | 2023-12-10 11:02:25 | root 用户从 183.62.140.253:38850 SSH2 登录尝试失败               | E9       |
| 59   | 2023-12-10 11:02:25 | 收到来自 183.62.140.253 的断开连接请求：11: Bye Bye [preauth]     | E24      |
| 60   | 2023-12-10 11:02:25 | PAM 认证失败：root 用户从 183.62.140.253 登录 SSH                  | E20      |
| 61   | 2023-12-10 11:02:28 | root 用户从 183.62.140.253:39278 SSH2 登录尝试失败               | E9       |
| 62   | 2023-12-10 11:02:28 | 收到来自 183.62.140.253 的断开连接请求：11: Bye Bye [preauth]     | E24      |
| 63   | 2023-12-10 11:02:28 | PAM 认证失败：root 用户从 183.62.140.253 登录 SSH                  | E20      |
| 64   | 2023-12-10 11:02:30 | root 用户从 183.62.140.253:39710 SSH2 登录尝试失败               | E9       |
| 65   | 2023-12-10 11:02:30 | 收到来自 183.62.140.253 的断开连接请求：11: Bye Bye [preauth]     | E24      |

### 总结
在上述时间段内，服务器 LabSZ 多次收到来自 IP 地址 183.62.140.253 的 SSH 登录尝试。所有这些登录尝试均以失败告终，并且每次失败后都收到了一个断开连接的请求。建议进一步调查该 IP 地址的来源，并采取必要的安全措施防止未来的攻击。

---

这样可以更清晰地展示事件的时间线和具体内容，同时提供了总结和建议。
