E190,instruction plb 
E265,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. THE 2.5 VOLT RAIL IS NOT OK. THE 1.5 VOLT RAIL IS NOT OK.
E266,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.
E267,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD is OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK
E268,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD is OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.
E269,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.
E270,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD is OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK
E271,Node card VPD check:  node in processor card slot  do not match. VPD ecid  found 
E272,"Node card VPD check: missing  node, VPD ecid  in processor card slot "
E273,NodeCard is not fully functional
E274,NodeCard temperature sensor chip  is not accessible
E275,NodeCard VPD chip is not accessible
E276,NodeCard VPD is corrupt
E277,number of correctable errors detected in L3 
E278,number of lines with parity errors written to L3 
E279,overflow exception.......................0
E280,parity error in bank 
E281,parity error in read queue 
E282,parity error in write buffer...................0
E283,parity error.......0
E284,plus 
E285,Power deactivated: 
E286,Power Good signal deactivated:  A service action may be required.
E287,power module status fault detected on node card. status registers are: 
E288,prefetch depth for core 
E289,prefetch depth for PLB slave.............1
E290,PrepareForService is being done on this      by 
E291,PrepareForService is being done on this Midplane    by 
E292,PrepareForService is being done on this part      by 
E293,PrepareForService is being done on this rack  by 
E294,PrepareForService shutting down  as part of Service Action 
E295,"Problem communicating with link card iDo machine with LP of  caught java.lang.IllegalStateException: while executing I2C Operation caught java.lang.RuntimeException: Communication error: (DirectIDo for com.ibm.ido.DirectIDo object  with image version 13 and card type 1] is in state = COMMUNICATION_ERROR, sequenceNumberIsOk = false, ExpectedSequenceNumber = 845, Reply Sequence Number = -1, timedOut = true, retries = 200, timeout = 1000, Expected Op Command = 2, Actual Op Reply = -1, Expected Sync Command = 32, Actual Sync Reply = -1)"
E296,"Problem communicating with node card, iDo machine with LP of  caught java.lang.IllegalStateException: while executing  Operation caught java.lang.RuntimeException: Communication error: (DirectIDo for com.ibm.ido.DirectIDo object  with image version 13 and card type 4] is in state = COMMUNICATION_ERROR, sequenceNumberIsOk = false, ExpectedSequenceNumber = 0, Reply Sequence Number = -1, timedOut = true, retries = 200, timeout = 1000, Expected Op Command = 2, Actual Op Reply = -1, Expected Sync Command = 8, Actual Sync Reply = -1)"
E297,"Problem communicating with service card, ido chip:  java.io.IOException: Could not find EthernetSwitch on port:address "
E298,"Problem communicating with service card, ido chip:  java.lang.IllegalStateException: IDo is not in functional state -- currently in state COMMUNICATION_ERROR"
E299,"Problem communicating with service card, ido chip:  java.lang.IllegalStateException: while executing CONTROL Operation caught java.lang.RuntimeException: Communication error: (DirectIDo for com.ibm.ido.DirectIDo object  with image version 9 and card type 2] is in state = COMMUNICATION_ERROR, sequenceNumberIsOk = false, ExpectedSequenceNumber =  Reply Sequence Number =  timedOut = true, retries = 200, timeout = 1000, Expected Op Command = 2, Actual Op Reply =  Expected Sync Command = 8, Actual Sync Reply = "
E300,"Problem reading the ethernet arl entries fro the service card: java.lang.IllegalStateException: while executing I2C Operation caught java.lang.RuntimeException: Communication error: (DirectIDo for com.ibm.ido.DirectIDo object  with image version 9 and card type 2] is in state = COMMUNICATION_ERROR, sequenceNumberIsOk = false, ExpectedSequenceNumber =  Reply Sequence Number =  timedOut = true, retries = 200, timeout = 1000, Expected Op Command = 2, Actual Op Reply =  Expected Sync Command = 32, Actual Sync Reply = "
E301,problem state 
E302,program interrupt
E303,program interrupt: fp compare...............0
E304,program interrupt: fp cr 
E305,program interrupt: illegal 
E306,program interrupt: imprecise exception......0
E307,program interrupt: privileged instruction...0
E308,program interrupt: trap 
E309,program interrupt: unimplemented operation..0
E310,quiet NaN................................0
E311,qw trapped............0
E312,r= r= r= r=
E313,regctl scancom interface.........................0
E314,reserved.................................0
E315,round nearest............................0
E316,round toward 
E317,rts assertion failed: `personality->version == BGLPERSONALITY_VERSION' in `void start()' at start.cc:131
E318,"rts assertion failed: `vaddr % PAGE_SIZE_1M == 0' in `int initializeAppMemory(int, TLBEntry&, unsigned int, unsigned int)' at mmu.cc:540"
E319,rts: bad message header: cpu  invalid        
E320,rts: bad message header: expecting type  instead of type         
E321,rts: bad message header: index 0 greater than total 0        
E322,rts: bad message header: packet index  greater than max 366        
E323,rts internal error
E324,rts: kernel terminated for reason 
E325,"rts: kernel terminated for reason 1001rts: bad message header: invalid cpu,    "
E326,"rts: kernel terminated for reason 1002rts: bad message header: too many packets,     "
E327,rts: kernel terminated for reason 1004rts: bad message header: expecting type     
E328,rts panic! - stopping execution
E329,rts tree/torus link training failed: wanted:  got: 
E330,Running as background command
E331,  Status(A)
E332,shutdown complete
E333,size of DDR we are caching...............1 (512M)
E334,size of scratchpad portion of L3.........0 (0M)
E335,Special Purpose Registers:
E336,special purpose registers:
E337,start 
E338,Starting SystemController
E339,state machine....................................0
E340,state register: machine state register: machine state register: machine state register: machine state register: machine state re
E341,store 
E342,summary...........................1
E343,suppressing further interrupts of same type
E344,symbol................
E345,Target= Message=
E346,"  All all zeros, power good may be low"
E347,  failed to lock
E348,  JtagId = 
E349,  JtagId =  Run environmental monitor to diagnose possible hardware failure.
E350,Temperature Over Limit on link card
E351,this link card is not fully functional
E352,tlb 
E353,Torus non-recoverable error DCRs follow.
E354,total of  ddr error(s) detected and corrected
E355,total of  ddr error(s) detected and corrected over  seconds
E356,turn on hidden refreshes.................1
E357,uncorrectable 
E358,uncorrectable error detected in  
E359,uncorrectable error detected in EDRAM bank 
E360,underflow 
E361,VALIDATE_LOAD_IMAGE_CRC_IN_DRAM
E362,wait state enable.................0
E363,While initializing link card iDo machine with LP of  caught java.io.IOException: Could not contact iDo with  and  because java.lang.RuntimeException: Communication error: 
E364,"While initializing node card, ido with LP of  caught java.lang.IllegalStateException: IDo is not in functional state -- currently in state COMMUNICATION_ERROR"
E365,"While initializing node card, ido with LP of  caught java.lang.IllegalStateException: while executing CONTROL Operation caught java.lang.RuntimeException: Communication error: "
E366,"While initializing node card, ido with LP of  caught java.lang.NullPointerException"
E367,"While initializing node card, ido with LP of  caught java.lang.IllegalStateException: while executing I2C Operation caught java.lang.RuntimeException: Communication error: "
E368,"While initializing  card iDo with LP of  caught java.io.IOException: Could not contact iDo with LP= and IP=/ because java.lang.RuntimeException: Communication error: (DirectIDo for Uninitialized DirectIDo for  is in state = COMMUNICATION_ERROR, sequenceNumberIsOk = false, ExpectedSequenceNumber = 0, Reply Sequence Number = -1, timedOut = true, retries = 200, timeout = 1000, Expected Op Command = 5, Actual Op Reply = -1, Expected Sync Command = 10, Actual Sync Reply = -1)"
E369,While inserting monitor info into DB caught java.lang.NullPointerException
E370,While reading FanModule caught java.lang.IllegalStateException: while executing I2C Operation caught 
E371,While reading FanModule caught java.lang.IllegalStateException: while executing I2C Operation caught java.net.SocketException: Broken pipe
E372,While setting fan speed caught java.lang.IllegalStateException: while executing I2C Operation caught 
E373,write buffer commit threshold............2
E374,DDR failing data registers:  
E375,program interrupt: fp cr field .............0
E376,rts tree/torus link training failed: wanted:         got:       
E377,"rts: kernel terminated for reason 1002rts: bad message header: too many packets,    "
