400139 在PLC中删除DB39，并重新启动。
400151 在PLC中删除DB51，并重新启动。
说明： 基本程序所产生的DB与当前的DB尺寸不同。
反应： 报警显示。
排除方法： 必须通过STEP7删除所显示的DB。可能会超出用户程序最大的尺寸。
程序继续： 内部的
400152 在PLC中删除DB52，并重新启动。
说明： 基本程序所产生的DB与当前的DB尺寸不同。
反应： 报警显示。
排除方法： 必须通过STEP7删除所显示的DB。可能会超出用户程序最大的尺寸。
程序继续： 内部的
400153 在PLC中删除DB53，并重新启动。
说明： 基本程序所产生的DB与当前的DB尺寸不同。
反应： 报警显示。
排除方法： 必须通过STEP7删除所显示的DB。可能会超出用户程序最大的尺寸。
程序继续： 内部的
400154 在PLC中删除DB54，并重新启动。
说明： 基本程序所产生的DB与当前的DB尺寸不同。
反应： 报警显示。
排除方法： 必须通过STEP7删除所显示的DB。可能会超出用户程序最大的尺寸。
程序继续： 内部的
400155 在PLC中删除DB55，并重新启动。
说明： 基本程序所产生的DB与当前的DB尺寸不同。
反应： 报警显示。
排除方法： 必须通过STEP7删除所显示的DB。可能会超出用户程序最大的尺寸。
程序继续： 内部的
400156 在PLC中删除DB56，并重新启动。
说明： 基本程序所产生的DB与当前的DB尺寸不同。
反应： 报警显示。
排除方法： 必须通过STEP7删除所显示的DB。可能会超出用户程序最大的尺寸。
程序继续： 内部的
400157 在PLC中删除DB57，并重新启动。
说明： 基本程序所产生的DB与当前的DB尺寸不同。
反应： 报警显示。
排除方法： 必须通过STEP7删除所显示的DB。可能会超出用户程序最大的尺寸。
程序继续： 内部的
400158 在PLC中删除DB58，并重新启动。
说明： 基本程序所产生的DB与当前的DB尺寸不同。
反应： 报警显示。
排除方法： 必须通过STEP7删除所显示的DB。可能会超出用户程序最大的尺寸。
程序继续： 内部的
报警
1328 诊断手册, 01/2022, 6FC5398-6BP40-6RA6
PLC 报警
400159 在PLC中删除DB59，并重新启动。
说明： 基本程序所产生的DB与当前的DB尺寸不同。
反应： 报警显示。
排除方法： 必须通过STEP7删除所显示的DB。可能会超出用户程序最大的尺寸。
程序继续： 内部的
400160 在PLC中删除DB60，并重新启动。
说明： 基本程序所产生的DB与当前的DB尺寸不同。
反应： 报警显示。
排除方法： 必须通过STEP7删除所显示的DB。可能会超出用户程序最大的尺寸。
程序继续： 内部的
400161 在PLC中删除DB61，并重新启动。
说明： 基本程序所产生的DB与当前的DB尺寸不同。
反应： 报警显示。
排除方法： 必须通过STEP7删除所显示的DB。可能会超出用户程序最大的尺寸。
程序继续： 内部的
400171 删除PLC中的DB 71并重新启动
说明： 基本程序所产生的DB与当前的DB尺寸不同。
反应： 报警显示。
排除方法： 必须通过STEP7删除所显示的DB。可能会超出用户程序最大的尺寸。
程序继续： 内部的
400172 .删除PLC中的DB 72并重新启动
说明： --
反应： 报警显示。
排除方法： 参看机床生产商提供的信息。
程序继续： 内部的
400173 删除PLC中的DB 73并重新启动
说明： 基本程序所产生的DB与当前的DB尺寸不同。
反应： 报警显示。
排除方法： 必须通过STEP7删除所显示的DB。可能会超出用户程序最大的尺寸。
程序继续： 内部的
400174 删除PLC中的DB 74并重新启动
说明： 基本程序所产生的DB与当前的DB尺寸不同。
反应： 报警显示。
排除方法： 必须通过STEP7删除所显示的DB。可能会超出用户程序最大的尺寸。
程序继续： 内部的
400176 在PLC中删除DB76，并重新启动。
说明： 基本程序所产生的DB与当前的DB尺寸不同。
反应： 报警显示。
排除方法： 必须通过STEP7删除所显示的DB。可能会超出用户程序最大的尺寸。
程序继续： 内部的
报警
诊断手册, 01/2022, 6FC5398-6BP40-6RA6 1329
PLC 报警
400177 在PLC中删除DB77，并重新启动。
说明： 基本程序所产生的DB与当前的DB尺寸不同。
反应： 报警显示。
排除方法： 必须通过STEP7删除所显示的DB。可能会超出用户程序最大的尺寸。
程序继续： 内部的
400201 由于DB上载PLC-STOP处于RUN状态：DB%Z
参数： %Z = 数据块
说明： 在RUN状态下补充上载一个存在的DB。
反应： 报警显示。
排除方法： 需要重新启动。
程序继续： 关闭/打开系统。
400202 存取错误
说明： 不能存取数据.
反应： 报警显示。
排除方法： 系统故障。请就故障文本咨询西门子股份公司SINUMERIK热线。
程序继续： 关闭/打开系统。
400203 DB存取故障: DB%Z
参数： %Z = 数据块
说明： 数据模块不存在或已写保护或者过小。
反应： 报警显示。
排除方法： 通过STEP7必须重新装载显示的DB或者必须去掉DB的写保护。要求重启。
程序继续： 关闭/打开系统。
400204 需要重新启动
说明： 初始程序创建的DB和当前DB的大小不同。
反应： 报警显示。
排除方法： 在下一次启动时会删除该DB，并由初始程序重新创建。
程序继续： 关闭/打开系统。
400250 NCK 运行信息监控
说明： 在循环运行时NCK没有与PLC联系。FB1参数NCCyclTimeout的定时器已经结束，没有重新触发。
反应： 报警显示。
排除方法： NCK重新启动
程序继续： 内部的
400251 NCK 未被启动
说明： NCK没有与PLC通讯。
反应： 报警显示。
排除方法： 提高用于设置NCK启动超时NCRunupTimeout的FB1参数值。
程序继续： 内部的
400252 在内部到NCK的通讯中出现错误。
说明： 在PLC和NCK之间进行数据传送时出现一个错误（仅FM-NC）。
反应： 报警显示。
排除方法： NCK重新启动
报警
1330 诊断手册, 01/2022, 6FC5398-6BP40-6RA6
PLC 报警
程序继续： 内部的
400253 由于SPL系统错误PLC停止。
说明： NCK和PLC之间的通讯中断之后，调节SPL数据的交叉核对，PLC被利用5秒的延迟时间切换到停止状态。
反应： 报警显示。
排除方法： 不要重新启动SPL。 检查系统组成部分( PLC的正确版本必须是FB15和DB18)。
程序继续： 关闭/打开系统。
400254 建立和校验出错：%1
参数： %1 = 代码单元或表格中的记录
说明： 和安全相关的代码或数据出现校验和错误。PLC中的安全监控功能(Safety Integrated)可能失灵。
反应： 报警显示。
排除方法： 断开/接通控制系统（上电）。如果再次出现该故障，请联系维修部门。
程序继续： 关闭/打开系统。
400255 NCK2生命符号监控
说明： 在循环运行时NCK2没有与PLC联系。FB1参数NCCyclTimeout的定时器已经结束，没有重新触发。（仅FM-NC）。
反应： 报警显示。
排除方法： NCK重新启动
程序继续： 内部的
400256 NCK2 未被启动
说明： NCK2没有起动。NCK没有与PLC联系。FB1参数NCRunupTimeout的定时器已经结束。(仅FM-NC)
反应： 报警显示。
排除方法： NCK清零并重新启动
程序继续： 内部的
400257 在内部到NCK2的通讯中出现错误。
说明： 在PLC和NCK之间进行数据传送时出现一个错误（仅FM-NC）。
反应： 报警显示。
排除方法： NCK重新启动
程序继续： 内部的
