### FortiOS 6.2.5 Log Reference

#### Log Messages

The following log messages and their corresponding fields are used in the FortiOS 6.2.5 system for email filtering and security events. Each log message includes a unique identifier, a description, and a list of fields with their data types and lengths.

---

**Message ID: 20501 - LOGID_ANTISPAM_EMAIL_YAHOO_NOTIF**

- **Message Description:** Yahoo! Email Message
- **Type:** Email
- **Category:** YAHOO-MAIL
- **Severity:** Information

| Field Name | Description | Data Type | Length |
| action | Security action of the email filter | string | 8 |
| agent | User agent (e.g., "Mozilla/5.0") | string | 64 |
| attachment | Flag for email attachment | string | 3 |
| authserver | Authentication server | string | 32 |
| banword | Banned word | string | 128 |
| cc | Email address(es) from the Email Headers (IMAP/POP3/SMTP) | string | 4096 |
| date | Date | string | 10 |
| devid | Device ID | string | 16 |
| direction | Direction of packets | string | 8 |
| dstintf | Destination Interface | string | 64 |
| dstintfrole | Role of destination interface | string | 10 |
| dstip | Destination IP | ip | 39 |
| dstport | Destination Port | uint16 | 5 |
| eventtime | Event time | uint64 | 20 |
| eventtype | Email Filter event type | string | 32 |
| fctuid | FortiClient UID | string | 32 |
| fortiguardresp | FortiGuard response | string | 512 |
| from | Email address(es) from the Email Headers (IMAP/POP3/SMTP) | string | 128 |
| group | User group name | string | 64 |
| level | Log Level | string | 11 |
| logid | Log ID | string | 10 |
| msg | Log Message | string | 512 |
| policyid | Policy ID | uint32 | 10 |
| profile | Email Filter profile name | string | 64 |
| proto | Protocol number | uint8 | 3 |
| recipient | Email addresses from the SMTP envelope | string | 512 |
| sender | Email addresses from the SMTP envelope | string | 128 |
| service | Service name | string | 36 |
| sessionid | Session ID | uint32 | 10 |
| size | Email size in Bytes | string | 16 |
| srcdomain | Source domain | string | 255 |
| srcintf | Source Interface | string | 64 |
| srcintfrole | Role of source interface | string | 10 |
| srcip | Source IP | ip | 39 |
| srcport | Source Port | uint16 | 5 |
| subject | Subject title of the email message | string | 256 |
| subtype | Log subtype | string | 20 |
| time | Time | string | 8 |
| to | Email address(es) from the Email Headers (IMAP/POP3/SMTP) | string | 512 |
| type | Log type | string | 16 |
| tz | Time zone | string | 5 |
| unauthuser | Unauthorized user | string | 66 |
| unauthusersource | Source of unauthorized user | string | 66 |
| user | Username | string | 256 |
| vd | Virtual domain name | string | 32 |
| vrf | VRF | uint8 | 3 |

---

**Message ID: 20504 - LOGID_EMAIL_POP3_GENERAL_NOTIF**

- **Message Description:** POP3 Warning
- **Type:** Email
- **Category:** POP3
- **Severity:** Information

| Field Name | Description | Data Type | Length |
|------------|-------------|-----------|--------|
| action | Security action of the email filter | string | 8 |
| agent | User agent (e.g., "Mozilla/5.0") | string | 64 |
| attachment | Flag for email attachment | string | 3 |
| authserver | Authentication server | string | 32 |
| banword | Banned word | string | 128 |
| cc | Email address(es) from the Email Headers (IMAP/POP3/SMTP) | string | 4096 |
| date | Date | string | 10 |
| devid | Device ID | string | 16 |
| direction | Direction of packets | string | 8 |
| dstintf | Destination Interface | string | 64 |
| dstintfrole | Role of destination interface | string | 10 |
| dstip | Destination IP | ip | 39 |
| dstport | Destination Port | uint16 | 5 |
| eventtime | Event time | uint64 | 20 |
| eventtype | Email Filter event type | string | 32 |
| fctuid | FortiClient UID | string | 32 |
| fortiguardresp | FortiGuard response | string | 512 |
| from | Email address(es) from the Email Headers (IMAP/POP3/SMTP) | string | 128 |
| group | User group name | string | 64 |
| level | Log Level | string | 11 |
| logid | Log ID | string | 10 |
| msg | Log Message | string | 512 |
| policyid | Policy ID | uint32 | 10 |
| profile | Email Filter profile name | string | 64 |
| proto | Protocol number | uint8 | 3 |
| recipient | Email addresses from the SMTP envelope | string | 512 |
| sender | Email addresses from the SMTP envelope | string | 128 |
| service | Service name | string | 36 |
| sessionid | Session ID | uint32 | 10 |
| size | Email size in Bytes | string | 16 |
| srcdomain | Source domain | string | 255 |
| srcintf | Source Interface | string | 64 |
| srcintfrole | Role of source interface | string | 10 |
| srcip | Source IP | ip | 39 |
| srcport | Source Port | uint16 | 5 |
| subject | Subject title of the email message | string | 256 |
| subtype | Log subtype | string | 20 |
| time | Time | string | 8 |
| to | Email address(es) from the Email Headers (IMAP/POP3/SMTP) | string | 512 |
| type | Log type | string | 16 |
| tz | Time zone | string | 5 |
| unauthuser | Unauthorized user | string | 66 |
| unauthusersource | Source of unauthorized user | string | 66 |
| user | Username | string | 256 |
| vd | Virtual domain name | string | 32 |
| vrf | VRF | uint8 | 3 |

---

**Message ID: 20505 - LOGID_EMAIL_IMAP_GENERAL_NOTIF**

- **Message Description:** IMAP Notice
- **Type:** Email
- **Category:** IMAP
- **Severity:** Information

| Field Name | Description | Data Type | Length |
|------------|-------------|-----------|--------|
| action | Security action of the email filter | string | 8 |
| agent | User agent (e.g., "Mozilla/5.0") | string | 64 |
| attachment | Flag for email attachment | string | 3 |
| authserver | Authentication server | string | 32 |
| banword | Banned word | string | 128 |
| cc | Email address(es) from the Email Headers (IMAP/POP3/SMTP) | string | 4096 |
| date | Date | string | 10 |
| devid | Device ID | string | 16 |
| direction | Direction of packets | string | 8 |
| dstintf | Destination Interface | string | 64 |
| dstintfrole | Role of destination interface | string | 10 |
| dstip | Destination IP | ip | 39 |
| dstport | Destination Port | uint16 | 5 |
| eventtime | Event time | uint64 | 20 |
| eventtype | Email Filter event type | string | 32 |
| fctuid | FortiClient UID | string | 32 |
| fortiguardresp | FortiGuard response | string | 512 |
| from | Email address(es) from the Email Headers (IMAP/POP3/SMTP) | string | 128 |
| group | User group name | string | 64 |
| level | Log Level | string | 11 |
| logid | Log ID | string | 10 |
| msg | Log Message | string | 512 |
| policyid | Policy ID | uint32 | 10 |
| profile | Email Filter profile name | string | 64 |
| proto | Protocol number | uint8 | 3 |
| recipient | Email addresses from the SMTP envelope | string | 512 |
| sender | Email addresses from the SMTP envelope | string | 128 |
| service | Service name | string | 36 |
| sessionid | Session ID | uint32 | 10 |
| size | Email size in Bytes | string | 16 |
| srcdomain | Source domain | string | 255 |
| srcintf | Source Interface | string | 64 |
| srcintfrole | Role of source interface | string | 10 |
| srcip | Source IP | ip | 39 |
| srcport | Source Port | uint16 | 5 |
| subject | Subject title of the email message | string | 256 |
| subtype | Log subtype | string | 20 |
| time | Time | string | 8 |
| to | Email address(es) from the Email Headers (IMAP/POP3/SMTP) | string | 512 |
| type | Log type | string | 16 |
| tz | Time zone | string | 5 |
| unauthuser | Unauthorized user | string | 66 |
| unauthusersource | Source of unauthorized user | string | 66 |
| user | Username | string | 256 |
| vd | Virtual domain name | string | 32 |
| vrf | VRF | uint8 | 3 |

---

**Message ID: 20506 - LOGID_EMAIL_MAPI_GENERAL_NOTIF**

- **Message Description:** MAPI Notice
- **Type:** Email
- **Category:** MAPI
- **Severity:** Information

| Field Name | Description | Data Type | Length |
|------------|-------------|-----------|--------|
| action | Security action of the email filter | string | 8 |
| agent | User agent (e.g., "Mozilla/5.0") | string | 64 |
| attachment | Flag for email attachment | string | 3 |
| authserver | Authentication server | string | 32 |
| banword | Banned word | string | 128 |
| cc | Email address(es) from the Email Headers (IMAP/POP3/SMTP) | string | 4096 |
| date | Date | string | 10 |
| devid | Device ID | string | 16 |
| direction | Direction of packets | string | 8 |
| dstintf | Destination Interface | string | 64 |
| dstintfrole | Role of destination interface | string | 10 |
| dstip | Destination IP | ip | 39 |
| dstport | Destination Port | uint16 | 5 |
| eventtime | Event time | uint64 | 20 |
| eventtype | Email Filter event type | string | 32 |
| fctuid | FortiClient UID | string | 32 |
| fortiguardresp | FortiGuard response | string | 512 |
| from | Email address(es) from the Email Headers (IMAP/POP3/SMTP) | string | 128 |
| group | User group name | string | 64 |
| level | Log Level | string | 11 |
| logid | Log ID | string | 10 |
| msg | Log Message | string | 512 |
| policyid | Policy ID | uint32 | 10 |
| profile | Email Filter profile name | string | 64 |
| proto | Protocol number | uint8 | 3 |
| recipient | Email addresses from the SMTP envelope | string | 512 |
| sender | Email addresses from the SMTP envelope | string | 128 |
| service | Service name | string | 36 |
| sessionid | Session ID | uint32 | 10 |
| size | Email size in Bytes | string | 16 |
| srcdomain | Source domain | string | 255 |
| srcintf | Source Interface | string | 64 |
| srcintfrole | Role of source interface | string | 10 |
| srcip | Source IP | ip | 39 |
| srcport | Source Port | uint16 | 5 |
| subject | Subject title of the email message | string | 256 |
| subtype | Log subtype | string | 20 |
| time | Time | string | 8 |
| to | Email address(es) from the Email Headers (IMAP/POP3/SMTP) | string | 512 |
| type | Log type | string | 16 |
| tz | Time zone | string | 5 |
| unauthuser | Unauthorized user | string | 66 |
| unauthusersource | Source of unauthorized user | string | 66 |
| user | Username | string | 256 |
| vd | Virtual domain name | string | 32 |
| vrf | VRF | uint8 | 3 |

---

**Message ID: 20507 - LOGID_ANTISPAM_EMAIL_MAPI_BWORD_NOTIF**

- **Message Description:** MAPI Banned Word Notice
- **Type:** Email
- **Category:** MAPI
- **Severity:** Notice

| Field Name | Description | Data Type | Length |
|------------|-------------|-----------|--------|
| action | Security action of the email filter | string | 8 |
| agent | User agent (e.g., "Mozilla/5.0") | string | 64 |
| attachment | Flag for email attachment | string | 3 |
| authserver | Authentication server | string | 32 |
| banword | Banned word | string | 128 |
| cc | Email address(es) from the Email Headers (IMAP/POP3/SMTP) | string | 4096 |
| date | Date | string | 10 |
| devid | Device ID | string | 16 |
| direction | Direction of packets | string | 8 |
| dstintf | Destination Interface | string | 64 |
| dstintfrole | Role of destination interface | string | 10 |
| dstip | Destination IP | ip | 39 |
| dstport | Destination Port | uint16 | 5 |
| eventtime | Event time | uint64 | 20 |
| eventtype | Email Filter event type | string | 32 |
| fctuid | FortiClient UID | string | 32 |
| fortiguardresp | FortiGuard response | string | 512 |
| from | Email address(es) from the Email Headers (IMAP/POP3/SMTP) | string | 128 |
| group | User group name | string | 64 |
| level | Log Level | string | 11 |
| logid | Log ID | string | 10 |
| msg | Log Message | string | 512 |
| policyid | Policy ID | uint32 | 10 |
| profile | Email Filter profile name | string | 64 |
| proto | Protocol number | uint8 | 3 |
| recipient | Email addresses from the SMTP envelope | string | 512 |
| sender | Email addresses from the SMTP envelope | string | 128 |
| service | Service name | string | 36 |
| sessionid | Session ID | uint32 | 10 |
| size | Email size in Bytes | string | 16 |
| srcdomain | Source domain | string | 255 |
| srcintf | Source Interface | string | 64 |
| srcintfrole | Role of source interface | string | 10 |
| srcip | Source IP | ip | 39 |
| srcport | Source Port | uint16 | 5 |
| subject | Subject title of the email message | string | 256 |
| subtype | Log subtype | string | 20 |
| time | Time | string | 8 |
| to | Email address(es) from the Email Headers (IMAP/POP3/SMTP) | string | 512 |
| type | Log type | string | 16 |
| tz | Time zone | string | 5 |
| unauthuser | Unauthorized user | string | 66 |
| unauthusersource | Source of unauthorized user | string | 66 |
| user | Username | string | 256 |
| vd | Virtual domain name | string | 32 |
| vrf | VRF | uint8 | 3 |

---

**Message ID: 20508 - LOGID_ANTISPAM_EMAIL_MAPI_NOTIF**

- **Message Description:** MAPI Email Message
- **Type:** Email
- **Category:** MAPI
- **Severity:** Notice

| Field Name | Description | Data Type | Length |
|------------|-------------|-----------|--------|
| action | Security action of the email filter | string | 8 |
| agent | User agent (e.g., "Mozilla/5.0") | string | 64 |
| attachment | Flag for email attachment | string | 3 |
| authserver | Authentication server | string | 32 |
| banword | Banned word | string | 128 |
| cc | Email address(es) from the Email Headers (IMAP/POP3/SMTP) | string | 4096 |
| date | Date | string | 10 |
| devid | Device ID | string | 16 |
| direction | Direction of packets | string | 8 |
| dstintf | Destination Interface | string | 64 |
| dstintfrole | Role of destination interface | string | 10 |
| dstip | Destination IP | ip | 39 |
| dstport | Destination Port | uint16 | 5 |
| eventtime | Event time | uint64 | 20 |
| eventtype | Email Filter event type | string | 32 |
| fctuid | FortiClient UID | string | 32 |
| fortiguardresp | FortiGuard response | string | 512 |
| from | Email address(es) from the Email Headers (IMAP/POP3/SMTP) | string | 128 |
| group | User group name | string | 64 |
| level | Log Level | string | 11 |
| logid | Log ID | string | 10 |
| msg | Log Message | string | 512 |
| policyid | Policy ID | uint32 | 10 |
| profile | Email Filter profile name | string | 64 |
| proto | Protocol number | uint8 | 3 |
| recipient | Email addresses from the SMTP envelope | string | 512 |
| sender | Email addresses from the SMTP envelope | string | 128 |
| service | Service name | string | 36 |
| sessionid | Session ID | uint32 | 10 |
| size | Email size in Bytes | string | 16 |
| srcdomain | Source domain | string | 255 |
| srcintf | Source Interface | string | 64 |
| srcintfrole | Role of source interface | string | 10 |
| srcip | Source IP | ip | 39 |
| srcport | Source Port | uint16 | 5 |
| subject | Subject title of the email message | string | 256 |
| subtype | Log subtype | string | 20 |
| time | Time | string | 8 |
| to | Email address(es) from the Email Headers (IMAP/POP3/SMTP) | string | 512 |
| type | Log type | string | 16 |
| tz | Time zone | string | 5 |
| unauthuser | Unauthorized user | string | 66 |
| unauthusersource | Source of unauthorized user | string | 66 |
| user | Username | string | 256 |
| vd | Virtual domain name | string | 32 |
| vrf | VRF | uint8 | 3 |

---

This document provides a clear and organized reference for the log messages and their corresponding fields in the FortiOS 6.2.5 system. Each log message is detailed with its unique identifier, description, category, severity, and a table of fields with their data types and lengths.
