    Warning	C4244	'argument': conversion from 'int64_t' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\c10\util\bfloat16-inl.h	195	
    Warning	C4251	'c10::ivalue::Tuple::elements_': class 'std::vector>' needs to have dll-interface to be used by clients of struct 'c10::ivalue::Tuple'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\ivalue_inl.h	138	
    Warning	C4251	'c10::ivalue::Tuple::type_': class 'std::shared_ptr' needs to have dll-interface to be used by clients of struct 'c10::ivalue::Tuple'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\ivalue_inl.h	139	
    Warning	C4275	non dll-interface class 'std::exception' used as base for dll-interface struct 'c10::ivalue::Future::FutureError'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\ivalue_inl.h	200	
    Warning	C4251	'c10::ivalue::Future::FutureError::error_msg': class 'std::basic_string,std::allocator>' needs to have dll-interface to be used by clients of struct 'c10::ivalue::Future::FutureError'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\ivalue_inl.h	210	
    Warning	C4251	'c10::ivalue::Future::mutex_': class 'std::mutex' needs to have dll-interface to be used by clients of struct 'c10::ivalue::Future'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\ivalue_inl.h	301	
    Warning	C4251	'c10::ivalue::Future::completed_': struct 'std::atomic' needs to have dll-interface to be used by clients of struct 'c10::ivalue::Future'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\ivalue_inl.h	302	
    Warning	C4251	'c10::ivalue::Future::finished_cv_': class 'std::condition_variable' needs to have dll-interface to be used by clients of struct 'c10::ivalue::Future'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\ivalue_inl.h	303	
    Warning	C4251	'c10::ivalue::Future::type_': class 'std::shared_ptr' needs to have dll-interface to be used by clients of struct 'c10::ivalue::Future'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\ivalue_inl.h	306	
    Warning	C4251	'c10::ivalue::Future::callbacks': class 'std::vector,std::allocator>' needs to have dll-interface to be used by clients of struct 'c10::ivalue::Future'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\ivalue_inl.h	307	
    Warning	C4251	'c10::ivalue::Object::type_': struct 'c10::StrongTypePtr' needs to have dll-interface to be used by clients of struct 'c10::ivalue::Object'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\ivalue_inl.h	389	
    Warning	C4251	'c10::ivalue::Object::slots_': class 'std::vector>' needs to have dll-interface to be used by clients of struct 'c10::ivalue::Object'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\ivalue_inl.h	390	
    Warning	C4244	'return': conversion from 'double' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\aten\core\ivalue_inl.h	429	
