| 1            | info        | 1         | [1, 0]      | 0          | VALIDITY     | 122880 | 122880 | Constant     | [Has Null: false, Has No Null: true]                                                                          | false       | true       | -1       | 0            |  
| 2            | info        | 1         | [1]         | 9          | VARCHAR      | 311289 | 7281   | Uncompressed | [Min: 000346e7, Max: fff7dad6, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 75       | 0            |  
| 2            | info        | 1         | [1]         | 10         | VARCHAR      | 318570 | 7281   | Uncompressed | [Min: 0003e3fe, Max: fffbcac7, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 76       | 0            |  
| 2            | info        | 1         | [1]         | 11         | VARCHAR      | 325851 | 7281   | Uncompressed | [Min: 00016b62, Max: fffa076c, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 77       | 0            |  
| 2            | info        | 1         | [1]         | 12         | VARCHAR      | 333132 | 7281   | Uncompressed | [Min: 00018e7e, Max: ffff934a, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 78       | 0            |  
| 2            | info        | 1         | [1]         | 13         | VARCHAR      | 340413 | 7281   | Uncompressed | [Min: 0000468d, Max: fffb353b, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 79       | 0            |  
| 2            | info        | 1         | [1]         | 14         | VARCHAR      | 347694 | 7281   | Uncompressed | [Min: 000c9373, Max: fffe3cae, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 80       | 0            |  
| 2            | info        | 1         | [1]         | 15         | VARCHAR      | 354975 | 7281   | Uncompressed | [Min: 00101db4, Max: fff6638c, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 81       | 0            |  
| 2            | info        | 1         | [1]         | 16         | VARCHAR      | 362256 | 6384   | Uncompressed | [Min: 000b6199, Max: fff9e75b, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 82       | 0            |  
| 2            | info        | 1         | [1, 0]      | 0          | VALIDITY     | 245760 | 122880 | Constant     | [Has Null: false, Has No Null: true]                                                                          | false       | true       | -1       | 0            |  
| 2            | crt_time    | 2         | [2]         | 0          | TIMESTAMP    | 245760 | 69632  | BitPacking   | [Min: 2022-09-04 04:29:06.752, Max: 2022-09-04 23:49:37.752][Has Null: false, Has No Null: true]              | false       | true       | 83       | 0            |  
| 2            | crt_time    | 2         | [2]         | 1          | TIMESTAMP    | 315392 | 53248  | BitPacking   | [Min: 2022-09-04 23:49:38.752, Max: 2022-09-05 14:37:05.752][Has Null: false, Has No Null: true]              | false       | true       | 84       | 0            |  
| 2            | crt_time    | 2         | [2, 0]      | 0          | VALIDITY     | 245760 | 122880 | Constant     | [Has Null: false, Has No Null: true]                                                                          | false       | true       | -1       | 0            |  
| 2            | c1          | 3         | [3]         | 0          | BIGINT       | 245760 | 122880 | BitPacking   | [Min: 0, Max: 10000][Has Null: false, Has No Null: true]                                                      | false       | true       | 85       | 0            |  
| 2            | c1          | 3         | [3, 0]      | 0          | VALIDITY     | 245760 | 122880 | Constant     | [Has Null: false, Has No Null: true]                                                                          | false       | true       | -1       | 0            |  
| 3            | id          | 0         | [0]         | 0          | BIGINT       | 368640 | 122880 | BitPacking   | [Min: 368641, Max: 491520][Has Null: false, Has No Null: true]                                                | false       | true       | 86       | 0            |  
| 3            | id          | 0         | [0, 0]      | 0          | VALIDITY     | 368640 | 122880 | Constant     | [Has Null: false, Has No Null: true]                                                                          | false       | true       | -1       | 0            |  
| 3            | info        | 1         | [1]         | 0          | VARCHAR      | 368640 | 7281   | Uncompressed | [Min: 0002c79b, Max: fff078cf, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 87       | 0            |  
| 3            | info        | 1         | [1]         | 1          | VARCHAR      | 375921 | 7281   | Uncompressed | [Min: 0006cd46, Max: ffff5e63, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 88       | 0            |  
| 3            | info        | 1         | [1]         | 2          | VARCHAR      | 383202 | 7281   | Uncompressed | [Min: 00057d3b, Max: fff77fcd, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 89       | 0            |  
| 3            | info        | 1         | [1]         | 3          | VARCHAR      | 390483 | 7281   | Uncompressed | [Min: 00037ee9, Max: fffd67d0, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 90       | 0            |  
| 3            | info        | 1         | [1]         | 4          | VARCHAR      | 397764 | 7281   | Uncompressed | [Min: 000c73c9, Max: fffb79f4, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 91       | 0            |  
| 3            | info        | 1         | [1]         | 5          | VARCHAR      | 405045 | 7281   | Uncompressed | [Min: 00022ca4, Max: ffffa77b, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 92       | 0            |  
| 3            | info        | 1         | [1]         | 6          | VARCHAR      | 412326 | 7281   | Uncompressed | [Min: 00039f7a, Max: fff815ab, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 93       | 0            |  
| 3            | info        | 1         | [1]         | 7          | VARCHAR      | 419607 | 7281   | Uncompressed | [Min: 00064f38, Max: fff9e383, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 94       | 0            |  
| 3            | info        | 1         | [1]         | 8          | VARCHAR      | 426888 | 7281   | Uncompressed | [Min: 000071b8, Max: fffeeb76, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 95       | 0            |  
| 3            | info        | 1         | [1]         | 9          | VARCHAR      | 434169 | 7281   | Uncompressed | [Min: 000180f5, Max: ffe75afd, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 96       | 0            |  
| 3            | info        | 1         | [1]         | 10         | VARCHAR      | 441450 | 7281   | Uncompressed | [Min: 00074258, Max: fff05fe3, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 97       | 0            |  
| 3            | info        | 1         | [1]         | 11         | VARCHAR      | 448731 | 7281   | Uncompressed | [Min: 000418ac, Max: ffe4f16e, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 98       | 0            |  
| 3            | info        | 1         | [1]         | 12         | VARCHAR      | 456012 | 7281   | Uncompressed | [Min: 000aaed4, Max: fffaa847, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 99       | 0            |  
| 3            | info        | 1         | [1]         | 13         | VARCHAR      | 463293 | 7281   | Uncompressed | [Min: 00159386, Max: fffe4ed6, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 100      | 0            |  
| 3            | info        | 1         | [1]         | 14         | VARCHAR      | 470574 | 7281   | Uncompressed | [Min: 0008840d, Max: fff14db3, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 101      | 0            |  
| 3            | info        | 1         | [1]         | 15         | VARCHAR      | 477855 | 7281   | Uncompressed | [Min: 00369020, Max: fffe545b, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 102      | 0            |  
| 3            | info        | 1         | [1]         | 16         | VARCHAR      | 485136 | 6384   | Uncompressed | [Min: 0002b099, Max: fff3e3d7, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 103      | 0            |  
| 3            | info        | 1         | [1, 0]      | 0          | VALIDITY     | 368640 | 122880 | Constant     | [Has Null: false, Has No Null: true]                                                                          | false       | true       | -1       | 0            |  
| 3            | crt_time    | 2         | [2]         | 0          | TIMESTAMP    | 368640 | 69632  | BitPacking   | [Min: 2022-09-05 14:37:06.752, Max: 2022-09-06 09:57:37.752][Has Null: false, Has No Null: true]              | false       | true       | 104      | 0            |  
| 3            | crt_time    | 2         | [2]         | 1          | TIMESTAMP    | 438272 | 53248  | BitPacking   | [Min: 2022-09-06 09:57:38.752, Max: 2022-09-07 00:45:05.752][Has Null: false, Has No Null: true]              | false       | true       | 105      | 0            |  
| 3            | crt_time    | 2         | [2, 0]      | 0          | VALIDITY     | 368640 | 122880 | Constant     | [Has Null: false, Has No Null: true]                                                                          | false       | true       | -1       | 0            |  
| 3            | c1          | 3         | [3]         | 0          | BIGINT       | 368640 | 122880 | BitPacking   | [Min: 0, Max: 10000][Has Null: false, Has No Null: true]                                                      | false       | true       | 106      | 0            |  
| 3            | c1          | 3         | [3, 0]      | 0          | VALIDITY     | 368640 | 122880 | Constant     | [Has Null: false, Has No Null: true]                                                                          | false       | true       | -1       | 0            |  
| 4            | id          | 0         | [0]         | 0          | BIGINT       | 491520 | 122880 | BitPacking   | [Min: 491521, Max: 614400][Has Null: false, Has No Null: true]                                                | false       | true       | 107      | 0            |  
| 4            | id          | 0         | [0, 0]      | 0          | VALIDITY     | 491520 | 122880 | Constant     | [Has Null: false, Has No Null: true]                                                                          | false       | true       | -1       | 0            |  
| 4            | info        | 1         | [1]         | 0          | VARCHAR      | 491520 | 7281   | Uncompressed | [Min: 000136e2, Max: ffeeab30, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 108      | 0            |  
| 4            | info        | 1         | [1]         | 1          | VARCHAR      | 498801 | 7281   | Uncompressed | [Min: 0024a92f, Max: fff4ed8e, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 109      | 0            |  
| 4            | info        | 1         | [1]         | 2          | VARCHAR      | 506082 | 7281   | Uncompressed | [Min: 001050d3, Max: fffb74b9, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 110      | 0            |  
| 4            | info        | 1         | [1]         | 3          | VARCHAR      | 513363 | 7281   | Uncompressed | [Min: 00008123, Max: fff8e454, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 111      | 0            |  
| 4            | info        | 1         | [1]         | 4          | VARCHAR      | 520644 | 7281   | Uncompressed | [Min: 00088f05, Max: fff03360, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 112      | 0            |  
| 4            | info        | 1         | [1]         | 5          | VARCHAR      | 527925 | 7281   | Uncompressed | [Min: 0009a07a, Max: fff8e733, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 113      | 0            |  
| 4            | info        | 1         | [1]         | 6          | VARCHAR      | 535206 | 7281   | Uncompressed | [Min: 0007dc66, Max: fff5dff2, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 114      | 0            |  
| 4            | info        | 1         | [1]         | 7          | VARCHAR      | 542487 | 7281   | Uncompressed | [Min: 0008c2fd, Max: fff5590e, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 115      | 0            |  
| 4            | info        | 1         | [1]         | 8          | VARCHAR      | 549768 | 7281   | Uncompressed | [Min: 0003692c, Max: ffeeebc6, Has Unicode: false, Max String Length: 32][Has Null: false, Has No Null: true] | false       | true       | 116      | 0            |  
