           0x102ffd000 -        0x10338dfff +com.github.AtomFramework (0)  /Applications/Atom.app/Contents/Frameworks/Atom Framework.framework/Versions/A/Atom Framework
           0x103738000 -        0x10374dff7 +com.github.Squirrel (1.0 - 1)  /Applications/Atom.app/Contents/Frameworks/Squirrel.framework/Versions/A/Squirrel
           0x10376c000 -        0x1037cfff7 +org.reactivecocoa.ReactiveCocoa (1.0 - 1)  /Applications/Atom.app/Contents/Frameworks/ReactiveCocoa.framework/Versions/A/ReactiveCocoa
           0x10384a000 -        0x10385efff +org.mantle.Mantle (1.0 - ???)  /Applications/Atom.app/Contents/Frameworks/Mantle.framework/Versions/A/Mantle
           0x10387a000 -        0x107322fbf +libchromiumcontent.dylib (0)  /Applications/Atom.app/Contents/Frameworks/Atom Framework.framework/Versions/A/Libraries/libchromiumcontent.dylib
        0x7fff820ba000 -     0x7fff8210bfff  com.apple.audio.CoreAudio (4.3.0 - 4.3.0)  /System/Library/Frameworks/CoreAudio.framework/Versions/A/CoreAudio
        0x7fff8214d000 -     0x7fff82172fff  libPng.dylib (1237)  /System/Library/Frameworks/ImageIO.framework/Versions/A/Resources/libPng.dylib
        0x7fff82173000 -     0x7fff82177fff  libpam.2.dylib (20)  /usr/lib/libpam.2.dylib
        0x7fff821dc000 -     0x7fff823e9ff3  com.apple.CFNetwork (720.3.13 - 720.3.13)  /System/Library/Frameworks/CFNetwork.framework/Versions/A/CFNetwork
        0x7fff824df000 -     0x7fff824e8fff  libsystem_pthread.dylib (105.10.1)  /usr/lib/system/libsystem_pthread.dylib
        0x7fff825ce000 -     0x7fff825e4ff7  libsystem_asl.dylib (267)  /usr/lib/system/libsystem_asl.dylib
        0x7fff82bd6000 -     0x7fff82c06fff  libsystem_m.dylib (3086.1)  /usr/lib/system/libsystem_m.dylib
        0x7fff82c96000 -     0x7fff82c9dfff  com.apple.network.statistics.framework (1.2 - 1)  /System/Library/PrivateFrameworks/NetworkStatistics.framework/Versions/A/NetworkStatistics
        0x7fff83527000 -     0x7fff8352bfff  libcache.dylib (69)  /usr/lib/system/libcache.dylib
        0x7fff836bc000 -     0x7fff836c0fff  libCoreVMClient.dylib (79.1)  /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/libCoreVMClient.dylib
        0x7fff836c1000 -     0x7fff836c6ffb  libheimdal-asn1.dylib (398.10.1)  /usr/lib/libheimdal-asn1.dylib
        0x7fff836c7000 -     0x7fff83713ff7  libcups.2.dylib (408.2)  /usr/lib/libcups.2.dylib
        0x7fff83714000 -     0x7fff83738ff7  com.apple.Sharing (328.16 - 328.16)  /System/Library/PrivateFrameworks/Sharing.framework/Versions/A/Sharing
        0x7fff8379f000 -     0x7fff8379ffff  com.apple.Cocoa (6.8 - 21)  /System/Library/Frameworks/Cocoa.framework/Versions/A/Cocoa
        0x7fff8380e000 -     0x7fff8380efff  com.apple.Accelerate (1.10 - Accelerate 1.10)  /System/Library/Frameworks/Accelerate.framework/Versions/A/Accelerate
        0x7fff8384e000 -     0x7fff838c2ffb  com.apple.securityfoundation (6.0 - 55126)  /System/Library/Frameworks/SecurityFoundation.framework/Versions/A/SecurityFoundation
        0x7fff838cf000 -     0x7fff83941fff  com.apple.framework.IOKit (2.0.2 - 1050.20.2)  /System/Library/Frameworks/IOKit.framework/Versions/A/IOKit
        0x7fff8398a000 -     0x7fff8398bff7  com.apple.print.framework.Print (10.0 - 265)  /System/Library/Frameworks/Carbon.framework/Versions/A/Frameworks/Print.framework/Versions/A/Print
        0x7fff8398c000 -     0x7fff8398dff7  libsystem_blocks.dylib (65)  /usr/lib/system/libsystem_blocks.dylib
        0x7fff83a34000 -     0x7fff83a4bff7  libLinearAlgebra.dylib (1128)  /System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libLinearAlgebra.dylib
        0x7fff83a4c000 -     0x7fff83a87fff  com.apple.QD (301 - 301)  /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/QD.framework/Versions/A/QD
        0x7fff83a8a000 -     0x7fff83b7cfff  libxml2.2.dylib (26)  /usr/lib/libxml2.2.dylib
        0x7fff83b7d000 -     0x7fff83b8eff7  libz.1.dylib (55)  /usr/lib/libz.1.dylib
        0x7fff83bf6000 -     0x7fff83c13fff  com.apple.MultitouchSupport.framework (263.9.1 - 263.9.1)  /System/Library/PrivateFrameworks/MultitouchSupport.framework/Versions/A/MultitouchSupport
        0x7fff83c14000 -     0x7fff83c1cff7  com.apple.AppleSRP (5.0 - 1)  /System/Library/PrivateFrameworks/AppleSRP.framework/Versions/A/AppleSRP
        0x7fff83c53000 -     0x7fff83d65ff7  libvDSP.dylib (516)  /System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libvDSP.dylib
        0x7fff83d66000 -     0x7fff83f6046f  libobjc.A.dylib (647)  /usr/lib/libobjc.A.dylib
        0x7fff83f61000 -     0x7fff83f69fff  libsystem_platform.dylib (63)  /usr/lib/system/libsystem_platform.dylib
        0x7fff83f6a000 -     0x7fff83f6afff  com.apple.audio.units.AudioUnit (1.12 - 1.12)  /System/Library/Frameworks/AudioUnit.framework/Versions/A/AudioUnit
        0x7fff83f9e000 -     0x7fff83faffff  libcmph.dylib (1)  /usr/lib/libcmph.dylib
        0x7fff84044000 -     0x7fff841d2fff  libBLAS.dylib (1128)  /System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libBLAS.dylib
        0x7fff84383000 -     0x7fff844c7ff7  com.apple.QTKit (7.7.3 - 2890)  /System/Library/Frameworks/QTKit.framework/Versions/A/QTKit
        0x7fff845b5000 -     0x7fff845e4ff7  com.apple.CoreServicesInternal (221.7.2 - 221.7.2)  /System/Library/PrivateFrameworks/CoreServicesInternal.framework/Versions/A/CoreServicesInternal
        0x7fff845ee000 -     0x7fff84655ff7  com.apple.framework.CoreWiFi (3.0 - 300.4)  /System/Library/PrivateFrameworks/CoreWiFi.framework/Versions/A/CoreWiFi
        0x7fff84681000 -     0x7fff84741ff7  com.apple.backup.framework (1.6.4 - 1.6.4)  /System/Library/PrivateFrameworks/Backup.framework/Versions/A/Backup
        0x7fff84742000 -     0x7fff84744fff  libquarantine.dylib (76.20.1)  /usr/lib/system/libquarantine.dylib
        0x7fff84758000 -     0x7fff847e1ff7  com.apple.CoreSymbolication (3.1 - 57020.1)  /System/Library/PrivateFrameworks/CoreSymbolication.framework/Versions/A/CoreSymbolication
        0x7fff847e2000 -     0x7fff847e8fff  libsystem_trace.dylib (72.20.1)  /usr/lib/system/libsystem_trace.dylib
        0x7fff847e9000 -     0x7fff84814fff  com.apple.DictionaryServices (1.2 - 229)  /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/DictionaryServices.framework/Versions/A/DictionaryServices
        0x7fff84815000 -     0x7fff8481bfff  com.apple.speech.recognition.framework (5.0.9 - 5.0.9)  /System/Library/Frameworks/Carbon.framework/Versions/A/Frameworks/SpeechRecognition.framework/Versions/A/SpeechRecognition
        0x7fff84a7b000 -     0x7fff84a7dfff  com.apple.loginsupport (1.0 - 1)  /System/Library/PrivateFrameworks/login.framework/Versions/A/Frameworks/loginsupport.framework/Versions/A/loginsupport
        0x7fff84a7e000 -     0x7fff84a8bff7  com.apple.SpeechRecognitionCore (2.1.2 - 2.1.2)  /System/Library/PrivateFrameworks/SpeechRecognitionCore.framework/Versions/A/SpeechRecognitionCore
        0x7fff84a8c000 -     0x7fff84b23fff  com.apple.CoreMedia (1.0 - 1562.235)  /System/Library/Frameworks/CoreMedia.framework/Versions/A/CoreMedia
        0x7fff84b24000 -     0x7fff84b37ff7  com.apple.CoreBluetooth (1.0 - 1)  /System/Library/Frameworks/CoreBluetooth.framework/Versions/A/CoreBluetooth
        0x7fff84b84000 -     0x7fff84c22fff  com.apple.Metadata (10.7.0 - 917.35)  /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Metadata
        0x7fff84cca000 -     0x7fff84d38ffb  com.apple.Heimdal (4.0 - 2.0)  /System/Library/PrivateFrameworks/Heimdal.framework/Versions/A/Heimdal
        0x7fff84db4000 -     0x7fff84e05ff7  com.apple.AppleVAFramework (5.0.31 - 5.0.31)  /System/Library/PrivateFrameworks/AppleVA.framework/Versions/A/AppleVA
        0x7fff84e06000 -     0x7fff84e6dffb  com.apple.datadetectorscore (6.0 - 396.1.1)  /System/Library/PrivateFrameworks/DataDetectorsCore.framework/Versions/A/DataDetectorsCore
        0x7fff84e6e000 -     0x7fff84f9efff  com.apple.UIFoundation (1.0 - 1)  /System/Library/PrivateFrameworks/UIFoundation.framework/Versions/A/UIFoundation
        0x7fff84fc6000 -     0x7fff84fc9fff  com.apple.xpc.ServiceManagement (1.0 - 1)  /System/Library/Frameworks/ServiceManagement.framework/Versions/A/ServiceManagement
        0x7fff84fca000 -     0x7fff84fcdfff  com.apple.help (1.3.3 - 46)  /System/Library/Frameworks/Carbon.framework/Versions/A/Frameworks/Help.framework/Versions/A/Help
        0x7fff84fce000 -     0x7fff85018ff7  com.apple.HIServices (1.22 - 522.1)  /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/HIServices
        0x7fff850f7000 -     0x7fff850f7ff7  libkeymgr.dylib (28)  /usr/lib/system/libkeymgr.dylib
        0x7fff851b4000 -     0x7fff852a4fef  libJP2.dylib (1237)  /System/Library/Frameworks/ImageIO.framework/Versions/A/Resources/libJP2.dylib
        0x7fff852a5000 -     0x7fff852aaff7  libmacho.dylib (862)  /usr/lib/system/libmacho.dylib
        0x7fff852df000 -     0x7fff852e4fff  libsystem_stats.dylib (163.20.16)  /usr/lib/system/libsystem_stats.dylib
        0x7fff85530000 -     0x7fff85835ff3  com.apple.HIToolbox (2.1.1 - 758.7)  /System/Library/Frameworks/Carbon.framework/Versions/A/Frameworks/HIToolbox.framework/Versions/A/HIToolbox
        0x7fff85f25000 -     0x7fff85f31ff7  com.apple.OpenDirectory (10.10 - 187)  /System/Library/Frameworks/OpenDirectory.framework/Versions/A/OpenDirectory
        0x7fff85f45000 -     0x7fff85ff4fe7  libvMisc.dylib (516)  /System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libvMisc.dylib
        0x7fff85ff5000 -     0x7fff863ccfe7  com.apple.CoreAUC (211.1.0 - 211.1.0)  /System/Library/PrivateFrameworks/CoreAUC.framework/Versions/A/CoreAUC
        0x7fff863e7000 -     0x7fff863f2ff7  com.apple.CrashReporterSupport (10.10 - 631)  /System/Library/PrivateFrameworks/CrashReporterSupport.framework/Versions/A/CrashReporterSupport
        0x7fff863f3000 -     0x7fff863f6ff7  libdyld.dylib (353.2.1)  /usr/lib/system/libdyld.dylib
        0x7fff86427000 -     0x7fff8646dff7  libFontRegistry.dylib (134.1)  /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Resources/libFontRegistry.dylib
        0x7fff8646e000 -     0x7fff86476fff  libsystem_dnssd.dylib (561.1.1)  /usr/lib/system/libsystem_dnssd.dylib
        0x7fff86477000 -     0x7fff86ff8ff7  com.apple.AppKit (6.9 - 1347.57)  /System/Library/Frameworks/AppKit.framework/Versions/C/AppKit
        0x7fff8701d000 -     0x7fff87028ff7  libkxld.dylib (2782.20.48)  /usr/lib/system/libkxld.dylib
        0x7fff8704d000 -     0x7fff8704dfff  com.apple.Accelerate.vecLib (3.10 - vecLib 3.10)  /System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/vecLib
        0x7fff871d1000 -     0x7fff8720cfff  com.apple.Symbolication (1.4 - 56045)  /System/Library/PrivateFrameworks/Symbolication.framework/Versions/A/Symbolication
        0x7fff872c5000 -     0x7fff872e5fff  com.apple.IconServices (47.1 - 47.1)  /System/Library/PrivateFrameworks/IconServices.framework/Versions/A/IconServices
        0x7fff87683000 -     0x7fff879b6ff7  libmecabra.dylib (666.7)  /usr/lib/libmecabra.dylib
        0x7fff879fc000 -     0x7fff87c66ff7  com.apple.security (7.0 - 57031.20.26)  /System/Library/Frameworks/Security.framework/Versions/A/Security
        0x7fff87c67000 -     0x7fff87cf3ff7  libsystem_c.dylib (1044.10.1)  /usr/lib/system/libsystem_c.dylib
        0x7fff88653000 -     0x7fff88658ff7  libunwind.dylib (35.3)  /usr/lib/system/libunwind.dylib
        0x7fff88659000 -     0x7fff88689fff  com.apple.GSS (4.0 - 2.0)  /System/Library/Frameworks/GSS.framework/Versions/A/GSS
        0x7fff8868a000 -     0x7fff8883aff3  com.apple.QuartzCore (1.10 - 361.18)  /System/Library/Frameworks/QuartzCore.framework/Versions/A/QuartzCore
