:::
:::
::: section
::: titlepage
# []{#Content.html#Types}内容类型 {.title}
:::
Red Hat Enterprise Linux 9 内容主要有两种类型。
::: section
::: titlepage
## []{#Content.html#_traditional_content}传统内容 {.title}
:::
传统的内容以 RPM 的形式发布，除非另外指定，根据 [Red Hat Enterprise
Linux
生命周期](https://access.redhat.com/support/policy/updates/errata/){.link}，对发行版本的生命周期提供支持。
:::
::: section
::: titlepage
## []{#Content.html#_application_streams}应用程序流 {.title}
:::
AppStream 软件仓库中发布的某些用户空间组件是 Application
Streams。应用程序流以适合每个软件包的节奏提供，从而简化分布。Application
Streams 提供了单个软件包的多个版本，以便在 RHEL 9
中安装，这比以往的方法可以改进，使多个版本的软件包可用。RHEL 9
还将之前的分发通道整合到单一位置。
根据各个 Application Stream 的需求，这些组件的打包将以多种形式实施：
::: itemizedlist
-   RPMs
-   模块
-   Software Collections。
:::
有关 Application Streams 支持长度的详细信息，请参阅 [Red Hat Enterprise
Linux Application Streams
生命周期](https://access.redhat.com/support/policy/updates/rhel-app-streams-life-cycle){.link}。有关
AppStream 存储库中的其他组件或软件包的详情，请查看
[覆盖范围详情](https://access.redhat.com/node/490973){.link} 文档。
:::
:::
:::
[]{#_repositories.html}
::: chapter
::: titlepage
# []{#_repositories.html#_repositories}第 2 章 软件仓库 {.title}
:::
::: section
::: titlepage
# []{#_repositories.html#BaseOS-repository}BaseOS 软件仓库 {.title}
:::
[*BaseOS*]{.emphasis}
仓库的内容旨在提供底层操作系统功能的核心组件，为所有安装提供基础。这部分内容采用
RPM 格式，它的支持条款与之前的 Red Hat Enterprise Linux
版本相似。如需更多信息，请参阅
[覆盖范围详情](https://access.redhat.com/node/490973){.link} 文档。
下表列出了 BaseOS 存储库中的所有软件包及其许可证和
[应用程序兼容性级别](https://access.redhat.com/articles/rhel9-abi-compatibility){.link}。
::: informaltable
  软件包                                        许可证                                                                                                          应用程序兼容性级别   RHEL 9 次版本
  chrony                                        GPLv2                                                                                                           2                    9.0
  chrpath                                       GPL+                                                                                                            2                    9.0
  cifs-utils                                    GPLv3                                                                                                           2                    9.0
  cockpit                                       LGPLv2+                                                                                                         2                    9.0
  cockpit-bridge                                LGPLv2+                                                                                                         2                    9.0
  cockpit-doc                                   LGPLv2+                                                                                                         不适用               9.0
  cockpit-system                                LGPLv2+                                                                                                         2                    9.0
  cockpit-ws                                    LGPLv2+                                                                                                         2                    9.0
  coreutils                                     GPLv3+                                                                                                          2                    9.0
  coreutils-common                              GPLv3+                                                                                                          2                    9.0
  coreutils-single                              GPLv3+                                                                                                          2                    9.0
  cpio                                          GPLv3+                                                                                                          2                    9.0
  cracklib                                      LGPLv2+                                                                                                         4                    9.0
  cracklib-dicts                                LGPLv2+                                                                                                         4                    9.0
  cronie                                        MIT 和 BSD 和 ISC 和 GPLv2+                                                                                     2                    9.0
  cronie-anacron                                MIT 和 BSD 和 ISC 和 GPLv2+                                                                                     2                    9.0
  cronie-noanacron                              MIT 和 BSD 和 ISC 和 GPLv2+                                                                                     2                    9.0
  crontabs                                      公共域和 GPLv2                                                                                                  2                    9.0
  crypto-policies                               LGPLv2+                                                                                                         2                    9.0
  crypto-policies-scripts                       LGPLv2+                                                                                                         2                    9.0
  cryptsetup                                    GPLv2+ 和 LGPLv2+                                                                                               4                    9.0
  cryptsetup-libs                               GPLv2+ 和 LGPLv2+                                                                                               4                    9.0
  cups-libs                                     LGPLv2 和 zlib                                                                                                  2                    9.0
  curl                                          MIT                                                                                                             2                    9.0
  curl-minimal                                  MIT                                                                                                             2                    9.0
  cyrus-sasl                                    带有广告的 BSD                                                                                                  2                    9.0
