+---+---+-----------------------+---------+---+------------+----------+---+
| 4 |   | \-\-\-\-\--Purpose    | \       | \ | Max256Text | 允许中文 | * |
| . |   |                       |         | 1 |            | BASE64转 | √ |
|   |   | 票据正面图像长度      |         | . |            | 码后的字 | * |
|   |   |                       |         | . |            | 符串长度 | * |
|   |   |                       |         | 1 |            |          |   |
|   |   |                       |         | \ |            |          |   |
|   |   |                       |         | ] |            |          |   |
+---+---+-----------------------+---------+---+------------+----------+---+
| 5 |   | \-\-                  | \       | \ | Max        | 原图片经 | * |
| 0 |   | \-\-\--ImageFrontData |  | 1 |            | 转码后的 | √ |
|   |   | 票据正面图像数据      |         | . |            | 字符串。 | * |
|   |   |                       |         | . |            | 加签时， | * |
|   |   |                       |         | 1 |            | 应使用M  |   |
|   |   |                       |         | \ |            | D5算法计 |   |
|   |   |                       |         | ] |            | 算本字符 |   |
|   |   |                       |         |   |            | 串的数字 |   |
|   |   |                       |         |   |            | 摘要（离 |   |
|   |   |                       |         |   |            | 散值）， |   |
|   |   |                       |         |   |            | 并将数字 |   |
|   |   |                       |         |   |            | 摘要（离 |   |
|   |   |                       |         |   |            | 散值）结 |   |
|   |   |                       |         |   |            | 果转换为 |   |
|   |   |                       |         |   |            | 32字节的 |   |
|   |   |                       |         |   |            | 全大写字 |   |
|   |   |                       |         |   |            | 符串后， |   |
|   |   |                       |         |   |            | 作为加签 |   |
|   |   |                       |         |   |            | 项拼接到 |   |
|   |   |                       |         |   |            | 加签串。 |   |
+---+---+-----------------------+---------+---+------------+----------+---+
| 5 |   | \-\-\                 | \ | [ | umericText | 图片经过 | * |
| . |   |                       |         | 1 |            | BASE64转 | √ |
|   |   | 票背面据图像长度      |         | . |            | 码后的字 | * |
|   |   |                       |         | . |            | 符串长度 | * |
|   |   |                       |         | 1 |            |          |   |
|   |   |                       |         | \ |            |          |   |
|   |   |                       |         | ] |            |          |   |
+---+---+-----------------------+---------+---+------------+----------+---+
| 5 |   | \-\                   | \ | [ | 400000Text | 过BASE64 | * |
| . |   |                       |         | 1 |            | 转码后的 | √ |
|   |   | 票据背面图像数据      |         | . |            | 字符串。 | * |
|   |   |                       |         | . |            | 加签时， | * |
|   |   |                       |         | 1 |            | 应使用M  |   |
|   |   |                       |         | \ |            | D5算法计 |   |
|   |   |                       |         | ] |            | 算本字符 |   |
|   |   |                       |         |   |            | 串的数字 |   |
|   |   |                       |         |   |            | 摘要（离 |   |
|   |   |                       |         |   |            | 散值）， |   |
|   |   |                       |         |   |            | 并将数字 |   |
|   |   |                       |         |   |            | 摘要（离 |   |
|   |   |                       |         |   |            | 散值）结 |   |
|   |   |                       |         |   |            | 果转换为 |   |
|   |   |                       |         |   |            | 32字节的 |   |
|   |   |                       |         |   |            | 全大写字 |   |
|   |   |                       |         |   |            | 符串后， |   |
|   |   |                       |         |   |            | 作为加签 |   |
|   |   |                       |         |   |            | 项拼接到 |   |
|   |   |                       |         |   |            | 加签串。 |   |
+---+---+-----------------------+---------+---+------------+----------+---+
| 5 | O | \                     | \ | [ |            | 型为小额 |   |
| . | } |                       |         | 1 |            | 支付系统 |   |
|   |   | > 小额支付系统通用    |         | . |            | 银行汇票 |   |
|   |   | 票据截留业务附加数据  |         | . |            | 截留业务 |   |
|   |   |                       |         | 1 |            | 或小额支 |   |
|   |   |                       |         | \ |            | 付系统商 |   |
|   |   |                       |         | ] |            | 业汇票截 |   |
|   |   |                       |         |   |            | 留业务或 |   |
|   |   |                       |         |   |            | 小额支付 |   |
|   |   |                       |         |   |            | 系统本票 |   |
|   |   |                       |         |   |            | 截留业务 |   |
+---+---+-----------------------+---------+---+------------+----------+---+
| 6 |   | \-\-\-\-\--issuedate  | \ | [ |            |          | * |
| . |   | 出票日期              |         | 1 |            |          | √ |
|   |   |                       |         | . |            |          | * |
|   |   |                       |         | . |            |          | * |
|   |   |                       |         | 1 |            |          |   |
|   |   |                       |         | \ |            |          |   |
|   |   |                       |         | ] |            |          |   |
+---+---+-----------------------+---------+---+------------+----------+---+
| 6 |   | \-\-\-\-\--Amount     | \ | \ | Act        |          | * |
| 8 |   |                       |         | [ | iveCurrenc |          | * |
| . |   | 出票金额              |         | 1 | yAndAmount |          | √ |
|   |   |                       |         | . |            |          | * |
|   |   |                       |         | . |            |          | * |
|   |   |                       |         | 1 |            |          |   |
|   |   |                       |         | \ |            |          |   |
|   |   |                       |         | ] |            |          |   |
+---+---+-----------------------+---------+---+------------+----------+---+
| 6 |   | \-\-\-\-\--PayDate    | \ | [ |            |          | * |
| . |   | 提示付款日期          |         | 1 |            |          | √ |
|   |   |                       |         | . |            |          | * |
|   |   |                       |         | . |            |          | * |
|   |   |                       |         | 1 |            |          |   |
|   |   |                       |         | \ |            |          |   |
|   |   |                       |         | ] |            |          |   |
+---+---+-----------------------+---------+---+------------+----------+---+
| 7 |   | \-\-\-\-\--Number     | \  | \ | Max32Text  |          | * |
| 0 |   |                       |         | [ |            |          | * |
| . |   | 票据号码              |         | 1 |            |          | √ |
|   |   |                       |         | . |            |          | * |
|   |   |                       |         | . |            |          | * |
|   |   |                       |         | 1 |            |          |   |
|   |   |                       |         | \ |            |          |   |
|   |   |                       |         | ] |            |          |   |
+---+---+-----------------------+---------+---+------------+----------+---+
| 7 |   | \-\-\                 | \ | [ |            |          | * |
| . |   |                       |         | 0 |            |          | √ |
|   |   | 支付密码              |         | . |            |          | * |
|   |   |                       |         | . |            |          | * |
|   |   |                       |         | 1 |            |          |   |
|   |   |                       |         | \ |            |          |   |
|   |   |                       |         | ] |            |          |   |
+---+---+-----------------------+---------+---+------------+----------+---+
| 7 |   | \-                    | \ | [ |            | 务种类为 | * |
| . |   |                       |         | 0 |            | 商业承兑 | √ |
|   |   | 票据到期日期          |         | . |            | 汇票和银 | * |
|   |   |                       |         | . |            | 行承兑汇 | * |
|   |   |                       |         | 1 |            | 票时必填 |   |
|   |   |                       |         | \ |            |          |   |
|   |   |                       |         | ] |            |          |   |
+---+---+-----------------------+---------+---+------------+----------+---+
| 7 |   | \-\-\-\-\--Seal       | \       | \ | Max20Text  |          | * |
| 3 |   |                       |  | [ |            |          | * |
| . |   | 票据密押              |         | 0 |            |          | √ |
|   |   |                       |         | . |            |          | * |
|   |   |                       |         | . |            |          | * |
|   |   |                       |         | 1 |            |          |   |
|   |   |                       |         | \ |            |          |   |
|   |   |                       |         | ] |            |          |   |
+---+---+-----------------------+---------+---+------------+----------+---+
| 7 |   | \-\-\-\-\--Acce       | \ | 0 |            |          | √ |
|   |   | 承兑协议编号          |         | . |            |          | * |
|   |   |                       |         | . |            |          | * |
|   |   |                       |         | 1 |            |          |   |
|   |   |                       |         | \ |            |          |   |
|   |   |                       |         | ] |            |          |   |
+---+---+-----------------------+---------+---+------------+----------+---+
| 7 |   | \-\-                  | \ | [ |            |          | * |
| . |   |                       |         | 0 |            |          | √ |
|   |   | 承兑日期              |         | . |            |          | * |
|   |   |                       |         | . |            |          | * |
|   |   |                       |         | 1 |            |          |   |
|   |   |                       |         | \ |            |          |   |
|   |   |                       |         | ] |            |          |   |
+---+---+-----------------------+---------+---+------------+----------+---+
| 7 |   | \-\-                  | \ | [ |            |          | * |
| . |   |                       |         | 0 |            |          | √ |
|   |   | 承兑人                |         | . |            |          | * |
|   |   |                       |         | . |            |          | * |
|   |   |                       |         | 1 |            |          |   |
|   |   |                       |         | \ |            |          |   |
|   |   |                       |         | ] |            |          |   |
+---+---+-----------------------+---------+---+------------+----------+---+
| 7 |   | \-\-\-\-\--ApplyName  | \ | [ |            |          | * |
| . |   | 申请人名称            |         | 0 |            |          | √ |
|   |   |                       |         | . |            |          | * |
|   |   |                       |         | . |            |          | * |
|   |   |                       |         | 1 |            |          |   |
|   |   |                       |         | \ |            |          |   |
|   |   |                       |         | ] |            |          |   |
+---+---+-----------------------+---------+---+------------+----------+---+
| 7 |   | \-                    | \ | [ |            |          | * |
| . |   |                       |         | 0 |            |          | √ |
|   |   | 申请人账号            |         | . |            |          | * |
|   |   |                       |         | . |            |          | * |
|   |   |                       |         | 1 |            |          |   |
|   |   |                       |         | \ |            |          |   |
|   |   |                       |         | ] |            |          |   |
+---+---+-----------------------+---------+---+------------+----------+---+
| 7 |   | \-\-\-\-\--DrawerName | \ | [ |            |          | * |
| . |   | 出票人全称            |         | 0 |            |          | √ |
|   |   |                       |         | . |            |          | * |
|   |   |                       |         | . |            |          | * |
|   |   |                       |         | 1 |            |          |   |
|   |   |                       |         | \ |            |          |   |
|   |   |                       |         | ] |            |          |   |
+---+---+-----------------------+---------+---+------------+----------+---+
| 8 |   | \-\                   | \ | [ |            |          | * |
| . |   |                       |         | 0 |            |          | √ |
|   |   | 出票人账号            |         | . |            |          | * |
|   |   |                       |         | . |            |          | * |
|   |   |                       |         | 1 |            |          |   |
|   |   |                       |         | \ |            |          |   |
|   |   |                       |         | ] |            |          |   |
+---+---+-----------------------+---------+---+------------+----------+---+
| 8 |   | \-\-\-\-\--Tran       | \ | [ | umericText |          | * |
| . |   |                       |         | 0 |            |          | √ |
|   |   | 交易合同号码          |         | . |            |          | * |
