以下是优化后的文本，使其更加清晰、连贯和专业：

---

### SSH 认证失败日志

    **日期时间**: 2023-12-10 07:48:03  
    **主机名**: LabSZ  
    **进程ID**: 24321  
    **消息**: 由 191.210.223.172 在 preauth 阶段关闭连接  
    **简要信息**: E2, 由  在 preauth 阶段关闭连接

22. **事件编号**: 151  
    **日期时间**: 2023-12-10 07:51:09  
    **主机名**: LabSZ  
    **进程ID**: 24323  
    **消息**: 未从 195.154.37.122 收到标识字符串  
    **简要信息**: E3, 未收到标识字符串

23. **事件编号**: 152  
    **日期时间**: 2023-12-10 07:51:12  
    **主机名**: LabSZ  
    **进程ID**: 24324  
    **消息**: 反向映射检查 getaddrinfo for 195-154-37-122.rev.poneytelecom.eu [195.154.37.122] 失败 - 可能的入侵尝试！  
    **简要信息**: E27, 反向映射检查 getaddrinfo for  [] 失败 - 可能的入侵尝试！

24. **事件编号**: 153  
    **日期时间**: 2023-12-10 07:51:12  
    **主机名**: LabSZ  
    **进程ID**: 24324  
    **消息**: 无效用户 support 从 195.154.37.122 尝试登录  
    **简要信息**: E13, 无效用户  从 尝试登录

25. **事件编号**: 154  
    **日期时间**: 2023-12-10 07:51:12  
    **主机名**: LabSZ  
    **进程ID**: 24324  
    **消息**: input_userauth_request: 无效用户 support [preauth]  
    **简要信息**: E12, input_userauth_request: 无效用户  [preauth]

26. **事件编号**: 155  
    **日期时间**: 2023-12-10 07:51:12  
    **主机名**: LabSZ  
    **进程ID**: 24324  
    **消息**: pam_unix(sshd:auth): 检查密码; 用户未知  
    **简要信息**: E21, pam_unix(sshd:auth): 检查密码; 用户未知

27. **事件编号**: 156  
    **日期时间**: 2023-12-10 07:51:12  
    **主机名**: LabSZ  
    **进程ID**: 24324  
    **消息**: pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=195.154.37.122  
    **简要信息**: E19, pam_unix(sshd:auth): 认证失败; logname= uid= euid= tty=ssh ruser= rhost=

28. **事件编号**: 157  
    **日期时间**: 2023-12-10 07:51:15  
    **主机名**: LabSZ  
    **进程ID**: 24324  
    **消息**: 无效用户 support 从 195.154.37.122 端口 56539 ssh2 登录密码错误  
    **简要信息**: E10, 无效用户 从 端口  ssh2 登录密码错误

29. **事件编号**: 158  
    **日期时间**: 2023-12-10 07:51:15  
    **主机名**: LabSZ  
    **进程ID**: 24324  
    **消息**: 错误: 收到来自 195.154.37.122 的断开连接: 3: com.jcraft.jsch.JSchException: Auth fail [preauth]  
    **简要信息**: E6, 错误: 收到来自 : : com.jcraft.jsch.JSchException: Auth fail [preauth]

30. **事件编号**: 159  
    **日期时间**: 2023-12-10 07:51:17  
    **主机名**: LabSZ  
    **进程ID**: 24326  
    **消息**: 反向映射检查 getaddrinfo for 195-154-37-122.rev.poneytelecom.eu [195.154.37.122] 失败 - 可能的入侵尝试！  
    **简要信息**: E27, 反向映射检查 getaddrinfo for  [] 失败 - 可能的入侵尝试！

31. **事件编号**: 160  
    **日期时间**: 2023-12-10 07:51:18  
    **主机名**: LabSZ  
    **进程ID**: 24326  
    **消息**: pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=195.154.37.122 user=uucp  
    **简要信息**: E20, pam_unix(sshd:auth): 认证失败; logname= uid= euid= tty=ssh ruser= rhost= user=

32. **事件编号**: 161  
    **日期时间**: 2023-12-10 07:51:20  
    **主机名**: LabSZ  
    **进程ID**: 24326  
    **消息**: uucp 用户从 195.154.37.122 端口 59266 ssh2 登录密码错误  
    **简要信息**: E9, 从 端口  ssh2 登录密码错误

33. **事件编号**: 162  
    **日期时间**: 2023-12-10 07:51:20  
    **主机名**: LabSZ  
    **进程ID**: 24326  
    **消息**: 错误: 收到来自 195.154.37.122 的断开连接: 3: com.jcraft.jsch.JSchException: Auth fail [preauth]  
    **简要信息**: E6, 错误: 收到来自 : : com.jcraft.jsch.JSchException: Auth fail [preauth]

34. **事件编号**: 163  
    **日期时间**: 2023-12-10 07:53:26  
    **主机名**: LabSZ  
    **进程ID**: 24329  
    **消息**: 由 194.190.163.22 在 preauth 阶段关闭连接  
    **简要信息**: E2, 由  在 preauth 阶段关闭连接

35. **事件编号**: 164  
    **日期时间**: 2023-12-10 07:55:55  
    **主机名**: LabSZ  
    **进程ID**: 24331  
    **消息**: 无效用户 test 从 52.80.34.196 尝试登录  
    **简要信息**: E13, 无效用户  从 尝试登录

36. **事件编号**: 165  
    **日期时间**: 2023-12-10 07:55:55  
    **主机名**: LabSZ  
    **进程ID**: 24331  
    **消息**: input_userauth_request: 无效用户 test [preauth]  
    **简要信息**: E12, input_userauth_request: 无效用户  [preauth]

37. **事件编号**: 166  
    **日期时间**: 2023-12-10 07:55:55  
    **主机名**: LabSZ  
    **进程ID**: 24331  
    **消息**: pam_unix(sshd:auth): 检查密码; 用户未知  
    **简要信息**: E21, pam_unix(sshd:auth): 检查密码; 用户未知

38. **事件编号**: 167  
    **日期时间**: 2023-12-10 07:55:55  
    **主机名**: LabSZ  
    **进程ID**: 24331  
    **消息**: pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn  
    **简要信息**: E19, pam_unix(sshd:auth): 认证失败; logname= uid= euid= tty=ssh ruser= rhost=

39. **事件编号**: 168  
    **日期时间**: 2023-12-10 07:56:02  
    **主机名**: LabSZ  
    **进程ID**: 24331  
    **消息**: 无效用户 test 从 52.80.34.196 端口 36060 ssh2 登录密码错误  
    **简要信息**: E10, 无效用户 从 端口  ssh2 登录密码错误

40. **事件编号**: 169  
    **日期时间**: 2023-12-10 07:56:02  
    **主机名**: LabSZ  
    **进程ID**: 24331  
    **消息**: 收到来自 52.80.34.196 的断开连接: 11: Bye Bye [preauth]  
    **简要信息**: E24, 收到来自 : : Bye Bye [preauth]

41. **事件编号**: 170  
    **日期时间**: 2023-12-10 07:56:13  
    **主机名**: LabSZ  
    **进程ID**: 24333  
    **消息**: 未从 103.207.39.165 收到标识字符串  
    **简要信息**: E3, 未收到标识字符串

42. **事件编号**: 171  
    **日期时间**: 2023-12-10 07:56:14  
    **主机名**: LabSZ  
    **进程ID**: 24334  
    **消息**: 无效用户 support 从 103.207.39.165 尝试登录  
    **简要信息**: E13, 无效用户  从 尝试登录

43. **事件编号**: 172  
    **日期时间**: 2023-12-10 07:56:14  
    **主机名**: LabSZ  
    **进程ID**: 24334  
    **消息**: input_userauth_request: 无效用户 support [preauth]  
    **简要信息**: E12, input_userauth_request: 无效用户  [preauth]

44. **事件编号**: 173  
    **日期时间**: 2023-12-10 07:56:14  
    **主机名**: LabSZ  
    **进程ID**: 24334  
    **消息**: pam_unix(sshd:auth): 检查密码; 用户未知  
    **简要信息**: E21, pam_unix(sshd:auth): 检查密码; 用户未知

45. **事件编号**: 174  
    **日期时间**: 2023-12-10 07:56:14  
    **主机名**: LabSZ  
    **进程ID**: 24334  
    **消息**: pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.207.39.165  
    **简要信息**: E19, pam_unix(sshd:auth): 认证失败; logname= uid= euid= tty=ssh ruser= rhost=

46. **事件编号**: 175  
    **日期时间**: 2023-12-10 07:56:15  
    **主机名**: LabSZ  
    **进程ID**: 24334  
    **消息**: 无效用户 support 从 103.207.39.165 端口 58158 ssh2 登录密码错误  
    **简要信息**: E10, 无效用户 从 端口  ssh2 登录密码错误

47. **事件编号**: 176  
    **日期时间**: 2023-12-10 07:56:15  
    **主机名**: LabSZ  
    **进程ID**: 24334  
    **消息**: 收到来自 103.207.39.165 的断开连接: 11: Closed due to user request. [preauth]  
    **简要信息**: E25, 收到来自 : : Closed due to user request. [preauth]

48. **事件编号**: 177  
    **日期时间**: 2023-12-10 08:07:00  
    **主机名**: LabSZ  
    **进程ID**: 24336  
    **消息**: 由 194.190.163.22 在 preauth 阶段关闭连接  
    **简要信息**: E2, 由  在 preauth 阶段关闭连接

49. **事件编号**: 178  
    **日期时间**: 2023-12-10 08:08:41  
    **主机名**: LabSZ  
    **进程ID**: 24338  
    **消息**: 无效用户 inspur 从 175.102.13.6 尝试登录  
    **简要信息**: E13, 无效用户  从 尝试登录

50. **事件编号**: 179  
    **日期时间**: 2023-12-10 08:08:41  
    **主机名**: LabSZ  
    **进程ID**: 24338  
    **消息**: input_userauth_request: 无效用户 inspur [preauth]  
    **简要信息**: E12, input_userauth_request: 无效用户  [preauth]

51. **事件编号**: 180  
    **日期时间**: 2023-12-10 08:08:41  
    **主机名**: LabSZ  
    **进程ID**: 24338  
    **消息**: pam_unix(sshd:auth): 检查密码; 用户未知  
    **简要信息**: E21, pam_unix(sshd:auth): 检查密码; 用户未知

52. **事件编号**: 181  
    **日期时间**: 2023-12-10 08:08:41  
    **主机名**: LabSZ  
    **进程ID**: 24338  
    **消息**: pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=175.102.13.6  
    **简要信息**: E19, pam_unix(sshd:auth): 认证失败; logname= uid= euid= tty=ssh ruser= rhost=

53. **事件编号**: 182  
    **日期时间**: 2023-12-10 08:08:43  
    **主机名**: LabSZ  
    **进程ID**: 24338  
    **消息**: 无效用户 inspur 从 175.102.13.6 端口 47130 ssh2 登录密码错误  
    **简要信息**: E10, 无效用户 从 端口  ssh2 登录密码错误

54. **事件编号**: 183  
    **日期时间**: 2023-12-10 08:08:43  
    **主机名**: LabSZ  
    **进程ID**: 24338  
    **消息**: 收到来自 175.102.13.6 的断开连接: 11: Bye Bye [preauth]  
    **简要信息**: E24, 收到来自 : : Bye Bye [preauth]

55. **事件编号**: 184  
    **日期时间**: 2023-12-10 08:20:23  
    **主机名**: LabSZ  
    **进程ID**: 24358  
    **消息**: 由 194.190.163.22 在 preauth 阶段关闭连接  
    **简要信息**: E2, 由  在 preauth 阶段关闭连接

56. **事件编号**: 185  
    **日期时间**: 2023-12-10 08:24:32  
    **主机名**: LabSZ  
    **进程ID**: 24361  
    **消息**: 无效用户  0101 从 5.188.10.180 尝试登录  
    **简要信息**: E13, 无效用户  从 尝试登录

57. **事件编号**: 186  
    **日期时间**: 2023-12-10 08:24:32  
    **主机名**: LabSZ  
    **进程ID**: 24361  
    **消息**: input_userauth_request: 无效用户  0101 [preauth]  
    **简要信息**: E12, input_userauth_request: 无效用户  [preauth]

58. **事件编号**: 187  
    **日期时间**: 2023-12-10 08:24:32  
    **主机名**: LabSZ  
    **进程ID**: 24361  
    **消息**: pam_unix(sshd:auth): 检查密码; 用户未知  
    **简要信息**: E21, pam_unix(sshd:auth): 检查密码; 用户未知

59. **事件编号**: 188  
    **日期时间**: 2023-12-10 08:24:32  
    **主机名**: LabSZ  
    **进程ID**: 24361  
    **消息**: pam_unix(sshd:auth): 认证失败; logname= uid=0 euid=0 tty=ssh ruser= rhost=5.188.10.180  
    **简要信息**: E19, pam_unix(sshd:auth): 认证失败; logname= uid= euid= tty=ssh ruser= rhost=

60. **事件编号**: 189  
    **日期时间**: 2023-12-10 08:24:35  
    **主机名**: LabSZ  
    **进程ID**: 24361  
    **消息**: 无效用户  0101 从 5.188.10.180 端口 36279 ssh2 登录密码错误  
    **简要信息**: E10, 无效用户 从 端口  ssh2 登录密码错误

61. **事件编号**: 190  
    **日期时间**: 2023-12-10 08:24:36  
    **主机名**: LabSZ  
    **进程ID**: 24361  
    **消息**: 由 5.188.10.180 在 preauth 阶段关闭连接  
    **简要信息**: E2, 由  在 preauth 阶段关闭连接

62. **事件编号**: 191  
    **日期时间**: 2023-12-10 08:24:40  
    **主机名**: LabSZ  
    **进程ID**: 24363  
    **消息**: 无效用户 0 从 5.188.10.180 尝试登录  
    **简要信息**: E13, 无效用户  从 尝试登录

63. **事件编号**: 192  
    **日期时间**: 2023-12-10 08:24:40  
    **主机名**: LabSZ  
    **进程ID**: 24363  
    **消息**: input_userauth_request: 无效用户 0 [preauth]  
    **简要信息**: E12, input_userauth_request: 无效用户  [preauth]

64. **事件编号**: 193  
    **日期时间**: 2023-12-10 08:24:40  
    **主机名**: LabSZ  
    **进程ID**: 24363  
    **消息**: 无效用户 0 从 5.188.10.180 端口 49811 ssh2 登录无认证方法  
    **简要信息**: E8, 无效用户 从 端口  ssh2 登录无认证方法

65. **事件编号**: 194  
    **日期时间**: 2023-12-10 08:24:43  
    **主机名**: LabSZ  
    **进程ID**: 24363  
    **消息**: pam_unix(sshd:auth): 检查密码; 用户未知  
    **简要信息**: E21, pam_unix(sshd:auth): 检查密码; 用户未知

---

这样处理后，每条记录都包含详细的事件信息，并且格式统一，便于阅读和分析。
