### Token Filter Test Tab Actions

In the **Token Filter Test** tab, you can perform the following actions:

1. **Base Regex Filter:**
   - Select the **Base Regex** filter and click **Display Results** to view:
     - **Match Results against Base Regex:** This grid displays the tokens used in the base regex, along with any associated schema elements and assignments. An additional grid shows the raw log lines that match the base regex and their contents.
     - **Unmatched Results against Base Regex:** This grid displays the log lines that do not match the base regex.
   - Click **Export** to save the unmatched results to a CSV-format file.

2. **Single Token Filter:**
   - Select one token filter from the list and click **Display Results** to view:
     - **Match Results against Selected Token Filter:** This grid displays the tokens used in the selected token filter, along with any associated schema elements and assignments. An additional grid shows the parts of the message that are matched by each token in the filter.
   - Click **Export** to save the matched results based on the line to a CSV-format file.

3. **Multiple Token Filters:**
   - Select multiple token filters and click **Display Results** to view:
     - **Matched Lines against All Filters:** This grid displays the messages that are matched by more than one token filter. Select a line in the grid to open a **Details** pop-up that lists the values of the tokens used in each token filter.
   - Export is not available for this scenario.

4. **All Token Filters:**
   - Select all token filters and click **Display Results** to view:
     - **Matched against Selected Token Filters:** This grid displays the messages that are matched by more than one token filter.
     - **Unmatched Lines:** This grid displays the messages that are not matched by any token filter.
   - Click **Export** to save the unmatched lines to a CSV-format file.
   - Click **View** on an unmatched line to open it in the **Token Filter Editor**, where you can continue to work on the message.

### Generating a Parser File

#### Navigation:
- **Log View > Generate Parser**

#### About:
- The **Quick Flex Parser Tool** can generate a parser file suitable for use in the **ArcSight FlexConnector** framework. The parser file contains definitions of your tokens, base regex, token filters, and token mappings.
- The minimum requirement for generating a parser file is a base regex that successfully parses the log file.

#### Procedure:
1. Click **Generate Parser** in the **Log View** to generate a parser file. You can modify the generated content and copy it to a separate file.
2. Click **Export** to save the parser properties file. By default, the file will be saved as `.sdkrfilereader.properties` for non-syslog projects and as `.subagent.sdkrfilereader.properties` for syslog projects.

### ArcSight Token Types

Token types are important because tokens can only be mapped to ArcSight event fields with matching types. Event fields and their types are listed in the **ArcSight Console User’s Guide**, under **Data Fields**.

| Type | Meaning | Format |
|---|---|---|
| Integer | A number from -2147483648 to 2147483647. | n/a |
| IPAddress | An IPv4 address (e.g., 1.1.1.1). For IPv6-aware parsers, this can also be an IPv6 address (e.g., fdeb:f59b:2e13:56c9:xxxx:xxxx:xxxx:xxxx). | n/a |
| Long | A number from -9223372036854775808 to 9223372036854775807. | n/a |
| MacAddress | An Ethernet MAC address of the form: 00-06-3E-22-51-B9 or 00:06:3E:22:51:B9. | n/a |
| String | Any free-form sequence of characters. | n/a |
| TimeStamp | A date, time, or both. | Date/time format (see "Date and Time Format Symbols") |

### Date and Time Format Symbols

The following date and time formats are defined in the **Quick Flex Parser Tool**:

- `MMM dd HH:mm:ss.SSS zzz`
- `MMM dd HH:mm:ss.SSS`
- `MMM dd HH:mm:ss zzz`
- `MMM dd HH:mm:ss`
- `MMM dd yyyy HH:mm:ss.SSS zzz`
- `MMM dd yyyy HH:mm:ss.SSS`
- `MMM dd yyyy HH:mm:ss zzz`
- `MMM dd yyyy HH:mm:ss`
- `ddMMyyyy HH:mm:ss`
- `MM-dd-yyyy HH:mm:ss`
- `yyyy-MM-dd HH:mm:ss.SSS`
- `yyyy-MM-dd HH:mm:ss`

For example, for the format `yyyy-MM-dd HH:mm:ss`, use single quotes around text that is not meant to be interpreted as date format characters. For a date like `2016.07.04 AD at 12:08:56 PDT`, use `yyyy.MM.dd G 'at' HH:mm:ss z`.

Use two single quotes to insert a single quote. For a date like `Wed, Jul 4, '16`, use `EEE, MMM d, ''yy`.

| Symbol | Meaning | Presentation | Examples |
| event.destinationMacAddress | | | |
| DestinationNtDomain | String | 255 | n/a |
| event.destinationNtDomain | | | |
| DestinationPort | Integer | n/a | 0 -> 65535 |
| event.destinationPort | | | |
| DestinationProcessName | String | 1023 | n/a |
| event.destinationProcessName | | | |
| DestinationServiceName | String | 1023 | n/a |
| event.destinationServiceName | | | |
| DestinationTranslatedAddress | IPAddress | n/a | IPv4 (3) |
| event.destinationTranslatedAddress | | | |
| DestinationTranslatedPort | Integer | n/a | 0 -> 65535 |
| event.destinationTranslatedPort | | | |
| DestinationTranslatedZoneURI | String | - | n/a (2) |
| event.destinationTranslatedZoneURI | | | |
| DestinationUserId | String | 1023 | n/a |
| event.destinationUserId | | | |
| DestinationUserName | String | 1023 | n/a |
| event.destinationUserName | | | |
| DestinationUserPrivileges | String | 1023 | n/a |
| event.destinationUserPrivileges | | | |
| DestinationZoneURI | String | - | n/a (2) |
| event.destinationZoneURI | | | |
| DeviceAction | String | 63 | n/a |
| event.deviceAction | | | |
| DeviceAddress (rule) | See "Quick Flex Parser Tool Rules" | See "Quick Flex Parser Tool Rules" | IPv4 (3) |
| DeviceAddress | IPAddress | n/a | IPv4 (3) |
| event.deviceAddress | | | |
| DeviceCustomDate1 | TimeStamp | n/a | n/a (5) |
| event.deviceCustomDate1 | | | |
| DeviceCustomDate1Label | String | 1023 | n/a |
| event.deviceCustomDate1Label | | | |
| DeviceCustomDate2 | TimeStamp | n/a | n/a (5) |
| event.deviceCustomDate2 | | | |
| DeviceCustomDate2Label | String | 1023 | n/a |
| event.deviceCustomDate2Label | | | |
| DeviceCustomIPv6Address1 | IPv6 Address | n/a | IPv6 (8) |
| event.deviceCustomIPv6Address1 | | | |
| DeviceCustomIPv6Address1Label | String | 1023 | Should be “Device IPv6 Address”. See also "Device Address or Host" in "Quick Flex Parser Tool Rules". |
| event.deviceCustomIPv6Address1Label | | | |
| DeviceCustomIPv6Address2 | IPv6 Address | n/a | IPv6 (8) |
| event.deviceCustomIPv6Address2 | | | |
| DeviceCustomIPv6Address2Label | String | 1023 | Should be “Source IPv6 Address”. See also "Source Address or Host" in "Quick Flex Parser Tool Rules". |
| event.deviceCustomIPv6Address2Label | | | |
| DeviceCustomIPv6Address3 | IPv6 Address | n/a | IPv6 (8) |
| event.deviceCustomIPv6Address3 | | | |
| DeviceCustomerIPv6Address3Label | String | 1023 | Should be “Destination IPv6 Address”. See also "Destination Address or Host" in "Quick Flex Parser Tool Rules". |
| event.deviceCustomerIPv6Address3Label | | | |
| DeviceCustomNumber1 | Long | n/a | -2^63 -> 2^63-1 |
| event.deviceCustomNumber1 | | | |
| DeviceCustomNumber1Label | String | 1023 | n/a |
| event.deviceCustomNumber1Label | | | |
| DeviceCustomNumber2 | Long | n/a | -2^63 -> 2^63-1 |
| event.deviceCustomNumber2 | | | |
| DeviceCustomNumber2Label | String | 1023 | n/a |
| event.deviceCustomNumber2Label | | | |

---

This document is part of the **Micro Focus Quick Flex Parser Tool (1.1)** User Guide.
