+-----------+-----------+------+-------------------+-----------------+
| S         | varch     | 可选 | 子系统名，如ORDER | 前台服务        |
以下是filebeat的工作流程：当你开启filebeat程序的时候，它会启动一个或多个探测器（prospectors）去检测你指定的日志目录或文件，对于探测器找出的每一个日志文件，filebeat启动收割进程（harvester），每一个收割进程读取一个日志文件的新内容，并发送这些新的日志数据到处理程序（spooler），处理程序会集合这些事件，最后filebeat会发送集合的数据到你指定的地点。
业务监控日志采集方案：
![](media/image16.png){width="5.768055555555556in"
height="2.3631944444444444in"}
1.  NGCRM、NGBOSS前台WAS应用、后台CICS服务、后台进程应用运行过程中将业务调用链日志写入本地服务器日志文件，在各应用主机部署日志实时采集程序filebeat，并配置filebeat业务日志的输入路径、文件名称，以及日志信息输出方式及IP、端口等信息。
2.  filebeat实时读取日志文件变更信息，并将日志信息实时写入业务监控日志服务器的logstash目录。通过logstash程序将filebeat写入的日志实时写入业务监控日志服务器的本地文件。
3.  
4.  在业务监控日志服务器部署BOMC采集代理程序，实时将调用链日志信息采集到BOMC服务器做日志分析和查询展示。
#### 采集器filebeat部署
> 配置采集器filebeat扫描的目录文件。
>
> 实时日志采集器配置：
>
> paths:
>
> \- /hwapp/NGCRM/cicslog/ZJ-NGCRM-CICS-TRACELOG-20180108\*.log
> #指明读取文件的位置
>
> output.logstash: #使用logstash对filebeat收集起来的数据执行其他处理
>
> hosts: \[\"logstash.xxx.xxx.xxx.xxx:xxxx\"\]
> #hosts选项需要指明logstash服务所监听的地址和它的端口
注：logstash将所监听的端口传入的数据写到本地磁盘文件。
#### logstash部署配置
> 业务监控日志服务器部署logstash应用，并监听xxxx端口，对于此端口写入的数据写入到本地磁盘的日志文件中：
**文件名称：**AA-NGXXX-BBB-TRACELOG.log.YYYYMMDD.nnn
其中
AA：地市编码简写，如广州:GZ
NGXXX：应用系统，如NGCRM、NGBOSS
BBB：应用服务，如WAS、CICS
YYYYMMDD：年月日，如20171121
nnn：文件序列号，如001，002递增
**文件路径：**
/xxx/logs/%{basepath}/%{host}/%{foldername}/%{filename}.%{suffix}.
#### 业务调用链日志采集（方案二：FTP 工具RBI）
![](media/image17.emf){width="5.768055555555556in"
height="4.8016447944007in"}
> 程序特性：
>
> 1、FTP采集工具部署在业务监控日志文件服务器，采用pull的方式：定时（可配置时间间隔）到目标机器取文件（文件名称匹配规则可配置）。
>
> 2、可将当前接口机的文件分发到其他目标机器，分法策略可以配置。
### ~~业务配置平台~~
#### ~~业务配置新增日志服务模块功能~~
##### ~~日志数据采集~~
~~由于业务调用链日志散落在各节点CRM、节点BOSS应用服务器上，包括CRM
WEB、CRM WAS、CRM CICS、CRM APP、BOSS
CICS等，需要新增日志采集程序FTP上传到业务配置平台接口文件服务器主机进行汇总，然后由业务配置平台对日志文件数据入库。上传成功后各应用节点将原始日志文件删除，以减少到存储的占用。~~
![](media/image18.emf)
~~业务配置平台文件服务器信息:~~
~~IP地址：~~
~~账号：~~
~~密码：~~
~~文件目录：~~
