### 亚信安全服务器深度安全防护系统 9.6 管理员指南

#### 客户端事件

| 事件ID | 严重性 | 事件类型 | 注释 |
| 9005 | 信息 | 防恶意软件扫描已恢复 |  |
| 9006 | 信息 | 防恶意软件扫描已取消 |  |
| 9007 | 警告 | 取消防恶意软件扫描不成功 |  |
| 9008 | 警告 | 启动防恶意软件扫描不成功 |  |
| 9009 | 警告 | 防恶意软件扫描已停止 |  |
| 9010 | 错误 | 防恶意软件隔离不成功（已超出 VM 限制） |  |
| 9011 | 错误 | 防恶意软件隔离不成功（已超出设备限制） |  |
| 9012 | 警告 | 已断开与用于云安全扫描的云安全智能防护服务器的连接 |  |
| 9013 | 信息 | 已连接到用于云安全扫描的云安全智能防护服务器 |  |
| 9014 | 警告 | 防恶意软件保护需要重新启动计算机 |  |
| 9016 | 信息 | 防恶意软件组件更新成功 |  |
| 9017 | 错误 | 防恶意软件组件更新不成功 |  |

### 入侵防御事件

| 事件ID | 事件类型 | 注释 |
| --- | --- | --- |
| 200 | 区域太大 | 区域（编辑区域、URI 等）超过允许的最大缓存大小（7570 字节）而没有被关闭。这通常是由于数据未符合协议。 |
