144,-,1131566503,2005.11.09,aadmin4,Nov,9,12:01:43,src@aadmin4,dhcpd,,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,E40,DHCPREQUEST for  () from  via eth1: unknown lease .
155,-,1131566510,2005.11.09,bn132,Nov,9,12:01:50,bn132/bn132,ntpd,22316,"synchronized to 10.100.20.250, stratum 3",E125,"synchronized to , stratum "
156,-,1131566510,2005.11.09,bn874,Nov,9,12:01:50,bn874/bn874,ntpd,25657,"synchronized to 10.100.18.250, stratum 3",E125,"synchronized to , stratum "
157,-,1131566510,2005.11.09,bn946,Nov,9,12:01:50,bn946/bn946,ntpd,15562,"synchronized to 10.100.18.250, stratum 3",E125,"synchronized to , stratum "
158,-,1131566510,2005.11.09,tbird-admin1,Nov,9,12:01:50,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_A6] datasource,E32,data_thread() got not answer from any [Thunderbird_] datasource
159,-,1131566510,2005.11.09,tbird-admin1,Nov,9,12:01:50,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_D7] datasource,E32,data_thread() got not answer from any [Thunderbird_] datasource
160,-,1131566511,2005.11.09,tbird-admin1,Nov,9,12:01:51,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_A3] datasource,E32,data_thread() got not answer from any [Thunderbird_] datasource
161,-,1131566512,2005.11.09,tbird-admin1,Nov,9,12:01:52,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_B6] datasource,E32,data_thread() got not answer from any [Thunderbird_] datasource
162,-,1131566512,2005.11.09,tbird-sm1,Nov,9,12:01:52,src@tbird-sm1,ib_sm.x,24904,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,E8,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************
163,-,1131566514,2005.11.09,tbird-admin1,Nov,9,12:01:54,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_B2] datasource,E32,data_thread() got not answer from any [Thunderbird_] datasource
164,-,1131566515,2005.11.09,cn633,Nov,9,12:01:55,cn633/cn633,ntpd,18665,"synchronized to 10.100.22.250, stratum 3",E125,"synchronized to , stratum "
165,-,1131566516,2005.11.09,tbird-admin1,Nov,9,12:01:56,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_B5] datasource,E32,data_thread() got not answer from any [Thunderbird_] datasource
166,-,1131566516,2005.11.09,tbird-admin1,Nov,9,12:01:56,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_D6] datasource,E32,data_thread() got not answer from any [Thunderbird_] datasource
167,-,1131566516,2005.11.09,tbird-admin1,Nov,9,12:01:56,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_D8] datasource,E32,data_thread() got not answer from any [Thunderbird_] datasource
168,-,1131566516,2005.11.09,tbird-sm1,Nov,9,12:01:56,src@tbird-sm1,ib_sm.x,24904,[ib_sm_sweep.c:1455]: No topology change,E6,[ib_sm_sweep.c:1455]: No topology change
169,-,1131566516,2005.11.09,tbird-sm1,Nov,9,12:01:56,src@tbird-sm1,ib_sm.x,24904,[ib_sm_sweep.c:1482]: No configuration change required,E7,[ib_sm_sweep.c:1482]: No configuration change required
170,-,1131566517,2005.11.09,bn825,Nov,9,12:01:57,bn825/bn825,ntpd,23041,"synchronized to 10.100.16.250, stratum 3",E125,"synchronized to , stratum "
171,-,1131566517,2005.11.09,tbird-admin1,Nov,9,12:01:57,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_A2] datasource,E32,data_thread() got not answer from any [Thunderbird_] datasource
172,-,1131566517,2005.11.09,tbird-admin1,Nov,9,12:01:57,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_A7] datasource,E32,data_thread() got not answer from any [Thunderbird_] datasource
173,-,1131566517,2005.11.09,tbird-admin1,Nov,9,12:01:57,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_B8] datasource,E32,data_thread() got not answer from any [Thunderbird_] datasource
174,-,1131566517,2005.11.09,tbird-admin1,Nov,9,12:01:57,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_D4] datasource,E32,data_thread() got not answer from any [Thunderbird_] datasource
175,-,1131566518,2005.11.09,cn808,Nov,9,12:01:58,cn808/cn808,ntpd,28601,"synchronized to 10.100.22.250, stratum 3",E125,"synchronized to , stratum "
176,-,1131566518,2005.11.09,cn887,Nov,9,12:01:58,cn887/cn887,ntpd,28964,"synchronized to 10.100.18.250, stratum 3",E125,"synchronized to , stratum "
177,-,1131566518,2005.11.09,dn338,Nov,9,12:01:58,dn338/dn338,ntpd,31526,"synchronized to 10.100.28.250, stratum 3",E125,"synchronized to , stratum "
178,-,1131566518,2005.11.09,tbird-admin1,Nov,9,12:01:58,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_C6] datasource,E32,data_thread() got not answer from any [Thunderbird_] datasource
179,-,1131566519,2005.11.09,cn763,Nov,9,12:01:59,cn763/cn763,ntpd,27810,"synchronized to 10.100.16.250, stratum 3",E125,"synchronized to , stratum "
180,-,1131566519,2005.11.09,cn921,Nov,9,12:01:59,cn921/cn921,ntpd,28851,"synchronized to 10.100.22.250, stratum 3",E125,"synchronized to , stratum "
181,-,1131566519,2005.11.09,tbird-admin1,Nov,9,12:01:59,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_B7] datasource,E32,data_thread() got not answer from any [Thunderbird_] datasource
182,-,1131566520,2005.11.09,bn780,Nov,9,12:02:00,bn780/bn780,ntpd,24873,"synchronized to 10.100.22.250, stratum 3",E125,"synchronized to , stratum "
183,-,1131566521,2005.11.09,tbird-admin1,Nov,9,12:02:01,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_A4] datasource,E32,data_thread() got not answer from any [Thunderbird_] datasource
184,-,1131566522,2005.11.09,tbird-admin1,Nov,9,12:02:02,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_B4] datasource,E32,data_thread() got not answer from any [Thunderbird_] datasource
185,-,1131566522,2005.11.09,tbird-admin1,Nov,9,12:02:02,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_C8] datasource,E32,data_thread() got not answer from any [Thunderbird_] datasource
186,-,1131566523,2005.11.09,dn233,Nov,9,12:02:03,dn233/dn233,ntpd,11151,"synchronized to 10.100.24.250, stratum 3",E125,"synchronized to , stratum "
187,-,1131566523,2005.11.09,tbird-admin1,Nov,9,12:02:03,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682,data_thread() got not answer from any [Thunderbird_C5] datasource,E32,data_thread() got not answer from any [Thunderbird_] datasource
188,-,1131566525,2005.11.09,aadmin1,Nov,9,12:02:05,src@aadmin1,dhcpd,,DHCPACK on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1,E35,DHCPACK on  to  via eth1
189,-,1131566525,2005.11.09,aadmin1,Nov,9,12:02:05,src@aadmin1,dhcpd,,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1,E36,DHCPDISCOVER from  via eth1
190,-,1131566525,2005.11.09,aadmin1,Nov,9,12:02:05,src@aadmin1,dhcpd,,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1,E36,DHCPDISCOVER from  via eth1
191,-,1131566525,2005.11.09,aadmin1,Nov,9,12:02:05,src@aadmin1,dhcpd,,DHCPOFFER on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1,E38,DHCPOFFER on  to  via eth1
