### Table XV: Detection Rate and False Positive Rate for Different Θbot and Cntbirch

| Θbot | Cntbirch | Detection Rate | False Positive Rate |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 0              | 0                  |
| 16/16 | 0        | 
