157.55.39.70 - - [12/Jun/2017:10:14:10 +0800] "GET /about/partner/ HTTP/1.1" 200 3808 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "-" 0.000 -
59.110.21.180 - - [12/Jun/2017:10:16:25 +0800] "GET / HTTP/1.1" 302 154 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/8.0.8 Safari/600.8.9" "-" 0.003 -
59.110.21.180 - - [12/Jun/2017:10:16:25 +0800] "GET / HTTP/1.1" 302 154 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/8.0.8 Safari/600.8.9" "-" 0.004 -
59.110.21.180 - - [12/Jun/2017:10:16:25 +0800] "GET / HTTP/1.1" 302 154 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/8.0.8 Safari/600.8.9" "-" 0.003 -
59.110.21.180 - - [12/Jun/2017:10:16:25 +0800] "GET / HTTP/1.1" 302 154 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/8.0.8 Safari/600.8.9" "-" 0.003 -
59.110.21.180 - - [12/Jun/2017:10:16:25 +0800] "GET / HTTP/1.1" 302 154 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/8.0.8 Safari/600.8.9" "-" 0.004 -
59.110.21.180 - - [12/Jun/2017:10:16:25 +0800] "GET / HTTP/1.1" 302 154 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/8.0.8 Safari/600.8.9" "-" 0.004 -
59.110.21.180 - - [12/Jun/2017:10:16:26 +0800] "GET / HTTP/1.1" 302 154 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/8.0.8 Safari/600.8.9" "-" 0.003 -
66.249.64.221 - - [12/Jun/2017:10:16:37 +0800] "GET /assets/img/rzy/homepage/banner2.jpg HTTP/1.1" 200 536584 "-" "Googlebot-Image/1.0" "-" 24.403 -
116.76.254.8 - - [12/Jun/2017:10:16:44 +0800] "GET / HTTP/1.1" 302 154 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0" "-" 0.000 -
116.76.254.8 - - [12/Jun/2017:10:16:45 +0800] "GET / HTTP/1.1" 200 6474 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0" "-" 0.000 -
116.76.254.8 - - [12/Jun/2017:10:16:45 +0800] "GET /assets/css/site.css?2 HTTP/1.1" 200 30737 "https://www.rizhiyi.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0" "-" 0.000 -
