### 3.49 DBA_TAB_COLUMNS

The `DBA_TAB_COLUMNS` view provides information about all columns in the database.

| Name           | Type        | Description                                                                 |
| `user_stats`           | `CHARACTER VARYING(3)` | Included for compatibility only; always `NO`.                                                       |
| `backing_table`        | `REGCLASS`  | Name of the subpartition backing table.                                                             |

### 3.52 DBA_TABLES

The `DBA_TABLES` view provides information about all tables in the database.

| Name                  | Type        | Description                                                                                          |
|-----------------------|-------------|------------------------------------------------------------------------------------------------------|
| `owner`               | `TEXT`      | User name of the table's owner.                                                                      |
| `schema_name`         | `TEXT`      | Name of the schema in which the table belongs.                                                       |
| `table_name`          | `TEXT`      | Name of the table.                                                                                   |
| `tablespace_name`     | `TEXT`      | Name of the tablespace in which the table resides if other than the default tablespace.               |
| `status`              | `CHARACTER VARYING(5)` | Included for compatibility only; always set to `VALID`.                                              |
| `temporary`           | `CHARACTER(1)` | `Y` if the table is temporary; `N` if the table is permanent.                                         |

### 3.53 DBA_TRIGGERS

The `DBA_TRIGGERS` view provides information about all triggers in the database.

| Name                  | Type        | Description                                                                                          |
|-----------------------|-------------|------------------------------------------------------------------------------------------------------|
| `owner`               | `TEXT`      | User name of the trigger's owner.                                                                    |
| `schema_name`         | `TEXT`      | The name of the schema in which the trigger resides.                                                 |
| `trigger_name`        | `TEXT`      | The name of the trigger.                                                                             |
| `trigger_type`        | `TEXT`      | The type of the trigger. Possible values are: `BEFORE ROW`, `BEFORE STATEMENT`, `AFTER ROW`, `AFTER STATEMENT`. |
| `triggering_event`    | `TEXT`      | The event that fires the trigger.                                                                    |
| `table_owner`         | `TEXT`      | The user name of the owner of the table on which the trigger is defined.                             |
| `base_object_type`    | `TEXT`      | Included for compatibility only. Value will always be `TABLE`.                                       |
| `table_name`          | `TEXT`      | The name of the table on which the trigger is defined.                                               |
| `referencing_names`   | `TEXT`      | Included for compatibility only. Value will always be `REFERENCING NEW AS NEW OLD AS OLD`.           |
| `status`              | `TEXT`      | Status indicates if the trigger is enabled (`VALID`) or disabled (`NOTVALID`).                       |
| `description`         | `TEXT`      | Included for compatibility only.                                                                     |
| `trigger_body`        | `TEXT`      | The body of the trigger.                                                                             |
| `action_statement`    | `TEXT`      | The SQL command that executes when the trigger fires.                                                |

### 3.54 DBA_TYPES

The `DBA_TYPES` view provides information about all object types in the database.

| Name                  | Type        | Description                                                                                          |
|-----------------------|-------------|------------------------------------------------------------------------------------------------------|
| `owner`               | `TEXT`      | The owner of the object type.                                                                        |
| `schema_name`         | `TEXT`      | The name of the schema in which the type is defined.                                                 |
| `type_name`           | `TEXT`      | The name of the type.                                                                                |
| `type_oid`            | `OID`       | The object identifier (OID) of the type.                                                             |
| `typecode`            | `TEXT`      | The typecode of the type. Possible values are: `OBJECT`, `COLLECTION`, `OTHER`.                      |
| `attributes`          | `INTEGER`   | The number of attributes in the type.                                                                |

### 3.55 DBA_USERS

The `DBA_USERS` view provides information about all users of the database.

| Name                        | Type        | Description                                                                                          |
|-----------------------------|-------------|------------------------------------------------------------------------------------------------------|
| `username`                  | `TEXT`      | User name of the user.                                                                               |
| `user_id`                   | `OID`       | ID number of the user.                                                                               |
| `password`                  | `CHARACTER VARYING(30)` | The password (encrypted) of the user.                                                                |
| `account_status`            | `CHARACTER VARYING(32)` | The current status of the account. Possible values are: `OPEN`, `EXPIRED`, `EXPIRED(GRACE)`, `EXPIRED & LOCKED`, `EXPIRED & LOCKED(TIMED)`, `EXPIRED(GRACE) & LOCKED`, `EXPIRED(GRACE) & LOCKED(TIMED)`, `LOCKED`, `LOCKED(TIMED)`. Use the `edb_get_role_status(role_id)` function to get the current status of the account. |
| `lock_date`                 | `TIMESTAMP WITHOUT TIME ZONE` | If the account status is `LOCKED`, `lock_date` displays the date and time the account was locked.    |
| `expiry_date`               | `TIMESTAMP WITHOUT TIME ZONE` | The expiration date of the password. Use the `edb_get_password_expiry_date(role_id)` function to get the current password expiration date. |
| `default_tablespace`        | `TEXT`      | The default tablespace associated with the account.                                                  |
| `temporary_tablespace`      | `CHARACTER VARYING(30)` | Included for compatibility only. The value will always be an empty string.                           |
| `created`                   | `TIMESTAMP WITHOUT TIME ZONE` | Included for compatibility only. The value is always `NULL`.                                          |
| `profile`                   | `CHARACTER VARYING(30)` | The profile associated with the user.                                                                |
| `initial_rsrc_consumer_group` | `CHARACTER VARYING(30)` | Included for compatibility only. The value is always `NULL`.                                          |
| `external_name`             | `CHARACTER VARYING(4000)` | Included for compatibility only. The value is always `NULL`.                                          |

### 3.56 DBA_VIEW_COLUMNS

The `DBA_VIEW_COLUMNS` view provides information on all columns in views in the database.

| Name                  | Type        | Description                                                                                          |
|-----------------------|-------------|------------------------------------------------------------------------------------------------------|
| `owner`               | `CHARACTER VARYING` | User name of the view's owner.                                                                       |
| `schema_name`         | `CHARACTER VARYING` | Name of the schema in which the view belongs.                                                        |
| `view_name`           | `CHARACTER VARYING` | Name of the view.                                                                                    |
| `column_name`         | `CHARACTER VARYING` | Name of the column.                                                                                  |
| `data_type`           | `CHARACTER VARYING` | Data type of the column.                                                                             |
| `data_length`         | `NUMERIC`    | Length of text columns.                                                                              |
| `data_precision`      | `NUMERIC`    | Precision (number of digits) for `NUMBER` columns.                                                   |
| `data_scale`          | `NUMERIC`    | Scale of `NUMBER` columns.                                                                           |
| `nullable`            | `CHARACTER(1)` | Whether or not the column is nullable: `Y` (nullable), `N` (not nullable).                           |
| `column_id`           | `NUMERIC`    | Relative position of the column within the view.                                                     |
| `data_default`        | `CHARACTER VARYING` | Default value assigned to the column.                                                                |

### 3.57 DBA_VIEWS

The `DBA_VIEWS` view provides information about all views in the database.

| Name                  | Type        | Description                                                                                          |
|-----------------------|-------------|------------------------------------------------------------------------------------------------------|
| `owner`               | `TEXT`      | User name of the view's owner.                                                                       |
| `schema_name`         | `TEXT`      | Name of the schema in which the view belongs.                                                        |
| `view_name`           | `TEXT`      | Name of the view.                                                                                    |
| `text`                | `TEXT`      | The text of the `SELECT` statement that defines the view.                                            |

### 3.58 USER_ALL_TABLES

The `USER_ALL_TABLES` view provides information about all tables owned by the current user.

| Name                  | Type        | Description                                                                                          |
|-----------------------|-------------|------------------------------------------------------------------------------------------------------|
| `schema_name`         | `TEXT`      | Name of the schema in which the table belongs.                                                       |
| `table_name`          | `TEXT`      | Name of the table.                                                                                   |
| `tablespace_name`     | `TEXT`      | Name of the tablespace in which the table resides if other than the default tablespace.               |
| `status`              | `CHARACTER VARYING(5)` | Included for compatibility only; always set to `VALID`.                                              |
| `temporary`           | `TEXT`      | `Y` if the table is temporary; `N` if the table is permanent.                                         |

### 3.59 USER_CONS_COLUMNS

The `USER_CONS_COLUMNS` view provides information about all columns that are included in constraints in tables owned by the current user.

| Name                  | Type        | Description                                                                                          |
|-----------------------|-------------|------------------------------------------------------------------------------------------------------|
| `owner`               | `TEXT`      | User name of the constraint's owner.                                                                 |
| `schema_name`         | `TEXT`      | Name of the schema in which the constraint belongs.                                                  |
| `constraint_name`     | `TEXT`      | The name of the constraint.                                                                          |
| `table_name`          | `TEXT`      | The name of the table to which the constraint belongs.                                               |
| `column_name`         | `TEXT`      | The name of the column referenced in the constraint.                                                 |
| `position`            | `SMALLINT`  | The position of the column within the object definition.                                             |
| `constraint_def`      | `TEXT`      | The definition of the constraint.                                                                    |

### 3.60 USER_CONSTRAINTS

The `USER_CONSTRAINTS` view provides information about all constraints placed on tables owned by the current user.

| Name                  | Type        | Description                                                                                          |
|-----------------------|-------------|------------------------------------------------------------------------------------------------------|
| `owner`               | `TEXT`      | The name of the owner of the constraint.                                                             |
| `schema_name`         | `TEXT`      | Name of the schema in which the constraint belongs.                                                  |
| `constraint_name`     | `TEXT`      | The name of the constraint.                                                                          |
| `constraint_type`     | `TEXT`      | The constraint type. Possible values are: `C` (check constraint), `F` (foreign key constraint), `P` (primary key constraint), `U` (unique key constraint), `R` (referential integrity constraint), `V` (constraint on a view), `O` (with read-only, on a view). |
| `table_name`          | `TEXT`      | Name of the table to which the constraint belongs.                                                   |
| `search_condition`    | `TEXT`      | Search condition that applies to a check constraint.                                                 |
| `r_owner`             | `TEXT`      | Owner of a table referenced by a referential constraint.                                             |
| `r_constraint_name`   | `TEXT`      | Name of the constraint definition for a referenced table.                                            |
| `delete_rule`         | `TEXT`      | The delete rule for a referential constraint. Possible values are: `C` (cascade), `R` (restrict), `N` (no action). |
| `deferrable`          | `BOOLEAN`   | Specified if the constraint is deferrable (`T` or `F`).                                              |
| `deferred`            | `BOOLEAN`   | Specifies if the constraint has been deferred (`T` or `F`).                                          |
| `index_owner`         | `TEXT`      | User name of the index owner.                                                                        |
| `index_name`          | `TEXT`      | The name of the index.                                                                               |
| `constraint_def`      | `TEXT`      | The definition of the constraint.                                                                    |

### 3.61 USER_DB_LINKS

The `USER_DB_LINKS` view provides information about all database links owned by the current user.

| Name                  | Type        | Description                                                                                          |
|-----------------------|-------------|------------------------------------------------------------------------------------------------------|
| `db_link`             | `TEXT`      | The name of the database link.                                                                       |
| `type`                | `CHARACTER VARYING` | Type of remote server. Value will be either `REDWOOD` or `EDB`.                                      |
| `username`            | `TEXT`      | User name of the user logging in.                                                                    |
| `password`            | `TEXT`      | Password used to authenticate on the remote server.                                                  |
| `host`                | `TEXT`      | Name or IP address of the remote server.                                                             |

### 3.62 USER_IND_COLUMNS

The `USER_IND_COLUMNS` view provides information about all columns referred to in indexes on tables owned by the current user.

| Name                  | Type        | Description                                                                                          |
|-----------------------|-------------|------------------------------------------------------------------------------------------------------|
| `schema_name`         | `TEXT`      | Name of the schema in which the index belongs.                                                       |
| `index_name`          | `TEXT`      | The name of the index.                                                                               |
| `table_name`          | `TEXT`      | The name of the table to which the index belongs.                                                    |
| `column_name`         | `TEXT`      | The name of the column.                                                                              |
| `column_position`     | `SMALLINT`  | The position of the column within the index.                                                         |
| `column_length`       | `SMALLINT`  | The length of the column (in bytes).                                                                 |
| `char_length`         | `NUMERIC`   | The length of the column (in characters).                                                            |
| `descend`             | `CHARACTER(1)` | Always set to `Y` (descending); included for compatibility only.                                     |

### 3.63 USER_INDEXES

The `USER_INDEXES` view provides information about all indexes on tables owned by the current user.

| Name                  | Type        | Description                                                                                          |
|-----------------------|-------------|------------------------------------------------------------------------------------------------------|
| `schema_name`         | `TEXT`      | Name of the schema in which the index belongs.                                                       |
| `index_name`          | `TEXT`      | The name of the index.                                                                               |
| `index_type`          | `TEXT`      | Included for compatibility only. The index type is always `BTREE`.                                   |
| `table_owner`         | `TEXT`      | User name of the owner of the indexed table.                                                         |
| `table_name`          | `TEXT`      | The name of the indexed table.                                                                       |
| `table_type`          | `TEXT`      | Included for compatibility only. Always set to `TABLE`.                                              |
| `uniqueness`          | `TEXT`      | Indicates if the index is `UNIQUE` or `NONUNIQUE`.                                                   |
| `compression`         | `CHARACTER(1)` | Included for compatibility only. Always set to `N` (not compressed).                                 |
| `tablespace_name`     | `TEXT`      | Name of the tablespace in which the table resides if other than the default tablespace.               |

---

**Copyright © 2007 - 2018 EnterpriseDB Corporation. All rights reserved.**
