### Achieving an Accuracy of 94%

DAI (Device-Aware Inference) attacks are executed based on the inferred home configuration.

### B. Validation of Attacks

This section outlines the methodology and results for validating DAI attacks in the two testbed environments, T1 and T2.

#### 1. Methodology

To facilitate the validation process, we requested the testbed members to assist by triggering automation rules through controlled behavior patterns. The instructions provided included specific daily activities such as entering or leaving the home through the garage door, entering a particular room, and so forth. For example, when testing Rules 14 and 15 in T1 and Rules 8 and 9 in T2, which are triggered by smoke or water leaks, we asked the testbed members to safely trigger the smoke and water sensors. Due to physical constraints, we used smart switches instead of real water valves and sprinklers for these rules.

While the testbed members were triggering the victim rules, our attack script was running to delay the actual device events or commands (see Table IV). To establish a ground truth for validation, we repeated the process over two days. On the first day, we set the delay period to 0 for all events and commands, effectively conducting no attacks. On the second day, we performed DAI attacks by setting specific time periods to delay the target event or command of the victim rules. We collected event and command logs for analysis, using the automation result from the first day as the ground truth for comparison.

We compared the automation results of each pair of victim rules on the second day (with attack) with those from the first day (without attack). If the results were the same, it indicated that the rules were not attacked on the second day. Otherwise, we manually verified whether the automation result on the second day was consistent with the expected attack result. If so, the attack was validated.

### Device Logs and Automation Evaluation

Device logs are essential for evaluating the correctness of automation. Among the nine platforms deployed in the testbeds, three (SmartThings, HomeKit, and Alexa) are non-endpoint platforms with access to a broader range of device types. However, Alexa does not provide a convenient logging tool. Therefore, we used the built-in logging functions in the SmartThings mobile app and a third-party mobile app, Home+ 4, to collect HomeKit data.

Since the Alexa devices in the testbeds can be accessed via SmartThings and/or HomeKit, all device events could be collected using at least one of these methods. Note that we did not collect logs for hub devices as they are not used in automation rules. For analysis convenience, we converted the raw event logs from the SmartThings and Home+ 4 apps (denoted as EST and EHK) into a uniform format. Each element (event) in the reformatted logs is a tuple: ⟨TestbedID, DeviceID, Attribute, Value, Timestamp⟩, where TestbedID, DeviceID, Attribute, and Value uniquely identify an event type. For example, a motion active event sent by device 7 in testbed T1 can be denoted as ⟨1, 7, motion, active⟩. An event type may have multiple instances at different timestamps, and the new event log is sorted by timestamp.

The timestamps of events represent the time instances when the platforms receive the events, which may be delayed by an attack. This is why we use the events from the first day, in the absence of attacks, as the ground truth. Based on the event logs EST and EHK from both days, we can track the execution of rules as in existing work [26], [51].

### Table II: IoT Devices and Their Connections to Platforms in T1 and T2

| d-ID | Device                          | Testbed T1 Connection Path to Platform                           | Testbed T2 Connection Path to Platform                           |
| T1      | 3   | When the hall door 11 is closed, if the home is in away mode, close garage door 21, turn on outlets 4, 5, 6, and set to home mode. | SmartThings |
| T1      | 4   | When the hall door 11 is closed, if the home is in home mode, open the garage door 21.              | HomeKit    |
| T1      | 5   | When the button 1 is pressed, set to away mode.                                                     | HomeKit    |
| T1      | 6   | When the user (smartphone as presence sensor) leaves, if the home is in away mode, close the garage door 21. | HomeKit    |
| T1      | 7   | When the garage door 21 is closed, if the home is in away mode, lock the front door 12 and hall door 13. | SmartThings |
| T1      | 8   | When kitchen time (12pm, 7pm), if motion 9 is active in the kitchen, turn on the heater switch 3.  | HomeKit    |
| T1      | 9   | When power 20 exceeds 2500W, if motion 7-9 is inactive in all rooms, turn off the outlet 20.       | SmartThings |
| T1      | 10  | When the front door 10 is opened, if the home is in away mode, turn on outlets 4, 5, 6, and set to home mode. | HomeKit    |
| T1      | 11  | When motion 7 is detected in living room, turn on the humidifier 14, ceiling lamp 16, and floor lamp 15. | HomeKit    |
| T1      | 12  | When motion 8 is detected in bedroom, if luminance 25 is below 15 lux, turn on the ceiling lamp 17 and floor lamp 18. | HomeKit    |
| T1      | 13  | When motion 8 is detected in bedroom, turn on the ceiling lamp 17.                                 | HomeKit    |
| T1      | 14  | When smoke 2 is detected in kitchen, if the user (smartphone as presence sensor) is off, turn on the sprinkler 24. | SmartThings |
| T1      | 15  | When water leak 22 is detected in kitchen, if no smoke 2 is detected, close the water valve 23.    | SmartThings |
| T1      | 16  | When the user (smartphone as presence sensor) leaves, turn off the humidifier 14, lights 15, 16, 17, 18, 19, and plugs 4, 5, 6. | HomeKit    |
| T1      | 17  | When 11pm, turn off the humidifier 14.                                                             | HomeKit    |
| T1      | 18  | Say “Alexa, good morning” to turn on light 17.                                                      | Alexa      |
| T1      | 19  | Say “Alexa, good night” to turn off the lights 15, 16, 17, 18, 19.                                  | Alexa      |
| T2      | 1   | When user 1 arrives, unlock the front door lock 2.                                                 | SmartThings |
| T2      | 2   | When the door lock 2 is unlocked, turn on the surveillance camera 3; when the lock 2 is locked, turn off the camera 3. | SmartThings |
| T2      | 3   | When luminance 5 exceeds 20 lux, if motion 8 is inactive, turn off the living room light 9.        | HomeKit    |
| T2      | 4   | When luminance 5 drops below 20 lux, if the user 1 is at home, turn on the living room light 9.    | HomeKit    |
| T2      | 5   | When front door 21 is opened, if motion 4 is active, turn on outlets 13, 14.                       | HomeKit    |
| T2      | 6   | When motion 7 is detected in study room, turn on the humidifier 16.                                | HomeKit    |
| T2      | 7   | When user 1 leaves, close the water valve 17 and lock the door 2.                                  | SmartThings |
| T2      | 8   | When smoke 18 is detected, open the water valve 17.                                                | SmartThings |
| T2      | 9   | When smoke 18 is detected, open the sprinkler 19.                                                  | SmartThings |
| T2      | 10  | When 6pm, turn on the heater switch 12.                                                            | HomeKit    |
| T2      | 11  | When temperature 6 exceeds 75°F, if the user 1 is at home, open the window 15.                     | SmartThings |
| T2      | 12  | When motion 20 is detected in bathroom, turn on the bathroom light 10.                             | HomeKit    |
| T2      | 13  | When no motion 20 is detected in bathroom, turn off the bathroom light 10.                         | HomeKit    |
| T2      | 14  | When the user leaves (smartphone as presence sensor), turn off the humidifier 16 and outlets 12, 13, 14. | HomeKit    |
| T2      | 15  | Say “Hey Siri, turn off the heater” to turn off the heater outlet 12.                               | HomeKit    |
| T2      | 16  | Say “Hey Siri, turn off the humidifier” to turn off the humidifier 16.                              | HomeKit    |
| T2      | 17  | Say “Alexa, good night” to turn off the lights 9, 10, 11, and close the window 15.                  | Alexa      |

This structured and detailed approach ensures clarity and coherence in the presentation of the methodology, results, and device configurations.
