9.3.3 尾递归
12.2 随机数函数和静态变量
12.3 掷骰子
12.4 分配内存：malloc()和free()
12.4.1 free()的重要性
12.4.2 calloc()函数
12.4.3 动态内存分配和变长数组
12.4.4 存储类别和动态内存分配
12.5 ANSI C类型限定符
12.5.1 const类型限定符
12.5.2 volatile类型限定符
12.5.3 restrict类型限定符
12.5.4 _Atomic类型限定符（C11）
12.5.5 旧关键字的新位置
12.6 关键概念
12.7 本章小结
12.8 复习题
12.9 编程练习
第13章 文件输入/输出
13.1 与文件进行通信
13.1.1 文件是什么
12
13.1.2 文本模式和二进制模式
13.1.3 I/O的级别
13.1.4 标准文件
13.2 标准I/O
13.2.1 检查命令行参数
13.2.2 fopen()函数
13.2.3 getc()和putc()函数
13.2.4 文件结尾
13.2.5 fclose()函数
13.2.6 指向标准文件的指针
13.3 一个简单的文件压缩程序
13.4 文件I/O：fprintf()、fscanf()、fgets()和fputs()
13.4.1 fprintf()和fscanf()函数
13.4.2 fgets()和fputs()函数
13.5 随机访问：fseek()和ftell()
13.5.1 fseek()和ftell()的工作原理
13.5.2 二进制模式和文本模式
13.5.3 可移植性
13.5.4 fgetpos()和fsetpos()函数
13.6 标准I/O的机理
13.7 其他标准I/O函数
13.7.1 int ungetc(int c, FILE *fp)函数
13.7.2 int fflush()函数
13.7.3 int setvbuf()函数
13.7.4 二进制I/O：fread()和fwrite()
13.7.5 size_t fwrite()函数
13.7.6 size_t fread()函数
13.7.7 int feof(FILE *fp)和int ferror(FILE *fp)函数
13.7.8 一个程序示例
13.7.9 用二进制I/O进行随机访问
13.8 关键概念
13.9 本章小结
13.10 复习题
13
13.11 编程练习
第14章 结构和其他数据形式
14.1 示例问题：创建图书目录
14.2 建立结构声明
14.3 定义结构变量
14.3.1 初始化结构
14.3.2 访问结构成员
14.3.3 结构的初始化器
14.4 结构数组
14.4.1 声明结构数组
14.4.2 标识结构数组的成员
14.4.3 程序讨论
14.5 嵌套结构
14.6 指向结构的指针
14.6.1 声明和初始化结构指针
14.6.2 用指针访问成员
14.7 向函数传递结构的信息
14.7.1 传递结构成员
14.7.2 传递结构的地址
14.7.3 传递结构
14.7.4 其他结构特性
14.7.5 结构和结构指针的选择
14.7.6 结构中的字符数组和字符指针
14.7.7 结构、指针和malloc()
14.7.8 复合字面量和结构（C99）
14.7.9 伸缩型数组成员（C99）
14.7.10 匿名结构（C11）
14.7.11 使用结构数组的函数
14.8 把结构内容保存到文件中
14.8.1 保存结构的程序示例
14.8.2 程序要点
14.9 链式结构
14.10 联合简介
14
14.10.1 使用联合
14.10.2 匿名联合（C11）
14.11 枚举类型
14.11.1 enum常量
14.11.2 默认值
14.11.3 赋值
14.11.4 enum的用法
14.11.5 共享名称空间
14.12 typedef简介
14.13 其他复杂的声明
14.14 函数和指针
14.15 关键概念
14.16 本章小结
14.17 复习题
14.18 编程练习
第15章 位操作
15.1 二进制数、位和字节
15.1.1 二进制整数
15.1.2 有符号整数
15.1.3 二进制浮点数
15.2 其他进制数
15.2.1 八进制
15.2.2 十六进制
15.3 C按位运算符
15.3.1 按位逻辑运算符
15.3.2 用法：掩码
15.3.3 用法：打开位（设置位）
15.3.4 用法：关闭位（清空位）
15.3.5 用法：切换位
15.3.6 用法：检查位的值
15.3.7 移位运算符
15.3.8 编程示例
15.3.9 另一个例子
15
15.4 位字段
15.4.1 位字段示例
15.4.2 位字段和按位运算符
15.5 对齐特性（C11）
15.6 关键概念
15.7 本章小结
15.8 复习题
15.9 编程练习
第16章 C预处理器和C库
16.1 翻译程序的第一步
16.2 明示常量：#define
16.2.1 记号
16.2.2 重定义常量
16.3 在#define中使用参数
16.3.1 用宏参数创建字符串：#运算符
16.3.2 预处理器黏合剂：##运算符
16.3.3 变参宏：...和_ _VA_ARGS_ _
16.4 宏和函数的选择
16.5 文件包含：#include
16.5.1 头文件示例
16.5.2 使用头文件
16.6 其他指令
16.6.1 #undef指令
16.6.2 从C预处理器角度看已定义
16.6.3 条件编译
16.6.4 预定义宏
16.6.5 #line和#error
16.6.6 #pragma
16.6.7 泛型选择（C11）
16.7 内联函数（C99）
16.8 _Noreturn函数（C11）
16.9 C库
16.9.1 访问C库
16
