# 二叉树与栈相关问题概览

以下是关于二叉树和栈的一些常见问题及其难度、通过率等信息。这些问题涵盖了括号匹配、栈的基本操作、利用栈进行编码及单调栈的应用等方面。

## 问题列表
| 题目编号 | 题目名称 | 通过率 | 难度 |
| --- | --- | --- | --- |
| 42.1% | 二叉树Zigzag层次遍历 | 42.1% | 中等 |
| 51.7% | 144题 | 51.7% | 中等 |
| 48.9% | 145题 | 48.9% | 困难 |
| 32.5% | 逆波兰表达式求值 | 32.5% | 中等 |
| 37.5% | 最小栈 | 37.5% | 简单 |
| 48.1% | 二叉搜索树迭代器 | 48.1% | 中等 |
| 33.0% | 基本计算器 | 33.0% | 困难 |
| 39.6% | 使用队列实现栈 | 39.6% | 简单 |
| 43.7% | 使用栈实现队列 | 43.7% | 简单 |
| 45.4% | 最接近的二叉搜索树值 I | 45.4% | 困难 |
| 32.8% | 316题 | 32.8% | 困难 |
| 38.8% | 二叉树的后序遍历 | 38.8% | 中等 |
| 48.2% | 386题 | 48.2% | 中等 |
| 31.9% | 34题 | 31.9% | 困难 |
| 45.2% | 解码字符串 | 45.2% | 中等 |
| 26.7% | 移除K位数字 | 26.7% | 中等 |
| 53.7% | 456题 | 53.7% | 中等 |
| 27.4% | 132模式 | 27.4% | 中等 |
| 61.2% | 棒球比赛 | 61.2% | 简单 |
| 44.9% | 原子的数量 | 44.9% | 困难 |
| 38.6% | 小行星碰撞 | 38.6% | 中等 |
| 60.1% | 每日温度 | 60.1% | 中等 |
| 43.4% | 基本计算器 III | 43.4% | 困难 |
| 46.1% | 后退键字符串比较 | 46.1% | 简单 |
| 56.5% | 括号得分 | 56.5% | 中等 |
| 23.0% | 在索引处解码字符串 | 23.0% | 中等 |
| 56.4% | 奇偶跳 | 56.4% | 困难 |
| 48.4% | 在线股票跨度 | 48.4% | 中等 |
| 27.6% | 子数组最小之和 | 27.6% | 中等 |
| 70.3% | 最小添加以使括号有效 | 70.3% | 中等 |
| 57.5% | 验证堆栈序列 | 57.5% | 中等 |
| 47.1% | 编码偶数跳跃 | 47.1% | 困难 |
| 74.2% | 有效的子数组数量 | 74.2% | 困难 |
| 56.5% | 链表中的节点 | 56.5% | 中等 |
| 75.7% | 字符串替换 | 75.7% | 简单 |

## 栈相关问题分类
- **空间复杂度**：O(1)

### 第394题：解码字符串
- **语言**：Go
- **难度**：中等
- **时间复杂度**：O(n)
- **空间复杂度**：O(n)

### 第402题：移除K位数字
- **语言**：Go
- **难度**：中等
- **时间复杂度**：O(n)
- **空间复杂度**：O(1)

### 第456题：132模式
- **语言**：Go
- **难度**：中等
- **时间复杂度**：O(n)
- **空间复杂度**：O(n)

### 第496题：下一个更大元素 I
- **语言**：Go
- **难度**：简单
- **时间复杂度**：O(n)
- **空间复杂度**：O(n)

### 第503题：下一个更大元素 II
- **语言**：Go
- **难度**：中等
- **时间复杂度**：O(n)
- **空间复杂度**：O(n)

### 第636题：函数的独占时间
- **语言**：Go
- **难度**：中等
- **时间复杂度**：O(n)
- **空间复杂度**：O(n)

### 第682题：棒球比赛
- **语言**：Go
- **难度**：简单
- **时间复杂度**：O(n)
- **空间复杂度**：O(n)

### 第726题：原子的数量
- **语言**：Go
- **难度**：困难
- **时间复杂度**：O(n)
- **空间复杂度**：O(n)

### 第735题：小行星碰撞
- **语言**：Go
- **难度**：中等
- **时间复杂度**：O(n)
- **空间复杂度**：O(n)

### 第739题：每日温度
- **语言**：Go
- **难度**：中等
- **时间复杂度**：O(n)
- **空间复杂度**：O(n)

### 第844题：后退键字符串比较
- **语言**：Go
- **难度**：简单
- **时间复杂度**：O(n)
- **空间复杂度**：O(n)

### 第856题：括号得分
- **语言**：Go
- **难度**：中等
- **时间复杂度**：O(n)
- **空间复杂度**：O(n)

### 第880题：在索引处解码字符串
- **语言**：Go
- **难度**：中等
- **时间复杂度**：O(n)
- **空间复杂度**：O(n)

### 第895题：最大频率栈
- **语言**：Go
- **难度**：困难
- **时间复杂度**：O(n)
- **空间复杂度**：O(n)

### 第901题：在线股票跨度
- **语言**：Go
- **难度**：中等
- **时间复杂度**：O(n)
- **空间复杂度**：O(n)

### 第907题：子数组最小之和
- **语言**：Go
- **难度**：中等
- **时间复杂度**：O(n)
- **空间复杂度**：O(n)

### 第921题：最小添加以使括号有效
- **语言**：Go
- **难度**：中等
- **时间复杂度**：O(n)
- **空间复杂度**：O(n)

### 第946题：验证堆栈序列
- **语言**：Go
- **难度**：中等
- **时间复杂度**：O(n)
- **空间复杂度**：O(n)

### 第1003题：检查单词是否有效
- **语言**：Go
- **难度**：中等
- **时间复杂度**：O(n)
- **空间复杂度**：O(1)

### 第1019题：链表中的下一个更大节点
- **语言**：Go
- **难度**：中等
- **时间复杂度**：O(n)
- **空间复杂度**：O(n)

### 第1021题：删除最外层的括号
- **语言**：Go
- **难度**：中等
- **时间复杂度**：O(n)
- **空间复杂度**：O(1)

### 第1047题：删除所有相邻重复项
- **语言**：Go
- **难度**：中等
- **时间复杂度**：O(n)
- **空间复杂度**：O(1)

### 第3题：无重复字符的最长子串
- **语言**：Go
- **难度**：中等
- **时间复杂度**：O(n)
- **空间复杂度**：O(1)

### 第17题：电话号码的字母组合
- **语言**：Go
- **难度**：中等
- **时间复杂度**：O(log n)
- **空间复杂度**：O(1)
