## ❓ Questions and Help
hi  
I am new at pytorch
i try to install pytorch with ROCm and step by step following https://rocm-
documentation.readthedocs.io/en/latest/Deep_learning/Deep-
learning.html#building-pytorch-for-rocm
output of "PYTORCH_TEST_WITH_ROCM=1 python test/run_test.py --verbose" should
    test_addcdiv_scalar_scale_broadcast_lhs (__main__.TestAutograd) ... ok
    test_addcdiv_scalar_scale_broadcast_rhs (__main__.TestAutograd) ... ok
    test_addcdiv_scale (__main__.TestAutograd) ... ok
    test_addcdiv_scale_broadcast_all (__main__.TestAutograd) ... ok
    test_addcdiv_scale_broadcast_rhs (__main__.TestAutograd) ... ok
    test_addcmul (__main__.TestAutograd) ... ok
    test_addcmul_broadcast_all (__main__.TestAutograd) ... ok
    test_addcmul_broadcast_rhs (__main__.TestAutograd) ... ok
    test_addcmul_scalar (__main__.TestAutograd) ... ok
    test_addcmul_scalar_broadcast_lhs (__main__.TestAutograd) ... ok
    test_addcmul_scalar_broadcast_rhs (__main__.TestAutograd) ... ok
    test_addcmul_scalar_scale (__main__.TestAutograd) ... ok
    test_addcmul_scalar_scale_broadcast_lhs (__main__.TestAutograd) ... ok
    test_addcmul_scalar_scale_broadcast_rhs (__main__.TestAutograd) ... ok
    test_addcmul_scale (__main__.TestAutograd) ... ok
    test_addcmul_scale_broadcast_all (__main__.TestAutograd) ... ok
    test_addcmul_scale_broadcast_rhs (__main__.TestAutograd) ... ok
    test_addmm (__main__.TestAutograd) ... ok
    test_addmm_broadcast_lhs (__main__.TestAutograd) ... ok
    test_addmm_broadcast_lhs_coef (__main__.TestAutograd) ... ok
    test_addmm_coef (__main__.TestAutograd) ... ok
    test_addmm_scalar_broadcast_lhs (__main__.TestAutograd) ... ok
    test_addmm_scalar_broadcast_lhs_coef (__main__.TestAutograd) ... ok
    test_addmv (__main__.TestAutograd) ... ok
    test_addmv_broadcast_lhs (__main__.TestAutograd) ... ok
    test_addmv_broadcast_lhs_coef (__main__.TestAutograd) ... ok
    test_addmv_coef (__main__.TestAutograd) ... ok
    test_addmv_scalar_broadcast_lhs (__main__.TestAutograd) ... ok
    test_addmv_scalar_broadcast_lhs_coef (__main__.TestAutograd) ... ok
    test_addr (__main__.TestAutograd) ... ok
    test_addr_broadcast_lhs (__main__.TestAutograd) ... ok
    test_addr_broadcast_lhs_coef (__main__.TestAutograd) ... ok
    test_addr_coef (__main__.TestAutograd) ... ok
    test_anomaly_detect_nan (__main__.TestAutograd) ... ok
    test_as_strided (__main__.TestAutograd) ... ok
    test_asin (__main__.TestAutograd) ... ok
    test_atan (__main__.TestAutograd) ... ok
    test_atan2 (__main__.TestAutograd) ... ok
    test_atan2_broadcast_all (__main__.TestAutograd) ... ok
    test_atan2_broadcast_lhs (__main__.TestAutograd) ... ok
    test_atan2_broadcast_rhs (__main__.TestAutograd) ... ok
    test_atan2_scalar (__main__.TestAutograd) ... ok
    test_atan_scalar (__main__.TestAutograd) ... ok
    test_attribute_deletion (__main__.TestAutograd) ... ok
    test_backward (__main__.TestAutograd) ... ok
    test_backward_badcalls (__main__.TestAutograd) ... ok
    test_backward_copy (__main__.TestAutograd) ... ok
    test_backward_no_grad (__main__.TestAutograd) ... ok
    test_backward_twice_retained_graph_with_saved_values (__main__.TestAutograd) ... ok
    test_backward_twice_retained_graph_without_saved_values (__main__.TestAutograd) ... ok
    test_backward_twice_with_saved_values (__main__.TestAutograd) ... ok
    test_backward_twice_without_saved_values (__main__.TestAutograd) ... ok
    test_baddbmm (__main__.TestAutograd) ... ok
    test_baddbmm_broadcast_lhs (__main__.TestAutograd) ... ok
    test_baddbmm_broadcast_lhs_coef (__main__.TestAutograd) ... ok
    test_baddbmm_coef (__main__.TestAutograd) ... ok
    test_baddbmm_scalar_broadcast_lhs (__main__.TestAutograd) ... ok
    test_baddbmm_scalar_broadcast_lhs_coef (__main__.TestAutograd) ... ok
    test_bmm (__main__.TestAutograd) ... ok
    test_broadcast_tensors (__main__.TestAutograd) ... ok
    test_call_legacy_twice (__main__.TestAutograd) ... /root/pytorch/torch/csrc/autograd/python_function.cpp:622: UserWarning: Legacy autograd function with non-static forward method is deprecated and will be removed in 1.3. Please use new-style autograd function with static forward method. (Example: https://pytorch.org/docs/stable/autograd.html#torch.autograd.Function)
      "(Example: https://pytorch.org/docs/stable/autograd.html#torch.autograd.Function)");
    ok
    test_cat (__main__.TestAutograd) ... ok
    test_cat_empty (__main__.TestAutograd) ... ok
    test_cat_empty_legacy (__main__.TestAutograd) ... ok
    test_cat_negdim_1 (__main__.TestAutograd) ... ok
    test_cat_negdim_2 (__main__.TestAutograd) ... ok
    test_ceil (__main__.TestAutograd) ... ok
    test_ceil_scalar (__main__.TestAutograd) ... ok
    test_chain_matmul (__main__.TestAutograd) ... ok
    test_checkpointing (__main__.TestAutograd) ... skipped 'test is slow; run with PYTORCH_TEST_WITH_SLOW to enable test'
    test_cholesky (__main__.TestAutograd) ... ok
    test_cholesky_inverse (__main__.TestAutograd) ... ok
    test_cholesky_solve (__main__.TestAutograd) ... ok
    test_chunk (__main__.TestAutograd) ... ok
    test_chunk_dim (__main__.TestAutograd) ... ok
    test_chunk_dim_neg0 (__main__.TestAutograd) ... ok
    test_clamp (__main__.TestAutograd) ... ok
    test_clamp_max (__main__.TestAutograd) ... ok
    test_clamp_max_scalar (__main__.TestAutograd) ... ok
    test_clamp_max_scalar_kwarg (__main__.TestAutograd) ... ok
    test_clamp_min (__main__.TestAutograd) ... ok
    test_clamp_min_scalar (__main__.TestAutograd) ... ok
    test_clamp_scalar (__main__.TestAutograd) ... ok
    test_clone (__main__.TestAutograd) ... ok
    test_clone_scalar (__main__.TestAutograd) ... ok
    test_contiguous (__main__.TestAutograd) ... ok
    test_contiguous_not_contiguous (__main__.TestAutograd) ... ok
    test_cos (__main__.TestAutograd) ... ok
    test_cos_scalar (__main__.TestAutograd) ... ok
    test_cosh (__main__.TestAutograd) ... ok
    test_cosh_scalar (__main__.TestAutograd) ... ok
    test_cross (__main__.TestAutograd) ... ok
    test_cross_dim (__main__.TestAutograd) ... ok
    test_cumprod (__main__.TestAutograd) ... ok
    test_cumprod_dim1 (__main__.TestAutograd) ... ok
    test_cumprod_dim1_neg0 (__main__.TestAutograd) ... ok
    test_cumprod_scalar (__main__.TestAutograd) ... ok
    test_cumprod_scalar_zeros (__main__.TestAutograd) ... ok
    test_cumprod_zeros_dim0 (__main__.TestAutograd) ... ok
    test_cumprod_zeros_dim0_cast (__main__.TestAutograd) ... ok
    test_cumprod_zeros_dim0_cast_neg0 (__main__.TestAutograd) ... ok
    test_cumprod_zeros_dim0_neg0 (__main__.TestAutograd) ... ok
    test_cumprod_zeros_dim1 (__main__.TestAutograd) ... ok
    test_cumprod_zeros_dim1_neg0 (__main__.TestAutograd) ... ok
    test_cumprod_zeros_dim2 (__main__.TestAutograd) ... ok
    test_cumprod_zeros_dim2_neg0 (__main__.TestAutograd) ... ok
    test_cumsum_dim0 (__main__.TestAutograd) ... ok
    test_cumsum_dim0_neg0 (__main__.TestAutograd) ... ok
    test_cumsum_dim0_scalar (__main__.TestAutograd) ... ok
    test_cumsum_dim0_scalar_neg0 (__main__.TestAutograd) ... ok
    test_cumsum_dim1 (__main__.TestAutograd) ... ok
    test_cumsum_dim1_cast (__main__.TestAutograd) ... ok
    test_cumsum_dim1_cast_neg0 (__main__.TestAutograd) ... ok
    test_cumsum_dim1_neg0 (__main__.TestAutograd) ... ok
    test_custom_autograd_no_early_free (__main__.TestAutograd) ... ok
    test_custom_autograd_repeated_grad_grad (__main__.TestAutograd) ... ok
    test_deep_reentrant (__main__.TestAutograd) ... ok
    test_dep_nograd (__main__.TestAutograd) ... ok
    test_dependent_backward (__main__.TestAutograd) ... ok
    test_det (__main__.TestAutograd) ... ok
    test_det_1x1 (__main__.TestAutograd) ... ok
    test_det_batched (__main__.TestAutograd) ... ok
    test_det_batched_1x1 (__main__.TestAutograd) ... ok
    test_det_batched_distinct_singular_values (__main__.TestAutograd) ... ok
    test_det_batched_symmetric (__main__.TestAutograd) ... ok
    test_det_batched_symmetric_pd (__main__.TestAutograd) ... ok
    test_det_batched_symmetric_psd (__main__.TestAutograd) ... ok
    test_det_dim2_null (__main__.TestAutograd) ... ok
    test_det_distinct_singular_values (__main__.TestAutograd) ... ok
    test_det_rank1 (__main__.TestAutograd) ... ok
    test_det_rank2 (__main__.TestAutograd) ... ok
    test_det_symmetric (__main__.TestAutograd) ... ok
    test_det_symmetric_pd (__main__.TestAutograd) ... ok
    test_det_symmetric_psd (__main__.TestAutograd) ... ok
    test_detach (__main__.TestAutograd) ... ok
    test_detach_base (__main__.TestAutograd)
    detaching base does not detach view ... ok
    test_diag_1d (__main__.TestAutograd) ... ok
    test_diag_2d (__main__.TestAutograd) ... ok
    test_diag_2d_1 (__main__.TestAutograd) ... ok
    test_diag_2d_2 (__main__.TestAutograd) ... ok
    test_diag_2d_tall (__main__.TestAutograd) ... ok
    test_diag_2d_tall_neg (__main__.TestAutograd) ... ok
    test_diag_2d_tall_pos (__main__.TestAutograd) ... ok
    test_diag_2d_wide (__main__.TestAutograd) ... ok
    test_diag_2d_wide_neg (__main__.TestAutograd) ... ok
    test_diag_2d_wide_pos (__main__.TestAutograd) ... ok
    test_diag_embed (__main__.TestAutograd) ... ok
    test_diagonal_2d (__main__.TestAutograd) ... ok
    test_diagonal_2d_1 (__main__.TestAutograd) ... ok
    test_diagonal_2d_2 (__main__.TestAutograd) ... ok
