LineId,Date,Time,Pid,Tid,Level,Component,Content,EventId,EventTemplate
43,03-17,16:13:40.147,1702,2633,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E103,"ready=true,policy=,wakefulness=,wksummary=,uasummary=,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=,auto=,adj=.0userId="
44,03-17,16:13:40.148,1702,2395,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E103,"ready=true,policy=,wakefulness=,wksummary=,uasummary=,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=,auto=,adj=.0userId="
45,03-17,16:13:40.150,1702,2556,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E103,"ready=true,policy=,wakefulness=,wksummary=,uasummary=,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=,auto=,adj=.0userId="
46,03-17,16:13:40.190,1702,2250,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E103,"ready=true,policy=,wakefulness=,wksummary=,uasummary=,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=,auto=,adj=.0userId="
47,03-17,16:13:40.241,2626,8682,W,PhoneInterfaceManager,shouldBlockLocation running ...,E130,shouldBlockLocation running ...
48,03-17,16:13:40.241,2626,8682,I,PhoneInterfaceManager,shouldBlockLocation  ret:false,E128,shouldBlockLocation  ret:false
49,03-17,16:13:40.280,2626,2642,W,PhoneInterfaceManager,shouldBlockLocation running ...,E130,shouldBlockLocation running ...
50,03-17,16:13:40.280,2626,2642,I,PhoneInterfaceManager,shouldBlockLocation  ret:false,E128,shouldBlockLocation  ret:false
51,03-17,16:13:40.305,3664,3807,D,TelephonyManager,getNeighboringCellInfo calling app is com.amap.android.ams,E54,getNeighboringCellInfo calling app is 
52,03-17,16:13:40.307,2626,23469,W,PhoneInterfaceManager,shouldBlockLocation running ...,E130,shouldBlockLocation running ...
