CoordinateRecord(32.788160, 34.960660) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788140, 34.960520) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788140, 34.960530) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788140, 34.960560) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788140, 34.960590) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788140, 34.960630) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788140, 34.960650) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788140, 34.960660) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788140, 34.960670) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788140, 34.960700) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788140, 34.960730) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788140, 34.960770) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788090, 34.960510) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788090, 34.960520) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788090, 34.960530) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788090, 34.960550) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788090, 34.960610) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788090, 34.960620) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788090, 34.960630) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788090, 34.960650) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788090, 34.960660) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788090, 34.960670) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788090, 34.960690) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788090, 34.960700) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788090, 34.960710) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788090, 34.960740) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788090, 34.960780) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788090, 34.960790) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788080, 34.960530) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788080, 34.960630) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788080, 34.960670) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788080, 34.960710) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788080, 34.960730) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788080, 34.960770) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788080, 34.960790) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788070, 34.960510) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788070, 34.960520) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788070, 34.960530) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788070, 34.960560) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788070, 34.960610) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788070, 34.960620) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788070, 34.960630) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788070, 34.960650) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788070, 34.960660) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788070, 34.960670) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788070, 34.960690) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788070, 34.960700) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788070, 34.960710) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788070, 34.960730) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788070, 34.960740) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788070, 34.960750) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788070, 34.960790) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788060, 34.960530) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788060, 34.960550) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
CoordinateRecord(32.788060, 34.960620) Elbit, כביש חיפה רעננה, נאות פרס, חיפה, נפת חיפה, מחוז חיפה, no, ישראל (ישראל)
