### 术语表

#### 加密 (Encryption)
- **定义**: 在计算机犯罪中，可以在法庭上用于证明攻击者身份和行为的任何硬件、软件或数据。

#### 过度的特权 (Excessive Privileges)
- **定义**: 指用户拥有超出其工作任务所需的访问权限、特权或许可。一旦发现用户账户具有过度的特权，应立即撤销额外的和不必要的特权。

#### 离职面谈 (Exit Interview)
- **定义**: 中止合同策略的一部分。为了防止机密和敏感信息泄露，提醒被解雇的员工他们应承担的法律责任。

#### 期望最大化 (Expectation Maximization, EM)
- **定义**: 一种数据挖掘技术，基于用户与组织的联系、数据中心与用户的物理距离、一天中的时间等属性来开发正常用户行为模型。

#### 专家观点 (Expert Opinion)
- **定义**: 由接受过特定领域教育且目前从事该领域工作的专家提供的观点和事实组成的一种证据类型。

#### 专家系统 (Expert System)
- **定义**: 一种系统，旨在寻找特定主题的具体化人类累积知识，并用于为未来的决策提供一致的形式。

#### 暴露 (Exposure)
- **定义**: 由于威胁而容易造成资产损失的状态。暴露包括容易被威胁主体或事件利用的脆弱性。

#### 暴露因子 (Exposure Factor, EF)
- **定义**: 如果已发生的风险危害到某种特殊资产，组织将受到的损失百分比。

#### 可扩展访问控制标记语言 (Extensible Access Control Markup Language, XACML)
- **定义**: 一种标记语言，用于在XML格式内定义访问控制策略，并通常实现基于角色的访问控制。它有助于为联盟中的所有成员提供保证，确保他们向不同角色授予相同的访问级别。

#### 可扩展标记语言 (Extensible Markup Language, XML)
- **定义**: 一种标记语言，定义了人类和机器可读的文档格式和编码规则。

#### 外部网 (Extranet)
- **定义**: 互联网和内部网之间的中间物。外部网是组织网络的一部分，对于专用网络来说是一个内部网，同时为公共互联网提供信息服务。外部网常用于提供商和用户之间的B2B应用。

#### 面部扫描 (Face Scan)
- **定义**: 生物特征识别的一个例子，指主体唯一具有的行为或生理特征。面部扫描通过使用某人的面部形状和特征布局来建立身份标识或提供身份认证。

#### 应急开放 (Fail-Open)
- **定义**: 系统对故障的一种响应，默认进入“允许”状态。

#### 故障防护 (Fail-Safe)
- **定义**: 系统对故障的一种响应，默认进入“拒绝”状态。

#### 故障转移 (Failover)
- **定义**: 当主系统发生故障时，将工作负载或流量重定向到备份系统。

#### 公正密码系统 (Fair Cryptosystems)
- **定义**: 美国政府试图为所有加密解决方案创建后门的失败尝试。该技术使用了分派在若干受托人之间的分段密钥。

#### 误接受率 (False Acceptance Rate, FAR)
- **定义**: 生物特征识别设备不够敏感时，非法主体通过身份认证时发生的错误。

#### 假性负面 (False Negative)
- **定义**: 当漏洞扫描器漏掉漏洞并未警告管理员存在危险情况时发生的错误。

#### 假性正面 (False Positive)
- **定义**: 安全扫描器可能没有足够的信息来最终确定一个漏洞的存在时，在没有问题的情况下报告漏洞的情况。也被称为将良性问题视为恶意事件。

#### 误拒绝率 (False Rejection Rate, FRR)
- **定义**: 生物特征识别设备过于敏感时，合法主体未能通过身份认证时发生的错误，也称为第一类错误。

#### 儿童教育权利和隐私法案 (Family Educational Rights and Privacy Act, FERPA)
- **定义**: 一种特殊的隐私法案，影响所有接受美国联邦政府资助的教育机构（绝大多数学校）。该法案赋予18岁以上的学生和未成年学生的父母特定的隐私权。

#### 故障 (Fault)
- **定义**: 瞬间失去电力。

#### 错误容错 (Fault Tolerance)
- **定义**: 一种系统在遭受故障后仍能继续运行的能力。容错通常通过添加冗余组件（如RAID中的额外磁盘或故障转移群集配置中的额外服务器）来实现。

#### 联邦信息处理标准 140 (Federal Information Processing Standard 140, FIPS-140)
- **定义**: FIPS-140为美国联邦政府使用的密码学模块定义了硬件和软件要求。

#### 联邦信息安全管理法案 (Federal Information Security Management Act, FISMA)
- **定义**: 2002年通过的FISMA要求联邦机构实施涵盖机构运营的信息安全项目，并要求政府部门（包括承包商）的活动在安全管理项目内。

#### 联邦判决指导原则 (Federal Sentencing Guidelines)
- **定义**: 1991年颁布的针对违反联邦法律提供判决指导原则的法律。

#### 反馈循环特征 (Feedback Loop Characteristic)
- **定义**: 现代瀑布模型中的一种能力，允许开发返回到上一阶段以纠正后续阶段发现的缺陷。

#### 栅栏 (Fence)
- **定义**: 一种外围设备，用于明确区分受特殊安全级别保护的区域和其他区域。栅栏围墙可以包括各种材料和建造方法。

#### 以太网光纤通道 (Fibre Channel over Ethernet, FCoE)
- **定义**: 一种汇聚协议，用于在以太网网络上封装光纤通道通信。通常需要10Gbps以太网以支持光纤通道协议。

#### 光纤分布式数据接口 (Fiber Distributed Data Interface, FDDI)
- **定义**: 一种高速令牌传递技术，使用两个环，通信流在两个环上沿相反方向传输。FDDI提高了网络的可靠性和带宽。
