### 阅读排行榜
以下是阅读数超过 5000 的文章：
| 排名 | 阅读 | 好看 | 评论 | 打赏 | 转载 | 发送时间 | 标题 |
| 14 | 8555 | 24 | 23 | 0 | 0 | 2018-04-27 | [Ubuntu 18.04 LTS（仿生河狸）发布！](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664610984&idx=1&sn=486a05e7b284489cd8f3f3e0ed9f4102&chksm=bdce87ee8ab90ef86a2880767b1e12111a05d7be7a848adecc7a0483ada93df6ea99d5420a3d#rd) |
| 15 | 8451 | 54 | 13 | 0 | 1 | 2018-01-22 | [Debian 取代 Ubuntu 成为 Google 内部 Linux 发行版的新选择](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664610301&idx=1&sn=52309a65615bf15ca230c60d26e8f8cf&chksm=bdce82bb8ab90bad1d4fd096502dac4bc5a3de1b6faae0312cbb8b46514487b348c74c2f3e59#rd) |
| 16 | 8154 | 71 | 1 | 1 | 0 | 2018-10-06 | [WinWorld：大型的废弃操作系统、软件、游戏的博物馆](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664612212&idx=1&sn=a7dc1cfc1664256d6058babd209ee9fe&chksm=bdcefa328ab973246c25886b8e95a06478da93b771815f69cc216eb0d87b8fedfb48796e84b1#rd) |
| 17 | 7721 | 46 | 19 | 0 | 4 | 2018-01-12 | [在 Linux 的终端上伪造一个好莱坞黑客的屏幕](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664610228&idx=1&sn=c3c09d9d09242b1faf9dd68b434cb5b5&chksm=bdce82f28ab90be48cc63b4b953ebf4c74f3e37375b075cf0b1037401deb6caf12c9a005a5b5#rd) |
| 18 | 7639 | 42 | 2 | 1 | 5 | 2018-10-27 | [为什么 Python 这么慢？](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664612410&idx=1&sn=263fef8fd22bd7d14a4f4362c242348d&chksm=bdcef97c8ab9706a558c1a54b0fed415a2616cfe71c7b26a19598a4efb8367a61a323c3c9272#rd) |
| 19 | 7547 | 16 | 40 | 0 | 1 | 2018-07-01 | [让我们从 GitHub 中迁移出来](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664611528&idx=1&sn=0fdba585ab7f430e0e925f53bf7a5f2a&chksm=bdce858e8ab90c9888bcd79691b71d6f648b0e2a009805ae568cedb8037533b51d5eb358c864#rd) |
| 20 | 7318 | 77 | 21 | 0 | 7 | 2018-12-30 | [救命！我的电子邮件发不到 500 英里以外！](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664613035&idx=1&sn=344bffbbed96e2ff11ee072eeb4ad63d&chksm=bdceffed8ab976fbaade36ec44ae430d2fd4e86a66ac929fd72f40b16f42ebadc5a466530618#rd) |
| 21 | 7275 | 18 | 13 | 0 | 8 | 2018-06-21 | [为什么 Linux 比 Windows 和 macOS 更安全？](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664611451&idx=1&sn=7605ae4fcc041d51537c4fb5bbbdd7d5&chksm=bdce853d8ab90c2b8cfb2d09d557abd51d3cbce6746ab75274df41d201917b255d53f6125803#rd) |
| 22 | 7088 | 64 | 16 | 2 | 12 | 2018-03-17 | [用 Python 构建一个极小的区块链](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664610691&idx=1&sn=5b13e8df1e5029561698e2d86aadfe63&chksm=bdce80c58ab909d3266367c0d1b95bc0303eaaf056ea06a66d44fc3faa77d98842e8bf969966#rd) |
| 23 | 7010 | 22 | 10 | 2 | 0 | 2018-08-12 | [比特币是一个邪教](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664611819&idx=1&sn=7d60c365e3e0d85c3f7497907a702ca0&chksm=bdce84ad8ab90dbbef818d0a55167063717d89cfd23b04182ec2ea978e1d0f957fefa681be25#rd) |
| 24 | 6823 | 45 | 39 | 0 | 1 | 2018-04-13 | [我的冒险旅程之迁移回 Windows](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664610872&idx=1&sn=0d9ea56db514c227c80c16ae90fc48b0&chksm=bdce877e8ab90e68995e2171b27c62a849a5d9523d816569273fe6bd89679b7a2521bb359d1b#rd) |
| 25 | 6821 | 10 | 13 | 0 | 2 | 2018-06-28 | [让孩子爱上计算机和编程的 15 本书](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664611505&idx=1&sn=c608227b6c852fef87cbb7b1272a921a&chksm=bdce85f78ab90ce194f84bee0803a6d8b3bc588d242acb727fa604cdcd646ae396c5ab44ffec#rd) |
| 26 | 6710 | 19 | 9 | 0 | 2 | 2018-09-28 | [你没听说过的 Go 语言惊人优点](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664612146&idx=1&sn=b1780110c4e7498e112b983a7407666b&chksm=bdcefa748ab97362b59a37097e1f4f4e10a1827c3b4fbc53704732d0970846fb718f3136162f#rd) |
| 27 | 6672 | 24 | 9 | 0 | 1 | 2018-04-05 | [Oh My Fish! 让你的 Shell 漂亮起来](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664610822&idx=1&sn=c62bca863a300f0a0ff48c3612ddb119&chksm=bdce87408ab90e565b3cac69972a14c2a450e24e814d49fb137b6eefce3b7caaec991bb0ccc2#rd) |
| 28 | 6615 | 26 | 5 | 0 | 0 | 2018-07-14 | [TrueOS 不再想要成为“桌面 BSD”了](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664611617&idx=1&sn=facfc8840fbe179ce54509c5e062f7a5&chksm=bdce84678ab90d7123f295a94fc792251d1fbbdfef93801cc9904eabb6d30994b52f8f15b6e9#rd) |
| 29 | 6552 | 39 | 26 | 0 | 0 | 2018-01-11 | [在 2018 年最值得去学习的编程语言](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664610222&idx=1&sn=dc270dd3faa74b6f32fc69d8756e0d89&chksm=bdce82e88ab90bfeda1e7ae8fa91ace03e9d98efbd1f0a4ccb979e9475a69c73db2cd9fcbce6#rd) |
| 30 | 6489 | 37 | 8 | 0 | 1 | 2018-01-18 | [树莓派 3 新手指南](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664610274&idx=1&sn=ad39fdc9814ca0f106c6625f1d28f906&chksm=bdce82a48ab90bb246fdd986b6f07557d67fa6f76f38abd079d1920baa624fe050a740458ea5#rd) |
| 31 | 6452 | 26 | 23 | 0 | 1 | 2018-01-05 | [哪一种 Ubuntu 官方版本最适合你？](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664610178&idx=1&sn=f091077dccf29d8c85f511962ee4883f&chksm=bdce82c48ab90bd26ad3d1022e6beedc2415086441bea62516222d266635147be887eafd6e15#rd) |
| 32 | 6436 | 38 | 9 | 0 | 5 | 2018-09-23 | [增强 Vim 编辑器，提高编辑效率](http://mp.weixin.qq.com/s?__biz=MjM5NjQ4MjYwMQ==&mid=2664612110&idx=1&sn=5d1f13b5c64ce849d1ebf2fe75a3f8b2&chksm=bdcefa488ab9735e158ba5c89874b6a77c39eb524f3f501745f7939f7bf85ffc8ed5fc99454f#rd) |
