	- 12.7 [新的 npm 恶意软件带有 Bladabindi 木马](https://paper.seebug.org/1421/)
	- 12.19 [蓝牙的安全与威胁（上）](https://www.freebuf.com/articles/wireless/258153.html)
	- 12.19 [攻击者竟然将恶意RubyGems包用到了加密货币供应链攻击之中](https://www.anquanke.com/post/id/226001)
	- 12.20 [A massive fraud operation used mobile device emulators to steal millions from online bank accounts](https://securityaffairs.co/wordpress/112487/cyber-crime/massive-fraud-operation.html?utm_source=feedly&utm_medium=rss&utm_campaign=massive-fraud-operation)
	- 12.21 [史上影响力最大的APT攻击，已致全球数百家重要核心组织机构陷落](https://www.freebuf.com/news/258444.html)
	- 12.21 [HTTP协议攻击方法汇总（下）](https://www.anquanke.com/post/id/225955)
	- 12.21 [蔓灵花（Bitter）组织近期针对我国政府部门、科研机构发起攻击](https://www.anquanke.com/post/id/226094)
	- 12.21 [黑客组织 Pawn Storm 的非复杂性攻击策略](https://paper.seebug.org/1434/)
	- 12.21 [Zero-day exploit used to hack iPhones of Al Jazeera employees](https://securityaffairs.co/wordpress/112500/malware/al-jazeera-zeroday-hack.html?utm_source=feedly&utm_medium=rss&utm_campaign=al-jazeera-zeroday-hack)
	- 12.22 [【公益译文】应用于国防和国家安全的AI工程](http://blog.nsfocus.net/ai-engineering-1222/)
	- 12.22 [蓝牙的安全与威胁（中）](https://www.freebuf.com/articles/neopoints/258561.html)
	- 12.22 [商业银行互联网渠道产品流程风险浅析](https://www.freebuf.com/articles/neopoints/258502.html)
	- 12.22 [戴尔Wyse设备曝两个10分安全漏洞，可远程控制并修改文件](https://www.freebuf.com/news/258541.html)
	- 12.23 [诈骗“工具”进化史，你永远不知道骗子有多努力！](https://www.anquanke.com/post/id/226247)
	- 12.23 [国家级黑客使用iMessage漏洞攻击记者，无需点击即可触发](https://www.anquanke.com/post/id/226430)
	- 12.23 [360儿童卫士APP分析](https://www.secpulse.com/archives/149795.html)
	- 12.23 [【组件攻击链】禅道项目管理系统(ZenTaoPMS)高危漏洞分析与利用](https://www.secpulse.com/archives/149812.html)
	- 12.23 [信息泄露引发的资产失陷与检测分析](http://blog.nsfocus.net/ueba-1223/)
	- 12.24 [智能门铃——物联网的噩梦](https://www.secpulse.com/archives/150203.html)
	- 12.24 [IDApython实用技巧（衡量afl-fuzz路径hash算法碰撞问题）](https://www.anquanke.com/post/id/225404)
	- 12.24 [黑客与博彩业的黑吃黑大戏](https://www.anquanke.com/post/id/226482)
	- 12.24 [聊聊APT的溯源分析](https://www.freebuf.com/articles/neopoints/258706.html)
	- 12.24 [DLL劫持原理及其漏洞挖掘（一）](https://www.anquanke.com/post/id/225911)
	- 12.24 [Fake Amazon Gift Cards Deliver Dridex Trojan](https://www.databreachtoday.com/fake-amazon-gift-cards-deliver-dridex-trojan-a-15663)
	- 12.25 [UltraRank 黑客组织的新攻击](https://paper.seebug.org/1438/)
	- 12.25 [安全事件分析报告-2020下半年](https://www.anquanke.com/post/id/226662)
	- 12.25 [UltraRank 黑客组织的新攻击](http://hackernews.cc/archives/34369)
	- 12.25 [Emotet 僵尸网络每天攻击数 10 万个邮箱](http://hackernews.cc/archives/34356)
	- 12.27 [入侵检测系列1（下）：基于私有协议的加密流量分析思路（Teamviewer篇）](https://www.anquanke.com/post/id/226531)
	- 12.28 [通过电子邮件营销服务进行网络钓鱼攻击](https://www.kaspersky.com.cn/blog/phishing-via-esp/12150/)
	- 12.28 [基于机器学习的漏洞检测高影响因素实证研究](https://www.anquanke.com/post/id/220795)
	- 12.28 [赌博永远赢不了的原因？“庄家”出老千！](https://www.anquanke.com/post/id/226741)
	- 12.28 [基于OWASP Modsecurity CRS规则的误报率和漏报率调试](https://www.freebuf.com/articles/web/243781.html)
	- 12.29 [黑客伪造付款表格 收集在线商店的付款信息](http://hackernews.cc/archives/34415)
	- 12.29 [A Google Docs Bug Could Have Allowed Hackers See Your Private Documents](https://thehackernews.com/2020/12/a-google-docs-bug-could-have-allowed.html)
	- 12.30 [Sunburst供应链攻击解析](https://www.freebuf.com/articles/database/259169.html)
	- 12.30 [深信服SSL VPN注入漏洞通告](https://www.anquanke.com/post/id/227085)
	- 12.30 [2020年网络安全十大影响力事件](https://www.anquanke.com/post/id/226921)
	- 12.30 [New AutoHotkey-Based Malware Targets US, Canadian Banks](https://www.databreachtoday.com/new-autohotkey-based-malware-targets-us-canadian-banks-a-15680)
	- 12.31 [使用IDA Python寻找二进制漏洞（第二部分）](https://www.anquanke.com/post/id/226995)
	- 12.31 [Tomcat容器攻防笔记之Listener内存马](https://www.anquanke.com/post/id/226769)
	- 12.31 [Kinsing 恶意软体使用 Rootkit的分析](https://blog.trendmicro.com.tw/?p=66511)
	- 12.31 [一场利用Citrix ADC的全球性DDoS反射攻击正在进行](http://blog.nsfocus.net/citrix-adc-ddos-1231/)
****
##关于
author: [drov_liu](none)
