|                         3074/TCP,UDP                         |     [Xbox Live](https://zh.wikipedia.org/wiki/Xbox_Live)     |  官方  |
|                           3689/TCP                           | [DAAP](https://zh.wikipedia.org/w/index.php?title=Digital_Audio_Access_Protocol&action=edit&redlink=1) Digital Audio Access Protocol used by [苹果公司](https://zh.wikipedia.org/wiki/苹果公司) [ITunes](https://zh.wikipedia.org/wiki/ITunes) |  官方  |
|                           3690/TCP                           | [Subversion](https://zh.wikipedia.org/wiki/Subversion) version control system |  官方  |
|                         3702/TCP,UDP                         | [Web Services Dynamic Discovery](https://zh.wikipedia.org/w/index.php?title=Web_Services_Dynamic_Discovery&action=edit&redlink=1) (WS-Discovery), used by various components of [Windows Vista](https://zh.wikipedia.org/wiki/Windows_Vista) |  官方  |
|                           3724/TCP                           | [魔兽世界](https://zh.wikipedia.org/wiki/魔兽世界) Online gaming MMORPG |  官方  |
|                         3784/TCP,UDP                         | [Ventrilo](https://zh.wikipedia.org/w/index.php?title=Ventrilo&action=edit&redlink=1) VoIP program used by [Ventrilo](https://zh.wikipedia.org/w/index.php?title=Ventrilo&action=edit&redlink=1) |  官方  |
|                           3785/UDP                           | [Ventrilo](https://zh.wikipedia.org/w/index.php?title=Ventrilo&action=edit&redlink=1) VoIP program used by [Ventrilo](https://zh.wikipedia.org/w/index.php?title=Ventrilo&action=edit&redlink=1) |  官方  |
|                         3868 TCP,UDP                         | [Diameter base protocol](https://zh.wikipedia.org/w/index.php?title=Diameter_base_protocol&action=edit&redlink=1) |  官方  |
|                           3872/TCP                           |                Oracle Management Remote Agent                | 非官方 |
|                           3899/TCP                           | [Remote Administrator](https://zh.wikipedia.org/w/index.php?title=Remote_Administrator&action=edit&redlink=1) | 非官方 |
|                           3900/TCP                           | [Unidata UDT OS](https://zh.wikipedia.org/w/index.php?title=Unidata_UDT_OS&action=edit&redlink=1) udt_os |  官方  |
|                           3945/TCP                           | Emcads server service port, a Giritech product used by [G/On](https://zh.wikipedia.org/w/index.php?title=G/On&action=edit&redlink=1) |  官方  |
|                           4000/TCP                           | [暗黑破坏神II](https://zh.wikipedia.org/wiki/暗黑破坏神II) game[NoMachine Network Server (nxd)](https://zh.wikipedia.org/w/index.php?title=NX_technology&action=edit&redlink=1) | 非官方 |
|                           4007/TCP                           |         PrintBuzzer printer monitoring socket server         | 非官方 |
|                         4089/TCP,UDP                         |               OpenCORE Remote Control Service                |  官方  |
|                         4093/TCP,UDP                         | PxPlus Client server interface [ProvideX](https://zh.wikipedia.org/w/index.php?title=ProvideX&action=edit&redlink=1) |  官方  |
|                           4096/UDP                           | Bridge-Relay Element [ASCOM](https://zh.wikipedia.org/w/index.php?title=ASCOM&action=edit&redlink=1) |  官方  |
|                             4100                             |       WatchGuard Authentication Applet - default port        | 非官方 |
|                         4111/TCP,UDP                         | [Xgrid](https://zh.wikipedia.org/w/index.php?title=Xgrid&action=edit&redlink=1) |  官方  |
|                           4111/TCP                           | [SharePoint](https://zh.wikipedia.org/wiki/SharePoint) - 默认管理端口 | 非官方 |
|                         4226/TCP,UDP                         | [Aleph One (computer game)](https://zh.wikipedia.org/w/index.php?title=Aleph_One_(computer_game)&action=edit&redlink=1) | 非官方 |
|                           4224/TCP                           | [思科系统](https://zh.wikipedia.org/wiki/思科系统) CDP Cisco discovery Protocol | 非官方 |
|                           4569/UDP                           | [Inter-Asterisk eXchange](https://zh.wikipedia.org/w/index.php?title=Inter-Asterisk_eXchange&action=edit&redlink=1) | 非官方 |
|                           4662/TCP                           |                   OrbitNet Message Service                   |  官方  |
|                           4662/TCP                           |     通常用于[EMule](https://zh.wikipedia.org/wiki/EMule)     | 非官方 |
|                           4664/TCP                           |  [Google桌面搜索](https://zh.wikipedia.org/wiki/Google桌面)  | 非官方 |
|                           4672/UDP                           |   [EMule](https://zh.wikipedia.org/wiki/EMule) - 常用端口    | 非官方 |
|                           4894/TCP                           | [LysKOM](https://zh.wikipedia.org/w/index.php?title=LysKOM&action=edit&redlink=1) Protocol A |  官方  |
|                           4899/TCP                           | [Radmin](https://zh.wikipedia.org/w/index.php?title=Radmin&action=edit&redlink=1) 远程控制工具 |  官方  |
|                           5000/TCP                           |                        commplex-main                         |  官方  |
|                           5000/TCP                           | [UPnP](https://zh.wikipedia.org/wiki/UPnP) - Windows network device interoperability | 非官方 |
|                         5000/TCP,UDP                         | [VTun](https://zh.wikipedia.org/w/index.php?title=VTun&action=edit&redlink=1) - [虚拟专用网](https://zh.wikipedia.org/wiki/虚拟私人网路) 软件 | 非官方 |
|                         5001/TCP,UDP                         | Iperf (Tool for measuring TCP and UDP bandwidth performance) | 非官方 |
|                           5001/TCP                           | [Slingbox](https://zh.wikipedia.org/w/index.php?title=Slingbox&action=edit&redlink=1)及Slingplayer | 非官方 |
|                           5003/TCP                           | [FileMaker](https://zh.wikipedia.org/wiki/FileMaker) Filemaker Pro |  官方  |
|                           5004/UDP                           | [实时传输协议](https://zh.wikipedia.org/wiki/实时传输协议)实时传输协议 |  官方  |
|                           5005/UDP                           | [实时传输协议](https://zh.wikipedia.org/wiki/实时传输协议)实时传输协议 |  官方  |
|                         5031/TCP,UDP                         | AVM CAPI-over-TCP ([综合业务数字网](https://zh.wikipedia.org/wiki/综合业务数字网) over [以太网](https://zh.wikipedia.org/wiki/以太网) tunneling) | 非官方 |
|                           5050/TCP                           | [Yahoo! Messenger](https://zh.wikipedia.org/wiki/Yahoo!_Messenger) |  官方  |
|                           5051/TCP                           | [ita-agent](https://zh.wikipedia.org/w/index.php?title=Ita-agent&action=edit&redlink=1) Symantec Intruder Alert |  官方  |
|                         5060/TCP,UDP                         | [会话发起协议](https://zh.wikipedia.org/wiki/会话发起协议) (SIP) |  官方  |
|                           5061/TCP                           | [会话发起协议](https://zh.wikipedia.org/wiki/会话发起协议) (SIP) over [传输层安全性协议](https://zh.wikipedia.org/wiki/传输层安全性协定) (TLS) |  官方  |
|                           5093/UDP                           | [SPSS License Administrator](https://zh.wikipedia.org/w/index.php?title=SPSS_License_Administrator&action=edit&redlink=1) (SPSS) |  官方  |
|                           5104/TCP                           | [IBM NetCOOL / IMPACT HTTP Service](https://zh.wikipedia.org/w/index.php?title=IBM_NetCOOL_/_IMPACT_HTTP_Service&action=edit&redlink=1) | 非官方 |
|                           5106/TCP                           | [A-Talk](https://zh.wikipedia.org/w/index.php?title=Atalk&action=edit&redlink=1) Common connection | 非官方 |
|                           5107/TCP                           | [A-Talk](https://zh.wikipedia.org/w/index.php?title=Atalk&action=edit&redlink=1) 远程服务器连接 | 非官方 |
|                           5110/TCP                           |                        ProRat Server                         | 非官方 |
|                           5121/TCP                           |      [无冬之夜](https://zh.wikipedia.org/wiki/无冬之夜)      |  官方  |
|                           5176/TCP                           |              ConsoleWorks default UI interface               | 非官方 |
|                           5190/TCP                           | [ICQ](https://zh.wikipedia.org/wiki/ICQ) and [AIM (应用程序)](https://zh.wikipedia.org/wiki/AIM_(应用程式)) |  官方  |
|                           5222/TCP                           | [XMPP/Jabber](https://zh.wikipedia.org/wiki/可扩展消息与存在协议) - client connection |  官方  |
|                           5223/TCP                           | [XMPP/Jabber](https://zh.wikipedia.org/wiki/可扩展消息与存在协议) - default port for SSL Client Connection | 非官方 |
|                           5269/TCP                           | [XMPP/Jabber](https://zh.wikipedia.org/wiki/可扩展消息与存在协议)- server connection |  官方  |
|                         5351/TCP,UDP                         | [NAT端口映射协议](https://zh.wikipedia.org/wiki/NAT端口映射协议)，允许客户端在[网络地址转换](https://zh.wikipedia.org/wiki/网络地址转换)网关上配置传入映射 |  官方  |
|                           5353/UDP                           | [mDNS](https://zh.wikipedia.org/w/index.php?title=MDNS&action=edit&redlink=1) - 多播DNS |        |
|                         5402/TCP,UDP                         |                   StarBurst AutoCast MFTP                    |  官方  |
|                         5405/TCP,UDP                         | [NetSupport](https://zh.wikipedia.org/w/index.php?title=NetSupport&action=edit&redlink=1) |  官方  |
|                         5421/TCP,UDP                         | [Net Support 2](https://zh.wikipedia.org/w/index.php?title=NetSupport&action=edit&redlink=1) |  官方  |
|                           5432/TCP                           | [PostgreSQL](https://zh.wikipedia.org/wiki/PostgreSQL)数据库管理系统 |  官方  |
|                           5445/UDP                           | [思科系统](https://zh.wikipedia.org/wiki/思科系统) Vidéo VT Advantage | 非官方 |
|                           5495/TCP                           | [Applix](https://zh.wikipedia.org/w/index.php?title=Applix&action=edit&redlink=1) TM1 Admin server | 非官方 |
|                           5498/TCP                           | [Hotline](https://zh.wikipedia.org/w/index.php?title=Hotline_Communications&action=edit&redlink=1) tracker server connection | 非官方 |
|                           5499/UDP                           | [Hotline](https://zh.wikipedia.org/w/index.php?title=Hotline_Communications&action=edit&redlink=1) tracker server discovery | 非官方 |
|                           5500/TCP                           | [VNC](https://zh.wikipedia.org/wiki/VNC) remote desktop protocol - for incoming listening viewer, [Hotline](https://zh.wikipedia.org/w/index.php?title=Hotline_Communications&action=edit&redlink=1) control connection | 非官方 |
|                           5501/TCP                           | [Hotline](https://zh.wikipedia.org/w/index.php?title=Hotline_Communications&action=edit&redlink=1) file transfer connection | 非官方 |
|                           5517/TCP                           | [Setiqueue](https://zh.wikipedia.org/w/index.php?title=Setiqueue&action=edit&redlink=1) Proxy server client for [SETI@home](https://zh.wikipedia.org/wiki/SETI@home) project | 非官方 |
|                           5555/TCP                           | [Freeciv](https://zh.wikipedia.org/wiki/Freeciv) multiplay port for versions up to 2.0, [惠普](https://zh.wikipedia.org/wiki/惠普) Data Protector, [会话通告协议](https://zh.wikipedia.org/wiki/会话通告协议) | 非官方 |
|                           5556/TCP                           | [Freeciv](https://zh.wikipedia.org/wiki/Freeciv) multiplay port |  官方  |
|                           5631/TCP                           | [赛门铁克](https://zh.wikipedia.org/wiki/赛门铁克) pcAnywhere |  官方  |
|                           5632/UDP                           | [赛门铁克](https://zh.wikipedia.org/wiki/赛门铁克) pcAnywhere |  官方  |
|                           5666/TCP                           |                        NRPE (Nagios)                         | 非官方 |
|                           5667/TCP                           |                        NSCA (Nagios)                         | 非官方 |
|                           5800/TCP                           | [VNC](https://zh.wikipedia.org/wiki/VNC) remote desktop protocol - for use over [超文本传输协议](https://zh.wikipedia.org/wiki/超文本传输协议) | 非官方 |
|                         5814/TCP,UDP                         | [惠普](https://zh.wikipedia.org/wiki/惠普) Support Automation (HP OpenView Self-Healing Services) |  官方  |
|                           5900/TCP                           | [VNC](https://zh.wikipedia.org/wiki/VNC) remote desktop protocol (used by [ARD](https://zh.wikipedia.org/wiki/Apple远程桌面)) |  官方  |
|                           6000/TCP                           | [X窗口系统](https://zh.wikipedia.org/wiki/X_Window系统) - used between an X client and server over the network |  官方  |
|                           6001/UDP                           | [X窗口系统](https://zh.wikipedia.org/wiki/X_Window系统) - used between an X client and server over the network |  官方  |
|                           6005/TCP                           | Default port for [BMC软件公司](https://zh.wikipedia.org/wiki/BMC软件公司) CONTROL-M/Server - Socket Port number used for communication between CONTROL-M processes - though often changed during installation | 非官方 |
|                           6050/TCP                           |                  Brightstor Arcserve Backup                  | 非官方 |
|                           6051/TCP                           |                  Brightstor Arcserve Backup                  | 非官方 |
|                           6100/TCP                           |                         Vizrt System                         | 非官方 |
|                         6110/TCP,UDP                         | softcm [HP SoftBench](https://zh.wikipedia.org/w/index.php?title=HP_SoftBench&action=edit&redlink=1) CM |  官方  |
|                         6111/TCP,UDP                         | spc [HP SoftBench](https://zh.wikipedia.org/w/index.php?title=HP_SoftBench&action=edit&redlink=1) Sub-Process Control |  官方  |
|                           6112/TCP                           | dtspcd - a network daemon that accepts requests from clients to execute commands and launch applications remotely |  官方  |
|                           6112/TCP                           | [暴雪娱乐](https://zh.wikipedia.org/wiki/暴雪娱乐)'s [暴雪战网](https://zh.wikipedia.org/wiki/暴雪战网) gaming service, [ArenaNet](https://zh.wikipedia.org/wiki/ArenaNet) gaming service |  官方  |
|                           6129/TCP                           | [Dameware Remote Control](https://zh.wikipedia.org/w/index.php?title=Dameware&action=edit&redlink=1) | 非官方 |
