EventId,EventTemplate
E48,ciod: Error creating node map from file  Cannot allocate memory
E49,ciod: Error creating node map from file  Device or resource busy
E50,ciod: Error creating node map from file  No child processes
E51,ciod: Error creating node map from file  No such file or directory
E52,ciod: Error creating node map from file  Permission denied
E53,ciod: Error creating node map from file  Resource temporarily unavailable
E54,"ciod: Error loading  invalid or missing program image, Exec format error"
E55,"ciod: Error loading  invalid or missing program image, No such device"
E56,"ciod: Error loading  invalid or missing program image, No such file or directory"
E57,"ciod: Error loading  invalid or missing program image, Permission denied"
E58,ciod: Error loading  not a CNK program image
E59,"ciod: Error loading  program image too big,  > "
E60,"ciod: Error loading -mode VN: invalid or missing program image, No such file or directory"
E61,ciod: Error opening node map file  No such file or directory
E62,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to     
E63,ciod: Error reading message prefix on CioStream socket to  Connection reset by peer
E64,ciod: Error reading message prefix on CioStream socket to  Connection timed out
E65,ciod: Error reading message prefix on CioStream socket to  Link has been severed
E66,ciod: failed to read message prefix on control stream (CioStream socket to 
E67,ciod: for node  incomplete data written to core file 
E68,ciod: for node  read continuation request but ioState is 
E69,ciod: generated  core files for program 
E70,ciod: In packet from node   message code  is not  or 4294967295    
E71,ciod: In packet from node   message still ready for node     
E72,ciod: LOGIN chdir() failed: Input/output error
E73,ciod: LOGIN chdir() failed: No such file or directory
E74,ciod: LOGIN  failed: Permission denied
E75,ciod: Message code  is not  or 4294967295
E76,ciod: Missing or invalid fields on line  of node map file 
E77,ciod: pollControlDescriptors: Detected the debugger died.
E78,ciod: Received signal    
E79,ciod: sendMsgToDebugger: error sending PROGRAM_EXITED message to debugger.
E80,ciod: Unexpected eof at line  of node map file 
E81,ciodb has been restarted.
E82,close EDRAM pages as soon as possible....0
E83,"com.ibm.bgldevices.BulkPowerModule with VPD of com.ibm.bgldevices.BulkPowerModule$VpdReply: IBM Part Number: 53P5763, Vendor: Cherokee International, Vendor Serial Number: 4274124, Assembly Revision:"
E84,command manager unit summary.....................0
E85,Controlling BG/L rows [  ]
E86,core configuration register: 
E87,Core Configuration Register 0: 
E88,correctable 
E89,correctable error detected in directory 
E90,correctable error detected in EDRAM bank 
E91,critical input interrupt 
E92,critical input interrupt   warning for   wire
E93,"critical input interrupt   warning for torus  wire, suppressing further interrupts of same type"
E94,data  plb 
E95,data address: 
E96,data address space................0
E97,data cache  parity error detected. attempting to correct
E98,data storage interrupt
E99,data store interrupt caused by 
E100,data TLB error interrupt data address space................0
E101,dbcr0= dbsr= ccr0=
E102,d-cache  parity 
E103,DCR  : 
E104,ddr: activating redundant bit steering for next allocation:  
E105,ddr: activating redundant bit steering:  
E106,"ddr: excessive soft failures, consider replacing the card"
E107,DDR failing  register:  
E108,DDR failing info register: 
E109,DDR failing info register: DDR Fail Info Register: 
E110,DDR machine check register:  
E111,"ddr: redundant bit steering failed, sequencer timeout"
E112,ddr: Suppressing further CE interrupts
E113,ddr: Unable to steer   - rank is already steering symbol  Due to multiple symbols being over the correctable e
E114,"ddr: Unable to steer   - rank is already steering symbol  Due to multiple symbols being over the correctable error threshold, consider replacing the card"
E115,ddr: Unable to steer   - rank is already steering symbol  Due to multiple symbols being over the correctable
E116,ddrSize ==  || ddrSize == 
E117,debug interrupt enable............0
E118,debug wait enable.................0
E119,DeclareServiceNetworkCharacteristics has been run but the DB is not empty
E120,DeclareServiceNetworkCharacteristics has been run with the force option but the DB is not empty
E121,disable all access to cache directory....0
E122,disable apu instruction broadcast........0
E123,disable flagging of DDR UE's as major internal error.0
E124,disable speculative access...............0
E125,disable store gathering..................0
E126,disable trace broadcast..................0
E127,disable write lines 2:4..................0
E128,divide-by-zero 
E129,enable  exceptions.........0
E130,enable invalid operation exceptions......0
E131,enable non-IEEE mode.....................0
E132,enabled exception summary................0
E133,EndServiceAction  performed upon  by 
E134,EndServiceAction  was performed upon  by 
E135,EndServiceAction is restarting the  cards in Midplane  as part of Service Action 
E136,EndServiceAction is restarting the  in midplane  as part of Service Action 
E137,"Error getting detailed hw info for node, caught java.io.IOException: Problems with the chip, clear all resets"
E138,"Error getting detailed hw info for node, caught java.io.IOException: Problems with the chip, could not enable clock domains"
E139,"Error getting detailed hw info for node, caught java.io.IOException: Problems with the chip, could not pull all resets"
E140,"Error receiving packet on tree network, expecting type  instead of type         "
E141,"Error receiving packet on tree network, packet index  greater than max 366        "
E142,"Error sending packet on tree network, packet at address  is not aligned"
E143,"error threshold, consider replacing the card"
E144,Error: unable to mount filesystem
E145,exception 
E146,Exception Syndrome Register: 
E147,exception syndrome register:  
E148,"Expected 10 active FanModules, but found 9 ( Found          )."
E149,external input interrupt 
E150,external input interrupt    tree receiver  in resynch mode
E151,external input interrupt   number of corrected SRAM errors has exceeded threshold
E152,"external input interrupt   number of corrected SRAM errors has exceeded threshold, suppressing further interrupts of same type"
E153,external input interrupt   torus sender  retransmission error was corrected
E154,external input interrupt   tree header with no target waiting
E155,external input interrupt   uncorrectable torus error
E156,floating point 
E157,floating point instr. 
E158,Floating Point Registers:
E159,Floating Point Status and Control Register: 
E160,floating point unavailable interrupt
E161,floating pt ex mode   
E162,force load/store alignment...............0
E163,Found invalid node ecid in processor card slot  ecid 0000000000000000000000000000
E164,fpr=   
E165,fraction 
E166,General Purpose Registers:
E167,general purpose registers:
E168,generating 
E169,gister: machine state register: machine state register: machine state register: machine state register: machine state register:
E170,guaranteed  cache block 
E171,Hardware monitor caught java.lang.IllegalStateException: while executing I2C Operation caught java.net.SocketException: Broken pipe and is stopping
E172,Hardware monitor caught java.net.SocketException: Broken pipe and is stopping
E173,iar  dear 
E174,i-cache parity error..............0
E175,icache prefetch 
E176,Ido chip status changed:           
E177,Ido packet timeout
E178,idoproxy communication failure: socket closed
E179,idoproxydb has been started: $Name:  $ Input parameters: -enableflush -loguserinfo db.properties BlueGene1
E180,"idoproxydb hit ASSERT condition: ASSERT expression= Source file= Source line= Function= IdoTransportMgr::SendPacket(IdoUdpMgr, BglCtlPavTrace)"
E181,idoproxydb hit ASSERT condition: ASSERT expression=!(nMsgLen > 0x10000) Source file=idomarshalerio.cpp Source line=1929 Function=int IdoMarshalerRecvBuffer::ReadBlock(IdoMsg::IdoMsgHdr&)
E182,idoproxydb hit ASSERT condition: ASSERT expression=pTargetMgr Source file=idoclientmgr.cpp Source line=353 Function=int IdoClientMgr::TargetClose(const char)
E183,idoproxydb hit ASSERT condition: ASSERT expression=!(RecvMsgHdr.ulLen > 0x10000) Source file=idomarshalerio.cpp Source line=387 Function=virtual int IdoMarshalerIo::RunRecv()
E184,imprecise machine 
E185,inexact 
E186,instance of a correctable ddr. RAS KERNEL INFO  microseconds spent in the rbs signal handler during  calls.  microseconds was the maximum time for a single instance of a correctable ddr.
E187,instruction address: 
E188,instruction address space.........0
E189,instruction cache parity error corrected
