目前在研的核心技术情况如下：
+------+------------+----------------+---------------------------------+
| 序号 | 技术类别   | 技术名称       | 技术特点                        |
|      |            |                | 的存储方式来保存数据，支持对近  |
|      |            |                | 期数据的实时搜索、历史数据的快  |
|      |            |                | 速检索、对数据归档备份以备追溯  |
|      |            |                | 和审计的需要，同时为后续的数据  |
|      |            |                | 挖掘、大数据分析积累数据。数据  |
|      |            |                | 存储满足日志的准确性和安全性。  |
|      |            |                |                                 |
|      |            |                | 基于minio，在标准硬件上，读/    |
|      |            |                | 写速度上高达183GB/s和171GB/s。\ |
|      |            |                | 对象存储可以充当主存            |
|      |            |                | 储层，以处理Spark、Presto、Ten  |
|      |            |                | sorFlow、H2O.ai等各种复杂工作负 |
|      |            |                | 载，具有更高吞吐量及更低延迟。  |
|      |            |                |                                 |
|      |            |                | 随着大数据发展，采用分布式      |
|      |            |                | 文件管理系统HDFS，具有高容错性  |
|      |            |                | ，通过多副本机制，增加可靠性。  |
+------+------------+----------------+---------------------------------+
| 6    | 前端       | 数据可视化技术 | 提供简洁呈现                    |
|      | web可视化  |                | 的交互方式，如：仪表盘、自定义  |
|      |            |                | 报表等，支持以饼状图、柱状图、  |
|      |            |                | 序列图、矩阵热力图、和弦图、桑  |
|      |            |                | 基图、力引导图、水球图等任意形  |
|      |            |                | 态进行数据可视化，可展示拓扑图  |
|      |            |                | 、提供指挥中心、地理分析、实时  |
|      |            |                | 监控、汇报展示等多种场景模版，  |
|      |            |                | 用更生动友好的方式呈现隐藏在日  |
|      |            |                | 志数据背后的业务洞察，通过交互  |
|      |            |                | 式实时可视化数据来帮助业务人员  |
|      |            |                | 发现、诊断业务问题。集群主要是  |
|      |            |                | 多主结构，各个节点完全平行，前  |
|      |            |                | 端支持NGINX作为负载均衡器，增强 |
|      |            |                | 了系统跨平台、快速部署等特性。  |
|      |            |                |                                 |
|      |            |                | 页面风格整体                    |
|      |            |                | 统一优化，仪表盘样式可通过高级  |
|      |            |                | 配置框修改，Cruxee事件提供列表  |
|      |            |                | 展示、列表字段选择和颜色方案。  |
+------+------------+----------------+---------------------------------+
| 7    | 数据传输   | 数据传输技术   | 利用                            |
|      |            |                | 大数据实时采集和ETL工具，帮助用 |
|      |            |                | 户完成数据的采集和流转，通过拖  |
|      |            |                | 拽式的可视化界面，实现数据管道  |
|      |            |                | (Pipelines)的设计和定时任务调度 |
|      |            |                | 。用户通过配置名称、描述、标签  |
|      |            |                | 、执行模式等信息创建一个数据管  |
|      |            |                | 道，对数据流进行开始事件处理、  |
|      |            |                | 结束事件处理、重试控制、内存控  |
|      |            |                | 制、限速、多线程控制、变动通知  |
|      |            |                | 邮件设置、错误记录设置等操作。  |
|      |            |                |                                 |
|      |            |                | 基于分布式                      |
|      |            |                | 处理的框架Flink，用于在数据流上 |
|      |            |                | 进行有状态的计算，支持在所有常  |
|      |            |                | 见集群环境中运行，可独立部署。  |
+------+------------+----------------+---------------------------------+
| 8    | 安全日     | 安             | 对信息安全日                    |
|      | 志处理技术 | 全日志处理技术 | 志进行集中展示，针对安全日志特  |
|      |            |                | 性，提取关键字段，平台达到每日T |
|      |            |                | B级日志量，处理延时短，用户可搜 |
|      |            |                | 索、分析几秒钟之前产生的日志，  |
|      |            |                | 通过定制仪表盘查看安全日志信息  |
|      |            |                | ，相关报表，接收告警信息等。同  |
|      |            |                | 时流式计算集群需要满足快速处理  |
|      |            |                | 、无数据丢失、容错透明的特性。  |
+------+------------+----------------+---------------------------------+
| 9    | 异         | 流量异         | 对主流的应用、网络协议进行采    |
|      | 常检测技术 | 常检测（NTA）  | 集和解析，并发现各类网络威胁。  |
+------+------------+----------------+---------------------------------+
(2) 可实现的功能
