27.223.99.130 - - [12/Jun/2017:17:14:36 +0800] "GET /favicon.ico HTTP/1.1" 200 3222 "https://www.rizhiyi.com/products/howtowork/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 UBrowser/6.1.2716.203 Safari/537.36" "-" 0.000 -
1.202.218.238 - - [12/Jun/2017:17:14:57 +0800] "GET /assets/img/rzy/homepage/banner1.jpg HTTP/1.1" 200 144890 "https://www.rizhiyi.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36" "-" 0.184 -
1.202.218.238 - - [12/Jun/2017:17:14:57 +0800] "GET /assets/img/rzy/homepage/highlight.png HTTP/1.1" 200 106736 "https://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36" "-" 0.338 -
1.202.218.238 - - [12/Jun/2017:17:14:58 +0800] "GET /assets/img/rzy/homepage/banner3.jpg HTTP/1.1" 200 264078 "https://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36" "-" 0.494 -
1.202.218.238 - - [12/Jun/2017:17:14:58 +0800] "GET /assets/img/rzy/homepage/highlight2.png HTTP/1.1" 200 38037 "https://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36" "-" 0.000 -
1.202.218.238 - - [12/Jun/2017:17:14:58 +0800] "GET /assets/img/rzy/homepage/desc-1x.png HTTP/1.1" 200 453187 "https://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36" "-" 1.254 -
1.202.218.238 - - [12/Jun/2017:17:14:58 +0800] "GET /assets/img/rzy/customer-logos-1x.png HTTP/1.1" 200 262861 "https://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36" "-" 1.040 -
1.202.218.238 - - [12/Jun/2017:17:14:59 +0800] "GET /register/ HTTP/1.1" 200 3963 "https://www.rizhiyi.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36" "-" 0.000 -
1.202.218.238 - - [12/Jun/2017:17:14:59 +0800] "GET /assets/img/rzy/homepage/banner2.jpg HTTP/1.1" 200 536561 "https://www.rizhiyi.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36" "-" 1.670 -
1.202.218.238 - - [12/Jun/2017:17:14:59 +0800] "GET /assets/js/register.js?2 HTTP/1.1" 200 4746 "https://www.rizhiyi.com/register/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36" "-" 0.000 -
1.202.218.238 - - [12/Jun/2017:17:14:59 +0800] "GET /assets/img/rzy/about/sq.png HTTP/1.1" 200 49915 "https://www.rizhiyi.com/register/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36" "-" 0.000 -
