### Table 11: Most Popular Vendors per Region and Device Type

We present the five most popular vendors for each device type across the eleven regions in our dataset. We have excluded two device types, wearables and home appliances, as they were not well-represented in our dataset, and splitting their vendor distribution by region would provide only a few devices in each region.

#### Work Appliance
- **Sony**: 13.9%
- **Azurewave**: 9.7%
- **Nintendo**: 8.4%
- **Philips**: 27.3%
- **SMA**: 10.6%

- **Liﬁ**: 8.1%
- **Sercomm**: 3.2%
- **ZTE**: 2.7%
- **SMA**: 21.1%
- **TI**: 17.6%

- **Philips**: 10.8%
- **HP**: 3.9%
- **Hager**: 2.9%
- **W Digital**: 20.1%
- **Synology**: 14.5%

- **Synology**: 14.5%
- **Seagate**: 10.6%
- **WD**: 10.3%
- **Synology**: 36.4%
- **W Digital**: 19.4%

- **ICP**: 8.6%
- **QNAP**: 7.5%
- **D-Link**: 6.6%
- **Synology**: 21.0%
- **HyBroad**: 15.9%

- **W Digital**: 13.1%
- **ICP**: 9.5%
- **Seagate**: 6.5%
- **Askey**: 29.1%
- **W Digital**: 19.2%

- **ICP**: 9.7%
- **QNAP**: 9.1%
- **Synology**: 7.7%
- **VTech**: 2.4%
- **Synology**: 24.7%

- **W Digital**: 19.2%
- **ICP**: 10.1%
- **QNAP**: 9.3%
- **Seagate**: 7.8%
- **Free**: 37.1%

- **Hikvision**: 8.0%
- **Hikvision**: 7.0%
- **Dahua**: 6.3%
- **D-Link**: 5.1%
- **Hikvision**: 34.3%

- **Dahua**: 18.4%
- **Dahua**: 18.4%
- **Cisco**: 3.0%
- **ICP**: 2.1%
- **Hikvision**: 24.7%

- **Dahua**: 17.2%
- **Cisco**: 4.8%
- **ICP**: 4.0%
- **PLUS**: 3.8%
- **Hikvision**: 16.8%

- **Dahua**: 13.9%
- **D-Link**: 3.7%
- **Baichuan**: 3.4%
- **Yealink**: 3.0%
- **Hikvision**: 19.5%

- **Dahua**: 15.3%
- **Cisco**: 5.4%
- **Topwell**: 4.3%
- **ICP**: 4.0%
- **Hikvision**: 39.0%

- **Dahua**: 16.3%
- **Cisco**: 2.8%
- **ICP**: 2.2%
- **PLUS**: 1.7%

---

**Region-Specific Data:**

- **Work Appliance**
  - **Asia**: HP (35.3%), Ricoh (13.9%), FoxConn (9.3%), Kyocera (8.4%), Sharp (7.9%)
  - **Europe**: HP (39.6%), Ricoh (25.3%), Kyocera (22.8%), Sharp (3.3%), Xerox (1.2%)
  - **North America**: HP (39.9%), Ricoh (17.6%), Kyocera (8.6%), Xerox (7.4%), Sharp (5.6%)
  - **South America**: HP (66.4%), FoxConn (9.3%), Kyocera (11.5%), Ricoh (3.5%), Xerox (3.1%)
  - **Oceania**: Ricoh (42.4%), Kyocera (25.9%), HP (23.6%), Sharp (3.7%), FoxConn (2.4%)

- **Storage**
  - **Asia**: Kyocera (27.9%), HP (22.2%), Ricoh (18.8%), Sharp (9.5%), FoxConn (3.5%)
  - **Europe**: HP (22.2%), Ricoh (18.8%), Sharp (9.5%), FoxConn (3.5%), Canon (3.1%)
  - **North America**: HP (51.4%), Ricoh (19.6%), Kyocera (10.5%), FoxConn (5.6%), Xerox (4.2%)
  - **South America**: HP (46.6%), Ricoh (19.5%), Kyocera (6.3%), Xerox (4.4%), Sharp (3.5%)

---

This table provides a comprehensive overview of the most popular vendors for various device types across different regions, ensuring a clear and organized presentation of the data.
