以下是优化后的文本，使其更加清晰、连贯和专业：

---

### 漏洞报告概览

| 标题 | 作者 | 受影响平台 | 漏洞类型 | 奖金 | 报告日期 |
| [XSS链式利用](https://mike-n1.github.io/Chain_XSS) | [Mikhail Klyuchnikov (@__Mn1__)](https://twitter.com/__Mn1__) | - | DOM XSS, 点击劫持, CSRF |  | 2018-11-12 |
| [价值7,500美元的Google MyAccount点击劫持](https://apapedulimu.click/clickjacking-on-google-myaccount-worth-7500/) | [Anurag Jain (@csanuragjain)](https://twitter.com/csanuragjain) | Google | 点击劫持 | $7,500 | 2018-11-11 |
| [#bugbounty 我是如何接管Microsoft Store的](https://medium.com/@sadiqwest01/bugbounty-how-i-takeover-microsoft-store-a58c1b785aa0) | Sadiq West | Microsoft | 子域名接管 | $0, HoF | 2018-11-08 |
| [对象名称泄露 — ING银行负责任披露计划](https://medium.com/@rohitcoder/object-name-exposure-ing-bank-responsible-disclosure-program-1f8f808cc789) | [Rohit Kumar (@rohitcoder)](https://twitter.com/rohitcoder) | ING Bank | 信息泄露 | - | 2018-11-08 |
| [如何通过展示一种收集其他用户IP地址的方法从Twitter赚取5,040美元](https://medium.com/bugbountywriteup/how-i-earned-5040-from-twitter-by-showing-a-way-to-harvest-other-users-ip-address-e9f43c931e9a) | [Prial Islam Khan (@prial261)](https://twitter.com/prial261) | Twitter | 信息泄露 | $5,040 | 2018-11-07 |
| [Vine用户的私人信息泄露](https://medium.com/@prial261/vine-users-private-information-disclosure-f1c55a3abbb6) | [Prial Islam Khan (@prial261)](https://twitter.com/prial261) | Vine | IDOR, 信息泄露 | $7,560 | 2018-11-07 |
| [WordPress设计缺陷导致WooCommerce远程代码执行](https://blog.ripstech.com/2018/wordpress-design-flaw-leads-to-woocommerce-rce/) | Simon Scannell | WordPress | RCE | - | 2018-11-06 |
| [Dynamics 365中的XSS](https://medium.com/@tim.kent/xss-in-dynamics-365-25c800aac473) | [Tim Kent (@__timk)](https://twitter.com/__timk) | Microsoft | XSS | - | 2018-11-06 |
| [通过帮助台黑客入侵公司——票务技巧 | 漏洞赏金POC](https://blog.securitybreached.org/2018/11/05/hacking-a-company-through-help-desk-bug-bounty-poc/) | [Muhammad Khizer Javed / babayaga47 (@khizer_javed47)](https://twitter.com/khizer_javed47) | - | 票务技巧 | - | 2018-11-05 |
| [Evernote for Windows读取本地文件和命令执行漏洞](https://paper.seebug.org/737/) | TongQing Zhu | Evernote | 存储型XSS, LFI, RCE | - | 2018-11-05 |
| [重复但仍然很酷](https://medium.com/bugbountywriteup/duplicate-but-still-cool-236835685075) | [Plenum (@plenumlab)](https://twitter.com/plenumlab) | - | IDOR, 账户接管 | - | 2018-11-05 |
| [未经身份验证的RSFTP到命令注入](http://codegrazer.com/blog/rsftp-to-command-injection.html#.W-Cijl14IJM.twitter) | [Nicodemo Gawronski](https://twitter.com/nijagaw) | - | 路径遍历, RCE | - | 2018-11-03 |
| [通过Referer头实现完全账户接管（OAuth令牌窃取, 开放重定向漏洞链）](https://medium.com/@protector47/full-account-takeover-via-referrer-header-oauth-token-steal-open-redirect-vulnerability-chaining-324a14a1567) | M.Asim Shahzad | - | 开放重定向, OAuth令牌窃取, 账户接管 | $1,200 | 2018-11-03 |
| [过时的JIRA实例遭受多种安全漏洞？](https://medium.com/@Skylinearafat/how-outdated-jira-instances-suffers-from-multiple-security-vulnerabilities-6a88c45e9ec6) | Yeasir Arafat | Visma | XSS, SSRF | - | 2018-11-03 |
| [ImageMagick GIF编码器漏洞导致内存泄露（HackerOne）](https://medium.com/@kunal94/imagemagick-gif-coder-vulnerability-leads-to-memory-disclosure-hackerone-e9975a6a560e) | [Kunal Pandey (@kunalp94)](https://twitter.com/kunalp94) | Hackerone | ImageMagick GIF | $500 | 2018-11-02 |
| [寻找隐藏的宝石第3卷：通过.sh文件快速获胜](https://medium.com/@mateusz.olejarka/finding-hidden-gems-vol-3-quick-win-with-sh-file-722e58636ded) | [Mateusz Olejarka](https://twitter.com/molejarka) | - | 信息泄露, GitHub泄露 | - | 2018-11-01 |
| [P1像老板一样 | 通过GitHub信息泄露导致员工账户接管 | 漏洞赏金POC](https://blog.securitybreached.org/2018/11/03/p1-like-a-boss-information-disclosure-via-github-leads-to-employee-account-takeover/) | [Muhammad Khizer Javed / babayaga47 (@khizer_javed47)](https://twitter.com/khizer_javed47) | - | 信息泄露, GitHub泄露 | $1,500 | 2018-11-01 |
| [漏洞赏金中的存储型XSS](https://medium.com/bugbountywriteup/stored-xss-in-bug-bounty-13c08e6f5636) | [KatsuragiCSL (@ZuuitterE)](https://twitter.com/ZuuitterE) | - | 存储型XSS | - | 2018-11-01 |
| [[开放重定向] 当你的PoC因为服务器负载均衡而不起作用时](https://tolo7010.blogspot.com/2018/11/open-redirect-when-your-poc-doesnt-work.html) | [tololovejoi (@tolo7010)](https://twitter.com/tolo7010) | - | 开放重定向 | $300 | 2018-11-01 |
| [绕过HackerOne的双因素认证要求和报告者黑名单](https://medium.com/japzdivino/bypass-hackerone-2fa-requirement-and-reporter-blacklist-46d7959f1ee5) | [Japz Divino (@japzdivino)](https://twitter.com/japzdivino) | Hackerone | 逻辑缺陷, 2FA绕过, 认证缺陷 | $10,000 | 2018-10-31 |
| [细节决定成败：WayBackMachine和广泛的知识导致电子邮件泄露和账户接管](https://medium.com/@zseano/its-all-in-the-detail-email-leak-account-takeover-thanks-to-waybackmachine-extensive-4be365580dd7) | [Zseano (@zseano)](https://twitter.com/zeano) | - | 信息泄露, 认证绕过, 账户接管 | - | 2018-10-30 |
| [JWT中的IDOR和你见过的最短令牌 {}.{“uid”: “1234567890”}](https://medium.com/@plenumlab/idor-in-jwt-and-the-shortest-token-you-will-ever-see-uid-1234567890-4e02377ea03a) | [Plenum (@plenumlab)](https://twitter.com/plenumlab) | - | IDOR | $1,500 | 2018-10-30 |
| [通过Google引用泄漏漏洞的旅程](https://thesecurityexperts.wordpress.com/2018/10/28/journey-through-google-referer-leakage-bugs/) | [KL Sreeram (@kl_sree)](https://twitter.com/kl_sree) | Google | 信息泄露, 引用泄漏 | $4,633.7 | 2018-10-28 |
| [#BugBounty — 我是如何下载印度最大电信服务提供商及其他数十个热门网站的源代码的！](https://medium.com/@logicbomb_1/bugbounty-how-i-was-able-to-download-the-source-code-of-indias-largest-telecom-service-52cf5c5640a1) | [Avinash Jain (@logicbomb_1)](https://twitter.com/logicbomb_1) | - | .git文件夹泄露, 源代码泄露 | - | 2018-10-27 |
| [像老板一样提权](https://blog.securitybreached.org/2018/10/27/privilege-escalation-like-a-boss/) | janijay007 | - | IDOR | - | 2018-10-27 |
| [如何通过配置错误的API泄露用户私人信息？](https://medium.com/@Skylinearafat/how-misconfigured-api-leaked-user-private-information-e3e8c13e52e4) | Yeasir Arafat | - | IDOR, 信息泄露 | - | 2018-10-27 |

---

这样处理后，表格更清晰、条理分明，方便读者快速查找和理解。
