---
title: Python plugin packages
description: Learn about the Python packages available in the Azure Data Explorer Python plugin.
ms.reviewer: suatta
ms.topic: reference
ms.date: 03/19/2023
zone_pivot_group_filename: data-explorer/zone-pivot-groups.json
zone_pivot_groups: kql-flavors-all
---
# Python plugin packages
::: zone pivot="fabric"
This article lists the available Python packages in the Python plugin. For more information, see [Python plugin](kusto/query/python-plugin.md).
## [3.10.8](#tab/python3-10-8)
Python engine 3.10.8 + common data science and ML packages
| Package | Version |
| spacy-legacy | 3.0.12 |
| spacy-loggers | 1.0.4 |
| SQLAlchemy | 2.0.18 |
| sqlparse | 0.4.4 |
| srsly | 2.4.5 |
| statsmodels | 0.13.2 |
| sympy | 1.11.1 |
| tabulate | 0.9.0 |
| tbb | 2021.7.1 |
| tblib | 1.7.0 |
| tenacity | 8.2.2 |
| textdistance | 4.5.0 |
| thinc | 8.1.9 |
| threadpoolctl | 3.1.0 |
| three-merge | 0.1.1 |
| tldextract | 3.4.0 |
| toml | 0.10.2 |
| toolz | 0.12.0 |
| tornado | 6.1 |
| tqdm | 4.65.0 |
| typer | 0.4.2 |
| typing_extensions | 4.5.0 |
| ujson | 5.5.0 |
| Unidecode | 1.3.6 |
| urllib3 | 1.26.15 |
| waitress | 2.1.2 |
| wasabi | 0.10.1 |
| websocket-client | 1.6.1 |
| Werkzeug | 2.2.3 |
| wheel | 0.40.0 |
| xarray | 2022.10.0 |
| zict | 2.2.0 |
| zipp | 3.15.0 |
## [3.10.8 DL (Preview)](#tab/python3-10-8-DL)
Python engine 3.10.8 + common data science and ML packages + deep learning packages (tensorflow & torch)
| Package | Version |
|---|---|
| absl-py | 1.4.0 |
| alembic | 1.11.1 |
| anytree | 2.8.0 |
| arrow | 1.2.3 |
| astunparse | 1.6.3 |
| attrs | 22.1.0 |
| blis | 0.7.9 |
| Bottleneck | 1.3.5 |
| Brotli | 1.0.9 |
| brotlipy | 0.7.0 |
| cachetools | 5.3.0 |
| catalogue | 2.0.8 |
| certifi | 2022.9.24 |
| cffi | 1.15.1 |
| chardet | 5.0.0 |
| charset-normalizer | 2.1.1 |
| click | 8.1.3 |
| cloudpickle | 2.2.0 |
| colorama | 0.4.6 |
| coloredlogs | 15.0.1 |
| confection | 0.0.3 |
| contourpy | 1.0.6 |
