### Async-Signal-Safe Functions

In general, a function is considered async-signal-safe if it is either reentrant or atomic with respect to signals. This means that its execution cannot be interrupted by a signal handler.

#### POSIX.1 Requirements

The following table lists the functions required to be async-signal-safe by POSIX.1. Functions not otherwise noted were required to be async-signal-safe in POSIX.1-2001. The table also details changes in subsequent standards.

| Function                | Notes                                      |
| `renameat(2)`           | Added in POSIX.1-2008                      |
| `rmdir(2)`              |                                            |
| `select(2)`             |                                            |
| `sem_post(3)`           |                                            |
| `send(2)`               |                                            |
| `sendmsg(2)`            |                                            |
| `sendto(2)`             |                                            |
| `setgid(2)`             |                                            |
| `setpgid(2)`            |                                            |
| `setsid(2)`             |                                            |
| `setsockopt(2)`         |                                            |
| `setuid(2)`             |                                            |
| `shutdown(2)`           |                                            |
| `sigaction(2)`          |                                            |
| `sigaddset(3)`          |                                            |
| `sigdelset(3)`          |                                            |
| `sigemptyset(3)`        |                                            |
| `sigfillset(3)`         |                                            |
| `sigismember(3)`        |                                            |
| `siglongjmp(3)`         | Added in POSIX.1-2008 TC2; see notes below |
| `signal(2)`             |                                            |
| `sigpause(3)`           |                                            |
| `sigpending(2)`         |                                            |
| `sigprocmask(2)`        |                                            |
| `sigqueue(2)`           |                                            |
| `sigset(3)`             |                                            |
| `sigsuspend(2)`         |                                            |
| `sleep(3)`              |                                            |
| `sockatmark(3)`         | Added in POSIX.1-2001 TC2                  |
| `socket(2)`             |                                            |
| `socketpair(2)`         |                                            |
| `stat(2)`               |                                            |
| `stpcpy(3)`             | Added in POSIX.1-2008 TC2                  |
| `stpncpy(3)`            | Added in POSIX.1-2008 TC2                  |
| `strcat(3)`             | Added in POSIX.1-2008 TC2                  |
| `strchr(3)`             | Added in POSIX.1-2008 TC2                  |
| `strcmp(3)`             | Added in POSIX.1-2008 TC2                  |
| `strcpy(3)`             | Added in POSIX.1-2008 TC2                  |
| `strcspn(3)`            | Added in POSIX.1-2008 TC2                  |
| `strlen(3)`             | Added in POSIX.1-2008 TC2                  |
| `strncat(3)`            | Added in POSIX.1-2008 TC2                  |
| `strncmp(3)`            | Added in POSIX.1-2008 TC2                  |
| `strncpy(3)`            | Added in POSIX.1-2008 TC2                  |
| `strnlen(3)`            | Added in POSIX.1-2008 TC2                  |
| `strpbrk(3)`            | Added in POSIX.1-2008 TC2                  |
| `strrchr(3)`            | Added in POSIX.1-2008 TC2                  |
| `strspn(3)`             | Added in POSIX.1-2008 TC2                  |
| `strstr(3)`             | Added in POSIX.1-2008 TC2                  |
| `strtok_r(3)`           | Added in POSIX.1-2008 TC2                  |
| `symlink(2)`            |                                            |
| `symlinkat(2)`          | Added in POSIX.1-2008                      |
| `tcdrain(3)`            |                                            |
| `tcflow(3)`             |                                            |
| `tcflush(3)`            |                                            |
| `tcgetattr(3)`          |                                            |
| `tcgetpgrp(3)`          |                                            |
| `tcsendbreak(3)`        |                                            |
| `tcsetattr(3)`          |                                            |
| `tcsetpgrp(3)`          |                                            |
| `time(2)`               |                                            |
| `timer_getoverrun(2)`   |                                            |
| `timer_gettime(2)`      |                                            |
| `timer_settime(2)`      |                                            |
| `times(2)`              |                                            |
| `umask(2)`              |                                            |
| `uname(2)`              |                                            |
| `unlink(2)`             |                                            |
| `unlinkat(2)`           | Added in POSIX.1-2008                      |
| `utime(2)`              |                                            |
| `utimensat(2)`          | Added in POSIX.1-2008                      |
| `utimes(2)`             | Added in POSIX.1-2008                      |
| `wait(2)`               |                                            |
| `waitpid(2)`            |                                            |
| `wcpcpy(3)`             | Added in POSIX.1-2008 TC2                  |
| `wcpncpy(3)`            | Added in POSIX.1-2008 TC2                  |
| `wcscat(3)`             | Added in POSIX.1-2008 TC2                  |
| `wcschr(3)`             | Added in POSIX.1-2008 TC2                  |
| `wcscmp(3)`             | Added in POSIX.1-2008 TC2                  |
| `wcscpy(3)`             | Added in POSIX.1-2008 TC2                  |
| `wcscspn(3)`            | Added in POSIX.1-2008 TC2                  |
| `wcslen(3)`             | Added in POSIX.1-2008 TC2                  |
| `wcsncat(3)`            | Added in POSIX.1-2008 TC2                  |
| `wcsncmp(3)`            | Added in POSIX.1-2008 TC2                  |
| `wcsncpy(3)`            | Added in POSIX.1-2008 TC2                  |
| `wcsnlen(3)`            | Added in POSIX.1-2008 TC2                  |
| `wcspbrk(3)`            | Added in POSIX.1-2008 TC2                  |
| `wcsrchr(3)`            | Added in POSIX.1-2008 TC2                  |
| `wcsspn(3)`             | Added in POSIX.1-2008 TC2                  |
| `wcsstr(3)`             | Added in POSIX.1-2008 TC2                  |
| `wcstok(3)`             | Added in POSIX.1-2008 TC2                  |
| `wmemchr(3)`            | Added in POSIX.1-2008 TC2                  |
| `wmemcmp(3)`            | Added in POSIX.1-2008 TC2                  |
| `wmemcpy(3)`            | Added in POSIX.1-2008 TC2                  |
| `wmemmove(3)`           | Added in POSIX.1-2008 TC2                  |
| `wmemset(3)`            | Added in POSIX.1-2008 TC2                  |
| `write(2)`              |                                            |

### Notes:
1. **POSIX.1-2001 and POSIX.1-2001 TC2** required the functions `fpathconf(3)`, `pathconf(3)`, and `sysconf(3)` to be async-signal-safe, but this requirement was removed in POSIX.1-2008.
2. If a signal handler interrupts the execution of an unsafe function, and the handler terminates via a call to `longjmp(3)` or `siglongjmp(3)`, and the program subsequently calls an unsafe function, the behavior of the program is undefined.
3. **POSIX.1-2001 TC1** clarified that if an application calls `fork(2)` from a signal handler and any of the fork handlers registered by `pthread_atfork(3)` calls a function that is not async-signal-safe, the behavior is undefined. A future revision of the standard may remove `fork(2)` from the list of async-signal-safe functions.
4. Asynchronous signal handlers that call functions which are cancellation points and nest over regions of deferred cancellation may trigger cancellation whose behavior is as if asynchronous cancellation had occurred and may cause application state to become inconsistent.

### `errno`
Fetching and setting the value of `errno` is async-signal-safe provided that the signal handler saves `errno` on entry and restores its value before returning.

### Deviations in the GNU C Library
- Before glibc 2.24, `execl(3)` and `execle(3)` employed `realloc(3)` internally and were consequently not async-signal-safe. This was fixed in glibc 2.24.
- The glibc implementation of `aio_suspend(3)` is not async-signal-safe because it uses `pthread_mutex_lock(3)` internally.

### See Also
- `sigaction(2)`
- `signal(7)`
- `standards(7)`

### Colophon
This page is part of release 5.13 of the Linux `man-pages` project. A description of the project, information about reporting bugs, and the latest version of this page can be found at [https://www.kernel.org/doc/man-pages/](https://www.kernel.org/doc/man-pages/).
