 PHY_UPDOWN,Physical state on the interface [STRING] changed   to [STRING].,$1：接口名称   $2：链路状态，up、down,3,IFNET/3/PHY_UPDOWN: Physical state on the   Ethernet0/0 changed to down.,接口的链路状态发生变化,物理层状态为down时，请检查是否没有物理连线或者链路故障
 IPSEC_SA_ESTABLISH_FAIL,"Failed to establish IPsec SA for the   reason of [STRING]. The SA’s source address is [STRING], and its destination   address is [STRING].",$1：IPsec SA创建失败的原因：   ·隧道创建失败，显示为：Tunnel establishment failure.   ·配置不完整，显示为：Incomplete configuration.   ·配置的安全提议无效，显示为：Unavailable transform set.   $2：源IP地址   $3：目的IP地址,6,"IPSEC/6/IPSEC_SA_ESTABLISH_FAIL: Failed   to establish IPsec SA for the reason of creating tunnel failure. The SA’s   source address is 1.1.1.1, and its destination address is 2.2.2.2.",IPsec SA创建失败。触发该日志的原因可能有：隧道创建失败、配置不完整、或者配置的安全提议无效,检查本端和对端设备上的IPsec配置
 IPSEC_SA_INITINATION,"Began to establish IPsec SA. The SA’s   source address is [STRING], and its destination address is [STRING].",$1：IPsec SA的源IP地址   $2：IPsec SA的目的IP地址,6,"IPSEC/6/IPSEC_SA_INITINATION: Began to   establish IPsec SA. The SA’s source address is 1.1.1.1, and its destination   address is 2.2.2.2.",开始创建IPsec   SA,无
 IPSEC_SA_TERMINATE,"The IPsec SA was deleted for the reason   of [STRING]. The SA’s source address is [STRING], destination address is   [STRING], protocol is [STRING], and SPI is [UINT32].",$1：IPsec SA被删除的原因：   ·SA空闲超时，显示为：SA idle timeout.   ·执行了reset命令，显示为：reset command executed.   $2：源IP地址   $3：目的IP地址   $4：使用的安全协议   $5：SPI,6,"IPSEC/6/IPSEC_SA_TERMINATE: The IPsec SA   was deleted for the reason of SA idle timeout. The SA’s source address is   1.1.1.1, destination address is 2.2.2.2, protocol is ESP, and SPI is 34563.",IPsec SA被删除。触发该日志的原因可能有：SA空闲超时或者执行了reset命令,无
 IPSG_ADDENTRY_ERROR,"Failed to add an IP source guard binding (IP   [STRING], MAC [STRING], and VLAN [UINT16]) on interface [STRING]. [STRING].",$1：IP地址（如果没有指定，则显示N/A）   $2：MAC地址（如果没有指定，则显示为N/A）   $3：VLAN ID（如果没有指定，则显示为无意义值65535）   $4：接口名（如果没有指定，则显示为N/A）   $5：失败原因：   ·Feature not supported：特性不支持   ·Resources not sufficient：资源不足   ·Unknown error：未知错误,6,"IPSG/6/IPSG_ADDENTRY_ERROR: Failed to add   an IP source guard binding (IP 1.1.1.1, MAC 0001-0001-0001, and VLAN 1) on   interface Vlan-interface1. Resources not sufficient.",下发静态或动态IP Source Guard绑定表项失败，可能的原因有：特性不支持，资源不足或未知错误,·当提示硬件资源不足时，可清理设备内存以释放资源   ·当下发是静态IP Source Guard绑定表项时，可重新执行命令下发该表项   ·当下发静态或动态IP   Source Guard绑定表项失败原因为未知错误时，请联系技术支持
 IPSG_ADDEXCLUDEDVLAN_ERROR,Failed to add excluded VLANs (start VLAN   [UINT16] to end VLAN [UINT16]). [STRING].,$1：Start VLAN（免过滤VLAN的起始VLAN ID）   $2：End VLAN（免过滤VLAN的结束VLAN ID）   $3：失败原因：   ·Feature not supported：特性不支持   ·Resources not sufficient：资源不足   ·Unknown error：未知错误,6,IPSG/6/IPSG_ADDEXCLUDEDVLAN_ERROR: Failed   to add excluded VLANs (start VLAN 1 to end VLAN 5). Resources not sufficient.,下发免过滤VLAN失败，可能的原因有：特性不支持，资源不足或未知错误,·因硬件资源不足而引起的免过滤VLAN下发失败，可清理设备内存以释放资源，然后重新执行命令下发该配置   ·当下发免过滤VLAN失败原因为未知错误时，请联系技术支持
 IPSG_DELENTRY_ERROR,"Failed to delete an IP source guard   binding (IP [STRING], MAC [STRING], and VLAN [UINT16]) on interface [STRING].   [STRING].",$1：IP地址（如果没有指定，则显示N/A）   $2：MAC地址（如果没有指定，则显示为N/A）   $3：VLAN ID（如果没有指定，则显示为无意义值65535）   $4：接口名（如果没有指定，则显示为N/A）   $5：失败原因：   ·Feature not supported：特性不支持   ·Unknown error：未知错误,6,"IPSG/6/IPSG_DELENTRY_ERROR: Failed to delete   an IP source guard binding (IP 1.1.1.1, MAC 0001-0001-0001, and VLAN 1) on   interface Vlan-interface1. Unknown error.",删除全局静态IP Source Guard绑定表项失败，可能的原因有：特性不支持或未知错误,·重新执行命令删除该表项   ·当删除全局静态IP   Source Guard绑定表项失败原因为未知错误时，请联系技术支持
 IPSG_DELEXCLUDEDVLAN_ERROR,Failed to delete excluded VLANs (start   VLAN [UINT16] to end VLAN [UINT16]). [STRING].,$1：Start VLAN（免过滤VLAN的起始VLAN ID）   $2：End VLAN（免过滤VLAN的结束VLAN ID）   $3：失败原因：   ·Feature not supported：特性不支持   ·Resources not sufficient：资源不足   ·Unknown error：未知错误,6,IPSG/6/IPSG_DELEXCLUDEDVLAN_ERROR: Failed   to delete excluded VLANs (start VLAN 1 to end VLAN 5). Resources not   sufficient.,删除免过滤VLAN失败，可能的原因有：特性不支持，资源不足或未知错误,·因硬件资源不足而引起的删除免过滤VLAN失败，可清理设备内存以释放资源，然后重新执行命令下发该配置   ·当删除免过滤VLAN失败原因为未知错误时，请联系技术支持
 IRDP_EXCEED_ADVADDR_LIMIT,The number of advertisement addresses on   interface [STRING] exceeded the limit 255.,$1：接口名称,6,IRDP/6/IRDP_EXCEED_ADVADDR_LIMIT: The   number of advertisement addresses on interface GigabitEthernet1/0/1 exceeded   the limit 255.,接口上待通告的地址数超过了上限值,删除接口上不需要的地址
 IRF_LINK_BLOCK,IRF port went blocked.,无,2,IRF/2/IRF_LINK_BLOCK: IRF port went   blocked.,IRF端口链路状态变为blocked。处于该状态的IRF端口不能转发数据报文，只能收发IRF协议报文。例如，检测到成员编号冲突时，优先级低的设备上会打印该日志信息,请确认组网中是否存在成员编号冲突的设备。如果存在，请将成员编号修改为不同的值
 IRF_LINK_DOWN,IRF port went down.,无,3,IRF/3/IRF_LINK_DOWN: IRF port went down.,IRF端口链路状态变为down,请确认：   ·IRF端口下是否绑定了物理接口   ·绑定的物理接口是否和对端正确连接
