# G0093: Soft Cell

## Description
Operation Soft Cell (G0093) is a threat group reportedly affiliated with China and likely state-sponsored. The group has been active since at least 2012 and has targeted high-profile telecommunications networks. (Citation: Cybereason Soft Cell June 2019)

## Tactics, Techniques, and Procedures (TTPs)

| Platform | Tactic | Technique | Description | Data Sources |
| Linux, macOS, Windows | Execution | [Command-Line Interface](https://attack.mitre.org/techniques/T1059/) | Soft Cell used the Windows command shell to execute commands. | Process monitoring, Process command-line parameters |
| Windows | Execution | [Windows Management Instrumentation](https://attack.mitre.org/techniques/T1047/) | Soft Cell used WMI for execution to assist in lateral movement and install tools across multiple assets. | Authentication logs, Netflow/Enclave netflow, Process monitoring, Process command-line parameters |
| Windows | Execution | [PowerShell](https://attack.mitre.org/techniques/T1086/) | Soft Cell used PowerShell for execution to assist in lateral movement and dump credentials stored on compromised machines. | PowerShell logs, Loaded DLLs, DLL monitoring, Windows Registry, File monitoring, Process monitoring, Process command-line parameters |
| Linux, Windows, macOS | Persistence, Privilege Escalation | [Web Shell](https://attack.mitre.org/techniques/T1100/) | Soft Cell used Web shells to persist in victim environments and assist in execution and exfiltration. | Anti-virus, Authentication logs, File monitoring, Netflow/Enclave netflow, Process monitoring |
| Linux, macOS, Windows, AWS, GCP, Azure AD, Azure, Office 365 | Persistence | [Create Account](https://attack.mitre.org/techniques/T1136/) | Soft Cell created rogue, high-privileged domain user accounts to maintain access across waves of a compromise. | Office 365 account logs, Azure activity logs, AWS CloudTrail logs, Process monitoring, Process command-line parameters, Authentication logs, Windows event logs |
| Linux, macOS, Windows, AWS, GCP, Azure, SaaS, Office 365 | Defense Evasion, Persistence, Privilege Escalation, Initial Access | [Valid Accounts](https://attack.mitre.org/techniques/T1078/) | Soft Cell leveraged valid accounts to maintain access to a victim network. | AWS CloudTrail logs, Stackdriver logs, Authentication logs, Process monitoring |
| Windows | Defense Evasion | [DLL Side-Loading](https://attack.mitre.org/techniques/T1073/) | Soft Cell used DLL side-loading to covertly load PoisonIvy into memory on the victim machine. | Process use of network, Process monitoring, Loaded DLLs |
| Linux, Windows, macOS, AWS, GCP, Azure | Initial Access | [Exploit Public-Facing Application](https://attack.mitre.org/techniques/T1190/) | Soft Cell exploited a publicly-facing server to gain access to the network. | Azure activity logs, AWS CloudTrail logs, Stackdriver logs, Packet capture, Web logs, Web application firewall logs, Application logs |

This table provides a comprehensive overview of the tactics, techniques, and procedures (TTPs) employed by the Soft Cell threat group, along with the relevant data sources for detection and mitigation.
