102: 将安全挡块7-的机床数据设为相同值
218: 将安全挡块24信号指定的机床数据设为相同值，检查挡块使能和挡块设置
219: 将安全挡块25信号指定的机床数据设为相同值，检查挡块使能和挡块设置
220: 将安全挡块26信号指定的机床数据设为相同值，检查挡块使能和挡块设置
221: 将安全挡块27信号指定的机床数据设为相同值，检查挡块使能和挡块设置
222: 将安全挡块28信号指定的机床数据设为相同值，检查挡块使能和挡块设置
223: 将安全挡块29信号指定的机床数据设为相同值，检查挡块使能和挡块设置
224: 将安全挡块30信号指定的机床数据设为相同值，检查挡块使能和挡块设置
225: 检查对比结果表3。检查挡块公差，查看驱动参数r9735[0,1]中详细的故障代码
226: 检查对比结果表4。检查挡块公差，查看驱动参数r9736[0,1]中详细的故障代码
227: 检查对比结果表5。检查挡块公差，查看驱动参数r9737[0,1]中详细的故障代码
228: 检查对比结果表6。检查挡块公差，查看驱动参数r9738[0,1]中详细的故障代码
229: 检查对比结果表7。检查挡块公差，查看驱动参数r9739[0,1]中详细的故障代码
230: 将MD36945 $MA_SAFE_VELO_X_FILTER_TIME和驱动参数p9545设为相同的值
231: 将MD36947 $MA_SAFE_VELO_X_HYSTERESIS和驱动参数p9547设为相同的值
232: 扩大MD36947 $MA_SAFE_VELO_X_HYSTERESIS和MD36945 $MA_SAFE_VELO_X_FILTER_TIME
233: 检查MD36946 $MA_SAFE_VELO_X和MD36947 $MA_SAFE_VELO_X_HYSTERESIS
234: 检查MD36946 $MA_SAFE_VELO_X和MD36947 $MA_SAFE_VELO_X_HYSTERESIS
235: 检查MD36946 $MA_SAFE_VELO_X和MD36947 $MA_SAFE_VELO_X_HYSTERESIS
236: 检查MD36946 $MA_SAFE_VELO_X和MD36947 $MA_SAFE_VELO_X_HYSTERESIS
237: 检查MD36946 $MA_SAFE_VELO_X和MD36947 $MA_SAFE_VELO_X_HYSTERESIS
238: 未占用。
239: 未占用。
240: 未占用。
241: 未占用。
242: 未占用。
243: 未占用。
244: 未占用。
245: 未占用。
246: 未占用。
247: 未占用。
248: 未占用。
249: 未占用。
250: 未占用。
251: 未占用。
252: 未占用。
253: 未占用。
报警
470 诊断手册, 01/2022, 6FC5398-6BP40-6RA6
NC 报警
254: 未占用。
255: 未占用。
256: 结果列表1：通过SGE不同的功能控制，分析SINAMICS r9710[0]、r9710[1]中的精细故障编码。
257: 未占用。
258: 未占用。
259: 未占用。
260: 未占用。
261: 未占用。
262: 未占用。
263: 未占用。
264: 未占用。
265: 结果列表1：通过SGE不同的功能控制，分析SINAMICS r9710[0]、r9710[1]中的精细故障编码。
266: 检查MD37920 $MA_SAFE_STANDSTILL_VELO_LIMIT。
267: 检查MD37922 $MA_SAFE_STANDSTILL_DELAY。
1000: 控制定时器期满，F-DI上开关次数太多（如因接触问题或接触不良导致）。
1002: 用户应答定时器期满
1003: 超出了参考公差，比较参考位置和当前实际的安全位置
1004: 用户应答不合理
1005: 在选择潜在故障检查时已封锁了脉冲。
1009: 潜在故障检查引起停机，检查MD36976 $MA_SAFE_PULSE_STATUS_INPUT 中的F-DI配置，检查潜在故障检查的延
时。
1011: 验收测试定时器期满
1013: 通过重新上电恢复数据一致性
1014: 通过重新上电恢复数据一致性
1020: NCK和驱动之间的循环通讯失败
1023: 检查编码器模块
1024: 通过重新上电恢复数据一致性
1025: 驻留”的选择不合理，检查编码器硬件或编码器通讯
1026: 检查PLC和驱动、PLC和NCK之间的通讯。
程序继续： 用复位键清除报警，重新启动子程序。
如果释放STOP B，则需要关闭/接通控制系统（上电）。
27002 轴 %1 运行停车测试
参数： %1 = 轴名称、主轴号
说明： 设置了F-DI"测试停止选择"，正在测试关闭路径是否正常工作。
反应： 报警显示。
排除方法： 该信息仅供用户参考。
程序继续： 报警原因和报警提示会同时消失。不需要其它处理。
在超过延迟时间之后报警自动消失，该延迟时间是在MD36957 $MA_SAFE_PULSE_DIS_CHECK_TIME中定义的，并且当控
制系统识别脉冲已被删除后，即：测试成功终止后，清除F-DI的"测试停止选择"状态。失败的测试可通过带有错误代码1005
的报警27001或报警27024来识别。
27003 建立和校验出错：%1 %2
参数： %1 = 代码单元或表格中的记录
%2 = 表格编号
说明： 安全相关代码或安全相关数据中校验和错误。 NCK中的安全监控功能(Safety Integrated)不起作用。
反应： 报警显示。
排除方法： 请更加仔细小心地继续操作，关闭/启动控制系统（上电）。如果再次出现该故障，请联系维修人员。
程序继续： 关闭/打开系统。
报警
诊断手册, 01/2022, 6FC5398-6BP40-6RA6 471
NC 报警
27004 轴 %1的安全输入%2状态不同，NCK：%3 伺服：%4
参数： %1 = 轴名称、主轴号
%2 = 监控输入
%3 = 接口标识符NCK输入:
%4 = 接口标识符驱动输入:
说明： 指出的安全输入中有差异。该输入信号在两个监控通道NCK和驱动中状态不同，并且这种差异持续的时间不短于MD36950
$MA_SAFE_MODE_SWITCH_TIME 。
所述监控：
SS/SV = F-DI“取消选择SOS/SLS”之间有差异
SS = F-DI“取消选择SOS”之间有差异
SV = F-DI“选择SLS”之间有差异
SP = F-DI“选择SLP”之间有差异
SVOVR = F-DI“选择SLS倍率”之间有差异
