### FortiOS 6.2.5 Log Reference

#### Log Messages

##### 28720 - LOGID_APP_CTRL_SSH_PASS
- **Message ID**: 28720
- **Message Description**: LOGID_APP_CTRL_SSH_PASS
- **Message Meaning**: Application control (SSH) (pass)
- **Type**: App
- **Category**: SIGNATURE
- **Severity**: Information

**Log Field Name | Description | Data Type | Length**
- `action` | Action taken | string | 16
- `crscore` | Client reputation score | uint32 | 10
- `date` | Date of the event | string | 10
- `devid` | Device ID | string | 16
- `direction` | Direction of traffic | string | 8
- `dstintf` | Destination interface | string | 64
- `dstintfrole` | Destination interface role | string | 10
- `dstip` | Destination IP address | ip | 39
- `dstport` | Destination port | uint16 | 5
- `eventtime` | Event time | uint64 | 20
- `eventtype` | Event type | string | 32
- `fctuid` | FortiClient UID | string | 32
- `filename` | File name | string | 256
- `filesize` | File size | uint64 | 10
- `forwardedfor` | Forwarded for | string | 128
- `group` | Group name | string | 64
- `hostname` | Hostname | string | 256
- `incidentserialno` | Incident serial number | uint32 | 10
- `level` | Log level | string | 11
- `logid` | Log ID | string | 10
- `msg` | Log message | string | 512
- `policyid` | Policy ID | uint32 | 10
- `profile` | Profile name | string | 36
- `profiletype` | Profile type | string | 36
- `proto` | Protocol number | uint8 | 3
- `rawdata` | Raw data | string | 20480
- `rawdataid` | Raw data ID | string | 10
- `scertcname` | Server certificate common name | string | 64
- `scertissuer` | Server certificate issuer | string | 64
- `service` | Service name | string | 80
- `sessionid` | Session ID | uint32 | 10
- `srcdomain` | Source domain | string | 255
- `srcintf` | Source interface | string | 64
- `srcintfrole` | Source interface role | string | 10
- `srcip` | Source IP address | ip | 39
- `srcport` | Source port | uint16 | 5
- `subtype` | Subtype | string | 20
- `time` | Time of the event | string | 8
- `trueclntip` | True client IP | ip | 39
- `type` | Log type | string | 16
- `tz` | Time zone | string | 5
- `unauthuser` | Unauthorized user | string | 66
- `unauthusersource` | Unauthorized user source | string | 66
- `url` | URL | string | 512
- `user` | User name | string | 256
- `vd` | VDOM name | string | 32
- `vrf` | VRF ID | uint8 | 3

##### 8192 - MESGID_INFECT_WARNING
- **Message ID**: 8192
- **Message Description**: MESGID_INFECT_WARNING
- **Message Meaning**: Infected file detected by the FortiGate unit and blocked
- **Type**: AV
- **Category**: INFECTED
- **Severity**: Warning

**Log Field Name | Description | Data Type | Length**
- `action` | The security action performed by AV | string | 16
- `agent` | User agent (e.g., "Mozilla/5.0") | string | 64
- `analyticscksum` | The checksum of the file submitted for analytics | string | 64
- `analyticssubmit` | The flag for analytics submission | string | 10
- `authserver` | Authentication server | string | 32
- `cdrcontent` | CDR content | string | 256
- `checksum` | The checksum of the scanned file | string | 16
- `contentdisarmed` | Content disarmed | string | 13
- `craction` | Client reputation action | uint32 | 10
- `crlevel` | Client Reputation Level | string | 10
- `crscore` | Client Reputation Score | uint32 | 10
- `date` | Date | string | 10
- `devid` | Device ID | string | 16
- `direction` | Message/packets direction | string | 8
- `dstintf` | Destination Interface | string | 32
- `dstintfrole` | Destination interface role | string | 10
- `dstip` | Destination IP Address | ip | 39
- `dstport` | Destination Port | uint16 | 5
- `dtype` | Data type for virus category | string | 32
- `eventtime` | Event time | uint64 | 20
- `eventtype` | Event type of AV | string | 32
- `fctuid` | FortiClient UID | string | 32
- `filehash` | File hash | string | 64
- `filehashsrc` | File hash source | string | 32
- `filename` | Filename | string | 256
- `filetype` | File type | string | 16
- `forwardedfor` | Forwarded for | string | 128
- `from` | Email address from the Email Headers (IMAP/POP3/SMTP) | string | 128
- `group` | Group name (authentication) | string | 64
- `level` | Log level | string | 11
- `logid` | Log ID | string | 10
- `msg` | Log message | string | 4096
- `policyid` | Policy ID | uint32 | 10
- `profile` | The name of the profile that was used to detect and take action | string | 64
- `proto` | Protocol number | uint8 | 3
- `quarskip` | Quarantine skip explanation | string | 46
- `rawdata` | Raw data | string | 20480
- `recipient` | Email addresses from the SMTP envelope | string | 512
- `ref` | The URL of the FortiGuard IPS database entry for the attack | string | 512
- `sender` | Email address from the SMTP envelope | string | 128
- `service` | Proxy service which scanned this traffic | string | 5
- `sessionid` | Session ID | uint32 | 10
- `srcdomain` | Source domain | string | 255
- `srcintf` | Source Interface | string | 32
- `srcintfrole` | Source interface role | string | 10
- `srcip` | Source IP Address | ip | 39
- `srcport` | Source Port | uint16 | 5
- `subservice` | Sub-service | string | 16
- `subtype` | Subtype of the virus log | string | 20
- `time` | Time | string | 8
- `to` | Email address(es) from the Email Headers (IMAP/POP3/SMTP) | string | 512
- `trueclntip` | True client IP | ip | 39
- `type` | Log type | string | 16
- `tz` | Time zone | string | 5
- `unauthuser` | Unauthorized user | string | 66
- `unauthusersource` | Unauthorized user source | string | 66
- `url` | The URL address | string | 512
- `user` | User name (authentication) | string | 256
- `vd` | VDOM name | string | 32
- `virus` | Virus Name | string | 128
- `virusid` | Virus ID (unique virus identifier) | uint32 | 10
- `vrf` | VRF ID | uint8 | 3

##### 8193 - MESGID_INFECT_NOTIF
- **Message ID**: 8193
- **Message Description**: MESGID_INFECT_NOTIF
- **Message Meaning**: Infected file detected by the FortiGate unit and it passed
- **Type**: AV
- **Category**: INFECTED
- **Severity**: Notice

**Log Field Name | Description | Data Type | Length**
- `action` | The security action performed by AV | string | 16
- `agent` | User agent (e.g., "Mozilla/5.0") | string | 64
- `analyticscksum` | The checksum of the file submitted for analytics | string | 64
- `analyticssubmit` | The flag for analytics submission | string | 10
- `authserver` | Authentication server | string | 32
- `cdrcontent` | CDR content | string | 256
- `checksum` | The checksum of the scanned file | string | 16
- `contentdisarmed` | Content disarmed | string | 13
- `craction` | Client reputation action | uint32 | 10
- `crlevel` | Client Reputation Level | string | 10
- `crscore` | Client Reputation Score | uint32 | 10
- `date` | Date | string | 10
- `devid` | Device ID | string | 16
- `direction` | Message/packets direction | string | 8
- `dstintf` | Destination Interface | string | 32
- `dstintfrole` | Destination interface role | string | 10
- `dstip` | Destination IP Address | ip | 39
- `dstport` | Destination Port | uint16 | 5
- `dtype` | Data type for virus category | string | 32
- `eventtime` | Event time | uint64 | 20
- `eventtype` | Event type of AV | string | 32
- `fctuid` | FortiClient UID | string | 32
- `filehash` | File hash | string | 64
- `filehashsrc` | File hash source | string | 32
- `filename` | Filename | string | 256
- `filetype` | File type | string | 16
- `forwardedfor` | Forwarded for | string | 128
- `from` | Email address from the Email Headers (IMAP/POP3/SMTP) | string | 128
- `group` | Group name (authentication) | string | 64
- `level` | Log level | string | 11
- `logid` | Log ID | string | 10
- `msg` | Log message | string | 4096
- `policyid` | Policy ID | uint32 | 10
- `profile` | The name of the profile that was used to detect and take action | string | 64
- `proto` | Protocol number | uint8 | 3
- `quarskip` | Quarantine skip explanation | string | 46
- `rawdata` | Raw data | string | 20480
- `recipient` | Email addresses from the SMTP envelope | string | 512
- `ref` | The URL of the FortiGuard IPS database entry for the attack | string | 512
- `sender` | Email address from the SMTP envelope | string | 128
- `service` | Proxy service which scanned this traffic | string | 5
- `sessionid` | Session ID | uint32 | 10
- `srcdomain` | Source domain | string | 255
- `srcintf` | Source Interface | string | 32
- `srcintfrole` | Source interface role | string | 10
- `srcip` | Source IP Address | ip | 39
- `srcport` | Source Port | uint16 | 5
- `subservice` | Sub-service | string | 16
- `subtype` | Subtype of the virus log | string | 20
- `time` | Time | string | 8
- `to` | Email address(es) from the Email Headers (IMAP/POP3/SMTP) | string | 512
- `trueclntip` | True client IP | ip | 39
- `type` | Log type | string | 16
- `tz` | Time zone | string | 5
- `unauthuser` | Unauthorized user | string | 66
- `unauthusersource` | Unauthorized user source | string | 66
- `url` | The URL address | string | 512
- `user` | User name (authentication) | string | 256
- `vd` | VDOM name | string | 32
- `virus` | Virus Name | string | 128
- `virusid` | Virus ID (unique virus identifier) | uint32 | 10
- `vrf` | VRF ID | uint8 | 3

##### 8194 - MESGID_INFECT_MIME_WARNING
- **Message ID**: 8194
- **Message Description**: MESGID_INFECT_MIME_WARNING
- **Message Meaning**: MIME header detected to have a virus and blocked
- **Type**: AV
- **Category**: INFECTED
- **Severity**: Warning

**Log Field Name | Description | Data Type | Length**
- `action` | The security action performed by AV | string | 16
- `agent` | User agent (e.g., "Mozilla/5.0") | string | 64
- `analyticscksum` | The checksum of the file submitted for analytics | string | 64
- `analyticssubmit` | The flag for analytics submission | string | 10
- `authserver` | Authentication server | string | 32
- `cdrcontent` | CDR content | string | 256
- `checksum` | The checksum of the scanned file | string | 16
- `contentdisarmed` | Content disarmed | string | 13
- `craction` | Client reputation action | uint32 | 10
- `crlevel` | Client Reputation Level | string | 10
- `crscore` | Client Reputation Score | uint32 | 10
- `date` | Date | string | 10
- `devid` | Device ID | string | 16
- `direction` | Message/packets direction | string | 8
- `dstintf` | Destination Interface | string | 32
- `dstintfrole` | Destination interface role | string | 10
- `dstip` | Destination IP Address | ip | 39
- `dstport` | Destination Port | uint16 | 5
- `dtype` | Data type for virus category | string | 32
- `eventtime` | Event time | uint64 | 20
- `eventtype` | Event type of AV | string | 32
- `fctuid` | FortiClient UID | string | 32
- `filehash` | File hash | string | 64
- `filehashsrc` | File hash source | string | 32
- `filename` | Filename | string | 256
- `filetype` | File type | string | 16
- `forwardedfor` | Forwarded for | string | 128
- `from` | Email address from the Email Headers (IMAP/POP3/SMTP) | string | 128
- `group` | Group name (authentication) | string | 64
- `level` | Log level | string | 11
- `logid` | Log ID | string | 10
- `msg` | Log message | string | 4096
- `policyid` | Policy ID | uint32 | 10
- `profile` | The name of the profile that was used to detect and take action | string | 64
- `proto` | Protocol number | uint8 | 3
- `quarskip` | Quarantine skip explanation | string | 46
- `rawdata` | Raw data | string | 20480
- `recipient` | Email addresses from the SMTP envelope | string | 512
- `ref` | The URL of the FortiGuard IPS database entry for the attack | string | 512
- `sender` | Email address from the SMTP envelope | string | 128
- `service` | Proxy service which scanned this traffic | string | 5
- `sessionid` | Session ID | uint32 | 10
- `srcdomain` | Source domain | string | 255
- `srcintf` | Source Interface | string | 32
- `srcintfrole` | Source interface role | string | 10
- `srcip` | Source IP Address | ip | 39
- `srcport` | Source Port | uint16 | 5
- `subservice` | Sub-service | string | 16
- `subtype` | Subtype of the virus log | string | 20
- `time` | Time | string | 8
- `to` | Email address(es) from the Email Headers (IMAP/POP3/SMTP) | string | 512
- `trueclntip` | True client IP | ip | 39
- `type` | Log type | string | 16
- `tz` | Time zone | string | 5
- `unauthuser` | Unauthorized user | string | 66
- `unauthusersource` | Unauthorized user source | string | 66
- `url` | The URL address | string | 512
- `user` | User name (authentication) | string | 256
- `vd` | VDOM name | string | 32
- `virus` | Virus Name | string | 128
- `virusid` | Virus ID (unique virus identifier) | uint32 | 10
- `vrf` | VRF ID | uint8 | 3

##### 8195 - MESGID_INFECT_MIME_NOTIF
- **Message ID**: 8195
- **Message Description**: MESGID_INFECT_MIME_NOTIF
- **Message Meaning**: MIME header infected and passed
- **Type**: AV
- **Category**: INFECTED
- **Severity**: Notice

**Log Field Name | Description | Data Type | Length**
- `action` | The security action performed by AV | string | 16
- `agent` | User agent (e.g., "Mozilla/5.0") | string | 64
- `analyticscksum` | The checksum of the file submitted for analytics | string | 64
- `analyticssubmit` | The flag for analytics submission | string | 10
- `authserver` | Authentication server | string | 32
- `cdrcontent` | CDR content | string | 256
- `checksum` | The checksum of the scanned file | string | 16
- `contentdisarmed` | Content disarmed | string | 13
- `craction` | Client reputation action | uint32 | 10
- `crlevel` | Client Reputation Level | string | 10
- `crscore` | Client Reputation Score | uint32 | 10
- `date` | Date | string | 10
- `devid` | Device ID | string | 16
- `direction` | Message/packets direction | string | 8
- `dstintf` | Destination Interface | string | 32
- `dstintfrole` | Destination interface role | string | 10
- `dstip` | Destination IP Address | ip | 39
- `dstport` | Destination Port | uint16 | 5
- `dtype` | Data type for virus category | string | 32
- `eventtime` | Event time | uint64 | 20
- `eventtype` | Event type of AV | string | 32
- `fctuid` | FortiClient UID | string | 32
- `filehash` | File hash | string | 64
- `filehashsrc` | File hash source | string | 32
- `filename` | Filename | string | 256
- `filetype` | File type | string | 16
- `forwardedfor` | Forwarded for | string | 128
- `from` | Email address from the Email Headers (IMAP/POP3/SMTP) | string | 128
- `group` | Group name (authentication) | string | 64
- `level` | Log level | string | 11
- `logid` | Log ID | string | 10
- `msg` | Log message | string | 4096
- `policyid` | Policy ID | uint32 | 10
- `profile` | The name of the profile that was used to detect and take action | string | 64
- `proto` | Protocol number | uint8 | 3
- `quarskip` | Quarantine skip explanation | string | 46
- `rawdata` | Raw data | string | 20480
- `recipient` | Email addresses from the SMTP envelope | string | 512
- `ref` | The URL of the FortiGuard IPS database entry for the attack | string | 512
- `sender` | Email address from the SMTP envelope | string | 128
- `service` | Proxy service which scanned this traffic | string | 5
- `sessionid` | Session ID | uint32 | 10
- `srcdomain` | Source domain | string | 255
- `srcintf` | Source Interface | string | 32
- `srcintfrole` | Source interface role | string | 10
- `srcip` | Source IP Address | ip | 39
- `srcport` | Source Port | uint16 | 5
- `subservice` | Sub-service | string | 16
- `subtype` | Subtype of the virus log | string | 20
- `time` | Time | string | 8
- `to` | Email address(es) from the Email Headers (IMAP/POP3/SMTP) | string | 512
- `trueclntip` | True client IP | ip | 39
- `type` | Log type | string | 16
- `tz` | Time zone | string | 5
- `unauthuser` | Unauthorized user | string | 66
- `unauthusersource` | Unauthorized user source | string | 66
- `url` | The URL address | string | 512
- `user` | User name (authentication) | string | 256
- `vd` | VDOM name | string | 32
- `virus` | Virus Name | string | 128
- `virusid` | Virus ID (unique virus identifier) | uint32 | 10
- `vrf` | VRF ID | uint8 | 3

---

This document provides a detailed reference for the log messages in FortiOS 6.2.5, including their message IDs, descriptions, meanings, types, categories, severities, and the fields associated with each log message.
