# G0069: MuddyWater

## Description
MuddyWater is an Iranian threat group primarily targeting Middle Eastern nations, with some operations extending to European and North American countries. The group's primary targets include the telecommunications, government (IT services), and oil sectors. Initially, MuddyWater's activities were linked to FIN7, but it is now believed to be a distinct group, possibly motivated by espionage.

**References:**
- [Unit 42 MuddyWater Nov 2017](https://attack.mitre.org/groups/G0069)
- [Symantec MuddyWater Dec 2018](https://attack.mitre.org/groups/G0069)
- [ClearSky MuddyWater Nov 2018](https://attack.mitre.org/groups/G0069)

## Tactics, Techniques, and Procedures (TTPs)

| Platform | Tactic | Technique | Description | Data Sources |
| Windows | Defense Evasion, Privilege Escalation | Bypass User Account Control | MuddyWater uses various techniques to bypass UAC. | System calls, Process monitoring, Authentication logs, Process command-line parameters |
| Linux, Windows, macOS | Execution | User Execution | MuddyWater attempts to get users to enable macros and launch malicious Microsoft Word documents via spearphishing emails. | Anti-virus, Process command-line parameters, Process monitoring |
| Windows, Linux, macOS | Credential Access | Credential Dumping | MuddyWater performs credential dumping using Mimikatz, LaZagne, and other tools. | API monitoring, Process monitoring, PowerShell logs, Process command-line parameters |
| Windows | Defense Evasion | Deobfuscate/Decode Files or Information | MuddyWater decodes base64-encoded PowerShell commands using a VBS file. | File monitoring, Process monitoring, Process command-line parameters |
| Linux, macOS, Windows | Defense Evasion | Obfuscated Files or Information | MuddyWater uses Invoke-Obfuscation framework and other obfuscation methods. | Network protocol analysis, Process use of network, File monitoring, Malware reverse engineering, Binary file metadata, Process command-line parameters, Environment variable, Process monitoring, Windows event logs, Network intrusion detection system, Email gateway, SSL/TLS inspection |
| Windows | Persistence | Registry Run Keys / Startup Folder | MuddyWater adds a Registry Run key to establish persistence. | Windows Registry, File monitoring |
| Windows, macOS, Linux | Initial Access | Spearphishing Attachment | MuddyWater sends spearphishing emails with targeted attachments. | File monitoring, Packet capture, Network intrusion detection system, Detonation chamber, Email gateway, Mail server |
| Linux, macOS, Windows | Defense Evasion, Execution | Scripting | MuddyWater uses VBScript and JavaScript files to execute its POWERSTATS payload. | Process monitoring, File monitoring, Process command-line parameters |
| Linux, macOS, Windows | Defense Evasion | Masquerading | MuddyWater uses filenames and Registry key names associated with Windows Defender. | File monitoring, Process monitoring, Binary file metadata |
| Windows | Defense Evasion, Execution | CMSTP | MuddyWater uses CMSTP.exe and a malicious INF to execute its POWERSTATS payload. | Process monitoring, Process command-line parameters, Process use of network, Windows event logs |
| Windows | Defense Evasion, Execution | Mshta | MuddyWater uses mshta.exe to execute its POWERSTATS payload. | Process monitoring, Process command-line parameters |
| Windows | Execution | PowerShell | MuddyWater uses PowerShell for execution. | PowerShell logs, Loaded DLLs, DLL monitoring, Windows Registry, File monitoring, Process monitoring, Process command-line parameters |

This table provides a comprehensive overview of the tactics, techniques, and procedures (TTPs) employed by MuddyWater, along with the relevant data sources for detection and monitoring.
