	- 8.17 [网络博彩被骗25万余元，远离任何形式的赌博！](https://www.anquanke.com/post/id/214227)
	- 8.24 [智能合约中的那些后门漏洞](https://www.anquanke.com/post/id/215033)
	- 8.24 [基于脚本的恶意软件：IE攻击新趋势](https://www.freebuf.com/articles/system/247526.html)
	- 8.24 [基于WAF日志的扫描器检测实践](https://www.freebuf.com/articles/network/247466.html)
	- 8.24 [Nasty malware duo pre-installed on thousands of cheap Android phones](https://www.hackread.com/nasty-malware-duo-pre-installed-cheap-android-phones/)
	- 8.25 [攻守道—流量分析的刀光剑影（上）](https://www.secpulse.com/archives/139473.html)
	- 8.25 [攻守道—流量分析的刀光剑影（下）](https://www.secpulse.com/archives/139504.html)
	- 8.25 [macos下hackrf one环境搭建](https://www.freebuf.com/sectool/247864.html)
	- 8.25 [以法律和金融组织为目标的 DeathStalker APT](https://paper.seebug.org/1312/)
	- 8.25 [首个渗透到iOS生态系统的恶意SDK，秘密访问1000+iOS APP](https://www.freebuf.com/news/247823.html)
	- 8.25 [macOS下宏攻击的复现与研究](https://paper.seebug.org/1307/)
	- 8.25 [性感“注入”，在线“发牌”](https://www.secpulse.com/archives/139393.html)
	- 8.25 [犯罪团伙日益猖獗，Grandoreiro银行木马冒充西班牙税务机构](https://www.freebuf.com/news/247764.html)
	- 8.26 [mac中frida调试系统程序设置（关闭虚拟机mac的sip）](https://www.52pojie.cn/thread-1254131-1-1.html)
	- 8.26 [“卖片党”的画皮术，深扒色情产业背后的生存“秘钥”](https://www.anquanke.com/post/id/215346)
	- 8.26 [黑灰产短信拦截卡与宽带IP近期数据简介](https://www.anquanke.com/post/id/215421)
	- 8.26 [慢雾：YFValue，一行代码如何锁定上亿资产](https://www.freebuf.com/articles/neopoints/247856.html)
	- 8.27 [APT组织利用Autodesk 3D Max软件进行工业间谍活动](https://www.freebuf.com/news/247969.html)
	- 8.28 [红日靶场——ATT&CK红队实战（一）学习笔记](https://www.freebuf.com/articles/web/248183.html)
	- 8.28 [对安全消息传递应用程序的实际流量分析攻击](https://www.freebuf.com/articles/network/248192.html)
	- 8.28 [海康萤石智能门锁的网关分析](https://paper.seebug.org/1320/)
	- 8.28 [FireWalker：一种绕过用户空间EDR Hooking的新方法](https://www.anquanke.com/post/id/215178)
	- 8.28 [Iranian Hackers Pose as Journalists to Trick Victims Into Installing Malware](http://feedproxy.google.com/~r/TheHackersNews/~3/SlFF9FYAUqI/hackers-journalist-malware.html)
	- 8.31 [为精准用户画像，恶意 npm 软件包窃取浏览器文件](http://hackernews.cc/archives/31919)
	- 8.31 [七夕—一例海莲花（OceanLotus）的恶意样本分析](https://www.anquanke.com/post/id/215169)
	- 8.31 [漏洞挖掘的艺术-面向源码的静态漏洞挖掘](https://www.freebuf.com/articles/network/248215.html)
	- 8.31 [“云养殖”资金盘听过吗？千人被骗的血本无归！](https://www.anquanke.com/post/id/215920)
	- 8.31 [揭秘美军网络战七大武器系统](https://www.freebuf.com/articles/network/248336.html)
	- 8.31 [Android Users Bugged by Fake Popups](https://www.infosecurity-magazine.com/news/android-users-bugged-by-fake-popups/)
- 0x08
	- 9.1 [Cetus：针对 Docker daemons 的加密劫持蠕虫](https://paper.seebug.org/1322/)
	- 9.2 [Android security: Six more apps containing Joker malware removed from the Google Play Store](https://www.zdnet.com/article/android-security-six-more-apps-containing-joker-malware-removed-from-the-google-play-store/#ftag=RSSbaffb68)
	- 9.2 [跨平台挖矿木马 MrbMiner 已控制上千台服务器](http://hackernews.cc/archives/31948)
	- 9.3 [跨平台挖矿木马MrbMiner已控制上千台服务器](https://www.freebuf.com/articles/system/248650.html)
	- 9.3 [TEAM TNT：窃取AWS凭证的加密货币挖矿蠕虫](https://www.secpulse.com/archives/140346.html)
	- 9.3 [新型信用卡窃密工具出现，黑客利用Telegram提取数据](https://www.freebuf.com/news/248610.html)
	- 9.3 [漏洞挖掘的艺术-面向二进制的静态漏洞挖掘](https://www.freebuf.com/articles/network/248487.html)
	- 9.3 [SQL注入漏洞浅析及防御](https://www.freebuf.com/vuls/248577.html)
	- 9.4 [Evilnum APT used Python-based RAT PyVil in recent attacks](https://securityaffairs.co/wordpress/107890/apt/evilnum-apt-pyvil-rat.html?utm_source=feedly&utm_medium=rss&utm_campaign=evilnum-apt-pyvil-rat)
		9.7 [疑似 KimsukyAPT 组织最新攻击活动样本分析](https://www.anquanke.com/post/id/216589)
	- 9.4 [PDF文件密码破解](https://www.freebuf.com/articles/database/248775.html)
	- 9.7 [黑灰产明码标价倒卖微信群二维码，个人信息遭泄露](https://www.anquanke.com/post/id/216613)
	- 9.7 [WhatsApp现神秘漏洞，黑客可远程查看聊天记录](https://www.anquanke.com/post/id/216843)
	- 9.7 [记一次简单的win提权](https://www.freebuf.com/articles/network/248953.html)
	- 9.7 [Excel文档暗藏危机？黑客利用.NET库生成恶意文件可绕过安全检测](https://www.freebuf.com/news/248942.html)
	- 9.7 [一次对电视盒子的漏洞分析](https://www.freebuf.com/vuls/246128.html)
	- 9.7 [Evilnum 黑客使用新的基于Python的木马攻击金融公司](http://hackernews.cc/archives/32023)
	- 9.8 [新的 PIN 验证绕过漏洞影响 Visa 非接触式支付](http://hackernews.cc/archives/32051)
	- 9.8 [藏在二手平台里的交易“暗语”，招嫖、博彩引流别有洞天](https://www.anquanke.com/post/id/216815)
	- 9.8 [手把手教你 | 某办公软件PDF阅读器漏洞挖掘及Crash分析](https://www.freebuf.com/vuls/249130.html)
	- 9.8 [【流行威胁追踪】深度分析阿瓦顿（Avaddon）勒索软件](https://www.freebuf.com/articles/others-articles/249109.html)
	- 9.8 [基于RNN的分类器利用局部特征和复杂符号序列检测隐蔽的恶意软件](https://www.anquanke.com/post/id/216483)
	- 9.8 [Thanos 勒索软件：针对中东和北非国有组织的破坏性变体](https://paper.seebug.org/1330/)
	- 9.8 [APT Group系列——Darkhotel之窃密与RAT篇](http://blog.nsfocus.net/darkhotel-3-0908/)
	- 9.9 [SROP攻击原理及例题解析](https://www.anquanke.com/post/id/217081)
	- 9.9 [Ghidra入门指南（上）](https://www.secpulse.com/archives/140660.html)
	- 9.9 [Ghidra入门指南（下）](https://www.secpulse.com/archives/140673.html)
	- 9.10 [攻击者滥用合法的云监控工具进行网络攻击](https://paper.seebug.org/1333/)
	- 9.10 [一次opencanary自定义实践](https://www.freebuf.com/sectool/249241.html)
	- 9.10 [一部手机失窃而揭露的窃取个人信息实现资金盗取的黑色产业链](https://www.freebuf.com/articles/network/249294.html)
	- 9.10 [某办公软件PDF阅读器漏洞挖掘及Crash分析](https://www.anquanke.com/post/id/216999)
	- 9.10 [攻击者滥用合法的云监控工具进行网络攻击](http://hackernews.cc/archives/32063)
	- 9.11 [SK海力士和LG电子遭勒索组织攻击，机密信息或被逐步公开](https://www.freebuf.com/news/249448.html)
	- 9.11 [盗窃手机盗刷银行卡黑色产业链案件之后续进展](https://www.freebuf.com/articles/network/249438.html)
	- 9.11 [Mykings 僵尸网络新变种通过 PcShare 远程控制，已感染超 5 万台电脑挖矿](http://hackernews.cc/archives/32075)
	- 9.11 [CVE-2020-0069：联发科最稳定的 Rootkit 解构](https://www.anquanke.com/post/id/217231)
	- 9.13 [伏影实验室：一次定向攻击事件快速分析](http://blog.nsfocus.net/cobalt-strike-phishing-0913/)
	- 9.14 [新的 Linux 恶意软件从 VoIP 软交换系统窃取通话详细信息](http://hackernews.cc/archives/32116)
	- 9.14 [EDT：入侵检测设备安全能力测试](https://www.freebuf.com/sectool/249373.html)
	- 9.14 [安卓activity劫持测试工具开发](https://www.freebuf.com/sectool/249725.html)
	- 9.14 [2020上半年勒索软件占所有网络保险索赔金额的41％](https://www.freebuf.com/news/249700.html)
