- 0x09
	- 10.2 [VB2017 preview: Walking in your enemy's shadow: when fourth-party collection becomes attribution hell](https://www.virusbulletin.com/blog/2017/10/vb2017-preview-walking-your-enemys-shadow-when-fourth-party-collection-becomes-attribution-hell/)
	- 10.14 [AI重新定义Web安全](http://www.freebuf.com/column/150590.html)
	- 10.15 [新型IoT机顶盒恶意软件Rowdy网络分析报告](http://www.ijiandao.com/2b/baijia/73503.html)
	- 10.15 [腾讯安全反病毒实验室：捕获多起Ramnit僵尸网络家族的DDoS攻击](http://www.freebuf.com/articles/web/150220.html)
	- 10.15 [iOS没你想的那么安全？](http://www.freebuf.com/column/150576.html)
		ios安全相关学习资料和网站。
	- 10.16 [Cameradar：一款可以渗透CCTV摄像头的工具](http://www.freebuf.com/sectool/150254.html)
	- 10.17 [Oh Great, WPA2 Is Broken](http://hackaday.com/2017/10/16/oh-great-wpa2-is-broken/)
	- 10.17 [DDE攻击样本分析报告](http://blog.nsfocus.net/dde-attack-sample-analysis-report/)
	- 10.17 [蹭你wifi后 我竟然干了这样的事](http://www.freebuf.com/column/150808.html)
	- 10.17 [KRACK Attack Devastates Wi-Fi Security](https://threatpost.com/krack-attack-devastates-wi-fi-security/128461/)
	- 10.17 [安卓统一推送联盟正式成立](http://www.pingwest.com/wire/anzhuotngyituisonglianmengzhengshichengli/)
	- 10.17 [WPA2安全协议惊现高危漏洞，几乎涉及所有WiFi设备（附固件升级列表）](http://www.freebuf.com/news/150917.html)
	- 10.18 [WPA2 密钥重装攻击 KRACK Attacks 分析报告](http://www.freebuf.com/articles/wireless/150953.html)
	- 10.18 [斯巴鲁汽车被曝漏洞，可克隆钥匙开车门](http://www.freebuf.com/news/150583.html)
	- 10.18 [Poet：一款功能强大的后渗透工具](http://www.freebuf.com/sectool/150461.html)
	- 10.19 [Passionfruit：iOS应用黑盒评估工具](http://www.freebuf.com/column/151109.html)
	- 10.19 [地下暗流：揭秘控制百万肉鸡的GhostFramework](http://www.freebuf.com/articles/terminal/150360.html)
	- 10.19 [Boleto: The Perfect ‘Inside Job’ Banking Malware](http://blog.checkpoint.com/2017/10/18/boleto-perfect-inside-job-banking-malware/)
	- 10.19 [必胜客官网遭入侵，支付卡信息可能泄露](http://www.ijiandao.com/safe/it/74152.html)
	- 10.19 [喝最烈的酒、挖最大的DONG——工具与技巧篇](http://www.freebuf.com/column/151202.html)
	- 10.19 [AI学习与DNS防御、开源漏洞检测框架与传说中的“羊毛党”：FreeTalk深圳站看点回顾（附PPT下载）](http://www.freebuf.com/fevents/150894.html)
	- 10.20 [【干货分享】恶意样本分析手册——常用方法篇](http://blog.nsfocus.net/malware-sample-analysis-methods/)
	- 10.21 [揭露涉赌棋牌App发布在各大手机软件下载平台的“秘密”](http://www.freebuf.com/column/151401.html)
	- 10.21 [通过伪造Tor隐藏服务实现网络钓鱼的技术分析](http://www.freebuf.com/articles/web/150851.html)
	- 10.21 [能从银行卡中读出身份证号码，你信吗？](http://www.freebuf.com/articles/terminal/150644.html)
	- 10.24 [【安全报告】网络安全威胁月报 201710](http://blog.nsfocus.net/network-security-threat-monthly-report-201710/)
	- 10.25 [Bad Rabbit: A new ransomware epidemic is on the rise](https://www.kaspersky.com/blog/bad-rabbit-ransomware/19887/)
	- 10.26 [揭秘美国黑产，购物券欺诈对商业活动的危害](http://www.freebuf.com/articles/es/151807.html)
	- 10.26 [日益扩大的IoT僵尸网络威胁或将摧毁互联网](http://www.freebuf.com/news/151490.html)
	- 10.27 [新型僵尸网络：Wonder Botnet深入分析](http://www.freebuf.com/news/151635.html)
	- 10.27 [伪谷歌应用窃取加密货币交易所的用户信息](http://www.freebuf.com/articles/terminal/151677.html)
	- 10.27 [moloch 网络流量回溯分析系统](https://www.secpulse.com/archives/63919.html)
	- 10.28 [Mac系统的Proton恶意软件：卷！土！重！来！](http://www.freebuf.com/articles/system/151614.html)
	- 10.29 [吸尘器偷录家中视频：部分LG扫地机器人有安全漏洞](http://www.pingwest.com/wire/lg-hom-bot-homehack/)
	- 10.30 [【技术分享】Form-Grabber恶意软件的详细分析](http://bobao.360.cn/learning/detail/4629.html)
	- 10.30 [Coin Miner Mobile Malware Returns, Hits Google Play](http://blog.trendmicro.com/trendlabs-security-intelligence/coin-miner-mobile-malware-returns-hits-google-play/)
	- 10.30 [应用监控怎么做？](http://www.ijiandao.com/2b/baijia/76471.html)
	- 10.30 [Malicious Chrome extension steals all data](https://www.helpnetsecurity.com/2017/10/30/malicious-chrome-extension/)
	- 10.30 [基于异常行为的未知勒索软件检测](https://www.sec-un.org/%e5%9f%ba%e4%ba%8e%e5%bc%82%e5%b8%b8%e8%a1%8c%e4%b8%ba%e7%9a%84%e6%9c%aa%e7%9f%a5%e5%8b%92%e7%b4%a2%e8%bd%af%e4%bb%b6%e6%a3%80%e6%b5%8b/)
	- 10.30 [Engineers at Work: Automatic Static Detection of Malicious JavaScript](https://researchcenter.paloaltonetworks.com/2017/10/engineers-work-automatic-static-detection-malicious-javascript/)
	- 10.30 [窃私病毒染指社交软件，安天移动安全与猎豹联合披露](http://www.freebuf.com/articles/terminal/151622.html)
	- 10.31 [【技术分享】 Android SO 高阶黑盒利用](http://bobao.360.cn/learning/detail/4622.html)
	- 10.31 [Expiro Malware Is Back and Even Harder to Remove](https://securingtomorrow.mcafee.com/mcafee-labs/expiro-infects-encrypts-files-to-complicate-repair/)
- 0x10
	- 11.1 [企业如何有效收集公开来源的威胁情报](http://www.freebuf.com/sectool/152201.html)
	- 11.1 [快讯 | FireEye在GitHub上开源密码破解工具GoCrack](http://www.freebuf.com/news/152641.html)
	- 11.1 [样本分析 | 当“网络冲突”中的诱饵文件被用于真实的攻击事件](http://www.freebuf.com/news/151939.html)
	- 11.1 [Android蓝牙远程命令执行漏洞利用实践:从PoC到Exploit](http://www.droidsec.cn/android%e8%93%9d%e7%89%99%e8%bf%9c%e7%a8%8b%e5%91%bd%e4%bb%a4%e6%89%a7%e8%a1%8c%e6%bc%8f%e6%b4%9e%e5%88%a9%e7%94%a8%e5%ae%9e%e8%b7%b5%e4%bb%8epoc%e5%88%b0exploit/)
	- 11.2 [Recent InPage Exploits Lead to Multiple Malware Families](https://researchcenter.paloaltonetworks.com/2017/11/unit42-recent-inpage-exploits-lead-multiple-malware-families/)
	- 11.2 [App Stores that Formerly Coddled ZNIU Found Distributing a New iXintpwn/YJSNPI Variant](http://blog.trendmicro.com/trendlabs-security-intelligence/app-stores-formerly-coddled-zniu-found-distributing-new-ixintpwnyjsnpi-variant/)
	- 11.2 [天翼校园客户端被植入病毒 中毒电脑被用来“挖矿”](http://www.freebuf.com/column/152827.html)
	- 11.3 [Trojan on Google Play and a dangerous ransomware Android Trojan: October 2017 mobile virus activity review](https://news.drweb.com/show/?i=11555&lng=en)
	- 11.3 [Android移动设备上的DDOS攻击](http://www.freebuf.com/column/152910.html)
	- 11.3 [阿里巴巴在移动端生物识别技术实践分享](http://www.freebuf.com/articles/terminal/151619.html)
	- 11.5 [如何使用树莓派自制网络监视器](http://www.freebuf.com/geek/152403.html)
	- 11.7 [【技术分享】借助谷歌搜索传播：对宙斯熊猫银行木马新变种的技术分析](http://bobao.360.cn/learning/detail/4662.html)
	- 11.7 [D-Link系列路由器漏洞挖掘入门](http://www.freebuf.com/articles/terminal/153176.html)
	- 11.7 [SEP Mobile Hacking Demo](https://www.skycure.com/resource/videos/sep-mobile-hacking-demo/)
	- 11.7 [360发布最新网络诈骗趋势研究报告 90后自带易骗体质](http://www.aqniu.com/industry/29241.html)
