["AppStream
模块"一节](#_repositories.html#AppStream-modules "AppStream 模块"){.xref}。
::: informaltable
  软件包                                          许可证                                                                                                                                                       应用程序兼容性级别   RHEL 9 次版本
  apr-util-devel                                  ASL 2.0                                                                                                                                                      2                    9.0
  apr-util-ldap                                   ASL 2.0                                                                                                                                                      2                    9.0
  apr-util-mysql                                  ASL 2.0                                                                                                                                                      2                    9.0
  apr-util-odbc                                   ASL 2.0                                                                                                                                                      2                    9.0
  apr-util-openssl                                ASL 2.0                                                                                                                                                      2                    9.0
  apr-util-pgsql                                  ASL 2.0                                                                                                                                                      2                    9.0
  apr-util-sqlite                                 ASL 2.0                                                                                                                                                      2                    9.0
  asciidoc                                        GPL+ 和 GPLv2+                                                                                                                                               2                    9.0
  aspnetcore-runtime-6.0                          MIT 和 ASL 2.0 和 LGPLv2+ 和 CC-BY 和 CC0 和 MS-PL，EPL-1.0 和 GPL+ 和 GPLv2 和 GPLv2 和 ISC 以及 OFL 和 zlib                                                3                    9.0
  aspnetcore-targeting-pack-6.0                   MIT 和 ASL 2.0 和 LGPLv2+ 和 CC-BY 和 CC0 和 MS-PL，EPL-1.0 和 GPL+ 和 GPLv2 和 GPLv2 和 ISC 以及 OFL 和 zlib                                                3                    9.0
  assertj-core                                    ASL 2.0                                                                                                                                                      2                    9.0
  at-spi2-atk                                     LGPLv2+                                                                                                                                                      2                    9.0
  at-spi2-atk-devel                               LGPLv2+                                                                                                                                                      2                    9.0
  at-spi2-core                                    LGPLv2+                                                                                                                                                      2                    9.0
  at-spi2-core-devel                              LGPLv2+                                                                                                                                                      2                    9.0
  atinject                                        ASL 2.0                                                                                                                                                      2                    9.0
  atk                                             LGPLv2+                                                                                                                                                      2                    9.0
  atk-devel                                       LGPLv2+                                                                                                                                                      2                    9.0
  atkmm                                           LGPLv2+                                                                                                                                                      2                    9.0
  atlas-devel                                     BSD                                                                                                                                                          2                    9.0
  atlas-z14                                       BSD                                                                                                                                                          2                    9.0
  atlas-z15                                       BSD                                                                                                                                                          2                    9.0
  audit-libs-devel                                LGPLv2+                                                                                                                                                      2                    9.0
  augeas                                          LGPLv2+                                                                                                                                                      4                    9.0
  augeas-libs                                     LGPLv2+                                                                                                                                                      4                    9.0
  authselect-compat                               GPLv3+                                                                                                                                                       2                    9.0
  autoconf                                        GPLv2+ 和 GFDL                                                                                                                                               2                    9.0
  autoconf-archive                                GPLv3+ 例外                                                                                                                                                  2                    9.0
  autocorr-af                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-bg                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-ca                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-cs                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-da                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-de                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-dsb                                    （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-el                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-en                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-es                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-fa                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-fi                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-fr                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-ga                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-hr                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-hsb                                    （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-hu                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-is                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-it                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-ja                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-ko                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-lb                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-lt                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-mn                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-nl                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-pl                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-pt                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-ro                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-ru                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-sk                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-sl                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-sr                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-sv                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-tr                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-vi                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-vro                                    （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  autocorr-zh                                     （MPLv1.1 或 LGPLv3+）和 LGPLv3 和 LGPLv2+ 和 BSD（MPLv1.1 或 GPLv2 或 LGPLv2 或 Netscape）以及公共域和 ASL 2.0 和 MPLv2.0 和 CC0                            2                    9.0
  automake                                        GPLv2+ 和 GFDL 和公共域和 MIT                                                                                                                                2                    9.0
  avahi-glib                                      LGPLv2+                                                                                                                                                      4                    9.0
  babel                                           BSD                                                                                                                                                          2                    9.0
  babl                                            LGPLv3+ 和 GPLv3+                                                                                                                                            2                    9.0
  bacula-client                                   例外情况的 AGPLv3                                                                                                                                            2                    9.0
  bacula-common                                   例外情况的 AGPLv3                                                                                                                                            2                    9.0
  bacula-console                                  例外情况的 AGPLv3                                                                                                                                            2                    9.0
  bacula-director                                 例外情况的 AGPLv3                                                                                                                                            2                    9.0
  bacula-libs                                     例外情况的 AGPLv3                                                                                                                                            2                    9.0
  bacula-libs-sql                                 例外情况的 AGPLv3                                                                                                                                            2                    9.0
  bacula-logwatch                                 例外情况的 AGPLv3                                                                                                                                            2                    9.0
  bacula-storage                                  例外情况的 AGPLv3                                                                                                                                            2                    9.0
  baobab                                          GPLv2+ 和 GFDL                                                                                                                                               4                    9.0
  bcc                                             ASL 2.0                                                                                                                                                      4                    9.0
  bcc-tools                                       ASL 2.0                                                                                                                                                      2                    9.0
  bcel                                            ASL 2.0                                                                                                                                                      2                    9.0
