 TACACS_AUTH_SUCCESS,User [STRING] from [STRING] was   authenticated successfully.,$1：用户名称   $2：IP地址,6,TACACS/6/TACACS_AUTH_SUCCESS: User   cwf@system from 192.168.0.22 was authenticated successfully.,TACACS服务器接收了用户的认证请求,无
 VCF_AGGR_CREAT,"Phase [STRING], Device [STRING] created Layer 2 aggregation group [INT32]:   member ports=[STRING].",$1：阶段   $2：设备MAC地址   $3：二层聚合组ID   $4：二层聚合组成员端接口列表,6,"VCF/6/VCF_AGGR_CREAT: Phase 2.0.5, Device 0000-0000-0000 created Layer 2   aggregation group 10: member ports=Ten-GigabitEthernet1/0/2, Ten-GigabitEthernet1/0/10.",创建二层聚合组，并将端口加入对应的聚合组,无
 VCF_AGGR_DELETE,"Phase [STRING], Device [STRING] deleted Layer   2 aggregation group [INT32].",$1：阶段   $2：设备MAC地址   $3：二层聚合组ID,6,"VCF/6/VCF_AGGR_DELETE: Phase 2.0.6,   Device 0000-0000-0000 deleted Layer 2 aggregation group 10.",二层聚合组中仅包含一条Up状态的链路时，删除聚合组,无
 VCF_AGGR_FAILED,"Phase [STRING], Device [STRING] failed to create Layer 2   aggregation group [INT32].",$1：阶段   $2：设备MAC地址   $3：聚合组ID,3,"VCF/3/ VCF_AGGR_FAILED: Phase 2.0.7,   Device 0000-0000-0000 failed to create Layer 2 aggregation group 10.",创建聚合组失败,请管理员排查是否因为资源不足等原因造成聚合组创建失败
 VCF_AUTO_ANALYZE_USERDEF,"Phase [STRING], Device [STRING] started to parse template file.",$1：阶段   $2：设备的MAC地址,6,"VCF/6/VCF_AUTO_ANALYZE_USERDEF: Phase   1.2.2, Device 0000-0000-0000 started to parse template file.",开始解析模板文件中的用户自定义配置,无
 VCF_AUTO_NO_USERDEF,"Phase [STRING], Device [STRING] found undefined variable [STRING] in command [STRING] on line [INTEGER].",$1：阶段   $2：设备的MAC地址   $3：未定义的用户变量   $4：出错的命令行   $5：出错的命令行行号,3,"VCF/3/VCF_AUTO_NO_USERDEF: Phase 1.2.3,   Device 0000-0000-0000 found undefined variable $$_ABC in command interface   $$_ABC on line 192.",解析模板文件过程中，若模板文件中存在无法识别的用户定义变量时，输出此日志信息，提示未找到用户定义的变量。若存在多个无法识别的用户定义变量，则打印多条此日志信息,需管理员确认模板文件中定义的变量是否正确，修改后重新部署
 VCF_AUTO_START,"Phase   [STRING], Device [STRING] (Role [STRING]) started VCF   automated deployment.",$1：阶段   $2：设备的MAC地址   $3：设备的角色，spine、leaf或access,5,"VCF/5/VCF_AUTO_START: Phase 1.0.1, Device   0000-0000-0000 (Role leaf) started VCF automated deployment.",自动化部署开始,无
 VCF_AUTO_STATIC_CMD,"Phase [STRING], Device [STRING] automatically executed static commands.",$1：阶段   $2：设备的MAC地址,6,"VCF/6/VCF_AUTO_STATIC_CMD: Phase 1.2.4,   Device 0000-0000-0000 automatically executed static commands.",执行模板中的静态配置命令，静态配置命令是指与VCF拓扑等动态信息无关的配置命令,无
 VCF_BGP,"Phase [STRING], Device [STRING] established a BGP session with   peer [STRING] in AS [INT32].",$1：阶段   $2：设备的MAC地址   $3：peer地址   $4：BGP的AS号,6,"VCF/6/VCF_BGP: Phase 3.0.5, Device   0000-0000-0000 established a BGP session with peer 1.1.1.1 in AS 100.",VCF成功与对等体建立BGP会话,无
 VCF_DOWN_LINK,"Phase [STRING], Device [STRING]   discovered downlink interface [STRING].",$1：阶段   $2：设备MAC地址   $3：下行接口名,6,"VCF/6/VCF_DOWN_LINK: Phase 2.0.8, Device   0000-0000-0000 discovered downlink interface Ten-GigabitEthernet1/0/1.",VCF发现下行接口（Spine设备上连接Leaf的接口或leaf设备连接下游接入设备的接口），并下发配置,无
 VCF_GET_IMAGE,"Phase [STRING], Device [STRING] obtained information about update startup image   file [STRING]: new version=[STRING], current version=[STRING].",$1：阶段   $2：设备的MAC地址   $3：新版本文件名   $4：新版本的产品外部版本号   $5：设备当前产品外部版本号,6,"VCF/6/VCF_GET_IMAGE: Phase 1.3.1, Device   0000-0000-0000 obtained information about update startup image file s6860.ipe:   new version=V300R009B01D002, current version=V300R009B01D001.",通过模板文件获取新版本的文件名和版本号,无
