### References

1. J. Szurdi and N. Christin, "Email typosquatting," in *Proceedings of the 2017 Internet Measurement Conference*, 2017, pp. 419–431.
2. J. Szurdi, B. Kocso, G. Cseh, J. Spring, M. Felegyhazi, and C. Kanich, "The long 'taile' of typosquatting domain names," in *23rd USENIX Security Symposium (USENIX Security 14)*, 2014, pp. 191–206.
3. K. Tian, S. T. Jan, H. Hu, D. Yao, and G. Wang, "Needle in a haystack: Tracking down elite phishing domains in the wild," in *Proceedings of the Internet Measurement Conference 2018*, 2018, pp. 429–442.
4. T. Urban, D. Tatang, M. Degeling, and T. Holz, "A study on subject data access in online advertising after the GDPR," *Data Privacy Management, Cryptocurrencies and Blockchain Technology*, p. 61.
5. T. Urban, D. Tatang, M. Degeling, T. Holz, and N. Pohlmann, "Measuring the impact of the GDPR on data sharing in ad networks," in *Proceedings of the 15th ACM ASIA Conference on Computer and Communications Security (ASIA CCS 2020)*, vol. 20, 2020.
6. C. Utz, M. Degeling, S. Fahl, F. Schaub, and T. Holz, "(Un)informed consent: Studying GDPR consent notices in the field," in *Proceedings of the 2019 ACM SIGSAC Conference on Computer and Communications Security*, 2019, pp. 973–990.
7. P. Vallina, A. Feal, J. Gamba, N. Vallina-Rodriguez, and A. F. Anta, "Tales from the porn: A comprehensive privacy analysis of the web porn ecosystem," in *Proceedings of the Internet Measurement Conference*, 2019, pp. 245–258.
8. T. van Ede, R. Bortolameotti, A. Continella, J. Ren, D. J. Dubois, M. Lindorfer, D. Choffnes, M. van Steen, and A. Peter, "Flowprint: Semi-supervised mobile-app fingerprinting on encrypted network traffic," in *Proceedings of the 27th Network and Distributed System Security Symposium (NDSS 2020)*. Internet Society, 2020.
9. T. Vissers, T. Barron, T. Van Goethem, W. Joosen, and N. Nikiforakis, "The wolf of name street: Hijacking domains through their nameservers," in *Proceedings of the 2017 ACM SIGSAC Conference on Computer and Communications Security*, 2017, pp. 957–970.
10. T. Vissers, W. Joosen, and N. Nikiforakis, "Parking sensors: Analyzing and detecting parked domains," in *Proceedings of the 22nd Network and Distributed System Security Symposium (NDSS 2015)*. Internet Society, 2015, pp. 53–53.
11. D. Wang, S. Savage, and G. M. Voelker, "Juice: A longitudinal study of an SEO campaign," in *Proceedings of the 20th Network and Distributed Systems Security Symposium (NDSS 2013)*. Internet Society, 2013.
12. Wikipedia contributors, "Message transfer agent — Wikipedia, the free encyclopedia," https://en.wikipedia.org/w/index.php?title=Message_transfer_agent&oldid=936498407, 2020.
13. S. Yadav, A. K. K. Reddy, A. N. Reddy, and S. Ranjan, "Detecting algorithmically generated malicious domain names," in *Proceedings of the 10th ACM SIGCOMM conference on Internet measurement*, 2010, pp. 48–61.
14. H. Yang, X. Ma, K. Du, Z. Li, H. Duan, X. Su, G. Liu, Z. Geng, and J. Wu, "How to learn Klingon without a dictionary: Detection and measurement of black keywords used by the underground economy," in *2017 IEEE Symposium on Security and Privacy (SP)*. IEEE, 2017, pp. 751–769.
15. S. Zimmeck, J. S. Li, H. Kim, S. M. Bellovin, and T. Jebara, "A privacy analysis of cross-device tracking," in *26th USENIX Security Symposium (USENIX Security 17)*, 2017, pp. 1391–1408.

### Table VII: Security Literature Using Non-Redacted WHOIS Data

| Category | Domain | Reference | Details | WHOIS Fields |
| 18   | Google LLC | 625 | 1,973,675 | 0.93% |
| 19   | Register.com, Inc. | 1915 | 1,963,699 | 0.93% |
| 20   | Domain.com, LLC | 9 | 1,870,561 | 0.88% |
| 21   | Web Commerce Communications Limited dba WebNic.cc | 886 | 1,740,346 | 0.82% |
| 22   | CSC Corporate Domains, Inc. | 460 | 1,738,049 | 0.82% |
| 23   | Key-Systems GmbH | 269 | 1,679,382 | 0.79% |
| 24   | PDR Ltd. | 299 | 1,391,870 | 0.66% |
| 25   | OVH sas | 1599 | 1,377,711 | 0.65% |

### Appendix B: WHOIS Fields

In Table VII, we summarize 16 security papers that use WHOIS information, which are considered not impacted by the GDPR. For detection and measurement purposes, these papers use fields such as dates (e.g., domain creation and expiration dates) and registrar identity information (e.g., registrar ID). These fields do not contain personal data and are thus not required to be redacted according to the ICANN Temporary Specification.
