以下是优化后的文本，使其更加清晰、连贯和专业：

---

### 安全漏洞报告概览

| **标题** | **作者** | **受影响的公司** | **漏洞类型** | **奖励金额** | **日期** |
| [[开放重定向] 开发者是懒惰的（或者很忙）](https://medium.com/bugbountywriteup/open-redirect-developers-are-lazy-or-maybe-busy-6c51718b10e4) | [KatsuragiCSL (@ZuuitterE)](https://twitter.com/ZuuitterE) | - | 开放重定向 | $150 | 2018年12月12日 |
| [GitLab的第二次打击及一些有趣的Ruby函数/特性](https://blog.nyangawa.me/jekyll/update/2018/12/12/CVE-2018-18649-Gitlab-RCE.html) | Nyangawa | GitLab | RCE | $10,000 | 2018年12月12日 |
| [从盲XXE到根级文件读取权限](https://www.honoki.net/2018/12/from-blind-xxe-to-root-level-file-read-access/) | [Pieter Hiele (@honoki)](https://twitter.com/honoki) | - | 盲XXE | - | 2018年12月12日 |
| [如何绕过Cloudflare WAF来攻破应用程序](https://medium.com/bugbountywriteup/bypass-cloudflare-waf-to-pwned-application-2c9e4f862319) | [gujjuboy10x00 (@vis_hacker)](https://twitter.com/vis_hacker) | - | WAF绕过 | - | 2018年12月12日 |
| [影响4亿用户的Microsoft账户接管漏洞](https://www.safetydetective.com/blog/microsoft-outlook/) | Aviva Zacks | Microsoft | 子域名接管, OAuth缺陷 | - | 2018年12月11日 |
| [我如何差点盗取了你的Google照片 - 我的第一个三个漏洞赏金报告](https://blog.avatao.com/How-I-could-steal-your-photos-from-Google/) | [Gergő Turcsányi (@GergoTurcsanyi)](https://twitter.com/GergoTurcsanyi) | Google | 参数篡改, 授权缺陷, IDOR | $4,133.7 | 2018年12月11日 |
| [如何为任何Facebook用户生成访问令牌](https://medium.com/bugbountywriteup/how-i-was-able-to-generate-access-tokens-for-any-facebook-user-6b84392d0342) | [Samm0uda (@Samm0uda)](https://twitter.com/Samm0uda) | Facebook | IDOR, 信息泄露 | - | 2018年12月11日 |
| [无限制地暴力破解Instagram账户密码](https://medium.com/@samm0uda/bruteforcing-instagram-accounts-passwords-without-limit-7eaeda606ea) | [Samm0uda (@Samm0uda)](https://twitter.com/Samm0uda) | Instagram | 暴力破解, 缺乏速率限制 | - | 2018年12月11日 |
| [techprep.fb.com REST API配置错误允许我修改任何用户资料](https://medium.com/@samm0uda/a-misconfiguration-in-techprep-fb-com-rest-api-allowed-me-to-modify-any-user-profile-9dd0ff99d757) | [Samm0uda (@Samm0uda)](https://twitter.com/Samm0uda) | Facebook | 授权缺陷 | - | 2018年12月11日 |
| [如何将文件上传到api.techprep.fb.com](https://medium.com/@samm0uda/how-i-was-able-to-upload-files-to-api-techprep-fb-com-74308ff767b) | [Samm0uda (@Samm0uda)](https://twitter.com/Samm0uda) | Facebook | 无限制文件上传, XSS | - | 2018年12月11日 |
| [从令牌暴力破解到账户接管到特权提升再到组织接管](https://medium.com/bugbountywriteup/token-brute-force-to-account-take-over-to-privilege-escalation-to-organization-take-over-650d14c7ce7f) | [Plenum (@plenumlab)](https://twitter.com/plenumlab) | - | 账户接管, 特权提升, 暴力破解 | - | 2018年12月10日 |
| [我的第一个漏洞赏金报告](https://medium.com/@sampanna/self-xss-in-indeed-com-e0c99c104cba) | Sampanna Chimoriya | Indeed | XSS, HTML注入 | - | 2018年12月10日 |
| [通过IDOR更改任何人的个人资料图片](https://medium.com/@rupika.luhach/change-anyones-profile-picture-exploiting-idor-41369f5acf75) | Rupika Luhach | - | IDOR | - | 2018年12月9日 |
| [诺基亚跨站脚本的概念验证](https://medium.com/@adeshkolte/proof-of-concept-nokia-cross-site-scripting-5bb47c3b9529) | [Adesh Kolte (@AdeshKolte)](https://twitter.com/AdeshKolte) | Nokia | XSS | $0, HoF | 2018年12月9日 |
| [如何绕过电子邮件验证](https://blog.securitybreached.org/2018/12/08/how-i-was-able-to-bypass-email-verification/) | [Muzammil Kayani (@muzammilabbas2)](https://twitter.com/muzammilabbas2) | - | 信息泄露 | $200 | 2018年12月8日 |
| [在Hubspot中通过HubL的EL注入实现RCE](https://www.betterhacker.com/2018/12/rce-in-hubspot-with-el-injection-in-hubl.html) | [Fyoorer (@ƒyoorer)](https://twitter.com/ƒyoorer) | Hubspot | RCE | - | 2018年12月7日 |
| [在https://sites.google.com上进行数十亿次笑攻击](https://blog.intothesymmetry.com/2018/12/billion-laugh-attack-in.html) | [Antonio Sanso (@asanso)](https://twitter.com/asanso) | Google | 数十亿次笑攻击, DoS | $500 | 2018年12月5日 |
| [Prince v10及以下版本中的XSS到XXE (CVE-2018-19858)](https://www.corben.io/XSS-to-XXE-in-Prince/) | [Corben Leo (@hacker_)](https://twitter.com/hacker_) | - | XSS, XXE | - | 2018年12月5日 |
| [接管一家公司的Google日历](https://medium.com/bugbountywriteup/taking-over-google-calendar-of-a-company-1c49071f6a9) | Daniel V. | - | 子域名接管 | - | 2018年12月4日 |
| [如何意外发现ProtonMail iOS应用中的XSS](https://www.secu.ninja/2018/12/04/how-to-accidentally-find-a-xss-in-protonmail-ios-app/) | [SecuNinja (@secuninja)](https://twitter.com/secuninja) | ProtonMail | XSS | - | 2018年12月4日 |
| [GitHub Desktop RCE (OSX)](https://pwning.re/2018/12/04/github-desktop-rce/) | [André Baptista (@0xACB)](https://twitter.com/0xACB) | GitHub | RCE | - | 2018年12月4日 |
| [深入挖掘SCP命令注入](https://dylankatz.com/digging-in-to-scp-command-injection/) | [Dylan Katz (@Plazmaz)](https://twitter.com/Plazmaz) | JSch | 命令注入 | $0 | 2018年12月3日 |
| [[BBP系列三] 劫持Uber网站的JS文件](http://zhchbin.github.io/2018/12/03/Hijack-the-JS-File-of-Uber-s-Website/) | [Chaobin Zhang](http://zhchbin.github.io/about/) | Uber | JS文件劫持 | $6,000 | 2018年12月3日 |
| [通过主机头注入链式攻击接管某人的账户的爱情故事](https://chainlover.blogspot.com/2018/11/love-story-of-account-takeover-chaining.html) | Logical Bimboo | - | 主机头注入 | - | 2018年11月30日 |
| [我的第一个漏洞赏金的故事](https://medium.com/@sudhanshur705/story-about-my-first-bug-bounty-9fe710be8241) | [Sudhanshu Raj](https://www.facebook.com/sudi.stark) | Alibaba | XSS | $100 | 2018年11月30日 |
| [通过postMessage窃取并替换用户的Cookies](https://medium.com/@yassergersy/exploiting-post-message-to-steal-users-cookies-7df43a00289a) | [Yasser Gersy (@yassergersy)](https://twitter.com/yassergersy) | - | postMessage缺陷 | - | 2018年11月30日 |
| [认证中断 - 漏洞赏金](https://medium.com/bugbountywriteup/broken-authentication-bug-bounty-5c941a4a5f48) | [Vulnerables](https://medium.com/@vulnerables) | - | 不当会话管理 | $50 | 2018年11月28日 |
| [IRCTC - 数百万乘客信息面临巨大风险！](https://medium.com/@logicbomb_1/irctc-millions-of-passenger-details-left-at-huge-risk-18c5ecc09d7f) | [Avinash Jain (@logicbomb_1)](https://twitter.com/logicbomb_1) | IRCTC | 信息泄露, 缺乏速率限制 | $0 | 2018年11月28日 |
| [攻陷eBay - 如何泄露eBay日本网站的源代码](https://slashcrypto.org/2018/11/28/eBay-source-code-leak/) | [David (@slashcrypto)](https://twitter.com/slashcrypto) | eBay | .git文件夹披露, 源代码披露 | $0, HoF | 2018年11月28日 |
| [如何未经授权在Facebook直播中创建评论 - 第一部分](https://www.thegeekytech.com/facebook-bug-bounty-part-1/) | Binit Ghimire | Facebook | 授权缺陷 | $750 | 2018年11月27日 |
| [Instagram多因素认证绕过](https://medium.com/@vishnu0002/instagram-multi-factor-authentication-bypass-924d963325a1) | Vishnuraj KV | Instagram | 2FA绕过 | - | 2018年11月27日 |
| [Facebook收购Oculus CDN上的XSS](https://www.amolbaikar.com/xss-on-facebooks-acquisition-oculus-cdn/) | [Amol Baikar (@AmolBaikar)](https://twitter.com/AmolBaikar) | Facebook | XSS | $1,500 | 2018年11月27日 |
| [绕过签名保护的Facebook-Instagram CDN服务器上的XSS](https://www.amolbaikar.com/xss-on-facebook-instagram-cdn-server-bypassing-signature-protection/) | [Amol Baikar (@AmolBaikar)](https://twitter.com/AmolBaikar) | Facebook | XSS | $1,500 | 2018年11月27日 |
| [Facebook广告API中的源代码披露](https://www.amolbaikar.com/facebook-source-code-disclosure-in-ads-api/) | [Amol Baikar (@AmolBaikar)](https://twitter.com/AmolBaikar) | Facebook | 源代码披露 | - | 2018年11月26日 |
| [从CTF到漏洞赏金](https://medium.com/@benjitobias/from-ctfs-to-bug-bounty-booty-81bab999b70d) | Benji Tobias | Tailor Store | 信息泄露 | $200 | 2018年11月26日 |
| [*.yandex.ru上的XML XSS偶然发现](https://medium.com/@0ktavandi/xml-xss-in-yandex-ru-by-accident-7e63c692b4c0) | [Oktavandi (@0ktavandi)](https://twitter.com/0ktavandi) | Yandex | XSS | $160 | 2018年11月26日 |
| [我的Google名人堂之旅](https://www.secjuice.com/google-hall-of-fame/) | [Abartan Dhakal (@imhaxormad)](https://twitter.com/imhaxormad) | Google | 开放重定向, XSS | - | 2018年11月25日 |
| [Jotform和H1C私有站点中的存储型XSS漏洞](https://www.hackerinside.me/2018/11/critical-stored-xss-vulnerability.html) | [Anas Mahmood (@AnasIsHere)](https://www.facebook.com/AnasIsHere) | - | 存储型XSS | $1,000 | 2018年11月23日 |
| [绕过Google Pay中的刮刮卡](https://medium.com/@pratheesh.p.narayanan/bypassing-scratch-cards-on-google-pay-8915d5423385) | [Pratheesh P Narayanan](https://twitter.com/PRATHEESH_PPN) | Google | 逻辑缺陷 | $0, 重复 | 2018年11月22日 |
| [像老板一样利用SSRF - 将SSRF升级为本地文件读取！](https://medium.com/@zain.sabahat/exploiting-ssrf-like-a-boss-c090dc63d326) | [Zain Sabahat (@Zain_Sabahat)](https://twitter.com/Zain_Sabahat) | - | SSRF, LFI | - | 2018年11月22日 |
| [SAP中的一个有趣的XXE](https://medium.com/@zain.sabahat/an-interesting-xxe-in-sap-8b35fec6ef33) | [Zain Sabahat (@Zain_Sabahat)](https://twitter.com/Zain_Sabahat) | SAP | XXE | - | 2018年11月22日 |

---

这样处理后，表格结构更加清晰，信息也更易于阅读。
