    [ 62%] Building NVCC (Device) object caffe2/CMakeFiles/caffe2_gpu.dir/operators/caffe2_gpu_generated_lstm_unit_op_gpu.cu.o
    [ 62%] Building NVCC (Device) object caffe2/CMakeFiles/caffe2_gpu.dir/operators/caffe2_gpu_generated_roi_pool_op.cu.o
    /home/user/backup/lichu/pytorch/caffe2/operators/mem_query_op.cu(9): warning: function "caffe2::::GetGPUMemoryUsageOp::GetGPUMemoryUsageOp(const caffe2::OperatorDef &, caffe2::Workspace *)" was declared but never referenced
    [ 62%] Building NVCC (Device) object caffe2/CMakeFiles/caffe2_gpu.dir/operators/caffe2_gpu_generated_relu_op.cu.o
    [ 62%] Building NVCC (Device) object caffe2/CMakeFiles/caffe2_gpu.dir/operators/rnn/caffe2_gpu_generated_recurrent_network_op_gpu.cu.o
    [ 62%] Building NVCC (Device) object caffe2/CMakeFiles/caffe2_gpu.dir/sgd/caffe2_gpu_generated_yellowfin_op_gpu.cu.o
    [ 62%] Building NVCC (Device) object caffe2/CMakeFiles/caffe2_gpu.dir/sgd/caffe2_gpu_generated_adadelta_op_gpu.cu.o
    [ 62%] Building NVCC (Device) object caffe2/CMakeFiles/caffe2_gpu.dir/sgd/caffe2_gpu_generated_adam_op_gpu.cu.o
    [ 62%] Building NVCC (Device) object caffe2/CMakeFiles/caffe2_gpu.dir/sgd/caffe2_gpu_generated_fp32_momentum_sgd_op.cu.o
    [ 62%] Building NVCC (Device) object caffe2/CMakeFiles/caffe2_gpu.dir/sgd/caffe2_gpu_generated_lars_op_gpu.cu.o
    [ 62%] Building NVCC (Device) object caffe2/CMakeFiles/caffe2_gpu.dir/sgd/caffe2_gpu_generated_adagrad_op_gpu.cu.o
    [ 62%] Building NVCC (Device) object caffe2/CMakeFiles/caffe2_gpu.dir/sgd/caffe2_gpu_generated_rmsprop_op_gpu.cu.o
    [ 62%] Building NVCC (Device) object caffe2/CMakeFiles/caffe2_gpu.dir/sgd/caffe2_gpu_generated_momentum_sgd_op_gpu.cu.o
    [ 63%] Building NVCC (Device) object caffe2/CMakeFiles/caffe2_gpu.dir/sgd/caffe2_gpu_generated_fp16_momentum_sgd_op.cu.o
    Scanning dependencies of target caffe2_gpu
    [ 63%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/native/cuda/CUDAUnaryOps.cpp.o
    [ 63%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/CUDAByteType.cpp.o
    [ 63%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/CUDACharType.cpp.o
    [ 63%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/CUDACopy.cpp.o
    [ 64%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/CUDADoubleType.cpp.o
    [ 64%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/CUDAFloatType.cpp.o
    [ 64%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/CUDAHalfType.cpp.o
    [ 64%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/CUDAIntType.cpp.o
    [ 64%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/CUDALongType.cpp.o
    [ 64%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/CUDAShortType.cpp.o
    [ 64%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/RegisterCUDA.cpp.o
    [ 64%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/SparseCUDAByteType.cpp.o
    [ 64%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/SparseCUDACharType.cpp.o
    [ 64%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/SparseCUDADoubleType.cpp.o
    [ 64%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/SparseCUDAFloatType.cpp.o
    [ 64%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/SparseCUDAIntType.cpp.o
    [ 64%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/SparseCUDALongType.cpp.o
    [ 64%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/SparseCUDAShortType.cpp.o
    [ 64%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/THC/THCCachingAllocator.cpp.o
    [ 64%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/THC/THCCachingHostAllocator.cpp.o
    [ 64%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/THC/THCGeneral.cpp.o
    [ 64%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/THC/THCStorageCopy.cpp.o
    [ 64%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/THC/THCStream.cpp.o
    [ 64%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/THC/THCTensor.cpp.o
    [ 64%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/THC/THCTensorCopy.cpp.o
    [ 64%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/THC/THCTensorRandom.cpp.o
    [ 65%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/cudnn/Types.cpp.o
    [ 65%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/cudnn/Handle.cpp.o
    [ 65%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/__/aten/src/ATen/cudnn/Descriptors.cpp.o
    [ 65%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/contrib/aten/aten_op_cuda.cc.o
    [ 65%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/contrib/gloo/allreduce_ops_gpu.cc.o
    [ 65%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/contrib/gloo/broadcast_ops_gpu.cc.o
    [ 65%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/contrib/gloo/common_world_ops_gpu.cc.o
    [ 65%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/contrib/nccl/cuda_nccl_gpu.cc.o
    [ 65%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/contrib/nccl/cuda_nccl_op_gpu.cc.o
    [ 65%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/core/common_cudnn.cc.o
    [ 65%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/core/blob_serialization_gpu.cc.o
    [ 65%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/core/net_async_dag_gpu.cc.o
    [ 65%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/core/common_gpu.cc.o
    [ 65%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/core/event_gpu.cc.o
    [ 65%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/db/create_db_op_gpu.cc.o
    [ 65%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/distributed/file_store_handler_op_gpu.cc.o
    [ 65%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/mpi/mpi_ops_gpu.cc.o
    [ 65%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/conv_op_cache_cudnn.cc.o
    [ 65%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/conv_transpose_op_cudnn.cc.o
    [ 65%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/relu_op_cudnn.cc.o
    [ 65%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/local_response_normalization_op_cudnn.cc.o
    [ 65%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/utility_ops_cudnn.cc.o
    [ 66%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/dropout_op_cudnn.cc.o
    [ 66%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/tanh_op_cudnn.cc.o
    [ 66%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/sigmoid_op_cudnn.cc.o
    [ 66%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/elu_op_cudnn.cc.o
    [ 66%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/transpose_op_cudnn.cc.o
    [ 66%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/softmax_op_cudnn.cc.o
    [ 66%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/conv_op_cudnn.cc.o
    [ 66%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/order_switch_ops_cudnn.cc.o
    [ 66%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/expand_squeeze_dims_op_gpu.cc.o
    [ 66%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/while_op_gpu.cc.o
    [ 66%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/elementwise_sub_op_gpu.cc.o
    [ 66%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/counter_ops_gpu.cc.o
    [ 66%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/locally_connected_op_gpu.cc.o
    [ 66%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/elementwise_add_op_gpu.cc.o
    [ 66%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/exp_op_gpu.cc.o
    [ 66%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/conv_transpose_op_gpu.cc.o
    [ 66%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/fully_connected_op_gpu.cc.o
    [ 66%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/sqrt_op_gpu.cc.o
    [ 66%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/sqr_op_gpu.cc.o
    [ 66%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/negate_gradient_op_gpu.cc.o
    [ 66%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/if_op_gpu.cc.o
    [ 66%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/tensor_protos_db_input_gpu.cc.o
    [ 67%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/expand_op_gpu.cc.o
    [ 67%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/concat_split_op_gpu.cc.o
    [ 67%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/stop_gradient_gpu.cc.o
    [ 67%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/do_op_gpu.cc.o
    [ 67%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/load_save_op_gpu.cc.o
    [ 67%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/reshape_op_gpu.cc.o
    [ 67%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/shape_op_gpu.cc.o
    [ 67%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/scale_op_gpu.cc.o
    [ 67%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/matmul_op_gpu.cc.o
    [ 67%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/zero_gradient_op_gpu.cc.o
    [ 67%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/log_op_gpu.cc.o
    [ 67%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/free_op_gpu.cc.o
    [ 67%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/conv_op_shared_gpu.cc.o
    [ 67%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/negative_op_gpu.cc.o
    [ 67%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/conv_op_gpu.cc.o
    [ 67%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/im2col_op_gpu.cc.o
    [ 67%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/order_switch_ops_gpu.cc.o
    [ 67%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/prepend_dim_op_gpu.cc.o
    [ 67%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/communicator_op_gpu.cc.o
    [ 67%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/rnn/recurrent_op_cudnn.cc.o
    [ 67%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/rnn/recurrent_network_blob_fetcher_op_gpu.cc.o
    [ 67%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/operators/rnn/recurrent_network_executor_gpu.cc.o
    [ 68%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/queue/queue_ops_gpu.cc.o
    [ 68%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/sgd/learning_rate_op_gpu.cc.o
    [ 68%] Building CXX object caffe2/CMakeFiles/caffe2_gpu.dir/sgd/iter_op_gpu.cc.o
    [ 68%] Linking CXX shared library ../lib/libcaffe2_gpu.so
    [ 75%] Built target caffe2_gpu
    Makefile:127: recipe for target 'all' failed
    make: *** [all] Error 2
    Failed to run 'bash ../tools/build_pytorch_libs.sh --use-cuda --use-fbgemm --use-nnpack --use-mkldnn --use-qnnpack caffe2'
can you help me please? thanks!
cc @malfet @seemethere @walterddr
