### FortiOS 6.2.5 Log Reference

#### GTP Logs

**Type: GTP**
**Category: GTP-ALL**
**Severity: Information**

| LogFieldName | Description | DataType | Length |
| selection | APN Selection, which is one IE in GTP packet | string | 14 |
| snetwork | Source Network, it's an IE type in GTPv2 packet | string | 64 |
| status | Status | string | 23 |
| subtype | Log Subtype | string | 20 |
| time | Time | string | 8 |
| tunnel-idx | Tunnel Serial Number, Internally Assigned | uint32 | 10 |
| type | Log Type | string | 16 |
| tz | Time Zone | string | 5 |
| u-bytes | User Plane Data Bytes | uint64 | 20 |
| u-pkts | User Plane Packets | uint64 | 20 |
| uli | User Location Information | string | 32 |
| ulimcc | ULI MCC | uint16 | 3 |
| ulimnc | ULI MNC | uint16 | 3 |
| vd | Virtual Domain Name | string | 32 |
| version | Version | uint32 | 64 |

**Message ID: 41229 - LOGID_GTPU_FORWARD**
- **Message Description:** LOGID_GTPU_FORWARD
- **Message Meaning:** GTP-U Forward Message

**Log Fields:**
| LogFieldName | Description | DataType | Length |
|--------------|-------------|----------|--------|
| apn | Access Point Name | string | 128 |
| date | Date | string | 10 |
| deny_cause | Deny Cause | string | 25 |
| devid | Device ID | string | 16 |
| dstport | Destination Port | uint16 | 5 |
| eventtime | Event Time | uint64 | 20 |
| from | From IP | ip | 128 |
| headerteid | Tunnel Endpoint ID Header | uint32 | 10 |
| imsi | International Mobile Subscriber Identity | string | 16 |
| level | Log Level | string | 11 |
| logid | Log ID | string | 10 |
| msg-type | Message Type | uint8 | 3 |
| msisdn | Mobile Subscriber ISDN Number (telephone number on SIM card) | string | 16 |
| profile | Profile Name | string | 64 |
| srcport | Source Port | uint16 | 5 |
| status | Status | string | 23 |
| subtype | Log Subtype | string | 20 |
| time | Time | string | 8 |
| to | To IP | ip | 512 |
| tunnel-idx | Tunnel Serial Number, Internally Assigned | uint32 | 10 |
| type | Log Type | string | 16 |
| tz | Time Zone | string | 5 |
| vd | Virtual Domain Name | string | 32 |
| version | Version | uint32 | 64 |

**Message ID: 41230 - LOGID_GTPU_DENY**
- **Message Description:** LOGID_GTPU_DENY
- **Message Meaning:** GTP-U Deny Message

**Log Fields:**
| LogFieldName | Description | DataType | Length |
|--------------|-------------|----------|--------|
| apn | Access Point Name | string | 128 |
| date | Date | string | 10 |
| deny_cause | Deny Cause | string | 25 |
| devid | Device ID | string | 16 |
| dstport | Destination Port | uint16 | 5 |
| eventtime | Event Time | uint64 | 20 |
| from | From IP | ip | 128 |
| headerteid | Tunnel Endpoint ID Header | uint32 | 10 |
| imsi | International Mobile Subscriber Identity | string | 16 |
| level | Log Level | string | 11 |
| logid | Log ID | string | 10 |
| msg-type | Message Type | uint8 | 3 |
| msisdn | Mobile Subscriber ISDN Number (telephone number on SIM card) | string | 16 |
| profile | Profile Name | string | 64 |
| srcport | Source Port | uint16 | 5 |
| status | Status | string | 23 |
| subtype | Log Subtype | string | 20 |
| time | Time | string | 8 |
| to | To IP | ip | 512 |
| tunnel-idx | Tunnel Serial Number, Internally Assigned | uint32 | 10 |
| type | Log Type | string | 16 |
| tz | Time Zone | string | 5 |
| vd | Virtual Domain Name | string | 32 |
| version | Version | uint32 | 64 |

#### IPS Logs

**Type: IPS**
**Category: SIGNATURE**
**Severity: Alert**

**Message ID: 16384 - LOGID_ATTCK_SIGNATURE_TCP_UDP**
- **Message Description:** LOGID_ATTCK_SIGNATURE_TCP_UDP
- **Message Meaning:** Attack detected by TCP/UDP signature

**Log Fields:**
| LogFieldName | Description | DataType | Length |
|--------------|-------------|----------|--------|
| action | Security Action Performed by IPS | string | 16 |
| attack | Attack Name | string | 256 |
| attackcontext | Trigger Patterns and Packet Data with Base64 Encoding | string | 2040 |
| attackcontextid | Attack Context ID/Total | string | 10 |
| attackid | Attack ID | uint32 | 10 |
| authserver | Authentication Server | string | 32 |
| craction | Client Reputation Action | uint32 | 10 |
| crlevel | Client Reputation Level | string | 10 |
| crscore | Client Reputation Score | uint32 | 10 |
| date | Date | string | 10 |
| devid | Device ID | string | 16 |
| direction | Direction | string | 8 |
| dstintf | Destination Interface | string | 64 |
| dstintfrole | Destination Interface Role | string | 10 |
| dstip | Destination IP | ip | 39 |
| dstport | Destination Port | uint16 | 5 |
| eventtime | Event Time | uint64 | 20 |
| eventtype | IPS Event Type | string | 32 |
| fctuid | FCT UID | string | 32 |
| forwardedfor | Forwarded For | string | 128 |
| group | User Group Name | string | 64 |
| hostname | Hostname | string | 256 |
| incidentserialno | Incident Serial Number | uint32 | 10 |
| level | Log Level | string | 11 |
| logid | Log ID | string | 10 |
| msg | Log Message for the Attack | string | 518 |
| policyid | Policy ID | uint32 | 10 |
| profile | Profile Name for IPS | string | 64 |
| proto | Protocol Number | uint8 | 3 |
| rawdata | Raw Data | string | 20480 |
| rawdataid | Raw Data ID | string | 10 |
| ref | URL of the FortiGuard IPS Database Entry for the Attack | string | 4096 |
| service | Service Name | string | 80 |
| sessionid | Session ID | uint32 | 10 |
| severity | Severity of the Attack | string | 8 |
| srccountry | Source Country | string | 64 |
| srcdomain | Source Domain | string | 255 |
| srcintf | Source Interface | string | 64 |
| srcintfrole | Source Interface Role | string | 10 |
| srcip | Source IP | ip | 39 |
| srcport | Source Port | uint16 | 5 |
| subtype | Log Subtype | string | 20 |
| time | Time | string | 8 |
| trueclntip | True Client IP | ip | 39 |
| type | Log Type | string | 16 |
| tz | Time Zone | string | 5 |
| unauthuser | Unauthorized User | string | 66 |
| unauthusersource | Unauthorized User Source | string | 66 |
| url | URL | string | 512 |
| user | Username | string | 256 |
| vd | Virtual Domain Name | string | 32 |
| vrf | VRF | uint8 | 3 |

**Message ID: 16385 - LOGID_ATTCK_SIGNATURE_ICMP**
- **Message Description:** LOGID_ATTCK_SIGNATURE_ICMP
- **Message Meaning:** Attack detected by ICMP signature

**Log Fields:**
| LogFieldName | Description | DataType | Length |
|--------------|-------------|----------|--------|
| action | Security Action Performed by IPS | string | 16 |
| attack | Attack Name | string | 256 |
| attackcontext | Trigger Patterns and Packet Data with Base64 Encoding | string | 2040 |
| attackcontextid | Attack Context ID/Total | string | 10 |
| attackid | Attack ID | uint32 | 10 |
| authserver | Authentication Server | string | 32 |
| craction | Client Reputation Action | uint32 | 10 |
| crlevel | Client Reputation Level | string | 10 |
| crscore | Client Reputation Score | uint32 | 10 |
| date | Date | string | 10 |
| devid | Device ID | string | 16 |
| direction | Direction | string | 8 |
| dstintf | Destination Interface | string | 64 |
| dstintfrole | Destination Interface Role | string | 10 |
| dstip | Destination IP | ip | 39 |
| eventtime | Event Time | uint64 | 20 |
| eventtype | IPS Event Type | string | 32 |
| fctuid | FCT UID | string | 32 |
| forwardedfor | Forwarded For | string | 128 |
| group | User Group Name | string | 64 |
| icmpcode | ICMP Code | string | 6 |
| icmpid | ICMP ID | string | 8 |
| icmptype | ICMP Type | string | 6 |
| incidentserialno | Incident Serial Number | uint32 | 10 |
| level | Log Level | string | 11 |
| logid | Log ID | string | 10 |
| msg | Log Message for the Attack | string | 518 |
| policyid | Policy ID | uint32 | 10 |
| profile | Profile Name for IPS | string | 64 |
| proto | Protocol Number | uint8 | 3 |
| rawdata | Raw Data | string | 20480 |
| rawdataid | Raw Data ID | string | 10 |
| ref | URL of the FortiGuard IPS Database Entry for the Attack | string | 4096 |
| service | Service Name | string | 80 |
| sessionid | Session ID | uint32 | 10 |
| severity | Severity of the Attack | string | 8 |
| srccountry | Source Country | string | 64 |
| srcdomain | Source Domain | string | 255 |
| srcintf | Source Interface | string | 64 |
| srcintfrole | Source Interface Role | string | 10 |
| srcip | Source IP | ip | 39 |
| subtype | Log Subtype | string | 20 |
| time | Time | string | 8 |
| trueclntip | True Client IP | ip | 39 |
| type | Log Type | string | 16 |
| tz | Time Zone | string | 5 |
| unauthuser | Unauthorized User | string | 66 |
| unauthusersource | Unauthorized User Source | string | 66 |
| user | Username | string | 256 |
| vd | Virtual Domain Name | string | 32 |
| vrf | VRF | uint8 | 3 |

**Message ID: 16386 - LOGID_ATTCK_SIGNATURE_OTHERS**
- **Message Description:** LOGID_ATTCK_SIGNATURE_OTHERS
- **Message Meaning:** Attack detected by other signature

**Log Fields:**
| LogFieldName | Description | DataType | Length |
|--------------|-------------|----------|--------|
| action | Security Action Performed by IPS | string | 16 |
| attack | Attack Name | string | 256 |
| attackcontext | Trigger Patterns and Packet Data with Base64 Encoding | string | 2040 |
| attackcontextid | Attack Context ID/Total | string | 10 |
| attackid | Attack ID | uint32 | 10 |
| authserver | Authentication Server | string | 32 |
| craction | Client Reputation Action | uint32 | 10 |
| crlevel | Client Reputation Level | string | 10 |
| crscore | Client Reputation Score | uint32 | 10 |
| date | Date | string | 10 |
| devid | Device ID | string | 16 |
| dstintf | Destination Interface | string | 64 |
| dstintfrole | Destination Interface Role | string | 10 |
| dstip | Destination IP | ip | 39 |
| eventtime | Event Time | uint64 | 20 |
| eventtype | IPS Event Type | string | 32 |
| fctuid | FCT UID | string | 32 |
| forwardedfor | Forwarded For | string | 128 |
| group | User Group Name | string | 64 |
| incidentserialno | Incident Serial Number | uint32 | 10 |
| level | Log Level | string | 11 |
| logid | Log ID | string | 10 |
| msg | Log Message for the Attack | string | 518 |
| policyid | Policy ID | uint32 | 10 |
| profile | Profile Name for IPS | string | 64 |
| proto | Protocol Number | uint8 | 3 |
| rawdata | Raw Data | string | 20480 |
| rawdataid | Raw Data ID | string | 10 |
| ref | URL of the FortiGuard IPS Database Entry for the Attack | string | 4096 |
| service | Service Name | string | 80 |
| sessionid | Session ID | uint32 | 10 |
| severity | Severity of the Attack | string | 8 |
| srccountry | Source Country | string | 64 |
| srcdomain | Source Domain | string | 255 |
| srcintf | Source Interface | string | 64 |
| srcintfrole | Source Interface Role | string | 10 |
| srcip | Source IP | ip | 39 |
| subtype | Log Subtype | string | 20 |
| time | Time | string | 8 |
| trueclntip | True Client IP | ip | 39 |
| type | Log Type | string | 16 |
| tz | Time Zone | string | 5 |
| unauthuser | Unauthorized User | string | 66 |
| unauthusersource | Unauthorized User Source | string | 66 |
| user | Username | string | 256 |
| vd | Virtual Domain Name | string | 32 |
| vrf | VRF | uint8 | 3 |

**Message ID: 16399 - LOGID_ATTACK_MALICIOUS_URL**
- **Message Description:** LOGID_ATTACK_MALICIOUS_URL
- **Message Meaning:** Attack detected by a malicious URL

**Log Fields:**
| LogFieldName | Description | DataType | Length |
|--------------|-------------|----------|--------|
| action | Security Action Performed by IPS | string | 16 |
| attack | Attack Name | string | 256 |
| attackcontext | Trigger Patterns and Packet Data with Base64 Encoding | string | 2040 |
| attackcontextid | Attack Context ID/Total | string | 10 |
| authserver | Authentication Server | string | 32 |
| craction | Client Reputation Action | uint32 | 10 |
| crlevel | Client Reputation Level | string | 10 |
| crscore | Client Reputation Score | uint32 | 10 |
| date | Date | string | 10 |
| devid | Device ID | string | 16 |
| direction | Direction | string | 8 |
| dstintf | Destination Interface | string | 64 |
| dstintfrole | Destination Interface Role | string | 10 |
| dstip | Destination IP | ip | 39 |
| dstport | Destination Port | uint16 | 5 |
| eventtime | Event Time | uint64 | 20 |
| eventtype | IPS Event Type | string | 32 |
| fctuid | FCT UID | string | 32 |
| forwardedfor | Forwarded For | string | 128 |
| hostname | Hostname | string | 256 |
| level | Log Level | string | 11 |
| logid | Log ID | string | 10 |
| msg | Log Message for the Attack | string | 518 |
| policyid | Policy ID | uint32 | 10 |
| profile | Profile Name for IPS | string | 64 |
| proto | Protocol Number | uint8 | 3 |
| rawdata | Raw Data | string | 20480 |
| rawdataid | Raw Data ID | string | 10 |
| service | Service Name | string | 80 |
| sessionid | Session ID | uint32 | 10 |
| severity | Severity of the Attack | string | 8 |
| srccountry | Source Country | string | 64 |
| srcdomain | Source Domain | string | 255 |
| srcintf | Source Interface | string | 64 |
| srcintfrole | Source Interface Role | string | 10 |
| srcip | Source IP | ip | 39 |
| srcport | Source Port | uint16 | 5 |
| subtype | Log Subtype | string | 20 |
| time | Time | string | 8 |
| trueclntip | True Client IP | ip | 39 |
| type | Log Type | string | 16 |
| tz | Time Zone | string | 5 |
| unauthuser | Unauthorized User | string | 66 |
| unauthusersource | Unauthorized User Source | string | 66 |
| url | URL | string | 512 |
| user | Username | string | 256 |
| vd | Virtual Domain Name | string | 32 |
| vrf | VRF | uint8 | 3 |

**Message ID: 16400 - LOGID_ATTACK_BOTNET_WARNING**
- **Message Description:** LOGID_ATTACK_BOTNET_WARNING
- **Message Meaning:** Botnet C&C Communication (warning)

**Log Fields:**
| LogFieldName | Description | DataType | Length |
|--------------|-------------|----------|--------|
| action | Security Action Performed by IPS | string | 16 |
| attack | Attack Name | string | 256 |
| attackcontext | Trigger Patterns and Packet Data with Base64 Encoding | string | 2040 |
| attackcontextid | Attack Context ID/Total | string | 10 |
| attackid | Attack ID | uint32 | 10 |
| authserver | Authentication Server | string | 32 |
| craction | Client Reputation Action | uint32 | 10 |
| crlevel | Client Reputation Level | string | 10 |
| crscore | Client Reputation Score | uint32 | 10 |
| date | Date | string | 10 |
| devid | Device ID | string | 16 |
| direction | Direction | string | 8 |
| dstintf | Destination Interface | string | 64 |
| dstintfrole | Destination Interface Role | string | 10 |
| dstip | Destination IP | ip | 39 |
| dstport | Destination Port | uint16 | 5 |
| eventtime | Event Time | uint64 | 20 |
| eventtype | IPS Event Type | string | 32 |
| fctuid | FCT UID | string | 32 |
| forwardedfor | Forwarded For | string | 128 |
| group | User Group Name | string | 64 |
| level | Log Level | string | 11 |
| logid | Log ID | string | 10 |
| msg | Log Message for the Attack | string | 518 |
| policyid | Policy ID | uint32 | 10 |
| profile | Profile Name for IPS | string | 64 |
| proto | Protocol Number | uint8 | 3 |
| rawdata | Raw Data | string | 20480 |
| rawdataid | Raw Data ID | string | 10 |
| ref | URL of the FortiGuard IPS Database Entry for the Attack | string | 4096 |
| service | Service Name | string | 80 |
| sessionid | Session ID | uint32 | 10 |
| severity | Severity of the Attack | string | 8 |
| srccountry | Source Country | string | 64 |
| srcdomain | Source Domain | string | 255 |
| srcintf | Source Interface | string | 64 |
| srcintfrole | Source Interface Role | string | 10 |
| srcip | Source IP | ip | 39 |
| srcport | Source Port | uint16 | 5 |
| subtype | Log Subtype | string | 20 |
| time | Time | string | 8 |
| trueclntip | True Client IP | ip | 39 |
| type | Log Type | string | 16 |
| tz | Time Zone | string | 5 |
| unauthuser | Unauthorized User | string | 66 |
| unauthusersource | Unauthorized User Source | string | 66 |
| user | Username | string | 256 |
| vd | Virtual Domain Name | string | 32 |
| vrf | VRF | uint8 | 3 |

**Message ID: 16401 - LOGID_ATTACK_BOTNET_NOTIF**
- **Message Description:** LOGID_ATTACK_BOTNET_NOTIF
- **Message Meaning:** Botnet C&C Communication (notice)

**Log Fields:**
| LogFieldName | Description | DataType | Length |
|--------------|-------------|----------|--------|
| action | Security Action Performed by IPS | string | 16 |
| attack | Attack Name | string | 256 |
| attackcontext | Trigger Patterns and Packet Data with Base64 Encoding | string | 2040 |
| attackcontextid | Attack Context ID/Total | string | 10 |
| attackid | Attack ID | uint32 | 10 |
| authserver | Authentication Server | string | 32 |
| craction | Client Reputation Action | uint32 | 10 |
| crlevel | Client Reputation Level | string | 10 |
| crscore | Client Reputation Score | uint32 | 10 |
| date | Date | string | 10 |
| devid | Device ID | string | 16 |
| direction | Direction | string | 8 |
| dstintf | Destination Interface | string | 64 |
| dstintfrole | Destination Interface Role | string | 10 |
| dstip | Destination IP | ip | 39 |
| dstport | Destination Port | uint16 | 5 |
| eventtime | Event Time | uint64 | 20 |
| eventtype | IPS Event Type | string | 32 |
| fctuid | FCT UID | string | 32 |
| forwardedfor | Forwarded For | string | 128 |
| group | User Group Name | string | 64 |
| level | Log Level | string | 11 |
| logid | Log ID | string | 10 |
| msg | Log Message for the Attack | string | 518 |
| policyid | Policy ID | uint32 | 10 |
| profile | Profile Name for IPS | string | 64 |
| proto | Protocol Number | uint8 | 3 |
| rawdata | Raw Data | string | 20480 |
| rawdataid | Raw Data ID | string | 10 |
| ref | URL of the FortiGuard IPS Database Entry for the Attack | string | 4096 |
| service | Service Name | string | 80 |
| sessionid | Session ID | uint32 | 10 |
| severity | Severity of the Attack | string | 8 |
| srccountry | Source Country | string | 64 |
| srcdomain | Source Domain | string | 255 |
| srcintf | Source Interface | string | 64 |
| srcintfrole | Source Interface Role | string | 10 |
| srcip | Source IP | ip | 39 |
| srcport | Source Port | uint16 | 5 |
| subtype | Log Subtype | string | 20 |
| time | Time | string | 8 |
| trueclntip | True Client IP | ip | 39 |
| type | Log Type | string | 16 |
| tz | Time Zone | string | 5 |
| unauthuser | Unauthorized User | string | 66 |
| unauthusersource | Unauthorized User Source | string | 66 |
| user | Username | string | 256 |
| vd | Virtual Domain Name | string | 32 |
| vrf | VRF | uint8 | 3 |

---

This document provides a clear and organized structure for the log fields and their descriptions, making it easier to understand and reference.
