pg_control version number:            903  
Catalog version number:               201104251  
Database system identifier:           5607124598447901567  
Database cluster state:               in production  
pg_control last modified:             Fri 27 May 2011 05:23:36 PM CST  
Latest checkpoint location:           0/E933940  
Prior checkpoint location:            0/E83EF68  
Latest checkpoint's REDO location:    0/E933940  
Latest checkpoint's TimeLineID:       1  
```  
其他不再多做解释，还是参照源代码。  
查看ITEMS的信息：  
```  
digoal=# select * from heap_page_items(get_raw_page('tbl_user_info',0));  
```  
lp表示line point  
lp_off是tuple在page中的相对位置  
t_xmin,t_xmax都与实务有关  
t_ctid就是表示这个LINE POINT指向的位置。   
其他参考源代码.  
```  
 lp  | lp_off | lp_flags | lp_len | t_xmin | t_xmax | t_field3 | t_ctid  | t_infomask2 | t_infomask | t_hoff | t_bits | t_oid   
  43 |   5784 |        1 |     49 |   1877 |      0 |        0 | (0,43)  |           4 |       2306 |     24 |        |        
  44 |   5728 |        1 |     49 |   1877 |      0 |        0 | (0,44)  |           4 |       2306 |     24 |        |        
  45 |   5672 |        1 |     49 |   1877 |      0 |        0 | (0,45)  |           4 |       2306 |     24 |        |        
  46 |   5616 |        1 |     49 |   1877 |      0 |        0 | (0,46)  |           4 |       2306 |     24 |        |        
  47 |   5560 |        1 |     49 |   1877 |      0 |        0 | (0,47)  |           4 |       2306 |     24 |        |        
  48 |   5504 |        1 |     49 |   1877 |      0 |        0 | (0,48)  |           4 |       2306 |     24 |        |        
  49 |   5448 |        1 |     49 |   1877 |      0 |        0 | (0,49)  |           4 |       2306 |     24 |        |        
  50 |   5392 |        1 |     49 |   1877 |      0 |        0 | (0,50)  |           4 |       2306 |     24 |        |        
  51 |   5336 |        1 |     49 |   1877 |      0 |        0 | (0,51)  |           4 |       2306 |     24 |        |        
  52 |   5280 |        1 |     49 |   1877 |      0 |        0 | (0,52)  |           4 |       2306 |     24 |        |        
  53 |   5224 |        1 |     49 |   1877 |      0 |        0 | (0,53)  |           4 |       2306 |     24 |        |        
  54 |   5168 |        1 |     49 |   1877 |      0 |        0 | (0,54)  |           4 |       2306 |     24 |        |        
  55 |   5112 |        1 |     49 |   1877 |      0 |        0 | (0,55)  |           4 |       2306 |     24 |        |        
  56 |   5056 |        1 |     49 |   1877 |      0 |        0 | (0,56)  |           4 |       2306 |     24 |        |        
  57 |   5000 |        1 |     49 |   1877 |      0 |        0 | (0,57)  |           4 |       2306 |     24 |        |        
  58 |   4944 |        1 |     49 |   1877 |      0 |        0 | (0,58)  |           4 |       2306 |     24 |        |        
  59 |   4888 |        1 |     49 |   1877 |      0 |        0 | (0,59)  |           4 |       2306 |     24 |        |        
  60 |   4832 |        1 |     49 |   1877 |      0 |        0 | (0,60)  |           4 |       2306 |     24 |        |        
  61 |   4776 |        1 |     49 |   1877 |      0 |        0 | (0,61)  |           4 |       2306 |     24 |        |        
  62 |   4720 |        1 |     49 |   1877 |      0 |        0 | (0,62)  |           4 |       2306 |     24 |        |        
  63 |   4664 |        1 |     49 |   1877 |      0 |        0 | (0,63)  |           4 |       2306 |     24 |        |        
  64 |   4608 |        1 |     49 |   1877 |      0 |        0 | (0,64)  |           4 |       2306 |     24 |        |        
  65 |   4552 |        1 |     49 |   1877 |      0 |        0 | (0,65)  |           4 |       2306 |     24 |        |        
  66 |   4496 |        1 |     49 |   1877 |      0 |        0 | (0,66)  |           4 |       2306 |     24 |        |        
  67 |   4440 |        1 |     49 |   1877 |      0 |        0 | (0,67)  |           4 |       2306 |     24 |        |        
  68 |   4384 |        1 |     49 |   1877 |      0 |        0 | (0,68)  |           4 |       2306 |     24 |        |        
  69 |   4328 |        1 |     49 |   1877 |      0 |        0 | (0,69)  |           4 |       2306 |     24 |        |        
  70 |   4272 |        1 |     49 |   1877 |      0 |        0 | (0,70)  |           4 |       2306 |     24 |        |        
  71 |   4216 |        1 |     49 |   1877 |      0 |        0 | (0,71)  |           4 |       2306 |     24 |        |        
  72 |   4160 |        1 |     49 |   1877 |      0 |        0 | (0,72)  |           4 |       2306 |     24 |        |        
  73 |   4104 |        1 |     49 |   1877 |      0 |        0 | (0,73)  |           4 |       2306 |     24 |        |        
  74 |   4048 |        1 |     49 |   1877 |      0 |        0 | (0,74)  |           4 |       2306 |     24 |        |        
  75 |   3992 |        1 |     49 |   1877 |      0 |        0 | (0,75)  |           4 |       2306 |     24 |        |        
  76 |   3936 |        1 |     49 |   1877 |      0 |        0 | (0,76)  |           4 |       2306 |     24 |        |        
  77 |   3880 |        1 |     49 |   1877 |      0 |        0 | (0,77)  |           4 |       2306 |     24 |        |        
  78 |   3824 |        1 |     49 |   1877 |      0 |        0 | (0,78)  |           4 |       2306 |     24 |        |        
  79 |   3768 |        1 |     49 |   1877 |      0 |        0 | (0,79)  |           4 |       2306 |     24 |        |        
  80 |   3712 |        1 |     49 |   1877 |      0 |        0 | (0,80)  |           4 |       2306 |     24 |        |        
  81 |   3656 |        1 |     49 |   1877 |      0 |        0 | (0,81)  |           4 |       2306 |     24 |        |        
  82 |   3600 |        1 |     49 |   1877 |      0 |        0 | (0,82)  |           4 |       2306 |     24 |        |        
  83 |   3544 |        1 |     49 |   1877 |      0 |        0 | (0,83)  |           4 |       2306 |     24 |        |        
  84 |   3488 |        1 |     49 |   1877 |      0 |        0 | (0,84)  |           4 |       2306 |     24 |        |        
  85 |   3432 |        1 |     49 |   1877 |      0 |        0 | (0,85)  |           4 |       2306 |     24 |        |        
  86 |   3376 |        1 |     49 |   1877 |      0 |        0 | (0,86)  |           4 |       2306 |     24 |        |        
  87 |   3320 |        1 |     49 |   1877 |      0 |        0 | (0,87)  |           4 |       2306 |     24 |        |        
  88 |   3264 |        1 |     49 |   1877 |      0 |        0 | (0,88)  |           4 |       2306 |     24 |        |        
  89 |   3208 |        1 |     49 |   1877 |      0 |        0 | (0,89)  |           4 |       2306 |     24 |        |        
  90 |   3152 |        1 |     49 |   1877 |      0 |        0 | (0,90)  |           4 |       2306 |     24 |        |        
  91 |   3096 |        1 |     49 |   1877 |      0 |        0 | (0,91)  |           4 |       2306 |     24 |        |        
  92 |   3040 |        1 |     49 |   1877 |      0 |        0 | (0,92)  |           4 |       2306 |     24 |        |        
  93 |   2984 |        1 |     49 |   1877 |      0 |        0 | (0,93)  |           4 |       2306 |     24 |        |        
  94 |   2928 |        1 |     49 |   1877 |      0 |        0 | (0,94)  |           4 |       2306 |     24 |        |        
  95 |   2872 |        1 |     49 |   1877 |      0 |        0 | (0,95)  |           4 |       2306 |     24 |        |        
  96 |   2816 |        1 |     49 |   1877 |      0 |        0 | (0,96)  |           4 |       2306 |     24 |        |        
  97 |   2760 |        1 |     49 |   1877 |      0 |        0 | (0,97)  |           4 |       2306 |     24 |        |        
