版权所有 © 华为技术有限公司
CX110&CX31x系列 交换模块
28.13 ISISCOMM/4/IS_LOG_VERIFY_DEL_ROUTE.................................................................................................195
28.14 ISISCOMM/3/IS_LSDB_OVERFLOW................................................................................................................196
28.15 ISISCOMM/4/IS_NORECV_MSG........................................................................................................................196
28.16 ISISCOMM/6/IS_RECV_ERR_MSG....................................................................................................................197
28.17 ISISCOMM/4/IS_RECV_ERR_PKT.....................................................................................................................198
28.18 ISISCOMM/4/IS_RECV_PIPE_MSG...................................................................................................................199
28.19 ISISCOMM/4/IS_RECV_SOCK_CONFLICT_MSG...........................................................................................199
28.20 ISISCOMM/4/IS_RECV_SOCK_ERR_MSG.......................................................................................................200
28.21 ISISCOMM/4/IS_RECV_SOCK_MSG.................................................................................................................201
28.22 ISISCOMM/4/IS_RESTART_SMOOTH...............................................................................................................201
28.23 ISISCOMM/4/IS_RETRANS_OVERTIME..........................................................................................................202
28.24 ISISCOMM/4/IS_SEND_PIPE_MSG_FAIL.........................................................................................................203
28.25 ISISCOMM/6/IS_SYSNODE_STATISTIC_ON_SPT..........................................................................................204
28.26 ISISCOMM/3/ISIS_AREA_MISMATCH.............................................................................................................204
28.27 ISISCOMM/3/ISIS_ATTEMPT_TO_EXCEED_MAX_SEQ...............................................................................206
28.28 ISISCOMM/3/ISIS_AUTHENTICATION_FAILURE..........................................................................................207
28.29 ISISCOMM/3/ISIS_AUTHENTICATION_TYPE_FAILURE..............................................................................209
28.30 ISISCOMM/3/ISIS_CORRUPTED_LSP_DETECTED........................................................................................210
28.31 ISISCOMM/3/ISIS_DATABASE_OVERLOAD...................................................................................................211
28.32 ISISCOMM/6/IS_DISABLE_FAST_REROUTING.............................................................................................212
28.33 ISISCOMM/6/IS_DISABLE_LINK_STATE_DATABASE..................................................................................213
28.34 ISISCOMM/6/IS_DISABLE_NEIGHBOR_MANAGEMENT............................................................................214
28.35 ISISCOMM/6/IS_DISABLE_ROUTE_CALCULATION....................................................................................214
28.36 ISISCOMM/6/IS_DISABLE_SPF_CALCULATION...........................................................................................215
28.37 ISISCOMM/6/IS_DISABLE_TRAFFIC_ENGINEERING..................................................................................215
28.38 ISISCOMM/6/IS_ENABLE_FAST_REROUTING..............................................................................................216
28.39 ISISCOMM/6/IS_ENABLE_LINK_STATE_DATABASE...................................................................................216
28.40 ISISCOMM/6/IS_ENABLE_NEIGHBOR_MANAGEMENT.............................................................................217
28.41 ISISCOMM/6/IS_ENABLE_ROUTE_CALCULATION......................................................................................218
28.42 ISISCOMM/6/IS_ENABLE_SPF_CALCULATION............................................................................................218
28.43 ISISCOMM/6/IS_ENABLE_TRAFFIC_ENGINEERING...................................................................................219
28.44 ISISCOMM/2/ISIS_ID_LEN_MISMATCH..........................................................................................................219
28.45 ISISCOMM/2/ISIS_LSP_TOO_LARGE_TO_PROPAGATE...............................................................................221
28.46 ISISCOMM/2/ISIS_MANUAL_ADDRESS_DROPS..........................................................................................222
文档版本 09 (2017-09-04) 华为专有和保密信息 xi
版权所有 © 华为技术有限公司
CX110&CX31x系列 交换模块
日志参考 目 录
28.47 ISISCOMM/2/ISIS_MAX_AREA_ADDRESSES_MISMATCH.........................................................................223
28.48 ISISCOMM/3/ISIS_ORIG_LSP_BUFF_SIZE_MISMATCH...............................................................................225
28.49 ISISCOMM/2/ISIS_OWN_LSP_PURGE..............................................................................................................226
28.50 ISISCOMM/2/ISIS_PROTOCOLS_SUPPORT_MISMATCH.............................................................................227
28.51 ISISCOMM/3/ISIS_REJECTED_ADJACENCY..................................................................................................228
28.52 ISISCOMM/2/ISIS_SEQUENCE_NUMBER_SKIP............................................................................................231
28.53 ISISCOMM/6/ISIS_SYS_ID_CONFLICT............................................................................................................232
28.54 ISISCOMM/2/ISIS_VERSION_SKEW................................................................................................................233
29 L3VPNBASE.............................................................................................................................236
29.1 L3VPNBASE/4/L3V_TRAP_MID_EXCEED_active.............................................................................................237
29.2 L3VPNBASE/4/L3V_TRAP_MID_EXCEED_clear..............................................................................................238
29.3 L3VPNBASE/2/L3V_TRAP_THRE_EXCEED_active..........................................................................................239
29.4 L3VPNBASE/2/L3V_TRAP_THRE_EXCEED_clear............................................................................................240
29.5 L3VPNBASE/2/L3V_TRAP_VRF_DOWN_active................................................................................................240
29.6 L3VPNBASE/2/L3V_TRAP_VRF_DOWN_clear..................................................................................................242
30 LACP..........................................................................................................................................243
30.1 LACP/2/hwLacpNegotiateFailed_active..................................................................................................................244
30.2 LACP/2/hwLacpNegotiateFailed_clear....................................................................................................................245
30.3 LACP/2/hwLacpPartialLinkLoss_active..................................................................................................................246
30.4 LACP/2/hwLacpPartialLinkLoss_clear....................................................................................................................247
30.5 LACP/2/hwLacpTotalLinkLoss_active....................................................................................................................248
30.6 LACP/2/hwLacpTotalLinkLoss_clear......................................................................................................................250
30.7 LACP/6/LACP_PIPE_STATUS...............................................................................................................................250
30.8 LACP/3/LACP_PROCESS_RESET........................................................................................................................251
30.9 LACP/3/LACP_RCV_ERR_MESSAGE.................................................................................................................252
30.10 LACP/6/LACP_RESEND_MSG_OVERTIME.....................................................................................................252
30.11 LACP/6/SMTH_SEQ_ERR....................................................................................................................................253
31 LDM...........................................................................................................................................255
31.1 LDM/4/LDM_STRACK_IFVLAN..........................................................................................................................256
31.2 LDM/4/LDM_STRACK_SRCIP.............................................................................................................................257
31.3 LDM/4/LDM_STRACK_SRCMAC........................................................................................................................258
32 LLDP..........................................................................................................................................259
32.1 LLDP/4/LLDP_MDN_REMTABLECHANGE.......................................................................................................260
32.2 LLDP/4/LLDP_REMTABLECHANGE..................................................................................................................261
33 MCASTBASE...........................................................................................................................263
33.1 MCASTBASE/5/BATCH_UPDATE_BEGIN.........................................................................................................264
33.2 MCASTBASE/5/BATCH_UPDATE_END.............................................................................................................264
33.3 MCASTBASE/3/CLOSE_SOCK_FAIL..................................................................................................................265
33.4 MCASTBASE/3/CLOSE_SOCK_FAIL_NOIF.......................................................................................................266
33.5 MCASTBASE/3/CREAT_SOCK_FAIL..................................................................................................................267
文档版本 09 (2017-09-04) 华为专有和保密信息 xii
版权所有 © 华为技术有限公司
CX110&CX31x系列 交换模块
日志参考 目 录
33.6 MCASTBASE/3/CREAT_SOCK_FAIL_NOIF.......................................................................................................267
33.7 MCASTBASE/5/HA_BACKUP_GONE.................................................................................................................268
33.8 MCASTBASE/5/HA_NEW_BACKUP...................................................................................................................269
33.9 MCASTBASE/5/HA_PROMPT_PRIMARY..........................................................................................................269
33.10 MCASTBASE/4/RCV_ERR_MSG.......................................................................................................................270
33.11 MCASTBASE/4/RESEND_MSG_OVERTIME1..................................................................................................271
33.12 MCASTBASE/4/RESEND_MSG_OVERTIME2.................................................................................................271
33.13 MCASTBASE/4/RESEND_MSG_OVERTIME3.................................................................................................272
33.14 MCASTBASE/4/SMTH_SEQ_ERR......................................................................................................................273
34 MFF.............................................................................................................................................275
34.1 MFF/5/MFF_GATEWAY_MAC_CHANGE...........................................................................................................276
35 MSDP.........................................................................................................................................277
35.1 MSDP/3/CLOSE_SOCK_FAIL_MSDP..................................................................................................................278
35.2 MSDP/3/CREAT_SOCK_FAIL_MSDP..................................................................................................................279
35.3 MSDP/2/msdpBackwardTransition_active..............................................................................................................279
35.4 MSDP/2/msdpBackwardTransition_clear................................................................................................................282
35.5 MSDP/4/MSDP_RCV_ERR_PKT...........................................................................................................................283
35.6 MSDP/4/MSDP_SA_LIMIT....................................................................................................................................283
35.7 MSDP/6/PEER_NTFDWN......................................................................................................................................284
35.8 MSDP/6/PEER_TIMEOUT.....................................................................................................................................285
35.9 MSDP/6/PEER_UP..................................................................................................................................................285
35.10 MSDP/6/SEND_PCK_FAIL..................................................................................................................................286
35.11 MSDP/6/SEND_PCK_OK.....................................................................................................................................287
36 MSTP..........................................................................................................................................288
36.1 MSTP/4/EDGE_PORT_CHANGED.......................................................................................................................290
36.2 MSTP/5/LOST_ROOT_PRIMARY.........................................................................................................................291
36.3 MSTP/2/NEW_ROOT..............................................................................................................................................292
36.4 MSTP/4/PORT_BPDU_GUARDED.......................................................................................................................293
36.5 MSTP/4/PORT_LOOP_GUARDED........................................................................................................................294
36.6 MSTP/4/PORT_ROOT_GUARDED.......................................................................................................................295
36.7 MSTP/4/PORT_STATE_DISCARDING.................................................................................................................296
36.8 MSTP/4/PORT_STATE_FORWARDING...............................................................................................................297
36.9 MSTP/4/PORT_STATE_LEARNING.....................................................................................................................298
36.10 MSTP/4/PROEDGE_PORT_CHANGED..............................................................................................................299
36.11 MSTP/4/PROLOOPBACK_DETECTED..............................................................................................................300
36.12 MSTP/4/PROLOST_ROOT_PRIMARY...............................................................................................................301
36.13 MSTP/4/PROPORT_BPDU_GUARDED..............................................................................................................302
36.14 MSTP/4/PROPORT_LOOP_GUARDED..............................................................................................................303
36.15 MSTP/4/PROPORT_ROLE_CHANGE.................................................................................................................305
36.16 MSTP/4/PROPORT_ROOT_GUARDED.............................................................................................................305
36.17 MSTP/4/PROPORT_STATE_DISCARDING.......................................................................................................307
文档版本 09 (2017-09-04) 华为专有和保密信息 xiii
版权所有 © 华为技术有限公司
CX110&CX31x系列 交换模块
日志参考 目 录
36.18 MSTP/4/PROPORT_STATE_FORWARDING......................................................................................................308
36.19 MSTP/4/PROPORT_STATE_LEARNING............................................................................................................309
36.20 MSTP/4/PROROOT_CHANGED.........................................................................................................................310
36.21 MSTP/4/PROTC_GUARDED...............................................................................................................................312
36.22 MSTP/4/TC_GUARDED.......................................................................................................................................313
36.23 MSTP/2/TOPOLOGY_CHANGE.........................................................................................................................314
37 NETCONF.................................................................................................................................315
37.1 NETCONF/6/NCA_RPC_REQ................................................................................................................................316
37.2 NETCONF/3/NCA_RPC_RSP................................................................................................................................316
37.3 NETCONF/3/NCA_SYNC_OP_FILE_TRANSFER_FAIL....................................................................................317
38 NQABASE.................................................................................................................................320
38.1 NQABASE/4/NQA_JITTER_OWD_THRESHOLD_DS.......................................................................................321
38.2 NQABASE/4/NQA_JITTER_OWD_THRESHOLD_SD.......................................................................................322
38.3 NQABASE/4/NQA_JITTER_TEST_FAILED........................................................................................................324
38.4 NQABASE/4/NQA_JITTER_THRESHOLD_RTD................................................................................................326
38.5 NQABASE/4/PROBE_FAILED..............................................................................................................................327
38.6 NQABASE/4/TEST_COMPLETED........................................................................................................................329
38.7 NQABASE/4/TEST_FAILED..................................................................................................................................330
38.8 NQABASE/4/THRESHOLD_RTD..........................................................................................................................332
39 OSPF...........................................................................................................................................334
39.1 OSPF/4/AUTO_CHG_RTRID.................................................................................................................................336
39.2 OSPF/6/BAD_IP_PACKET.....................................................................................................................................336
39.3 OSPF/6/BAD_LSA..................................................................................................................................................337
39.4 OSPF/6/BAD_LSU_PKT.........................................................................................................................................338
39.5 OSPF/6/CANNOT_ENTER_HELPER....................................................................................................................339
39.6 OSPF/4/CONFLICT_IP_ADDRESS.......................................................................................................................340
39.7 OSPF/6/CONFLICT_ROUTERID_INTER.............................................................................................................340
39.8 OSPF/4/CONFLICT_ROUTERID_INTF................................................................................................................341
39.9 OSPF/4/CONFLICT_ROUTERID_INTRA............................................................................................................342
39.10 OSPF/6/ENTER_HELPER....................................................................................................................................342
39.11 OSPF/6/EXIT_HELPER........................................................................................................................................343
39.12 OSPF/4/HELPER_EXIT_RECV_LSA..................................................................................................................344
39.13 OSPF/6/HELPER_TIMER_FIRED.......................................................................................................................344
39.14 OSPF/6/IF_NO_RES_NBR_EXIT........................................................................................................................345
39.15 OSPF/6/LDP_SYNC_CREA..................................................................................................................................346
39.16 OSPF/6/LDP_SYNC_EVENT...............................................................................................................................346
39.17 OSPF/6/LDP_SYNC_FIRE....................................................................................................................................347
39.18 OSPF/6/LSA_SEQ_WRAP....................................................................................................................................347
39.19 OSPF/6/NBR_CHANGE........................................................................................................................................348
39.20 OSPF/3/NBR_DOWN_REASON..........................................................................................................................350
39.21 OSPF/3/OSPF_ABNORMAL_EXIT_GRHELPER..............................................................................................351
文档版本 09 (2017-09-04) 华为专有和保密信息 xiv
版权所有 © 华为技术有限公司
CX110&CX31x系列 交换模块
日志参考 目 录
39.22 OSPF/5/OSPF_ABNORMAL_LSA_UPDATE.....................................................................................................352
39.23 OSPF/0/OSPF_RCV_VERIFICATION.................................................................................................................353
39.24 OSPF/3/OSPF_SEQ_MIS_RESMOOTH..............................................................................................................354
39.25 OSPF/0/OSPF_SMOOTH......................................................................................................................................355
39.26 OSPF/0/RCV_ERR_MESSAGE............................................................................................................................356
39.27 OSPF/3/RCV_ERR_PACKET...............................................................................................................................358
39.28 OSPF/6/RECV_DIFF_GRACE_LSA....................................................................................................................359
39.29 OSPF/6/RECV_ROUT_LIMIT_MSG...................................................................................................................359
39.30 OSPF/6/STUB_RT_ONBT_TM_CRT...................................................................................................................360
39.31 OSPF/6/STUB_RT_TM_FIRE...............................................................................................................................360
40 PATCH.......................................................................................................................................362
40.1 PATCH/2/PATCH_ERROR......................................................................................................................................363
40.2 PATCH/5/PATCH_UPDATE_STATE......................................................................................................................363
41 PICDRIVER..............................................................................................................................365
41.1 PICDRIVER/4/WUnitOfPortSts..............................................................................................................................366
42 PIM.............................................................................................................................................368
42.1 PIM/2/hwPimNeighborLoss_active.........................................................................................................................369
42.2 PIM/5/hwPimNeighborLoss_clear...........................................................................................................................371
43 PIMPRO....................................................................................................................................373
43.1 PIMPRO/6/BSR_CNT_LMT...................................................................................................................................374
43.2 PIMPRO/6/BSR_CNT_NOT_LMT.........................................................................................................................374
43.3 PIMPRO/4/CRT_SG_FAIL......................................................................................................................................375
43.4 PIMPRO/4/DR_ELECTION....................................................................................................................................376
43.5 PIMPRO/4/HW_DR_ELECTION...........................................................................................................................377
43.6 PIMPRO/4/HW_INVALID_JP.................................................................................................................................378
43.7 PIMPRO/4/HW_INVALID_REG............................................................................................................................379
43.8 PIMPRO/4/HW_RP_MAP_CHG............................................................................................................................381
43.9 PIMPRO/4/INT_INV...............................................................................................................................................382
43.10 PIMPRO/4/INVALID_JP.......................................................................................................................................382
43.11 PIMPRO/4/INVALID_REG...................................................................................................................................384
43.12 PIMPRO/6/MTU_IF_OK.......................................................................................................................................385
43.13 PIMPRO/6/MTU_IF_SHT.....................................................................................................................................385
43.14 PIMPRO/4/NBR_DOWN......................................................................................................................................386
43.15 PIMPRO/4/NBR_DOWN_ALL.............................................................................................................................387
43.16 PIMPRO/4/NBR_LOSS.........................................................................................................................................387
43.17 PIMPRO/4/NBR_UP..............................................................................................................................................388
43.18 PIMPRO/4/PIM_RCV_ERR_PKT........................................................................................................................389
43.19 PIMPRO/4/RP_MAP_CHG...................................................................................................................................389
44 QOS............................................................................................................................................391
44.1 QOS/3/CONFIGURATION_APPLY_ERROR........................................................................................................392
文档版本 09 (2017-09-04) 华为专有和保密信息 xv
版权所有 © 华为技术有限公司
CX110&CX31x系列 交换模块
日志参考 目 录
45 RADIUS.....................................................................................................................................393
45.1 RADIUS/5/RDS_SERVERS_DOWN_EVENT.......................................................................................................394
46 RIP..............................................................................................................................................395
46.1 RIP_FREEZE_ENTER............................................................................................................................................396
46.2 RIP_FREEZE_RECOVER.......................................................................................................................................396
46.3 RIP/6/RIP_NBR_ADD.............................................................................................................................................397
46.4 RIP/6/RIP_NBR_DEL..............................................................................................................................................397
46.5 RIP_RETRANS_OVERTIME.................................................................................................................................398
46.6 RIP_SEQ_MIS_RESMOOTH.................................................................................................................................399
47 RMBASE....................................................................................................................................401
47.1 RMBASE/6/RCV_SEQ_MISMATCH.....................................................................................................................402
47.2 RMBASE/6/REGISTER_TIMEOUT......................................................................................................................402
47.3 RMBASE/6/RETRANS_OVERTIME.....................................................................................................................403
47.4 RMBASE/6/TERM_SMOOTH................................................................................................................................404
48 SEM............................................................................................................................................406
48.1 SEM/6/hwCPUUtilizationResume...........................................................................................................................407
48.2 SEM/1/hwCPUUtilizationRisingAlarm...................................................................................................................408
48.3 SEM/6/hwStorageUtilizationResume.......................................................................................................................409
48.4 SEM/2/hwStorageUtilizationRisingAlarm...............................................................................................................410
49 SNMP.........................................................................................................................................413
49.1 SNMP/4/COLDSTART............................................................................................................................................414
49.2 SNMP/3/SNMP_AUTHEN_FAILED......................................................................................................................414
49.3 SNMP/4/AUTHENTICATIONFAILURE................................................................................................................415
49.4 SNMP/4/SNMP_AUTHENTICATIONFAILURE_COUNT...................................................................................416
49.5 SNMP/3/SNMP_NOTIFICATION_SEND_FAILED..............................................................................................417
49.6 SNMP/3/SNMP_OPERATION_FAILED................................................................................................................418
49.7 SNMP/4/SNMP_SET...............................................................................................................................................419
49.8 SNMP/4/WARMSTART...........................................................................................................................................420
50 SOCKET....................................................................................................................................421
50.1 SOCKET/6/socket_event_log..................................................................................................................................422
51 SSH.............................................................................................................................................423
51.1 SSH/5/SSH_SFTP_EXECUTED_MKDIR_OPER..................................................................................................424
51.2 SSH/5/SSH_SFTP_EXECUTED_REMOVE_OPER..............................................................................................425
51.3 SSH/5/SSH_SFTP_EXECUTED_RENAME_OPER..............................................................................................426
51.4 SSH/5/SSH_SFTP_EXECUTED_RMDIR_OPER..................................................................................................427
51.5 SSH/5/SSH_SFTP_FILE_OPERATION_FAILED..................................................................................................428
51.6 SSH/5/SSH_SFTP_OPER_FAIL.............................................................................................................................429
51.7 SSH/5/SSH_SFTP_REQ_RECORD........................................................................................................................430
51.8 SSH/5/SSH_USER_LOGIN.....................................................................................................................................430
