182.135.162.77 - - [12/Jun/2017:18:14:50 +0800] "HEAD /www.rar HTTP/1.1" 404 0 "-" "Mozilla/4.0 (compatible; Win32; WinHttp.WinHttpRequest.5)" "-" 0.000 -
222.128.29.229 - - [12/Jun/2017:18:15:54 +0800] "GET /license_manager/getLicenseInfo HTTP/1.1" 200 522060 "https://license.rizhiyi.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/603.2.5 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.5" "-" 0.429 0.114
222.128.29.229 - - [12/Jun/2017:18:15:54 +0800] "GET /license_store/ HTTP/1.1" 200 134 "https://license.rizhiyi.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/603.2.5 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.5" "-" 0.003 0.003
139.217.1.130 - - [12/Jun/2017:18:16:03 +0800] "POST /report HTTP/1.1" 200 37 "-" "Apache-HttpClient/4.2.5 (java 1.5)" "-" 0.000 0.000
111.206.36.17 - - [12/Jun/2017:18:16:47 +0800] "GET /products/ HTTP/1.1" 200 8157 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" "-" 0.000 -
111.206.36.10 - - [12/Jun/2017:18:16:47 +0800] "GET /assets/css/site.css?2 HTTP/1.1" 200 30737 "https://www.rizhiyi.com/products/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" "-" 0.000 -
111.206.36.141 - - [12/Jun/2017:18:16:47 +0800] "GET /assets/js/jquery-2.1.1.min.js HTTP/1.1" 200 29495 "https://www.rizhiyi.com/products/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" "-" 0.000 -
111.206.36.139 - - [12/Jun/2017:18:16:47 +0800] "GET /assets/js/site.js HTTP/1.1" 200 796 "https://www.rizhiyi.com/products/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" "-" 0.000 -
101.89.64.236 - - [12/Jun/2017:18:18:28 +0800] "POST /report HTTP/1.1" 200 52 "http://logcloud.paic.com.cn/search/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36" "-" 0.002 0.002
118.26.172.128 - - [12/Jun/2017:18:18:47 +0800] "POST /report HTTP/1.1" 200 37 "-" "Apache-HttpClient/4.2.5 (java 1.5)" "-" 0.002 0.002
101.89.64.232 - - [12/Jun/2017:18:18:52 +0800] "POST /report HTTP/1.1" 200 52 "http://logcloud.paic.com.cn/search/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36" "-" 0.002 0.002
116.226.86.43 - - [12/Jun/2017:18:19:53 +0800] "GET /products/ HTTP/1.1" 200 8157 "http://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-0956732394986573&format=728x90&output=html&h=90&slotname=2895550264&adk=2873280682&adf=1701041314&w=728&lmt=1497262782&loeid=191880400%2C368226015&flash=23.0.0&url=http%3A%2F%2Fwww.ttlsa.com%2Felk%2Fhowto-install-elasticsearch-logstash-and-kibana-elk-stack%2F&wgl=1&dt=1497262782075&bpp=10&bdt=263&fdt=14&idt=56&shv=r20170605&cbv=r20170110&saldr=aa&correlator=8216661882881&frm=20&ga_vid=1534885304.1496391007&ga_sid=1497262782&ga_hid=613078548&ga_fc=0&pv=2&iag=3&icsg=2&nhd=1&dssz=2&mdo=0&mso=0&u_tz=480&u_his=1&u_java=1&u_h=1080&u_w=1920&u_ah=1040&u_aw=1920&u_cd=24&u_nplug=30&u_nmime=56&adx=412&ady=374&biw=1903&bih=911&abxe=1&eid=10593695%2C191880410%2C368226005&oid=3&rx=0&eae=0&fc=528&brdim=0%2C105%2C0%2C105%2C1920%2C0%2C1920%2C911%2C1920%2C911&vis=1&rsz=o%7Co%7CoeE%7C&abl=NS&ppjl=f&pfx=0&fu=8&bc=1&ifi=1&xpc=oPdVnc2Dip&p=http%3A//www.ttlsa.com&dtd=81" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36" "-" 0.000 -
116.226.86.43 - - [12/Jun/2017:18:19:53 +0800] "GET /assets/css/site.css?2 HTTP/1.1" 200 30737 "https://www.rizhiyi.com/products/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36" "-" 0.000 -
116.226.86.43 - - [12/Jun/2017:18:19:53 +0800] "GET /assets/js/jquery-2.1.1.min.js HTTP/1.1" 200 29495 "https://www.rizhiyi.com/products/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36" "-" 0.000 -
116.226.86.43 - - [12/Jun/2017:18:19:53 +0800] "GET /assets/js/site.js HTTP/1.1" 200 796 "https://www.rizhiyi.com/products/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36" "-" 0.000 -
116.226.86.43 - - [12/Jun/2017:18:19:53 +0800] "GET /assets/img/rzy/production/subnav_bg.png HTTP/1.1" 200 1736 "https://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36" "-" 0.000 -
116.226.86.43 - - [12/Jun/2017:18:19:53 +0800] "GET /assets/img/rzy/small-icons.png HTTP/1.1" 200 72322 "https://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36" "-" 0.031 -
116.226.86.43 - - [12/Jun/2017:18:19:53 +0800] "GET /assets/img/rzy/production/subnav_bg_act.png HTTP/1.1" 200 2547 "https://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36" "-" 0.000 -
116.226.86.43 - - [12/Jun/2017:18:19:53 +0800] "GET /assets/img/rzy/product/advan-icons.png HTTP/1.1" 200 186141 "https://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36" "-" 0.097 -
116.226.86.43 - - [12/Jun/2017:18:19:55 +0800] "GET /assets/img/rzy/product/galaxy.png HTTP/1.1" 200 2162177 "https://www.rizhiyi.com/assets/css/site.css?2" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36" "-" 1.574 -
116.226.86.43 - - [12/Jun/2017:18:19:55 +0800] "GET /favicon.ico HTTP/1.1" 200 3222 "https://www.rizhiyi.com/products/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36" "-" 0.000 -
220.181.108.105 - - [12/Jun/2017:18:21:05 +0800] "GET / HTTP/1.1" 302 154 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "-" 0.009 -
220.181.108.113 - - [12/Jun/2017:18:21:05 +0800] "GET / HTTP/1.1" 200 26504 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "-" 0.000 -
