以下是优化后的文本，使其更加清晰、连贯和专业：

---

### 2017年发布的漏洞赏金报告

| 标题及链接 | 作者 | 漏洞赏金项目 | 漏洞类型 | 奖励金额 | 发布日期 |
| [我如何绕过了印度国家银行的一次性密码](https://hackernoon.com/how-i-bypassed-state-bank-of-india-otp-f145469a9f1d) | [Neeraj Sonaniya](https://twitter.com/neeraj_sonaniya) | 印度国家银行 | OTP绕过 | $0 | 2017-02-20 |
| [我如何能够删除你的Instagram电话号码](https://medium.com/bugbountywriteup/how-i-was-able-to-remove-your-instagram-phone-number-d346515e79c3) | [Neeraj Sonaniya](https://twitter.com/neeraj_sonaniya) | Facebook | 暴力破解 | $1,000 | 2017-02-20 |
| [从RSS到XXE: Hootsuite中的feed解析](https://ysx.me.uk/from-rss-to-xxe-feed-parsing-on-hootsuite/) | [Yasin Soliman (@SecurityYasin)](https://twitter.com/SecurityYasin) | Hootsuite | XSS, XXE | - | 2017-02-17 |
| [SQL注入在UPDATE查询中 - 一个漏洞赏金故事!](http://zombiehelp54.blogspot.com/2017/02/sql-injection-in-update-query-bug.html) | [Mahmoud Gamal](https://twitter.com/Zombiehelp54) | - | SQL注入 | - | 2017-02-17 |
| [轻量级标记：GitLab中的三个持久型XSS](https://ysx.me.uk/lightweight-markup-a-trio-of-persistent-xss-in-gitlab/) | [Yasin Soliman (@SecurityYasin)](https://twitter.com/SecurityYasin) | GitLab | 存储型XSS | - | 2017-02-15 |
| [Facebook登录审批表单中的漏洞](https://medium.com/@zahidali_93675/vulnerabilities-in-facebook-login-approval-form-dfa5fce92023) | Zahid Ali | Facebook | 授权缺陷, 逻辑缺陷 | $2,250 | 2017-02-14 |
| [Facebook账户恢复表单（冲突）](https://medium.com/@zahidali_93675/conflict-account-recovery-form-in-facebook-2b6e7d203cfd) | Zahid Ali | Facebook | 逻辑缺陷 | $1,000 | 2017-02-13 |
| [绕过Facebook电话号码安全](https://medium.com/@zahidali_93675/bypassed-facebook-phone-number-security-9e2d34dc063b) | Zahid Ali | Facebook | 授权缺陷, 逻辑缺陷, 信息泄露 | $3,000 | 2017-02-10 |
| [这个域名是我的域名 - G Suite A记录漏洞](https://whitehatnepal.tumblr.com/post/156959105292/this-domain-is-my-domain-g-suite-a-record) | [White Hats - Nepal](https://whitehatnepal.tumblr.com) | Google, Uber | 子域接管, 授权缺陷 | - | 2017-02-07 |
| [Facebook群组黑客攻击](https://medium.com/@zahidali_93675/hijack-facebook-groups-721c08526326) | Zahid Ali | Facebook | 授权缺陷, 逻辑缺陷 | $3,000 | 2017-02-04 |
| [Facebook中的跨站请求伪造](https://medium.com/@zahidali_93675/cross-site-request-forgery-in-facebook-86087201d8c) | Zahid Ali | Facebook | CSRF | $1,000 | 2017-02-04 |
| [我得到了电子邮件 - G Suite漏洞](https://whitehatnepal.tumblr.com/post/156707088037/i-got-emails-g-suite-vulnerability) | [Uranium238 (@uraniumhacker)](https://twitter.com/uraniumhacker) / [White Hats - Nepal](https://whitehatnepal.tumblr.com) | Google, Facebook, Yelp | 逻辑缺陷, 授权缺陷 | - | 2017-02-02 |
| [$12,000用于简单的路径遍历](https://twitter.com/0x01alka/status/826520689595265026) | [lalka](https://twitter.com/0x01alka/) | Facebook | 路径遍历 | $12,000 | 2017-01-31 |
| [我如何能够攻陷加州最大创业公司之一的任何账户](https://medium.com/@prateek_0490/how-i-could-have-compromised-any-account-on-one-of-the-biggest-startup-based-in-california-3ebc8c6844b5) | [Prateek Tiwari](https://twitter.com/prateek_0490) | - | 账户接管, IDOR, 密码重置缺陷 | - | 2017-01-28 |
| [0day漏洞分析: uber.com中的XXE](https://httpsonly.blogspot.com/2017/01/0day-writeup-xxe-in-ubercom.html) | - | Uber | XXE | $9,000 | 2017-01-24 |
| [我如何能够黑掉IIT Guwahati的网站](https://medium.com/bugbountywriteup/how-i-could-have-hacked-iit-guwahatis-website-52dff319b056) | [Sai Krishna Kothapalli](https://twitter.com/kmskrishna) | IIT Guwahati | 无限制文件上传 | - | 2017-12-09 |
| [我在@facebook漏洞赏金计划中的第一个漏洞](https://twitter.com/0x01alka/status/816403077074976768) | [lalka](https://twitter.com/0x01alka/) | Facebook | SQL注入 | - | 2017-01-03 |

### 2016年发布的漏洞赏金报告

| 标题及链接 | 作者 | 漏洞赏金项目 | 漏洞类型 | 奖励金额 | 发布日期 |
| --- | --- | --- | --- | --- | --- |
| [Facebook收购（Parse）中的IDOR](http://www.pranav-venkat.com/2016/12/idor-in-facebooks-acquisition-parse.html?q=bug+bounty) | [Venkatesh Sivakumar](https://twitter.com/@pranavvenkats) | Facebook | IDOR | - | 2016-12-11 |
| [孤儿互联网 - 通过AWS, Google Cloud, Rackspace和Digital Ocean中的DNS漏洞接管12万个域名](https://thehackerblog.com/the-orphaned-internet-taking-over-120k-domains-via-a-dns-vulnerability-in-aws-google-cloud-rackspace-and-digital-ocean/index.html) | [Matthew Bryan](https://twitter.com/IAmMandatory) | Google, Amazon, Rackspace, Digital Ocean | 域名接管 | $1,337 | 2016-12-05 |
| [通过子域接管绕过Ubiquity的单点登录认证](https://www.arneswinnen.net/2016/11/authentication-bypass-on-sso-ubnt-com-via-subdomain-takeover-of-ping-ubnt-com/) | [Arne Swinnen](https://twitter.com/ArneSwinnen) | Ubiquity Networks | 子域接管, 认证绕过 | $500 | 2016-11-29 |
| [绕过Ebay的XSS保护进行XSS攻击](https://whitehatnepal.tumblr.com/post/153333332112/xssonebay) | Nirmal Dahal / [White Hats - Nepal](https://whitehatnepal.tumblr.com) | Ebay | 反射型XSS | - | 2016-11-18 |

---

希望这能帮助你更好地组织和展示这些漏洞赏金报告。如果有更多需要优化的内容，请随时告知。
