    Warning	C4267	'initializing': conversion from 'size_t' to 'int32_t', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\jit\argument_spec.h	231	
    Warning	C4251	'torch::serialize::InputArchive::hierarchy_prefix_': class 'std::basic_string,std::allocator>' needs to have dll-interface to be used by clients of class 'torch::serialize::InputArchive'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\serialize\input-archive.h	105	
    Warning	C4251	'torch::serialize::OutputArchive::cu_': class 'std::shared_ptr' needs to have dll-interface to be used by clients of class 'torch::serialize::OutputArchive'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\serialize\output-archive.h	78	
    Warning	C4251	'std::enable_shared_from_this::_Wptr': class 'std::weak_ptr' needs to have dll-interface to be used by clients of class 'std::enable_shared_from_this'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\module.h	62	
    Warning	C4251	'torch::nn::Module::parameters_': class 'torch::OrderedDict' needs to have dll-interface to be used by clients of class 'torch::nn::Module'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\module.h	557	
    Warning	C4251	'torch::nn::Module::buffers_': class 'torch::OrderedDict' needs to have dll-interface to be used by clients of class 'torch::nn::Module'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\module.h	560	
    Warning	C4251	'torch::nn::Module::children_': class 'torch::OrderedDict>' needs to have dll-interface to be used by clients of class 'torch::nn::Module'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\module.h	563	
    Warning	C4251	'torch::nn::Module::name_': class 'c10::optional' needs to have dll-interface to be used by clients of class 'torch::nn::Module'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\module.h	566	
    Warning	C4251	'torch::nn::BatchNormOptions::momentum_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'torch::nn::BatchNormOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\batchnorm.h	25	
    Warning	C4251	'torch::nn::functional::BatchNormFuncOptions::momentum_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'torch::nn::functional::BatchNormFuncOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\batchnorm.h	56	
    Warning	C4251	'torch::nn::EmbeddingOptions::padding_idx_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'torch::nn::EmbeddingOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\embedding.h	20	
    Warning	C4251	'torch::nn::EmbeddingOptions::max_norm_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'torch::nn::EmbeddingOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\embedding.h	22	
    Warning	C4251	'torch::nn::EmbeddingFromPretrainedOptions::padding_idx_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'torch::nn::EmbeddingFromPretrainedOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\embedding.h	41	
    Warning	C4251	'torch::nn::EmbeddingFromPretrainedOptions::max_norm_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'torch::nn::EmbeddingFromPretrainedOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\embedding.h	43	
    Warning	C4251	'torch::nn::functional::EmbeddingFuncOptions::padding_idx_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'torch::nn::functional::EmbeddingFuncOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\embedding.h	58	
    Warning	C4251	'torch::nn::functional::EmbeddingFuncOptions::max_norm_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'torch::nn::functional::EmbeddingFuncOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\embedding.h	60	
    Warning	C4251	'torch::nn::EmbeddingBagOptions::max_norm_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'torch::nn::EmbeddingBagOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\embedding.h	84	
    Warning	C4251	'torch::nn::EmbeddingBagOptions::mode_': class 'c10::variant' needs to have dll-interface to be used by clients of struct 'torch::nn::EmbeddingBagOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\embedding.h	92	
    Warning	C4251	'torch::nn::EmbeddingBagFromPretrainedOptions::max_norm_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'torch::nn::EmbeddingBagFromPretrainedOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\embedding.h	108	
    Warning	C4251	'torch::nn::EmbeddingBagFromPretrainedOptions::mode_': class 'c10::variant' needs to have dll-interface to be used by clients of struct 'torch::nn::EmbeddingBagFromPretrainedOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\embedding.h	116	
    Warning	C4251	'torch::nn::functional::EmbeddingBagFuncOptions::max_norm_': class 'c10::optional' needs to have dll-interface to be used by clients of struct 'torch::nn::functional::EmbeddingBagFuncOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\embedding.h	131	
    Warning	C4251	'torch::nn::functional::EmbeddingBagFuncOptions::mode_': class 'c10::variant' needs to have dll-interface to be used by clients of struct 'torch::nn::functional::EmbeddingBagFuncOptions'	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\options\embedding.h	139	
    Warning	C4244	'argument': conversion from 'double' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\functional\embedding.h	42	
    Warning	C4244	'argument': conversion from 'T' to 'float', possible loss of data	LibTorch-1.4-example	c:\users\XX\documents\libtorch-1.4\include\torch\csrc\api\include\torch\nn\functional\embedding.h	42	
