以下是经过优化的文本，使其更加清晰、连贯和专业：

---

### SETNO - Set if Not Overflow (386+)
**用法:** `SETNO dest`  
**修改标志位:** 无  
**功能:** 如果溢出标志（Overflow Flag）清除，则将操作数设置为1；否则设置为0。  
| 操作数 | 808x | 286 | 386 | 486 | 字节数 |
### STR - Store Task Register (286+ 特权指令)
**用法:** `STR dest`  
**修改标志位:** 无  
**功能:** 将当前任务寄存器存储到指定的操作数中。  
| 操作数 | 808x | 286 | 386 | 486 | 字节数 |
|--------|------|-----|-----|-----|--------|
| reg16  | -    | 2   | 2   | 2   | 3      |
| mem16  | -    | 3   | 2   | 3   | 5      |

### SUB - Subtract
**用法:** `SUB dest, src`  
**修改标志位:** AF, CF, OF, PF, SF, ZF  
**功能:** 从目标中减去源，并将结果存储在目标中。  
| 操作数       | 808x | 286 | 386 | 486 | 字节数 |
|--------------|------|-----|-----|-----|--------|
| reg, reg     | 3    | 2   | 2   | 1   | 2      |
| mem, reg     | 16+EA| 7   | 6   | 3   | 2-4    |
| reg, mem     | 9+EA | 7   | 7   | 2   | 2-4    |
| reg, immed   | 4    | 3   | 2   | 1   | 3-4    |
| mem, immed   | 17+EA| 7   | 7   | 3   | 3-6    |
| accum, immed | 4    | 3   | 2   | 1   | 2-3    |

### TEST - Test For Bit Pattern
**用法:** `TEST dest, src`  
**修改标志位:** CF, OF, PF, SF, ZF (AF 不确定)  
**功能:** 对两个操作数执行逻辑与运算，并更新标志寄存器而不保存结果。  
| 操作数       | 808x | 286 | 386 | 486 | 字节数 |
|--------------|------|-----|-----|-----|--------|
| reg, reg     | 3    | 2   | 1   | 1   | 2      |
| reg, mem     | 9+EA | 6   | 5   | 1   | 2-4    |
| mem, reg     | 9+EA | 6   | 5   | 2   | 2-4    |
| reg, immed   | 5    | 3   | 2   | 1   | 3-4    |
| mem, immed   | 11+EA| 6   | 5   | 2   | 3-6    |
| accum, immed | 4    | 3   | 2   | 1   | 2-3    |

### VERR - Verify Read (286+ 保护模式)
**用法:** `VERR src`  
**修改标志位:** ZF  
**功能:** 验证指定段选择器在当前特权级别是否有效且可读。如果段可读，则设置零标志，否则清除零标志。  
| 操作数 | 808x | 286 | 386 | 486 | 字节数 |
|--------|------|-----|-----|-----|--------|
| reg16  | -    | 14  | 10  | 11  | 3      |
| mem16  | -    | 16  | 11  | 11  | 5      |

### VERW - Verify Write (286+ 保护模式)
**用法:** `VERW src`  
**修改标志位:** ZF  
**功能:** 验证指定段选择器在当前特权级别是否有效且可写。如果段可写，则设置零标志，否则清除零标志。  
| 操作数 | 808x | 286 | 386 | 486 | 字节数 |
|--------|------|-----|-----|-----|--------|
| reg16  | -    | 14  | 15  | 11  | 3      |
| mem16  | -    | 16  | 16  | 11  | 5      |

### WAIT/FWAIT - 事件等待
**用法:** `WAIT` 或 `FWAIT`  
**修改标志位:** 无  
**功能:** CPU 进入等待状态，直到协处理器信号表示其操作已完成。此指令用于防止CPU访问协处理器可能暂时使用的内存。WAIT 和 FWAIT 是相同的。  
| 操作数 | 808x | 286 | 386 | 486 | 字节数 |
|--------|------|-----|-----|-----|--------|
| none   | 4    | 3   | 6+  | 1-3 | 1      |

### WBINVD - Write-Back and Invalidate Cache (486+)
**用法:** `WBINVD`  
**修改标志位:** 无  
**功能:** 刷新内部缓存，然后向外部缓存发出信号，要求写回当前数据，随后发出信号刷新外部缓存。  
| 操作数 | 808x | 286 | 386 | 486 | 字节数 |
|--------|------|-----|-----|-----|--------|
| none   | -    | -   | -   | 5   | 2      |

### XCHG - Exchange
**用法:** `XCHG dest, src`  
**修改标志位:** 无  
**功能:** 交换源和目标的内容。  
| 操作数       | 808x | 286 | 386 | 486 | 字节数 |
|--------------|------|-----|-----|-----|--------|
| reg, reg     | 4    | 3   | 3   | 3   | 2      |
| mem, reg     | 17+EA| 5   | 5   | 5   | 2-4    |
| reg, mem     | 17+EA| 5   | 5   | 3   | 2-4    |
| accum, reg   | 3    | 3   | 3   | 3   | 1      |
| reg, accum   | 3    | 3   | 3   | 3   | 1      |

### XLAT/XLATB - Translate
**用法:** `XLAT translation-table` 或 `XLATB` (masm 5.x)  
**修改标志位:** 无  
**功能:** 用由 BX 寻址的用户表中的字节替换 AL 中的字节。AL 的原始值是翻译表的索引。等效于 `MOV AL, [BX + AL]`。  
| 操作数          | 808x | 286 | 386 | 486 | 字节数 |
|-----------------|------|-----|-----|-----|--------|
| table offset    | 11   | 5   | 5   | 4   | 1      |

### XOR - Exclusive OR
**用法:** `XOR dest, src`  
**修改标志位:** CF, OF, PF, SF, ZF (AF 不确定)  
**功能:** 对操作数执行按位异或运算，并将结果返回到目标中。  
| 操作数       | 808x | 286 | 386 | 486 | 字节数 |
|--------------|------|-----|-----|-----|--------|
| reg, reg     | 3    | 2   | 2   | 1   | 2      |
| mem, reg     | 16+EA| 7   | 6   | 3   | 2-4    |
| reg, mem     | 9+EA | 7   | 7   | 2   | 2-4    |
| reg, immed   | 4    | 3   | 2   | 1   | 3-4    |
| mem, immed   | 17+EA| 7   | 7   | 3   | 3-6    |
| accum, immed | 4    | 3   | 2   | 1   | 2-3    |

---
